#         T/K            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10
 2.731500E+02  1.219899E-02  2.262828E-03  5.692233E-03  7.986810E-05  1.754079E-01  2.044680E-01  1.595212E-01  6.007187E-04  1.018187E-03  2.014100E+00  2.740762E+00  2.019329E+00  5.348389E-03  8.107730E-02  8.135207E-02  1.912089E+00
 2.741500E+02  1.271676E-02  2.401074E-03  5.961153E-03  8.689175E-05  1.784308E-01  2.095241E-01  1.617411E-01  6.310457E-04  1.068036E-03  1.998754E+00  2.717745E+00  2.022483E+00  5.432100E-03  8.193925E-02  8.221420E-02  1.936988E+00
 2.751500E+02  1.325238E-02  2.546625E-03  6.240459E-03  9.447317E-05  1.814719E-01  2.146546E-01  1.639633E-01  6.626250E-04  1.119876E-03  1.983449E+00  2.694843E+00  2.025434E+00  5.516016E-03  8.279747E-02  8.307254E-02  1.961863E+00
 2.761500E+02  1.380629E-02  2.699801E-03  6.530453E-03  1.026517E-04  1.845308E-01  2.198595E-01  1.661874E-01  6.954953E-04  1.173766E-03  1.968187E+00  2.672057E+00  2.028182E+00  5.600120E-03  8.365179E-02  8.392695E-02  1.986709E+00
 2.771500E+02  1.437897E-02  2.860936E-03  6.831443E-03  1.114691E-04  1.876069E-01  2.251389E-01  1.684129E-01  7.296960E-04  1.229767E-03  1.952970E+00  2.649390E+00  2.030730E+00  5.684394E-03  8.450207E-02  8.477726E-02  2.011520E+00
 2.781500E+02  1.497087E-02  3.030373E-03  7.143738E-03  1.209697E-04  1.906999E-01  2.304925E-01  1.706395E-01  7.652671E-04  1.287939E-03  1.937801E+00  2.626843E+00  2.033080E+00  5.768821E-03  8.534814E-02  8.562333E-02  2.036292E+00
 2.791500E+02  1.558249E-02  3.208467E-03  7.467657E-03  1.312004E-04  1.938094E-01  2.359204E-01  1.728668E-01  8.022495E-04  1.348346E-03  1.922680E+00  2.604418E+00  2.035234E+00  5.853384E-03  8.618988E-02  8.646501E-02  2.061019E+00
 2.801500E+02  1.621431E-02  3.395587E-03  7.803522E-03  1.422110E-04  1.969348E-01  2.414224E-01  1.750944E-01  8.406845E-04  1.411049E-03  1.907610E+00  2.582115E+00  2.037193E+00  5.938064E-03  8.702712E-02  8.730216E-02  2.085698E+00
 2.811500E+02  1.686681E-02  3.592111E-03  8.151659E-03  1.540540E-04  2.000758E-01  2.469984E-01  1.773218E-01  8.806142E-04  1.476114E-03  1.892593E+00  2.559937E+00  2.038960E+00  6.022846E-03  8.785974E-02  8.813464E-02  2.110322E+00
 2.821500E+02  1.754050E-02  3.798430E-03  8.512402E-03  1.667853E-04  2.032319E-01  2.526483E-01  1.795488E-01  9.220816E-04  1.543605E-03  1.877630E+00  2.537884E+00  2.040536E+00  6.107712E-03  8.868760E-02  8.896231E-02  2.134888E+00
 2.831500E+02  1.823589E-02  4.014950E-03  8.886088E-03  1.804637E-04  2.064028E-01  2.583718E-01  1.817750E-01  9.651299E-04  1.613589E-03  1.862723E+00  2.515959E+00  2.041924E+00  6.192645E-03  8.951056E-02  8.978505E-02  2.159391E+00
 2.841500E+02  1.895349E-02  4.242088E-03  9.273061E-03  1.951517E-04  2.095878E-01  2.641690E-01  1.839998E-01  1.009803E-03  1.686132E-03  1.847874E+00  2.494162E+00  2.043126E+00  6.277628E-03  9.032849E-02  9.060271E-02  2.183826E+00
 2.851500E+02  1.969381E-02  4.480273E-03  9.673668E-03  2.109150E-04  2.127867E-01  2.700395E-01  1.862231E-01  1.056147E-03  1.761303E-03  1.833085E+00  2.472494E+00  2.044144E+00  6.362644E-03  9.114126E-02  9.141518E-02  2.208188E+00
 2.861500E+02  2.045740E-02  4.729949E-03  1.008826E-02  2.278233E-04  2.159990E-01  2.759831E-01  1.884444E-01  1.104206E-03  1.839171E-03  1.818356E+00  2.450957E+00  2.044980E+00  6.447677E-03  9.194876E-02  9.222234E-02  2.232474E+00
 2.871500E+02  2.124478E-02  4.991574E-03  1.051720E-02  2.459499E-04  2.192242E-01  2.819997E-01  1.906634E-01  1.154026E-03  1.919805E-03  1.803690E+00  2.429551E+00  2.045635E+00  6.532711E-03  9.275087E-02  9.302405E-02  2.256679E+00
 2.881500E+02  2.205649E-02  5.265619E-03  1.096085E-02  2.653724E-04  2.224619E-01  2.880890E-01  1.928797E-01  1.205655E-03  2.003277E-03  1.789088E+00  2.408279E+00  2.046114E+00  6.617730E-03  9.354746E-02  9.382021E-02  2.280799E+00
 2.891500E+02  2.289308E-02  5.552569E-03  1.141958E-02  2.861725E-04  2.257116E-01  2.942507E-01  1.950929E-01  1.259139E-03  2.089657E-03  1.774552E+00  2.387140E+00  2.046417E+00  6.702716E-03  9.433842E-02  9.461071E-02  2.304829E+00
 2.901500E+02  2.375511E-02  5.852925E-03  1.189376E-02  3.084363E-04  2.289730E-01  3.004846E-01  1.973027E-01  1.314527E-03  2.179019E-03  1.760082E+00  2.366135E+00  2.046546E+00  6.787655E-03  9.512364E-02  9.539543E-02  2.328766E+00
 2.911500E+02  2.464315E-02  6.167201E-03  1.238377E-02  3.322545E-04  2.322456E-01  3.067903E-01  1.995088E-01  1.371868E-03  2.271437E-03  1.745679E+00  2.345266E+00  2.046505E+00  6.872529E-03  9.590303E-02  9.617426E-02  2.352605E+00
 2.921500E+02  2.555775E-02  6.495927E-03  1.288999E-02  3.577229E-04  2.355289E-01  3.131677E-01  2.017108E-01  1.431209E-03  2.366984E-03  1.731347E+00  2.324533E+00  2.046296E+00  6.957325E-03  9.667646E-02  9.694711E-02  2.376342E+00
 2.931500E+02  2.649950E-02  6.839647E-03  1.341282E-02  3.849419E-04  2.388226E-01  3.196164E-01  2.039084E-01  1.492602E-03  2.465736E-03  1.717084E+00  2.303936E+00  2.045920E+00  7.042025E-03  9.744385E-02  9.771388E-02  2.399974E+00
 2.941500E+02  2.746899E-02  7.198924E-03  1.395264E-02  4.140175E-04  2.421261E-01  3.261360E-01  2.061012E-01  1.556097E-03  2.567768E-03  1.702893E+00  2.283478E+00  2.045380E+00  7.126616E-03  9.820509E-02  9.847446E-02  2.423497E+00
 2.951500E+02  2.846679E-02  7.574332E-03  1.450985E-02  4.450609E-04  2.454391E-01  3.327262E-01  2.082890E-01  1.621744E-03  2.673159E-03  1.688775E+00  2.263157E+00  2.044679E+00  7.211081E-03  9.896009E-02  9.922877E-02  2.446907E+00
 2.961500E+02  2.949351E-02  7.966466E-03  1.508486E-02  4.781894E-04  2.487612E-01  3.393867E-01  2.104714E-01  1.689595E-03  2.781985E-03  1.674730E+00  2.242975E+00  2.043818E+00  7.295406E-03  9.970876E-02  9.997671E-02  2.470200E+00
 2.971500E+02  3.054976E-02  8.375934E-03  1.567808E-02  5.135257E-04  2.520919E-01  3.461170E-01  2.126482E-01  1.759703E-03  2.894325E-03  1.660760E+00  2.222932E+00  2.042800E+00  7.379575E-03  1.004510E-01  1.007182E-01  2.493372E+00
