#         T/K            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10
 2.731500E+02  2.198666E-04  8.156746E-05  3.077793E-04  4.318472E-06  1.264575E-02  1.474079E-02  1.437553E-02  5.413481E-05  9.175569E-05  2.178049E-01  2.963862E-01  2.183704E-01  5.783752E-04  8.767706E-03  8.797420E-03  2.067734E-01
 2.741500E+02  2.292217E-04  8.655948E-05  3.223521E-04  4.698712E-06  1.286497E-02  1.510682E-02  1.457705E-02  5.687349E-05  9.625757E-05  2.161671E-01  2.939267E-01  2.187335E-01  5.874867E-04  8.861807E-03  8.891543E-03  2.094871E-01
 2.751500E+02  2.389003E-04  9.181587E-05  3.374897E-04  5.109195E-06  1.308556E-02  1.547829E-02  1.477881E-02  5.972561E-05  1.009399E-04  2.145335E-01  2.914791E-01  2.190746E-01  5.966224E-04  8.955526E-03  8.985278E-03  2.121987E-01
 2.761500E+02  2.489108E-04  9.734831E-05  3.532085E-04  5.552059E-06  1.330747E-02  1.585521E-02  1.498079E-02  6.269470E-05  1.058079E-04  2.129042E-01  2.890438E-01  2.193940E-01  6.057804E-04  9.048844E-03  9.078608E-03  2.149078E-01
 2.771500E+02  2.592616E-04  1.031689E-04  3.695253E-04  6.029572E-06  1.353067E-02  1.623757E-02  1.518294E-02  6.578434E-05  1.108673E-04  2.112796E-01  2.866208E-01  2.196919E-01  6.149588E-04  9.141746E-03  9.171517E-03  2.176137E-01
 2.781500E+02  2.699615E-04  1.092901E-04  3.864572E-04  6.544141E-06  1.375514E-02  1.662537E-02  1.538524E-02  6.899819E-05  1.161235E-04  2.096597E-01  2.842104E-01  2.199685E-01  6.241557E-04  9.234214E-03  9.263988E-03  2.203159E-01
 2.791500E+02  2.810190E-04  1.157248E-04  4.040215E-04  7.098316E-06  1.398085E-02  1.701862E-02  1.558764E-02  7.233996E-05  1.215822E-04  2.080449E-01  2.818128E-01  2.202239E-01  6.333694E-04  9.326234E-03  9.356005E-03  2.230140E-01
 2.801500E+02  2.924431E-04  1.224864E-04  4.222357E-04  7.694802E-06  1.420776E-02  1.741729E-02  1.579011E-02  7.581343E-05  1.272493E-04  2.064353E-01  2.794280E-01  2.204584E-01  6.425978E-04  9.417789E-03  9.447553E-03  2.257074E-01
 2.811500E+02  3.042429E-04  1.295887E-04  4.411180E-04  8.336462E-06  1.443584E-02  1.782139E-02  1.599262E-02  7.942244E-05  1.331305E-04  2.048311E-01  2.770563E-01  2.206721E-01  6.518393E-04  9.508865E-03  9.538617E-03  2.283955E-01
 2.821500E+02  3.164274E-04  1.370460E-04  4.606864E-04  9.026326E-06  1.466507E-02  1.823091E-02  1.619514E-02  8.317090E-05  1.392318E-04  2.032325E-01  2.746977E-01  2.208654E-01  6.610919E-04  9.599447E-03  9.629182E-03  2.310779E-01
 2.831500E+02  3.290059E-04  1.448728E-04  4.809596E-04  9.767600E-06  1.489540E-02  1.864584E-02  1.639762E-02  8.706278E-05  1.455592E-04  2.016398E-01  2.723526E-01  2.210384E-01  6.703539E-04  9.689519E-03  9.719233E-03  2.337541E-01
 2.841500E+02  3.419878E-04  1.530845E-04  5.019563E-04  1.056368E-05  1.512682E-02  1.906616E-02  1.660003E-02  9.110210E-05  1.521189E-04  2.000530E-01  2.700209E-01  2.211913E-01  6.796234E-04  9.779069E-03  9.808757E-03  2.364235E-01
 2.851500E+02  3.553827E-04  1.616966E-04  5.236955E-04  1.141813E-05  1.535928E-02  1.949188E-02  1.680235E-02  9.529296E-05  1.589171E-04  1.984724E-01  2.677028E-01  2.213243E-01  6.888986E-04  9.868081E-03  9.897739E-03  2.390858E-01
 2.861500E+02  3.692002E-04  1.707253E-04  5.461967E-04  1.233476E-05  1.559277E-02  1.992297E-02  1.700454E-02  9.963951E-05  1.659601E-04  1.968982E-01  2.653985E-01  2.214378E-01  6.981778E-04  9.956544E-03  9.986168E-03  2.417404E-01
 2.871500E+02  3.834501E-04  1.801873E-04  5.694796E-04  1.331756E-05  1.582724E-02  2.035941E-02  1.720656E-02  1.041460E-04  1.732542E-04  1.953304E-01  2.631080E-01  2.215318E-01  7.074592E-04  1.004444E-02  1.007403E-02  2.443868E-01
 2.881500E+02  3.981423E-04  1.900997E-04  5.935640E-04  1.437074E-05  1.606266E-02  2.080121E-02  1.740838E-02  1.088166E-04  1.808060E-04  1.937693E-01  2.608315E-01  2.216067E-01  7.167410E-04  1.013177E-02  1.016131E-02  2.470246E-01
 2.891500E+02  4.132869E-04  2.004802E-04  6.184702E-04  1.549875E-05  1.629901E-02  2.124833E-02  1.760998E-02  1.136557E-04  1.886221E-04  1.922150E-01  2.585690E-01  2.216627E-01  7.260215E-04  1.021850E-02  1.024800E-02  2.496534E-01
 2.901500E+02  4.288942E-04  2.113469E-04  6.442188E-04  1.670628E-05  1.653626E-02  2.170077E-02  1.781132E-02  1.186677E-04  1.967089E-04  1.906677E-01  2.563208E-01  2.217001E-01  7.352990E-04  1.030464E-02  1.033408E-02  2.522726E-01
 2.911500E+02  4.449743E-04  2.227188E-04  6.708305E-04  1.799828E-05  1.677437E-02  2.215850E-02  1.801237E-02  1.238571E-04  2.050734E-04  1.891274E-01  2.540868E-01  2.217190E-01  7.445718E-04  1.039016E-02  1.041955E-02  2.548819E-01
 2.921500E+02  4.615378E-04  2.346150E-04  6.983264E-04  1.937995E-05  1.701331E-02  2.262151E-02  1.821309E-02  1.292283E-04  2.137223E-04  1.875944E-01  2.518671E-01  2.217197E-01  7.538381E-04  1.047506E-02  1.050439E-02  2.574808E-01
 2.931500E+02  4.785952E-04  2.470554E-04  7.267279E-04  2.085677E-05  1.725305E-02  2.308977E-02  1.841347E-02  1.347860E-04  2.226625E-04  1.860687E-01  2.496619E-01  2.217024E-01  7.630964E-04  1.055933E-02  1.058859E-02  2.600689E-01
 2.941500E+02  4.961573E-04  2.600605E-04  7.560566E-04  2.243451E-05  1.749357E-02  2.356326E-02  1.861347E-02  1.405346E-04  2.319010E-04  1.845506E-01  2.474712E-01  2.216675E-01  7.723450E-04  1.064295E-02  1.067214E-02  2.626458E-01
