#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        m1w1-1        m1w1-4        m1w2-1        m1w3-1        m1w4-1        m1w4-7        m1w4-9        m1w5-2        m1w5-3        m1w5-4        m1w5-5        m1w5-6        m1w5-9        m2w1-1        m2w1-3        m2w2-1        m2w3-1        m2w3-6        m2w3-7        m2w4-1        m2w4-4        m2w4-5        m2w4-6        m2w4-9        m3w1-1        m3w1-2        m3w2-1        m3w3-1        m3w3-3        m3w3-5        m3w3-7        m3w3-9        m4w1-2        m4w1-5        m4w2-1        m4w2-7        m4w2-8        m5w1-1        m5w1-6        m5w1-8        m5w1-9
 2.731500E+02  2.660312E-02  2.363923E-03  3.022958E-03  1.245570E-01  8.521086E-02  2.674375E-01  6.201190E-02  2.895607E-02  1.780192E-02  2.373056E-02  8.486950E-03  3.491317E-02  1.015768E-02  1.406139E-03  2.639767E-03  3.703874E-05  6.070690E-02  7.076431E-02  4.120155E-02  1.551551E-04  2.629799E-04  3.882238E-01  5.282900E-01  3.892317E-01  1.030918E-03  1.562789E-02  1.568086E-02  3.685609E-01  1.449875E-03  1.973671E-03  2.278773E-03  1.069714E-01  2.315677E-02  5.806918E-02  3.584517E-01  6.332404E-02  2.700163E-01  3.672780E-02  3.570860E-01  3.168175E-01  1.370221E-01  2.160936E-03  2.736855E-03  1.189843E-01  3.090365E-02  4.974529E-03  1.510027E-02  2.464500E-01  2.160001E-01  1.324957E-01  5.098212E-02  1.496416E-01  2.196454E-01  1.492828E-01  1.189480E-01  1.588246E-01  3.840067E-02  2.950871E-03  4.697666E-02  6.821730E-02  1.079470E-01  1.484493E-01  4.499544E-02  7.035721E-02  2.618272E-02  8.684407E-02  1.353329E-01  1.417202E-01  1.391569E-01
 2.741500E+02  2.770519E-02  2.500072E-03  3.145757E-03  1.260448E-01  8.548785E-02  2.686997E-01  6.166129E-02  2.896678E-02  1.771408E-02  2.361758E-02  8.477484E-03  3.492504E-02  1.060002E-02  1.493898E-03  2.768413E-03  4.035331E-05  6.185228E-02  7.263062E-02  4.184961E-02  1.632796E-04  2.763483E-04  3.860251E-01  5.248859E-01  3.906080E-01  1.049117E-03  1.582516E-02  1.587827E-02  3.740961E-01  1.537629E-03  2.092995E-03  2.384899E-03  1.089121E-01  2.345039E-02  5.879844E-02  3.641914E-01  6.304495E-02  2.679607E-01  3.649500E-02  3.542673E-01  3.145508E-01  1.361532E-01  2.255578E-03  2.857857E-03  1.209503E-01  3.117801E-02  5.017660E-03  1.525794E-02  2.439935E-01  2.140698E-01  1.320699E-01  5.086582E-02  1.483463E-01  2.229386E-01  1.514814E-01  1.201824E-01  1.582963E-01  3.813537E-02  2.951247E-03  4.680425E-02  6.792914E-02  1.088452E-01  1.496369E-01  4.462898E-02  6.977252E-02  2.597952E-02  8.577348E-02  1.343667E-01  1.397513E-01  1.376611E-01
 2.751500E+02  2.884414E-02  2.642919E-03  3.272440E-03  1.275301E-01  8.575578E-02  2.699336E-01  6.130832E-02  2.897420E-02  1.762533E-02  2.350330E-02  8.467153E-03  3.493296E-02  1.105823E-02  1.586420E-03  2.902227E-03  4.393628E-05  6.300657E-02  7.452751E-02  4.249958E-02  1.717536E-04  2.902739E-04  3.838139E-01  5.214745E-01  3.919383E-01  1.067395E-03  1.602200E-02  1.607523E-02  3.796369E-01  1.629969E-03  2.218551E-03  2.495045E-03  1.108661E-01  2.374352E-02  5.952638E-02  3.699498E-01  6.276216E-02  2.659065E-01  3.626121E-02  3.514524E-01  3.122828E-01  1.352815E-01  2.353528E-03  2.983143E-03  1.229257E-01  3.144996E-02  5.060379E-03  1.541475E-02  2.415518E-01  2.121470E-01  1.316339E-01  5.074503E-02  1.470553E-01  2.262407E-01  1.536851E-01  1.214097E-01  1.577559E-01  3.786950E-02  2.951272E-03  4.662844E-02  6.763664E-02  1.097343E-01  1.508116E-01  4.426315E-02  6.918888E-02  2.577636E-02  8.471397E-02  1.333992E-01  1.378078E-01  1.361764E-01
 2.761500E+02  3.002077E-02  2.792727E-03  3.403083E-03  1.290123E-01  8.601465E-02  2.711391E-01  6.095316E-02  2.897839E-02  1.753572E-02  2.338780E-02  8.455978E-03  3.493699E-02  1.153268E-02  1.683916E-03  3.041359E-03  4.780690E-05  6.416952E-02  7.645490E-02  4.315128E-02  1.805884E-04  3.047735E-04  3.815907E-01  5.180565E-01  3.932225E-01  1.085747E-03  1.621835E-02  1.627170E-02  3.851817E-01  1.727088E-03  2.350599E-03  2.609319E-03  1.128329E-01  2.403609E-02  6.025277E-02  3.757252E-01  6.247579E-02  2.638542E-01  3.602650E-02  3.486416E-01  3.100139E-01  1.344073E-01  2.454865E-03  3.112815E-03  1.249100E-01  3.171944E-02  5.102675E-03  1.557066E-02  2.391253E-01  2.102318E-01  1.311881E-01  5.061985E-02  1.457688E-01  2.295508E-01  1.558933E-01  1.226297E-01  1.572038E-01  3.760314E-02  2.950951E-03  4.644932E-02  6.733995E-02  1.106142E-01  1.519732E-01  4.389803E-02  6.860639E-02  2.557328E-02  8.366555E-02  1.324309E-01  1.358895E-01  1.347029E-01
 2.771500E+02  3.123599E-02  2.949771E-03  3.537768E-03  1.304912E-01  8.626448E-02  2.723162E-01  6.059591E-02  2.897939E-02  1.744527E-02  2.327111E-02  8.443972E-03  3.493717E-02  1.202381E-02  1.786611E-03  3.185969E-03  5.198569E-05  6.534093E-02  7.841281E-02  4.380455E-02  1.897955E-04  3.198650E-04  3.793560E-01  5.146325E-01  3.944606E-01  1.104169E-03  1.641416E-02  1.646761E-02  3.907290E-01  1.829190E-03  2.489419E-03  2.727833E-03  1.148123E-01  2.432802E-02  6.097746E-02  3.815165E-01  6.218594E-02  2.618041E-01  3.579091E-02  3.458355E-01  3.077443E-01  1.335306E-01  2.559670E-03  3.246981E-03  1.269028E-01  3.198640E-02  5.144540E-03  1.572563E-02  2.367139E-01  2.083245E-01  1.307326E-01  5.049036E-02  1.444869E-01  2.328683E-01  1.581057E-01  1.238421E-01  1.566403E-01  3.733635E-02  2.950286E-03  4.626699E-02  6.703919E-02  1.114847E-01  1.531215E-01  4.353367E-02  6.802517E-02  2.537033E-02  8.262816E-02  1.314619E-01  1.339962E-01  1.332408E-01
 2.781500E+02  3.249073E-02  3.114334E-03  3.676576E-03  1.319666E-01  8.650532E-02  2.734649E-01  6.023668E-02  2.897722E-02  1.735402E-02  2.315327E-02  8.431147E-03  3.493356E-02  1.253207E-02  1.894735E-03  3.336221E-03  5.649448E-05  6.652064E-02  8.040124E-02  4.445926E-02  1.993865E-04  3.355661E-04  3.771103E-01  5.112031E-01  3.956525E-01  1.122655E-03  1.660938E-02  1.666293E-02  3.962775E-01  1.936488E-03  2.635298E-03  2.850703E-03  1.168038E-01  2.461924E-02  6.170027E-02  3.873224E-01  6.189270E-02  2.597563E-01  3.555451E-02  3.430344E-01  3.054746E-01  1.326516E-01  2.668027E-03  3.385753E-03  1.289037E-01  3.225078E-02  5.185966E-03  1.587964E-02  2.343179E-01  2.064253E-01  1.302676E-01  5.035663E-02  1.432097E-01  2.361925E-01  1.603218E-01  1.250466E-01  1.560656E-01  3.706919E-02  2.949283E-03  4.608152E-02  6.673449E-02  1.123456E-01  1.542563E-01  4.317013E-02  6.744529E-02  2.516754E-02  8.160172E-02  1.304925E-01  1.321277E-01  1.317901E-01
 2.791500E+02  3.378593E-02  3.286710E-03  3.819591E-03  1.334381E-01  8.673718E-02  2.745851E-01  5.987557E-02  2.897194E-02  1.726200E-02  2.303434E-02  8.417516E-03  3.492618E-02  1.305792E-02  2.008531E-03  3.492279E-03  6.135640E-05  6.770846E-02  8.242020E-02  4.511525E-02  2.093733E-04  3.518950E-04  3.748542E-01  5.077688E-01  3.967983E-01  1.141202E-03  1.680396E-02  1.685760E-02  4.018255E-01  2.049199E-03  2.788533E-03  2.978047E-03  1.188072E-01  2.490969E-02  6.242105E-02  3.931415E-01  6.159619E-02  2.577113E-01  3.531735E-02  3.402386E-01  3.032050E-01  1.317707E-01  2.780021E-03  3.529242E-03  1.309124E-01  3.251253E-02  5.226945E-03  1.603265E-02  2.319372E-01  2.045342E-01  1.297933E-01  5.021873E-02  1.419374E-01  2.395229E-01  1.625412E-01  1.262431E-01  1.554800E-01  3.680171E-02  2.947944E-03  4.589299E-02  6.642594E-02  1.131968E-01  1.553774E-01  4.280747E-02  6.686685E-02  2.496494E-02  8.058616E-02  1.295228E-01  1.302835E-01  1.303507E-01
 2.801500E+02  3.512255E-02  3.467201E-03  3.966896E-03  1.349056E-01  8.696010E-02  2.756768E-01  5.951269E-02  2.896356E-02  1.716924E-02  2.291435E-02  8.403093E-03  3.491509E-02  1.360182E-02  2.128246E-03  3.654313E-03  6.659601E-05  6.890420E-02  8.446966E-02  4.577238E-02  2.197680E-04  3.688702E-04  3.725882E-01  5.043303E-01  3.978980E-01  1.159804E-03  1.699786E-02  1.705158E-02  4.073717E-01  2.167550E-03  2.949430E-03  3.109984E-03  1.208221E-01  2.519931E-02  6.313963E-02  3.989726E-01  6.129649E-02  2.556693E-01  3.507950E-02  3.374486E-01  3.009360E-01  1.308878E-01  2.895736E-03  3.677560E-03  1.329286E-01  3.277161E-02  5.267470E-03  1.618463E-02  2.295720E-01  2.026514E-01  1.293100E-01  5.007675E-02  1.406701E-01  2.428589E-01  1.647635E-01  1.274312E-01  1.548837E-01  3.653397E-02  2.946274E-03  4.570148E-02  6.611368E-02  1.140381E-01  1.564847E-01  4.244572E-02  6.628992E-02  2.476259E-02  7.958143E-02  1.285530E-01  1.284635E-01  1.289227E-01
 2.811500E+02  3.650155E-02  3.656114E-03  4.118575E-03  1.363687E-01  8.717412E-02  2.767401E-01  5.914814E-02  2.895213E-02  1.707576E-02  2.279334E-02  8.387889E-03  3.490033E-02  1.416424E-02  2.254137E-03  3.822494E-03  7.223935E-05  7.010768E-02  8.654962E-02  4.643051E-02  2.305828E-04  3.865104E-04  3.703127E-01  5.008881E-01  3.989516E-01  1.178456E-03  1.719101E-02  1.724480E-02  4.129146E-01  2.291773E-03  3.118307E-03  3.246634E-03  1.228482E-01  2.548803E-02  6.385585E-02  4.048145E-01  6.099371E-02  2.536306E-01  3.484100E-02  3.346647E-01  2.986679E-01  1.300032E-01  3.015260E-03  3.830823E-03  1.349518E-01  3.302796E-02  5.307532E-03  1.633555E-02  2.272223E-01  2.007772E-01  1.288179E-01  4.993077E-02  1.394079E-01  2.461998E-01  1.669883E-01  1.286107E-01  1.542771E-01  3.626603E-02  2.944277E-03  4.550708E-02  6.579782E-02  1.148694E-01  1.575779E-01  4.208494E-02  6.571459E-02  2.456049E-02  7.858744E-02  1.275833E-01  1.266673E-01  1.275061E-01
 2.821500E+02  3.792391E-02  3.853769E-03  4.274713E-03  1.378272E-01  8.737927E-02  2.777748E-01  5.878201E-02  2.893768E-02  1.698161E-02  2.267135E-02  8.371917E-03  3.488193E-02  1.474565E-02  2.386470E-03  3.996997E-03  7.831400E-05  7.131872E-02  8.866003E-02  4.708949E-02  2.418303E-04  4.048347E-04  3.680283E-01  4.974427E-01  3.999592E-01  1.197153E-03  1.738338E-02  1.743722E-02  4.184527E-01  2.422109E-03  3.295490E-03  3.388120E-03  1.248852E-01  2.577578E-02  6.456955E-02  4.106657E-01  6.068795E-02  2.515955E-01  3.460191E-02  3.318872E-01  2.964010E-01  1.291171E-01  3.138678E-03  3.989144E-03  1.369818E-01  3.328154E-02  5.347126E-03  1.648537E-02  2.248883E-01  1.989117E-01  1.283171E-01  4.978086E-02  1.381509E-01  2.495451E-01  1.692151E-01  1.297814E-01  1.536604E-01  3.599793E-02  2.941957E-03  4.530985E-02  6.547847E-02  1.156906E-01  1.586569E-01  4.172518E-02  6.514093E-02  2.435871E-02  7.760413E-02  1.266139E-01  1.248948E-01  1.261009E-01
