#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        m1w1-1        m1w1-4        m1w2-1        m1w3-1        m1w4-1        m1w4-7        m1w4-9        m1w5-2        m1w5-3        m1w5-4        m1w5-5        m1w5-6        m1w5-9        m2w1-1        m2w1-3        m2w2-1        m2w3-1        m2w3-6        m2w3-7        m2w4-1        m2w4-4        m2w4-5        m2w4-6        m2w4-9        m3w1-1        m3w1-2        m3w2-1        m3w3-1        m3w3-3        m3w3-5        m3w3-7        m3w3-9        m4w1-2        m4w1-5        m4w2-1        m4w2-7        m4w2-8        m5w1-1        m5w1-6        m5w1-8        m5w1-9
 2.731500E+02  1.159019E-03  2.482436E-04  5.738851E-04  3.799762E-02  3.916067E-02  1.229073E-01  4.121622E-02  1.924566E-02  1.183205E-02  1.577252E-02  5.640854E-03  2.320505E-02  2.657585E-04  5.325283E-05  1.085333E-04  1.522838E-06  2.408606E-03  2.807644E-03  1.478914E-03  5.569235E-06  9.439565E-06  1.210276E-02  1.646928E-02  1.213418E-02  3.213856E-05  4.871948E-04  4.888459E-04  1.148977E-02  9.143450E-05  1.244670E-04  1.560140E-04  7.067411E-03  1.384116E-03  3.470885E-03  2.142521E-02  3.287275E-03  1.401708E-02  1.906612E-03  1.853703E-02  1.644661E-02  7.113084E-03  2.463597E-04  3.120178E-04  1.309024E-02  3.075881E-03  4.951214E-04  1.502949E-03  2.130401E-02  1.867181E-02  1.145339E-02  4.407075E-03  1.293555E-02  4.023883E-02  2.734846E-02  1.971433E-02  2.286207E-02  5.527599E-03  4.247642E-04  6.762072E-03  9.819565E-03  2.979205E-02  4.097020E-02  1.078528E-02  1.686442E-02  6.275922E-03  3.466316E-02  5.401713E-02  5.656656E-02  5.554346E-02
 2.741500E+02  1.207445E-03  2.625922E-04  5.972264E-04  3.844772E-02  3.927834E-02  1.234570E-01  4.096714E-02  1.924523E-02  1.176906E-02  1.569128E-02  5.632354E-03  2.320384E-02  2.774610E-04  5.660150E-05  1.138704E-04  1.659813E-06  2.455027E-03  2.882838E-03  1.502740E-03  5.863058E-06  9.923142E-06  1.203846E-02  1.636893E-02  1.218138E-02  3.271744E-05  4.935187E-04  4.951747E-04  1.166645E-02  9.699959E-05  1.320342E-04  1.633282E-04  7.197602E-03  1.402018E-03  3.515357E-03  2.177375E-02  3.273535E-03  1.391354E-02  1.894960E-03  1.839491E-02  1.633268E-02  7.069595E-03  2.571937E-04  3.258689E-04  1.330853E-02  3.103582E-03  4.994777E-04  1.518835E-03  2.109386E-02  1.850689E-02  1.141778E-02  4.397481E-03  1.282492E-02  4.084319E-02  2.775195E-02  1.991897E-02  2.278557E-02  5.489302E-03  4.248101E-04  6.737123E-03  9.777894E-03  3.003631E-02  4.129296E-02  1.069590E-02  1.672187E-02  6.226323E-03  3.422668E-02  5.361710E-02  5.576574E-02  5.493168E-02
 2.751500E+02  1.257527E-03  2.776542E-04  6.213179E-04  3.889770E-02  3.939266E-02  1.239963E-01  4.071769E-02  1.924310E-02  1.170580E-02  1.560963E-02  5.623427E-03  2.320059E-02  2.895897E-04  6.013317E-05  1.194227E-04  1.807918E-06  2.501776E-03  2.959233E-03  1.526601E-03  6.169455E-06  1.042675E-05  1.197323E-02  1.626760E-02  1.222667E-02  3.329781E-05  4.998126E-04  5.014731E-04  1.184292E-02  1.028579E-04  1.399998E-04  1.709213E-04  7.328642E-03  1.419869E-03  3.559693E-03  2.212309E-02  3.259497E-03  1.380962E-02  1.883194E-03  1.825237E-02  1.621813E-02  7.025727E-03  2.684104E-04  3.402154E-04  1.352788E-02  3.131017E-03  5.037886E-04  1.534623E-03  2.088455E-02  1.834221E-02  1.138106E-02  4.387412E-03  1.271439E-02  4.144956E-02  2.815664E-02  2.012245E-02  2.270715E-02  5.450880E-03  4.248018E-04  6.711629E-03  9.735519E-03  3.027835E-02  4.161256E-02  1.060673E-02  1.657966E-02  6.176762E-03  3.379532E-02  5.321754E-02  5.497625E-02  5.432543E-02
 2.761500E+02  1.309294E-03  2.934564E-04  6.461728E-04  3.934738E-02  3.950363E-02  1.245250E-01  4.046801E-02  1.923933E-02  1.164231E-02  1.552762E-02  5.614091E-03  2.319536E-02  3.021533E-04  6.385568E-05  1.251958E-04  1.967944E-06  2.548834E-03  3.036814E-03  1.550488E-03  6.488803E-06  1.095095E-05  1.190709E-02  1.616534E-02  1.227004E-02  3.387946E-05  5.060745E-04  5.077391E-04  1.201914E-02  1.090213E-04  1.483801E-04  1.787999E-04  7.460479E-03  1.437661E-03  3.603875E-03  2.247310E-02  3.245171E-03  1.370534E-02  1.871319E-03  1.810944E-02  1.610300E-02  6.981497E-03  2.800178E-04  3.550679E-04  1.374820E-02  3.158175E-03  5.080524E-04  1.550307E-03  2.067613E-02  1.817784E-02  1.134327E-02  4.376880E-03  1.260400E-02  4.205770E-02  2.856237E-02  2.032470E-02  2.262688E-02  5.412349E-03  4.247405E-04  6.685611E-03  9.692471E-03  3.051810E-02  4.192891E-02  1.051779E-02  1.643782E-02  6.127258E-03  3.336909E-02  5.281862E-02  5.419804E-02  5.372479E-02
 2.771500E+02  1.362787E-03  3.100287E-04  6.718081E-04  3.979669E-02  3.961126E-02  1.250432E-01  4.021815E-02  1.923393E-02  1.157861E-02  1.544528E-02  5.604355E-03  2.318818E-02  3.151637E-04  6.777763E-05  1.311963E-04  2.140740E-06  2.596191E-03  3.115576E-03  1.574392E-03  6.821495E-06  1.149636E-05  1.184007E-02  1.606218E-02  1.231150E-02  3.446219E-05  5.123019E-04  5.139703E-04  1.219503E-02  1.155032E-04  1.571929E-04  1.869720E-04  7.593085E-03  1.455389E-03  3.647889E-03  2.282368E-02  3.230562E-03  1.360073E-02  1.859339E-03  1.796617E-02  1.598733E-02  6.936920E-03  2.920258E-04  3.704394E-04  1.396946E-02  3.185050E-03  5.122682E-04  1.565882E-03  2.046861E-02  1.801378E-02  1.130442E-02  4.365892E-03  1.249375E-02  4.266752E-02  2.896907E-02  2.052569E-02  2.254481E-02  5.373719E-03  4.246266E-04  6.659081E-03  9.648768E-03  3.075553E-02  4.224197E-02  1.042910E-02  1.629639E-02  6.077819E-03  3.294794E-02  5.242039E-02  5.343095E-02  5.312973E-02
 2.781500E+02  1.418051E-03  3.274021E-04  6.982405E-04  4.024558E-02  3.971558E-02  1.255508E-01  3.996818E-02  1.922694E-02  1.151472E-02  1.536263E-02  5.594225E-03  2.317908E-02  3.286331E-04  7.190793E-05  1.374308E-04  2.327209E-06  2.643836E-03  3.195515E-03  1.598307E-03  7.167930E-06  1.206358E-05  1.177220E-02  1.595816E-02  1.235103E-02  3.504577E-05  5.184927E-04  5.201644E-04  1.237054E-02  1.223170E-04  1.664570E-04  1.954454E-04  7.726434E-03  1.473047E-03  3.691723E-03  2.317473E-02  3.215679E-03  1.349582E-02  1.847260E-03  1.782259E-02  1.587115E-02  6.892010E-03  3.044442E-04  3.863428E-04  1.419160E-02  3.211636E-03  5.164351E-04  1.581346E-03  2.026202E-02  1.785008E-02  1.126454E-02  4.354456E-03  1.238368E-02  4.327891E-02  2.937668E-02  2.072536E-02  2.246096E-02  5.334999E-03  4.244609E-04  6.632054E-03  9.604430E-03  3.099061E-02  4.255171E-02  1.034067E-02  1.615537E-02  6.028455E-03  3.253184E-02  5.202293E-02  5.267482E-02  5.254023E-02
 2.791500E+02  1.475129E-03  3.456084E-04  7.254871E-04  4.069399E-02  3.981662E-02  1.260480E-01  3.971812E-02  1.921837E-02  1.145065E-02  1.527970E-02  5.583712E-03  2.316809E-02  3.425737E-04  7.625580E-05  1.439060E-04  2.528308E-06  2.691759E-03  3.276626E-03  1.622225E-03  7.528510E-06  1.265321E-05  1.170350E-02  1.585329E-02  1.238863E-02  3.563001E-05  5.246446E-04  5.263193E-04  1.254559E-02  1.294770E-04  1.761913E-04  2.042283E-04  7.860502E-03  1.490632E-03  3.735365E-03  2.352615E-02  3.200527E-03  1.339064E-02  1.835084E-03  1.767874E-02  1.575448E-02  6.846781E-03  3.172829E-04  4.027912E-04  1.441460E-02  3.237927E-03  5.205521E-04  1.596694E-03  2.005637E-02  1.768674E-02  1.122365E-02  4.342579E-03  1.227380E-02  4.389177E-02  2.978512E-02  2.092368E-02  2.237539E-02  5.296198E-03  4.242438E-04  6.604540E-03  9.559473E-03  3.122331E-02  4.285808E-02  1.025251E-02  1.601479E-02  5.979173E-03  3.212072E-02  5.162629E-02  5.192951E-02  5.195628E-02
 2.801500E+02  1.534067E-03  3.646804E-04  7.535653E-04  4.114187E-02  3.991439E-02  1.265347E-01  3.946804E-02  1.920825E-02  1.138641E-02  1.519650E-02  5.572821E-03  2.315523E-02  3.569982E-04  8.083075E-05  1.506287E-04  2.745050E-06  2.739950E-03  3.358904E-03  1.646139E-03  7.903643E-06  1.326589E-05  1.163400E-02  1.574763E-02  1.242430E-02  3.621467E-05  5.307552E-04  5.324326E-04  1.272011E-02  1.369977E-04  1.864156E-04  2.133289E-04  7.995260E-03  1.508137E-03  3.778803E-03  2.387785E-02  3.185115E-03  1.328520E-02  1.822816E-03  1.753465E-02  1.563736E-02  6.801247E-03  3.305520E-04  4.197982E-04  1.463840E-02  3.263918E-03  5.246184E-04  1.611923E-03  1.985170E-02  1.752381E-02  1.118178E-02  4.330269E-03  1.216412E-02  4.450602E-02  3.019435E-02  2.112061E-02  2.228814E-02  5.257326E-03  4.239759E-04  6.576553E-03  9.513918E-03  3.145358E-02  4.316104E-02  1.016462E-02  1.587468E-02  5.929981E-03  3.171454E-02  5.123053E-02  5.119486E-02  5.137786E-02
 2.811500E+02  1.594908E-03  3.846518E-04  7.824923E-04  4.158917E-02  4.000891E-02  1.270110E-01  3.921798E-02  1.919661E-02  1.132203E-02  1.511305E-02  5.561562E-03  2.314055E-02  3.719191E-04  8.564265E-05  1.576059E-04  2.978513E-06  2.788397E-03  3.442343E-03  1.670040E-03  8.293741E-06  1.390224E-05  1.156373E-02  1.564120E-02  1.245804E-02  3.679956E-05  5.368226E-04  5.385022E-04  1.289406E-02  1.448940E-04  1.971505E-04  2.227553E-04  8.130683E-03  1.525559E-03  3.822023E-03  2.422974E-02  3.169447E-03  1.317954E-02  1.810460E-03  1.739035E-02  1.551983E-02  6.755422E-03  3.442616E-04  4.373770E-04  1.486298E-02  3.289603E-03  5.286332E-04  1.627030E-03  1.964801E-02  1.736129E-02  1.113893E-02  4.317535E-03  1.205466E-02  4.512156E-02  3.060429E-02  2.131611E-02  2.219925E-02  5.218392E-03  4.236580E-04  6.548105E-03  9.467782E-03  3.168142E-02  4.346056E-02  1.007703E-02  1.573503E-02  5.880889E-03  3.131325E-02  5.083570E-02  5.047073E-02  5.080494E-02
 2.821500E+02  1.657701E-03  4.055575E-04  8.122858E-04  4.203582E-02  4.010022E-02  1.274768E-01  3.896798E-02  1.918347E-02  1.125751E-02  1.502937E-02  5.549942E-03  2.312406E-02  3.873497E-04  9.070168E-05  1.648445E-04  3.229833E-06  2.837090E-03  3.526935E-03  1.693923E-03  8.699223E-06  1.456288E-05  1.149271E-02  1.553403E-02  1.248984E-02  3.738444E-05  5.428443E-04  5.445258E-04  1.306735E-02  1.531816E-04  2.084169E-04  2.325162E-04  8.266743E-03  1.542891E-03  3.865015E-03  2.458170E-02  3.153532E-03  1.307367E-02  1.798021E-03  1.724588E-02  1.540191E-02  6.709320E-03  3.584222E-04  4.555415E-04  1.508828E-02  3.314978E-03  5.325956E-04  1.642010E-03  1.944534E-02  1.719923E-02  1.109515E-02  4.304383E-03  1.194544E-02  4.573828E-02  3.101487E-02  2.151015E-02  2.210875E-02  5.179404E-03  4.232905E-04  6.519209E-03  9.421082E-03  3.190677E-02  4.375660E-02  9.989740E-03  1.559588E-02  5.831902E-03  3.091680E-02  5.044186E-02  4.975698E-02  5.023750E-02
