#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 2.731500E+02  4.251974E-02  5.428064E-03  9.972350E-03  5.903194E-01  5.801864E-01  1.820937E+00  6.065985E-01  2.832474E-01  1.741378E-01  2.321316E-01  8.301908E-02  3.415195E-01
 2.741500E+02  4.425408E-02  5.734974E-03  1.036313E-02  5.963177E-01  5.808231E-01  1.825604E+00  6.016431E-01  2.826354E-01  1.728403E-01  2.304420E-01  8.271672E-02  3.407715E-01
 2.751500E+02  4.604590E-02  6.056805E-03  1.076608E-02  6.023168E-01  5.814363E-01  1.830188E+00  5.967391E-01  2.820178E-01  1.715546E-01  2.287673E-01  8.241428E-02  3.400168E-01
 2.761500E+02  4.789630E-02  6.394124E-03  1.118143E-02  6.083149E-01  5.820257E-01  1.834687E+00  5.918864E-01  2.813950E-01  1.702808E-01  2.271075E-01  8.211188E-02  3.392560E-01
 2.771500E+02  4.980672E-02  6.747546E-03  1.160945E-02  6.143116E-01  5.825918E-01  1.839102E+00  5.870844E-01  2.807672E-01  1.690188E-01  2.254625E-01  8.180955E-02  3.384893E-01
 2.781500E+02  5.177861E-02  7.117704E-03  1.205041E-02  6.203063E-01  5.831346E-01  1.843434E+00  5.823321E-01  2.801344E-01  1.677682E-01  2.238320E-01  8.150728E-02  3.377167E-01
 2.791500E+02  5.381345E-02  7.505251E-03  1.250459E-02  6.262987E-01  5.836543E-01  1.847682E+00  5.776290E-01  2.794968E-01  1.665292E-01  2.222159E-01  8.120509E-02  3.369383E-01
 2.801500E+02  5.591273E-02  7.910861E-03  1.297226E-02  6.322882E-01  5.841513E-01  1.851849E+00  5.729742E-01  2.788543E-01  1.653013E-01  2.206139E-01  8.090299E-02  3.361543E-01
 2.811500E+02  5.807797E-02  8.335226E-03  1.345371E-02  6.382745E-01  5.846256E-01  1.855933E+00  5.683670E-01  2.782072E-01  1.640846E-01  2.190260E-01  8.060100E-02  3.353647E-01
 2.821500E+02  6.031072E-02  8.779059E-03  1.394923E-02  6.442570E-01  5.850775E-01  1.859935E+00  5.638068E-01  2.775553E-01  1.628789E-01  2.174519E-01  8.029913E-02  3.345696E-01
 2.831500E+02  6.261256E-02  9.243094E-03  1.445909E-02  6.502353E-01  5.855071E-01  1.863856E+00  5.592928E-01  2.768989E-01  1.616840E-01  2.158914E-01  7.999737E-02  3.337690E-01
 2.841500E+02  6.498506E-02  9.728087E-03  1.498358E-02  6.562090E-01  5.859147E-01  1.867697E+00  5.548243E-01  2.762380E-01  1.604997E-01  2.143444E-01  7.969574E-02  3.329632E-01
