#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 2.731500E+02  1.716297E-03  4.382045E-04  1.207593E-03  9.531230E-02  1.170953E-01  3.675081E-01  1.469110E-01  6.859920E-02  4.217414E-02  5.621955E-02  2.010625E-02  8.271203E-02
 2.741500E+02  1.786563E-03  4.630484E-04  1.255097E-03  9.629476E-02  1.172408E-01  3.685035E-01  1.457321E-01  6.846092E-02  4.186598E-02  5.581846E-02  2.003593E-02  8.254285E-02
 2.751500E+02  1.859171E-03  4.891048E-04  1.304089E-03  9.727769E-02  1.173817E-01  3.694825E-01  1.445653E-01  6.832129E-02  4.156062E-02  5.542089E-02  1.996558E-02  8.237206E-02
 2.761500E+02  1.934167E-03  5.164199E-04  1.354599E-03  9.826081E-02  1.175179E-01  3.704450E-01  1.434107E-01  6.818040E-02  4.125807E-02  5.502685E-02  1.989524E-02  8.219980E-02
 2.771500E+02  2.011610E-03  5.450441E-04  1.406659E-03  9.924405E-02  1.176495E-01  3.713911E-01  1.422681E-01  6.803830E-02  4.095830E-02  5.463630E-02  1.982490E-02  8.202609E-02
 2.781500E+02  2.091560E-03  5.750291E-04  1.460304E-03  1.002273E-01  1.177765E-01  3.723209E-01  1.411373E-01  6.789499E-02  4.066127E-02  5.424920E-02  1.975457E-02  8.185095E-02
 2.791500E+02  2.174079E-03  6.064286E-04  1.515567E-03  1.012106E-01  1.178990E-01  3.732345E-01  1.400182E-01  6.775050E-02  4.036695E-02  5.386550E-02  1.968425E-02  8.167442E-02
 2.801500E+02  2.259227E-03  6.392974E-04  1.572484E-03  1.021937E-01  1.180170E-01  3.741319E-01  1.389106E-01  6.760484E-02  4.007530E-02  5.348517E-02  1.961395E-02  8.149652E-02
 2.811500E+02  2.347068E-03  6.736923E-04  1.631089E-03  1.031767E-01  1.181305E-01  3.750132E-01  1.378143E-01  6.745805E-02  3.978629E-02  5.310815E-02  1.954366E-02  8.131727E-02
 2.821500E+02  2.437666E-03  7.096718E-04  1.691418E-03  1.041595E-01  1.182396E-01  3.758785E-01  1.367292E-01  6.731013E-02  3.949987E-02  5.273441E-02  1.947340E-02  8.113669E-02
 2.831500E+02  2.531085E-03  7.472960E-04  1.753507E-03  1.051419E-01  1.183443E-01  3.767279E-01  1.356550E-01  6.716111E-02  3.921602E-02  5.236389E-02  1.940315E-02  8.095480E-02
 2.841500E+02  2.627392E-03  7.866268E-04  1.817391E-03  1.061240E-01  1.184447E-01  3.775615E-01  1.345916E-01  6.701099E-02  3.893470E-02  5.199657E-02  1.933293E-02  8.077162E-02
 2.851500E+02  2.726653E-03  8.277280E-04  1.883107E-03  1.071056E-01  1.185408E-01  3.783792E-01  1.335389E-01  6.685980E-02  3.865587E-02  5.163238E-02  1.926273E-02  8.058717E-02
