#         T/K          A/kJ          G/kJ
  2.731500000000E+02   4.945497860719E+01   4.945878118656E+01
  2.741500000000E+02   4.934069749549E+01   4.934450082917E+01
  2.751500000000E+02   4.922615069138E+01   4.922995478743E+01
  2.761500000000E+02   4.911133770026E+01   4.911514256670E+01
  2.771500000000E+02   4.899625804673E+01   4.900006369162E+01
  2.781500000000E+02   4.888091127690E+01   4.888471770825E+01
  2.791500000000E+02   4.876529695994E+01   4.876910418578E+01
  2.801500000000E+02   4.864941468978E+01   4.865322271809E+01
  2.811500000000E+02   4.853326408641E+01   4.853707292516E+01
  2.821500000000E+02   4.841684479754E+01   4.842065445463E+01
  2.831500000000E+02   4.830015649953E+01   4.830396698285E+01
  2.841500000000E+02   4.818319889878E+01   4.818701021613E+01
  2.851500000000E+02   4.806597173200E+01   4.806978389114E+01
  2.861500000000E+02   4.794847476827E+01   4.795228777689E+01
  2.871500000000E+02   4.783070780843E+01   4.783452167413E+01
  2.881500000000E+02   4.771267068618E+01   4.771648541650E+01
  2.891500000000E+02   4.759436326829E+01   4.759817887068E+01
  2.901500000000E+02   4.747578545463E+01   4.747960193645E+01
  2.911500000000E+02   4.735693717835E+01   4.736075454689E+01
  2.921500000000E+02   4.723781840551E+01   4.724163666794E+01
  2.931500000000E+02   4.711842913504E+01   4.712224829844E+01
  2.941500000000E+02   4.699876939684E+01   4.700258946822E+01
  2.951500000000E+02   4.687883925386E+01   4.688266024010E+01
  2.961500000000E+02   4.675863879848E+01   4.676246070641E+01
  2.971500000000E+02   4.663816815292E+01   4.664199098924E+01
  2.981500000000E+02   4.651742746798E+01   4.652125123932E+01
  2.991500000000E+02   4.639641692089E+01   4.640024163377E+01
  3.001500000000E+02   4.627513671572E+01   4.627896237661E+01
  3.011500000000E+02   4.615358708009E+01   4.615741369537E+01
  3.021500000000E+02   4.603176826444E+01   4.603559584041E+01
  3.031500000000E+02   4.590968054041E+01   4.591350908330E+01
  3.041500000000E+02   4.578732419782E+01   4.579115371380E+01
  3.051500000000E+02   4.566469954524E+01   4.566853004045E+01
  3.061500000000E+02   4.554180690573E+01   4.554563838623E+01
  3.071500000000E+02   4.541864661596E+01   4.542247908779E+01
  3.081500000000E+02   4.529521902406E+01   4.529905249324E+01
  3.091500000000E+02   4.517152448760E+01   4.517535896010E+01
  3.101500000000E+02   4.504756337136E+01   4.505139885317E+01
  3.111500000000E+02   4.492333604562E+01   4.492717254272E+01
  3.121500000000E+02   4.479884288379E+01   4.480268040218E+01
  3.131500000000E+02   4.467408426054E+01   4.467792280621E+01
  3.141500000000E+02   4.454906054984E+01   4.455290012885E+01
  3.151500000000E+02   4.442377212232E+01   4.442761274074E+01
  3.161500000000E+02   4.429821934468E+01   4.430206100864E+01
  3.171500000000E+02   4.417240257638E+01   4.417624529209E+01
  3.181500000000E+02   4.404632216846E+01   4.405016594220E+01
  3.191500000000E+02   4.391997846160E+01   4.392382329972E+01
  3.201500000000E+02   4.379337178433E+01   4.379721769330E+01
  3.211500000000E+02   4.366650245124E+01   4.367034943762E+01
  3.221500000000E+02   4.353937076155E+01   4.354321883204E+01
  3.231500000000E+02   4.341197699731E+01   4.341582615873E+01
  3.241500000000E+02   4.328432142197E+01   4.328817168129E+01
  3.251500000000E+02   4.315640427969E+01   4.316025564404E+01
  3.261500000000E+02   4.302822579012E+01   4.303207826678E+01
  3.271500000000E+02   4.289978615475E+01   4.290363975118E+01
  3.281500000000E+02   4.277108554801E+01   4.277494027186E+01
  3.291500000000E+02   4.264212412281E+01   4.264597998194E+01
  3.301500000000E+02   4.251290199390E+01   4.251675899638E+01
  3.311500000000E+02   4.238341926659E+01   4.238727742069E+01
  3.321500000000E+02   4.225367600593E+01   4.225753532016E+01
  3.331500000000E+02   4.212367225043E+01   4.212753273356E+01
  3.341500000000E+02   4.199340800890E+01   4.199726966992E+01
  3.351500000000E+02   4.186288325892E+01   4.186674610711E+01
  3.361500000000E+02   4.173209794783E+01   4.173596199273E+01
  3.371500000000E+02   4.160105198517E+01   4.160491723659E+01
  3.381500000000E+02   4.146974525558E+01   4.147361172364E+01
  3.391500000000E+02   4.133817760546E+01   4.134204530056E+01
  3.401500000000E+02   4.120634884525E+01   4.121021777813E+01
  3.411500000000E+02   3.822251617537E+01   4.104852399029E+01
  3.421500000000E+02   3.797199927675E+01   4.080646393044E+01
  3.431500000000E+02   3.772134505745E+01   4.056426408390E+01
  3.441500000000E+02   3.747055371934E+01   4.032192470645E+01
  3.451500000000E+02   3.721962546269E+01   4.007944605084E+01
  3.461500000000E+02   3.696856048621E+01   3.983682836677E+01
  3.471500000000E+02   3.671735898703E+01   3.959407190106E+01
  3.481500000000E+02   3.646602116075E+01   3.935117689764E+01
  3.491500000000E+02   3.621454720146E+01   3.910814359766E+01
  3.501500000000E+02   3.596293730175E+01   3.886497223953E+01
  3.511500000000E+02   3.571119165272E+01   3.862166305900E+01
  3.521500000000E+02   3.545931044405E+01   3.837821628922E+01
  3.531500000000E+02   3.520729386395E+01   3.813463216079E+01
  3.541500000000E+02   3.495514209925E+01   3.789091090181E+01
  3.551500000000E+02   3.470285533536E+01   3.764705273796E+01
  3.561500000000E+02   3.445043375635E+01   3.740305789253E+01
  3.571500000000E+02   3.419787754492E+01   3.715892658648E+01
  3.581500000000E+02   3.394518688244E+01   3.691465903849E+01
  3.591500000000E+02   3.369236194898E+01   3.667025546500E+01
  3.601500000000E+02   3.343940292330E+01   3.642571608028E+01
  3.611500000000E+02   3.318630998291E+01   3.618104109644E+01
  3.621500000000E+02   3.293308330406E+01   3.593623072353E+01
  3.631500000000E+02   3.267972306177E+01   3.569128516952E+01
  3.641500000000E+02   3.242622942982E+01   3.544620464037E+01
  3.651500000000E+02   3.217260258084E+01   3.520098934010E+01
  3.661500000000E+02   3.191884268623E+01   3.495563947078E+01
  3.671500000000E+02   3.166494991626E+01   3.471015523258E+01
  3.681500000000E+02   3.141092444005E+01   3.446453682386E+01
  3.691500000000E+02   3.115676642560E+01   3.421878444112E+01
  3.701500000000E+02   3.090247603977E+01   3.397289827912E+01
  3.711500000000E+02   3.064805344836E+01   3.372687853084E+01
  3.721500000000E+02   3.039349881607E+01   3.348072538759E+01
  3.731500000000E+02   3.013881230656E+01   3.323443903896E+01
  3.741500000000E+02   2.988399408241E+01   3.298801967293E+01
  3.751500000000E+02   2.962904430521E+01   3.274146747585E+01
  3.761500000000E+02   2.937396313551E+01   3.249478263250E+01
  3.771500000000E+02   2.911875073285E+01   3.224796532609E+01
  3.781500000000E+02   2.886340725581E+01   3.200101573833E+01
  3.791500000000E+02   2.860793286197E+01   3.175393404941E+01
  3.801500000000E+02   2.835232770798E+01   3.150672043807E+01
  3.811500000000E+02   2.809659194952E+01   3.125937508161E+01
  3.821500000000E+02   2.784072574136E+01   3.101189815591E+01
  3.831500000000E+02   2.758472923734E+01   3.076428983547E+01
  3.841500000000E+02   2.732860259040E+01   3.051655029341E+01
  3.851500000000E+02   2.707234595258E+01   3.026867970154E+01
  3.861500000000E+02   2.681595947505E+01   3.002067823032E+01
  3.871500000000E+02   2.655944330811E+01   2.977254604896E+01
  3.881500000000E+02   2.630279760122E+01   2.952428332538E+01
  3.891500000000E+02   2.604602250296E+01   2.927589022625E+01
  3.901500000000E+02   2.578911816113E+01   2.902736691703E+01
  3.911500000000E+02   2.553208472266E+01   2.877871356197E+01
  3.921500000000E+02   2.527492233370E+01   2.852993032414E+01
  3.931500000000E+02   2.501763113961E+01   2.828101736546E+01
  3.941500000000E+02   2.476021128494E+01   2.803197484668E+01
  3.951500000000E+02   2.450266291349E+01   2.778280292748E+01
  3.961500000000E+02   2.424498616827E+01   2.753350176638E+01
  3.971500000000E+02   2.398718119155E+01   2.728407152085E+01
  3.981500000000E+02   2.372924812486E+01   2.703451234730E+01
  3.991500000000E+02   2.347118710899E+01   2.678482440107E+01
