#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  5.326092E+01  5.326190E+01
 2.741500E+02  5.333989E+01  5.334087E+01
 2.751500E+02  5.341873E+01  5.341972E+01
 2.761500E+02  5.349743E+01  5.349845E+01
 2.771500E+02  5.357601E+01  5.357704E+01
 2.781500E+02  5.365446E+01  5.365550E+01
 2.791500E+02  5.373277E+01  5.373382E+01
 2.801500E+02  5.381095E+01  5.381202E+01
 2.811500E+02  5.388899E+01  5.389007E+01
 2.821500E+02  5.396689E+01  5.396799E+01
 2.831500E+02  5.404465E+01  5.404577E+01
 2.841500E+02  5.412227E+01  5.412340E+01
 2.851500E+02  5.419976E+01  5.420090E+01
 2.861500E+02  5.427710E+01  5.427826E+01
 2.871500E+02  5.435430E+01  5.435547E+01
 2.881500E+02  5.443136E+01  5.443255E+01
 2.891500E+02  5.450828E+01  5.450948E+01
 2.901500E+02  5.458506E+01  5.458628E+01
 2.911500E+02  5.466169E+01  5.466293E+01
 2.921500E+02  5.473819E+01  5.473945E+01
 2.931500E+02  5.481456E+01  5.481583E+01
 2.941500E+02  5.489078E+01  5.489207E+01
 2.951500E+02  5.496687E+01  5.496817E+01
 2.961500E+02  5.504283E+01  5.504415E+01
 2.971500E+02  5.511865E+01  5.511999E+01
 2.981500E+02  5.519435E+01  5.519570E+01
 2.991500E+02  5.526991E+01  5.527128E+01
 3.001500E+02  5.534535E+01  5.534673E+01
 3.011500E+02  5.542067E+01  5.542207E+01
 3.021500E+02  5.549586E+01  5.549728E+01
 3.031500E+02  5.557094E+01  5.557237E+01
 3.041500E+02  5.564589E+01  5.564734E+01
 3.051500E+02  5.572074E+01  5.572220E+01
 3.061500E+02  5.579547E+01  5.579695E+01
 3.071500E+02  5.587010E+01  5.587159E+01
 3.081500E+02  5.594462E+01  5.594613E+01
 3.091500E+02  5.601904E+01  5.602057E+01
 3.101500E+02  5.609336E+01  5.609490E+01
 3.111500E+02  5.616758E+01  5.616914E+01
 3.121500E+02  5.624171E+01  5.624328E+01
 3.131500E+02  5.631575E+01  5.631734E+01
 3.141500E+02  5.638970E+01  5.639130E+01
 3.151500E+02  5.646356E+01  5.646518E+01
 3.161500E+02  5.653734E+01  5.653898E+01
 3.171500E+02  5.661104E+01  5.661269E+01
 3.181500E+02  5.668467E+01  5.668633E+01
 3.191500E+02  5.675822E+01  5.675990E+01
 3.201500E+02  5.683169E+01  5.683339E+01
 3.211500E+02  5.690510E+01  5.690680E+01
 3.221500E+02  5.697843E+01  5.698015E+01
 3.231500E+02  5.705170E+01  5.705343E+01
 3.241500E+02  5.712490E+01  5.712665E+01
 3.251500E+02  5.719803E+01  5.719980E+01
 3.261500E+02  5.727110E+01  5.727288E+01
 3.271500E+02  5.734411E+01  5.734590E+01
 3.281500E+02  5.741705E+01  5.741886E+01
 3.291500E+02  5.748993E+01  5.749176E+01
 3.301500E+02  5.756275E+01  5.756459E+01
 3.311500E+02  5.763550E+01  5.763736E+01
 3.321500E+02  5.770820E+01  5.771007E+01
 3.331500E+02  5.778082E+01  5.778271E+01
 3.341500E+02  5.785338E+01  5.785529E+01
 3.351500E+02  5.792588E+01  5.792779E+01
 3.361500E+02  5.799830E+01  5.800023E+01
 3.371500E+02  5.807066E+01  5.807260E+01
 3.381500E+02  5.814293E+01  5.814490E+01
 3.391500E+02  5.821514E+01  5.821712E+01
 3.401500E+02  5.828726E+01  1.473022E+03
 3.411500E+02  4.396883E+01  1.462900E+03
 3.421500E+02  4.405436E+01  5.244884E+01
 3.431500E+02  4.413996E+01  5.253287E+01
 3.441500E+02  4.422564E+01  5.261702E+01
 3.451500E+02  4.431138E+01  5.270127E+01
 3.461500E+02  4.439719E+01  5.278563E+01
 3.471500E+02  4.448307E+01  5.287008E+01
 3.481500E+02  4.456900E+01  5.295464E+01
 3.491500E+02  4.465500E+01  5.303928E+01
 3.501500E+02  4.474105E+01  5.312402E+01
 3.511500E+02  4.482716E+01  5.320884E+01
 3.521500E+02  4.491332E+01  5.329375E+01
 3.531500E+02  4.499953E+01  5.337873E+01
 3.541500E+02  4.508579E+01  5.346379E+01
 3.551500E+02  4.517209E+01  5.354893E+01
 3.561500E+02  4.525844E+01  5.363414E+01
 3.571500E+02  4.534483E+01  5.371941E+01
 3.581500E+02  4.543125E+01  5.380475E+01
 3.591500E+02  4.551772E+01  5.389015E+01
 3.601500E+02  4.560422E+01  5.397561E+01
 3.611500E+02  4.569075E+01  5.406113E+01
 3.621500E+02  4.577731E+01  5.414670E+01
 3.631500E+02  4.586389E+01  5.423232E+01
 3.641500E+02  4.595051E+01  5.431798E+01
 3.651500E+02  4.603715E+01  5.440370E+01
 3.661500E+02  4.612381E+01  5.448945E+01
 3.671500E+02  4.621049E+01  5.457525E+01
 3.681500E+02  4.629719E+01  5.466108E+01
 3.691500E+02  4.638390E+01  5.474695E+01
 3.701500E+02  4.647063E+01  5.483285E+01
 3.711500E+02  4.655737E+01  5.491878E+01
 3.721500E+02  4.664413E+01  5.500474E+01
 3.731500E+02  4.673089E+01  5.509072E+01
 3.741500E+02  4.681765E+01  5.517673E+01
 3.751500E+02  4.690442E+01  5.526276E+01
 3.761500E+02  4.699120E+01  5.534881E+01
 3.771500E+02  4.707797E+01  5.543487E+01
 3.781500E+02  4.716475E+01  5.552095E+01
 3.791500E+02  4.725152E+01  5.560704E+01
 3.801500E+02  4.733829E+01  5.569314E+01
 3.811500E+02  4.742505E+01  5.577925E+01
 3.821500E+02  4.751181E+01  5.586536E+01
 3.831500E+02  4.759855E+01  5.595148E+01
 3.841500E+02  4.768529E+01  5.603760E+01
 3.851500E+02  4.777201E+01  5.612372E+01
 3.861500E+02  4.785872E+01  5.620984E+01
 3.871500E+02  4.794541E+01  5.629596E+01
 3.881500E+02  4.803209E+01  5.638206E+01
 3.891500E+02  4.811874E+01  5.646817E+01
 3.901500E+02  4.820538E+01  5.655426E+01
 3.911500E+02  4.829200E+01  5.664034E+01
 3.921500E+02  4.837859E+01  5.672641E+01
 3.931500E+02  4.846515E+01  5.681246E+01
 3.941500E+02  4.855169E+01  5.689850E+01
 3.951500E+02  4.863820E+01  5.698452E+01
 3.961500E+02  4.872469E+01  5.707052E+01
 3.971500E+02  4.881114E+01  5.715649E+01
 3.981500E+02  4.889756E+01  5.724245E+01
 3.991500E+02  4.898394E+01  5.732861E+01
