#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        c1w1-2        c1w2-1        c1w3-1        c1w4-1        c1w4-3        c1w5-7        c2w1-1        c2w1-9        c2w2-1        c2w3-1        c2w3-6        c2w4-6        c2w4-8        c3w1-5        c3w2-2        c3w2-8        c3w3-2        c3w3-5        c3w3-9        c4w1-2        c4w1-5        c4w1-6        c4w1-9        c4w2-6        c4w2-7        c5w1-5
 2.731500E+02  4.112911E-01  1.710724E-01  2.511924E-02  3.296961E-02  3.668131E-02  4.373790E-02  2.637385E-02  1.102858E-02  1.472863E-04  1.034225E-02  2.201736E-02  2.302913E-02  3.222526E-02  2.993825E-03  2.430714E-02  1.869024E-02  1.335767E-02  1.751563E-02  1.060810E-03  1.335975E-02  1.871712E-03  3.556176E-03  4.989694E-05  8.276802E-02  9.648033E-02  5.685188E-02  2.140906E-04  3.628724E-04  5.421510E-01  7.377523E-01  5.435586E-01  1.439668E-03  2.182421E-02  2.189817E-02  5.146919E-01  4.049894E+00  4.158011E-02  5.498655E-03  3.580545E-01  1.217975E-01  2.073489E-01  3.446620E-02  3.026497E-02  4.303010E-02  1.201679E-02  1.259757E-02  6.891891E-02  1.332876E-01  1.320696E-02  4.952521E-02  1.133741E-02  8.443818E-04  3.383574E-03  4.727474E-03  9.906193E-04  9.892319E-04  3.851221E-03  2.631997E-04  7.872852E-03  1.307821E-02  1.119773E-03
 2.741500E+02  4.164530E-01  1.706653E-01  2.439966E-02  3.203599E-02  3.564525E-02  4.251593E-02  2.478583E-02  1.039980E-02  1.394351E-04  9.751327E-03  2.078068E-02  2.172125E-02  3.037347E-02  2.692152E-03  2.207359E-02  1.696565E-02  1.214466E-02  1.525914E-02  9.259159E-04  1.402403E-02  1.995713E-03  3.734386E-03  5.443366E-05  8.424717E-02  9.892803E-02  5.755756E-02  2.245653E-04  3.800737E-04  5.360901E-01  7.289321E-01  5.424545E-01  1.456955E-03  2.197710E-02  2.205085E-02  5.195237E-01  4.168300E+00  4.266754E-02  5.588784E-03  3.532393E-01  1.207353E-01  2.039190E-01  3.465098E-02  3.040098E-02  4.250706E-02  1.181731E-02  1.237291E-02  6.547566E-02  1.278138E-01  1.286160E-02  4.766565E-02  1.091870E-02  8.059116E-04  3.234479E-03  4.509441E-03  9.401515E-04  9.306181E-04  3.620394E-03  2.487047E-04  7.327175E-03  1.214498E-02  1.011119E-03
 2.751500E+02  4.212192E-01  1.699550E-01  2.364393E-02  3.105418E-02  3.455538E-02  4.122889E-02  2.322454E-02  9.777626E-03  1.316053E-04  9.166761E-03  1.955486E-02  2.042652E-02  2.854283E-02  2.412550E-03  1.997489E-02  1.534618E-02  1.100294E-02  1.324003E-02  8.049224E-04  1.471409E-02  2.126740E-03  3.919909E-03  5.934278E-05  8.573908E-02  1.014167E-01  5.826745E-02  2.354763E-04  3.979690E-04  5.301643E-01  7.203155E-01  5.413865E-01  1.474399E-03  2.213127E-02  2.220480E-02  5.243944E-01  4.285222E+00  4.373574E-02  5.674813E-03  3.482313E-01  1.195901E-01  2.004110E-01  3.477447E-02  3.048319E-02  4.192230E-02  1.160319E-02  1.213361E-02  6.212534E-02  1.224017E-01  1.249570E-02  4.577346E-02  1.049188E-02  7.675529E-04  3.085315E-03  4.292311E-03  8.895957E-04  8.729271E-04  3.393508E-03  2.343148E-04  6.800252E-03  1.124700E-02  9.098858E-04
 2.761500E+02  4.255687E-01  1.689468E-01  2.285744E-02  3.003120E-02  3.341952E-02  3.988606E-02  2.169838E-02  9.165738E-03  1.238478E-04  8.591996E-03  1.834731E-02  1.915264E-02  2.674403E-02  2.154706E-03  1.801360E-02  1.383361E-02  9.934202E-03  1.144307E-02  6.969891E-04  1.543010E-02  2.265063E-03  4.112904E-03  6.465043E-05  8.724304E-02  1.039459E-01  5.898163E-02  2.468386E-04  4.165819E-04  5.243751E-01  7.119039E-01  5.403592E-01  1.492014E-03  2.228696E-02  2.236027E-02  5.293097E-01  4.400323E+00  4.478199E-02  5.756569E-03  3.430463E-01  1.183665E-01  1.968356E-01  3.483660E-02  3.051169E-02  4.127953E-02  1.137572E-02  1.188104E-02  5.887368E-02  1.170673E-01  1.211202E-02  4.386023E-02  1.005960E-02  7.294990E-04  2.936868E-03  4.077159E-03  8.393007E-04  8.164764E-04  3.171783E-03  2.201195E-04  6.293997E-03  1.038716E-02  8.160530E-04
 2.771500E+02  4.294892E-01  1.676491E-01  2.204558E-02  2.897414E-02  3.224555E-02  3.849681E-02  2.021454E-02  8.567368E-03  1.162085E-04  8.030055E-03  1.716459E-02  1.790638E-02  2.498643E-02  1.918052E-03  1.619000E-02  1.242804E-02  8.938898E-03  9.851977E-03  6.012001E-04  1.617246E-02  2.410987E-03  4.313575E-03  7.038491E-05  8.875890E-02  1.065157E-01  5.970032E-02  2.586684E-04  4.359374E-04  5.187227E-01  7.036967E-01  5.393763E-01  1.509815E-03  2.244434E-02  2.251744E-02  5.342739E-01  4.513323E+00  4.580401E-02  5.833912E-03  3.376994E-01  1.170690E-01  1.932022E-01  3.483784E-02  3.048702E-02  4.058269E-02  1.113614E-02  1.161655E-02  5.572492E-02  1.118240E-01  1.171328E-02  4.193665E-02  9.624318E-03  6.919178E-04  2.789826E-03  3.864916E-03  7.895771E-04  7.615351E-04  2.956250E-03  2.061970E-04  5.809836E-03  9.567526E-03  7.294979E-04
 2.781500E+02  4.329724E-01  1.660733E-01  2.121392E-02  2.789026E-02  3.104154E-02  3.707073E-02  1.877946E-02  7.985451E-03  1.087297E-04  7.483682E-03  1.601267E-02  1.669393E-02  2.327852E-02  1.701868E-03  1.450296E-02  1.112844E-02  8.016683E-03  8.450268E-03  5.166221E-04  1.694157E-02  2.564826E-03  4.522126E-03  7.657621E-05  9.028650E-02  1.091262E-01  6.042367E-02  2.709821E-04  4.560611E-04  5.132062E-01  6.956919E-01  5.384401E-01  1.527812E-03  2.260356E-02  2.267644E-02  5.392906E-01  4.623964E+00  4.679974E-02  5.906736E-03  3.322066E-01  1.157023E-01  1.895201E-01  3.477922E-02  3.041022E-02  3.983609E-02  1.088578E-02  1.134155E-02  5.268272E-02  1.066843E-01  1.130230E-02  4.001318E-02  9.188446E-03  6.549669E-04  2.644839E-03  3.656454E-03  7.407146E-04  7.083436E-04  2.747825E-03  1.926187E-04  5.348905E-03  8.789686E-03  6.500364E-04
 2.791500E+02  4.360132E-01  1.642331E-01  2.036802E-02  2.678688E-02  2.981563E-02  3.561755E-02  1.739868E-02  7.422584E-03  1.014497E-04  6.955305E-03  1.489687E-02  1.552073E-02  2.162776E-02  1.505304E-03  1.294999E-02  9.932758E-03  7.166464E-03  7.221568E-03  4.423187E-04  1.773783E-02  2.726903E-03  4.738763E-03  8.325608E-05  9.182563E-02  1.117776E-01  6.115180E-02  2.837966E-04  4.769787E-04  5.078240E-01  6.878866E-01  5.375521E-01  1.546013E-03  2.276473E-02  2.283740E-02  5.443626E-01  4.732016E+00  4.776737E-02  5.974967E-03  3.265843E-01  1.142716E-01  1.857988E-01  3.466233E-02  3.028279E-02  3.904440E-02  1.062601E-02  1.105752E-02  4.975012E-02  1.016597E-01  1.088192E-02  3.809987E-02  8.754302E-03  6.187915E-04  2.502511E-03  3.452572E-03  6.929778E-04  6.571100E-04  2.547296E-03  1.794483E-04  4.912044E-03  8.054720E-03  5.774302E-04
 2.801500E+02  4.386107E-01  1.621444E-01  1.951339E-02  2.567124E-02  2.857587E-02  3.414687E-02  1.607683E-02  6.880996E-03  9.440231E-05  6.447004E-03  1.382179E-02  1.439147E-02  2.004057E-02  1.327397E-03  1.152739E-02  8.838034E-03  6.386464E-03  6.149803E-03  3.773644E-04  1.856163E-02  2.897550E-03  4.963696E-03  9.045815E-05  9.337604E-02  1.144697E-01  6.188474E-02  2.971286E-04  4.987164E-04  5.025733E-01  6.802764E-01  5.367130E-01  1.564425E-03  2.292791E-02  2.300037E-02  5.494918E-01  4.837278E+00  4.870538E-02  6.038562E-03  3.208491E-01  1.127821E-01  1.820474E-01  3.448924E-02  3.010667E-02  3.821252E-02  1.035823E-02  1.076593E-02  4.692947E-02  9.676057E-02  1.045497E-02  3.620622E-02  8.324087E-03  5.835230E-04  2.363393E-03  3.253990E-03  6.466022E-04  6.080081E-04  2.355316E-03  1.667409E-04  4.499800E-03  7.363225E-03  5.113940E-04
 2.811500E+02  4.407671E-01  1.598251E-01  1.865539E-02  2.455036E-02  2.733011E-02  3.266803E-02  1.481756E-02  6.362526E-03  8.761642E-05  5.960491E-03  1.279125E-02  1.331005E-02  1.852218E-02  1.167095E-03  1.023040E-02  7.840486E-03  5.674306E-03  5.219403E-03  3.208567E-04  1.941337E-02  3.077108E-03  5.197135E-03  9.821799E-05  9.493747E-02  1.172026E-01  6.262248E-02  3.109953E-04  5.213003E-04  4.974509E-01  6.728563E-01  5.359223E-01  1.583051E-03  2.309314E-02  2.316540E-02  5.546792E-01  4.939579E+00  4.961252E-02  6.097511E-03  3.150179E-01  1.112393E-01  1.782751E-01  3.426249E-02  2.988419E-02  3.734552E-02  1.008386E-02  1.046827E-02  4.422249E-02  9.199630E-02  1.002421E-02  3.434102E-02  7.899846E-03  5.492769E-04  2.227975E-03  3.061343E-03  6.017919E-04  5.611764E-04  2.172401E-03  1.545428E-04  4.112437E-03  6.715334E-03  4.516036E-04
 2.821500E+02  4.424883E-01  1.572943E-01  1.779910E-02  2.343097E-02  2.608580E-02  3.118998E-02  1.362357E-02  5.868613E-03  8.111575E-05  5.497107E-03  1.180828E-02  1.227951E-02  1.707668E-02  1.023287E-03  9.053395E-03  6.935666E-03  5.027110E-03  4.415475E-03  2.719273E-04  2.029347E-02  3.265927E-03  5.439293E-03  1.065732E-04  9.650957E-02  1.199761E-01  6.336494E-02  3.254137E-04  5.447569E-04  4.924527E-01  6.656199E-01  5.351788E-01  1.601891E-03  2.326041E-02  2.333246E-02  5.599247E-01  5.038779E+00  5.048782E-02  6.151835E-03  3.091074E-01  1.096486E-01  1.744907E-01  3.398499E-02  2.961801E-02  3.644855E-02  9.804307E-03  1.016601E-02  4.163019E-02  8.737482E-02  9.592278E-03  3.251232E-02  7.483447E-03  5.161528E-04  2.096683E-03  2.875171E-03  5.587179E-04  5.167180E-04  1.998928E-03  1.428909E-04  3.749950E-03  6.110742E-03  3.977049E-04
