#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  2.351979E+01  2.352300E+01  1.184223E+02
 2.741500E+02  2.367224E+01  2.367545E+01  1.189794E+02
 2.751500E+02  2.382282E+01  2.382603E+01  1.195277E+02
 2.761500E+02  2.397128E+01  2.397449E+01  1.200662E+02
 2.771500E+02  2.411741E+01  2.412062E+01  1.205945E+02
 2.781500E+02  2.426104E+01  2.426426E+01  1.211118E+02
 2.791500E+02  2.440204E+01  2.440526E+01  1.216178E+02
 2.801500E+02  2.454027E+01  2.454349E+01  1.221121E+02
 2.811500E+02  2.467564E+01  2.467886E+01  1.225945E+02
 2.821500E+02  2.480809E+01  2.481132E+01  1.230648E+02
 2.831500E+02  2.493758E+01  2.494081E+01  1.235229E+02
 2.841500E+02  2.506410E+01  2.506732E+01  1.239689E+02
 2.851500E+02  2.518764E+01  2.519087E+01  1.244029E+02
 2.861500E+02  2.530824E+01  2.531147E+01  1.248252E+02
 2.871500E+02  2.542596E+01  2.542918E+01  1.252358E+02
 2.881500E+02  2.554083E+01  2.554406E+01  1.256352E+02
 2.891500E+02  2.565297E+01  2.565620E+01  1.260237E+02
 2.901500E+02  2.576244E+01  2.576567E+01  1.264016E+02
 2.911500E+02  2.586934E+01  2.587258E+01  1.267695E+02
 2.921500E+02  2.597379E+01  2.597702E+01  1.271276E+02
 2.931500E+02  2.607587E+01  2.607911E+01  1.274764E+02
 2.941500E+02  2.617571E+01  2.617895E+01  1.278164E+02
 2.951500E+02  2.627341E+01  2.627665E+01  1.281480E+02
 2.961500E+02  2.636909E+01  2.637233E+01  1.284716E+02
 2.971500E+02  2.646285E+01  2.646609E+01  1.287877E+02
 2.981500E+02  2.655480E+01  2.655804E+01  1.290966E+02
 2.991500E+02  2.664504E+01  2.664828E+01  1.293988E+02
 3.001500E+02  2.673368E+01  2.673692E+01  1.296946E+02
 3.011500E+02  2.682081E+01  2.682405E+01  1.299844E+02
 3.021500E+02  2.690652E+01  2.690977E+01  1.302685E+02
 3.031500E+02  2.699091E+01  2.699415E+01  1.305474E+02
 3.041500E+02  2.707404E+01  2.707729E+01  1.308212E+02
 3.051500E+02  2.715602E+01  2.715926E+01  1.310902E+02
 3.061500E+02  2.723690E+01  2.724015E+01  1.313549E+02
 3.071500E+02  2.731676E+01  2.732001E+01  1.316153E+02
 3.081500E+02  2.739567E+01  2.739892E+01  1.318718E+02
 3.091500E+02  2.747370E+01  2.747695E+01  1.321246E+02
 3.101500E+02  2.755089E+01  2.755414E+01  1.323739E+02
 3.111500E+02  2.762731E+01  2.763056E+01  1.326199E+02
 3.121500E+02  2.770301E+01  2.770626E+01  1.328628E+02
 3.131500E+02  2.777804E+01  2.778129E+01  1.331028E+02
 3.141500E+02  2.785244E+01  2.785569E+01  1.333400E+02
 3.151500E+02  2.792626E+01  2.792952E+01  1.335746E+02
 3.161500E+02  2.799954E+01  2.800280E+01  1.338068E+02
 3.171500E+02  2.807233E+01  2.807558E+01  1.340366E+02
 3.181500E+02  2.814464E+01  2.814790E+01  1.342643E+02
 3.191500E+02  2.821653E+01  2.821979E+01  1.344899E+02
 3.201500E+02  2.828802E+01  2.829127E+01  1.347136E+02
 3.211500E+02  2.835913E+01  2.836239E+01  1.349354E+02
 3.221500E+02  2.842991E+01  2.843318E+01  1.351554E+02
 3.231500E+02  2.850038E+01  2.850364E+01  1.353738E+02
 3.241500E+02  2.857056E+01  2.857383E+01  1.355907E+02
 3.251500E+02  2.864048E+01  2.864374E+01  1.358060E+02
 3.261500E+02  2.871016E+01  2.871342E+01  1.360200E+02
 3.271500E+02  2.877962E+01  2.878289E+01  1.362326E+02
 3.281500E+02  2.884889E+01  2.885215E+01  1.364440E+02
 3.291500E+02  2.891797E+01  2.892124E+01  1.366543E+02
 3.301500E+02  2.898690E+01  2.899016E+01  1.368633E+02
 3.311500E+02  2.905568E+01  2.905895E+01  1.370714E+02
 3.321500E+02  2.912434E+01  2.912761E+01  1.372784E+02
 3.331500E+02  2.919289E+01  2.919616E+01  1.374845E+02
 3.341500E+02  2.926135E+01  2.926462E+01  1.376897E+02
 3.351500E+02  2.932973E+01  2.933300E+01  1.378940E+02
 3.361500E+02  2.939804E+01  2.940131E+01  1.380975E+02
 3.371500E+02  2.946630E+01  2.946957E+01  1.383003E+02
 3.381500E+02  2.953453E+01  2.953780E+01  1.385023E+02
 3.391500E+02  2.960273E+01  2.960600E+01  1.387037E+02
 3.401500E+02  2.967091E+01  2.967418E+01  1.389045E+02
 3.411500E+02  2.973909E+01  2.974237E+01  1.391046E+02
 3.421500E+02  2.980728E+01  2.981056E+01  1.393042E+02
 3.431500E+02  2.987550E+01  2.987877E+01  1.395033E+02
 3.441500E+02  2.994374E+01  2.994702E+01  1.397019E+02
 3.451500E+02  3.001202E+01  3.001530E+01  1.399000E+02
 3.461500E+02  3.008035E+01  3.008363E+01  1.400977E+02
 3.471500E+02  3.014875E+01  3.015203E+01  1.402950E+02
 3.481500E+02  3.021721E+01  3.022049E+01  1.404919E+02
 3.491500E+02  3.028575E+01  3.028903E+01  1.406885E+02
 3.501500E+02  3.035437E+01  3.035766E+01  1.408848E+02
 3.511500E+02  3.042310E+01  3.042638E+01  1.410808E+02
 3.521500E+02  3.049193E+01  3.049521E+01  1.412765E+02
 3.531500E+02  3.056087E+01  3.056415E+01  1.414720E+02
 3.541500E+02  3.062993E+01  3.063321E+01  1.416673E+02
 3.551500E+02  3.069912E+01  3.070240E+01  1.418624E+02
 3.561500E+02  3.076844E+01  3.077173E+01  1.420573E+02
 3.571500E+02  3.083791E+01  3.084120E+01  1.422521E+02
 3.581500E+02  3.090754E+01  3.091082E+01  1.424468E+02
 3.591500E+02  3.097732E+01  3.098061E+01  1.426414E+02
 3.601500E+02  3.104727E+01  3.105056E+01  1.428359E+02
 3.611500E+02  3.111739E+01  3.112068E+01  1.430303E+02
 3.621500E+02  3.118769E+01  3.119098E+01  1.432247E+02
 3.631500E+02  3.125819E+01  3.126148E+01  1.434191E+02
 3.641500E+02  3.132887E+01  3.133217E+01  1.436135E+02
 3.651500E+02  3.139976E+01  3.140306E+01  1.438079E+02
 3.661500E+02  3.147086E+01  3.147416E+01  1.440023E+02
 3.671500E+02  3.154218E+01  3.154548E+01  1.441968E+02
 3.681500E+02  3.161372E+01  3.161702E+01  1.443914E+02
 3.691500E+02  3.168549E+01  3.168879E+01  1.445861E+02
 3.701500E+02  3.175749E+01  3.176079E+01  1.447809E+02
 3.711500E+02  3.182974E+01  3.183304E+01  1.449758E+02
 3.721500E+02  3.190224E+01  3.190554E+01  1.451709E+02
 3.731500E+02  3.197500E+01  3.197830E+01  1.453661E+02
 3.741500E+02  3.204802E+01  3.205132E+01  1.455616E+02
 3.751500E+02  3.212130E+01  3.212461E+01  1.457572E+02
 3.761500E+02  3.219487E+01  3.219817E+01  1.459530E+02
 3.771500E+02  3.226872E+01  3.227202E+01  1.461491E+02
 3.781500E+02  3.234285E+01  3.234616E+01  1.463454E+02
 3.791500E+02  3.241728E+01  3.242059E+01  1.465420E+02
 3.801500E+02  3.249202E+01  3.249533E+01  1.467388E+02
 3.811500E+02  3.256706E+01  3.257037E+01  1.469360E+02
 3.821500E+02  3.264242E+01  3.264573E+01  1.471334E+02
 3.831500E+02  3.271810E+01  3.272141E+01  1.473312E+02
 3.841500E+02  3.279410E+01  3.279741E+01  1.475293E+02
 3.851500E+02  3.287044E+01  3.287376E+01  1.477278E+02
 3.861500E+02  3.294712E+01  3.295044E+01  1.479266E+02
 3.871500E+02  3.302415E+01  3.302747E+01  1.481258E+02
 3.881500E+02  3.310153E+01  3.310485E+01  1.483255E+02
 3.891500E+02  3.317927E+01  3.318259E+01  1.485255E+02
 3.901500E+02  3.325738E+01  3.326069E+01  1.487259E+02
 3.911500E+02  3.333585E+01  3.333917E+01  1.489268E+02
 3.921500E+02  3.341471E+01  3.341802E+01  1.491282E+02
 3.931500E+02  3.349394E+01  3.349726E+01  1.493300E+02
 3.941500E+02  3.357357E+01  3.357689E+01  1.495323E+02
 3.951500E+02  3.365360E+01  3.365692E+01  1.497350E+02
 3.961500E+02  6.327558E+01  6.646971E+01  2.326939E+02
 3.971500E+02  6.331536E+01  6.651839E+01  2.328168E+02
 3.981500E+02  6.335513E+01  6.656704E+01  2.329392E+02
 3.991500E+02  6.339489E+01  6.661567E+01  2.330613E+02
