#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8          c1m1        c1m2-1        c1m2-7        c1m3-6        c1m4-1        c1m5-1        c1m5-6        c2m1-1        c2m2-1        c2m2-5        c2m3-1        c2m4-1        c2m4-3        c2m4-8        c3m1-1        c3m2-3        c3m3-8        c4m1-6        c4m2-4        c4m2-5        c5m1-9
 2.731500E+02  1.628063E-02  1.237361E-02  2.489882E-03  3.268030E-03  3.635943E-03  4.335410E-03  3.184556E-03  1.331665E-03  1.778434E-05  1.248793E-03  2.658524E-03  2.780692E-03  3.891096E-03  4.128348E-04  3.351845E-03  2.577299E-03  1.841962E-03  2.648021E-03  1.603738E-04  1.448629E-03  2.489761E-04  4.618678E-04  2.453930E-02  2.029405E-02  6.369366E-02  1.713957E-02  8.003216E-03  4.920302E-03  6.558928E-03  2.345722E-03  9.649708E-03  3.480989E-02  1.137231E-03  3.731615E-03  1.602815E-03  2.065973E-01  4.159741E-02  1.060037E-01  4.266489E-03  9.751026E-03  2.514972E-03  9.483994E-03  1.618226E-01  5.822470E-02  7.650594E-02  1.113737E-02  6.655598E-03  1.386151E-02  6.266614E-04  1.780710E-02  3.000613E-03  1.068628E-03
 2.741500E+02  1.670175E-02  1.271229E-02  2.531665E-03  3.323996E-03  3.698486E-03  4.411375E-03  3.184323E-03  1.336099E-03  1.791373E-05  1.252788E-03  2.669768E-03  2.790606E-03  3.902187E-03  4.014911E-04  3.291920E-03  2.530154E-03  1.811180E-03  2.535948E-03  1.538799E-04  1.517903E-03  2.652472E-04  4.847302E-04  2.507402E-02  2.058252E-02  6.469360E-02  1.724937E-02  8.103281E-03  4.955408E-03  6.606874E-03  2.371525E-03  9.770069E-03  3.624161E-02  1.180270E-03  3.885384E-03  1.653611E-03  2.072840E-01  4.139638E-02  1.055366E-01  4.394342E-03  9.945524E-03  2.565539E-03  9.563715E-03  1.589726E-01  5.740072E-02  7.516157E-02  1.129151E-02  6.692062E-03  1.375001E-02  6.256309E-04  1.751971E-02  2.959785E-03  1.047051E-03
 2.751500E+02  1.712939E-02  1.305424E-02  2.572660E-03  3.378957E-03  3.759917E-03  4.486051E-03  3.182016E-03  1.339641E-03  1.803136E-05  1.255946E-03  2.679229E-03  2.798656E-03  3.910679E-03  3.902072E-04  3.230751E-03  2.482100E-03  1.779622E-03  2.426850E-03  1.475394E-04  1.590123E-03  2.824753E-04  5.085728E-04  2.561688E-02  2.087280E-02  6.570132E-02  1.735847E-02  8.203581E-03  4.990332E-03  6.654584E-03  2.397339E-03  9.890707E-03  3.771786E-02  1.224468E-03  4.043845E-03  1.705387E-03  2.079314E-01  4.118948E-02  1.050538E-01  4.523777E-03  1.013930E-02  2.615931E-03  9.640267E-03  1.561352E-01  5.657337E-02  7.382300E-02  1.144117E-02  6.725086E-03  1.363297E-02  6.241889E-04  1.722697E-02  2.917762E-03  1.025171E-03
 2.761500E+02  1.756318E-02  1.339907E-02  2.612793E-03  3.432814E-03  3.820127E-03  4.559306E-03  3.177641E-03  1.342286E-03  1.813703E-05  1.258264E-03  2.686891E-03  2.804827E-03  3.916557E-03  3.789980E-04  3.168468E-03  2.433238E-03  1.747358E-03  2.320782E-03  1.413571E-04  1.665358E-03  3.007047E-04  5.334227E-04  2.616765E-02  2.116470E-02  6.671627E-02  1.746679E-02  8.304072E-03  5.025051E-03  6.702027E-03  2.423152E-03  1.001157E-02  3.923877E-02  1.269821E-03  4.207018E-03  1.758125E-03  2.085382E-01  4.097681E-02  1.045553E-01  4.654673E-03  1.033214E-02  2.666089E-03  9.713558E-03  1.533117E-01  5.574324E-02  7.249088E-02  1.158611E-02  6.754630E-03  1.351063E-02  6.223412E-04  1.692942E-02  2.874632E-03  1.003036E-03
 2.771500E+02  1.800305E-02  1.374656E-02  2.652005E-03  3.485485E-03  3.879024E-03  4.631028E-03  3.171204E-03  1.344026E-03  1.823049E-05  1.259734E-03  2.692735E-03  2.809106E-03  3.919805E-03  3.678743E-04  3.105173E-03  2.383645E-03  1.714443E-03  2.217750E-03  1.353344E-04  1.743717E-03  3.199862E-04  5.593145E-04  2.672632E-02  2.145815E-02  6.773822E-02  1.757427E-02  8.404719E-03  5.059548E-03  6.749180E-03  2.448955E-03  1.013262E-02  4.080498E-02  1.316336E-03  4.374959E-03  1.811815E-03  2.091036E-01  4.075833E-02  1.040412E-01  4.786943E-03  1.052382E-02  2.715961E-03  9.783490E-03  1.505028E-01  5.491062E-02  7.116548E-02  1.172610E-02  6.780637E-03  1.338312E-02  6.200905E-04  1.662744E-02  2.830455E-03  9.806791E-04
 2.781500E+02  1.844891E-02  1.409643E-02  2.690233E-03  3.536890E-03  3.936518E-03  4.701108E-03  3.162711E-03  1.344856E-03  1.831153E-05  1.260352E-03  2.696746E-03  2.811479E-03  3.920412E-03  3.568461E-04  3.040966E-03  2.333399E-03  1.680930E-03  2.117753E-03  1.294726E-04  1.825309E-03  3.403729E-04  5.862831E-04  2.729288E-02  2.175309E-02  6.876693E-02  1.768085E-02  8.505482E-03  5.093804E-03  6.796019E-03  2.474736E-03  1.025380E-02  4.241710E-02  1.364021E-03  4.547723E-03  1.866447E-03  2.096269E-01  4.053405E-02  1.035114E-01  4.920493E-03  1.071415E-02  2.765493E-03  9.849968E-03  1.477088E-01  5.407581E-02  6.984706E-02  1.186089E-02  6.803054E-03  1.325055E-02  6.174398E-04  1.632139E-02  2.785291E-03  9.581332E-04
 2.791500E+02  1.890068E-02  1.444843E-02  2.727419E-03  3.586949E-03  3.992519E-03  4.769437E-03  3.152174E-03  1.344773E-03  1.837996E-05  1.260114E-03  2.698912E-03  2.811939E-03  3.918370E-03  3.459235E-04  2.975946E-03  2.282578E-03  1.646875E-03  2.020787E-03  1.237726E-04  1.910249E-03  3.619200E-04  6.143645E-04  2.786730E-02  2.204942E-02  6.980215E-02  1.778647E-02  8.606322E-03  5.127800E-03  6.842516E-03  2.500484E-03  1.037507E-02  4.407571E-02  1.412881E-03  4.725360E-03  1.922006E-03  2.101072E-01  4.030395E-02  1.029659E-01  5.055224E-03  1.090292E-02  2.814632E-03  9.912897E-03  1.449305E-01  5.323909E-02  6.853587E-02  1.199027E-02  6.821832E-03  1.311307E-02  6.143931E-04  1.601164E-02  2.739198E-03  9.354315E-04
 2.801500E+02  1.935826E-02  1.480228E-02  2.763502E-03  3.635581E-03  4.046938E-03  4.835906E-03  3.139608E-03  1.343774E-03  1.843561E-05  1.259021E-03  2.699226E-03  2.810478E-03  3.913678E-03  3.351159E-04  2.910216E-03  2.231259E-03  1.612333E-03  1.926842E-03  1.182349E-04  1.998653E-03  3.846848E-04  6.435955E-04  2.844956E-02  2.234706E-02  7.084361E-02  1.789106E-02  8.707198E-03  5.161518E-03  6.888647E-03  2.526188E-03  1.049638E-02  4.578137E-02  1.462920E-03  4.907913E-03  1.978479E-03  2.105440E-01  4.006802E-02  1.024046E-01  5.191032E-03  1.108993E-02  2.863323E-03  9.972189E-03  1.421683E-01  5.240078E-02  6.723218E-02  1.211401E-02  6.836930E-03  1.297082E-02  6.109550E-04  1.569858E-02  2.692240E-03  9.126066E-04
 2.811500E+02  1.982155E-02  1.515769E-02  2.798424E-03  3.682708E-03  4.099686E-03  4.900409E-03  3.125033E-03  1.341860E-03  1.847836E-05  1.257071E-03  2.697682E-03  2.807098E-03  3.906339E-03  3.244322E-04  2.843875E-03  2.179519E-03  1.577358E-03  1.835902E-03  1.128599E-04  2.090639E-03  4.087274E-04  6.740134E-04  2.903964E-02  2.264593E-02  7.189103E-02  1.799456E-02  8.808067E-03  5.194937E-03  6.934386E-03  2.551836E-03  1.061768E-02  4.753460E-02  1.514141E-03  5.095426E-03  2.035850E-03  2.109364E-01  3.982628E-02  1.018276E-01  5.327810E-03  1.127495E-02  2.911513E-03  1.002776E-02  1.394228E-01  5.156118E-02  6.593626E-02  1.223190E-02  6.848308E-03  1.282394E-02  6.071310E-04  1.538256E-02  2.644479E-03  8.896911E-04
 2.821500E+02  2.029044E-02  1.551438E-02  2.832129E-03  3.728252E-03  4.150679E-03  4.962839E-03  3.108469E-03  1.339033E-03  1.850806E-05  1.254267E-03  2.694279E-03  2.801799E-03  3.896362E-03  3.138813E-04  2.777023E-03  2.127434E-03  1.542007E-03  1.747949E-03  1.076475E-04  2.186331E-03  4.341098E-04  7.056563E-04  2.963748E-02  2.294594E-02  7.294412E-02  1.809690E-02  8.908888E-03  5.228038E-03  6.979706E-03  2.577417E-03  1.073891E-02  4.933587E-02  1.566545E-03  5.287933E-03  2.094100E-03  2.112838E-01  3.957873E-02  1.012349E-01  5.465444E-03  1.145779E-02  2.959145E-03  1.007951E-02  1.366946E-01  5.072060E-02  6.464839E-02  1.234372E-02  6.855937E-03  1.267260E-02  6.029273E-04  1.506398E-02  2.595977E-03  8.667169E-04
