#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.731500E+02  5.459918E-02  5.294872E-02  3.424532E-04                                 112
 2.741500E+02  5.461788E-02  5.294872E-02  3.454870E-04                                 112
 2.751500E+02  5.463692E-02  5.294872E-02  3.516127E-04                                 112
 2.761500E+02  5.465630E-02  5.294872E-02  3.577184E-04                                 112
 2.771500E+02  5.467602E-02  5.294872E-02  3.638964E-04                                 112
 2.781500E+02  5.469609E-02  5.294872E-02  3.701445E-04                                 112
 2.791500E+02  5.471651E-02  5.294872E-02  3.764604E-04                                 112
 2.801500E+02  5.473729E-02  5.294872E-02  3.828413E-04                                 112
 2.811500E+02  5.475842E-02  5.294872E-02  3.892844E-04                                 112
 2.821500E+02  5.477992E-02  5.294872E-02  3.957865E-04                                 112
 2.831500E+02  5.480178E-02  5.294872E-02  4.023444E-04                                 112
 2.841500E+02  5.482402E-02  5.294872E-02  4.089545E-04                                 112
 2.851500E+02  5.484663E-02  5.294872E-02  4.156129E-04                                 112
 2.861500E+02  5.486961E-02  5.294872E-02  4.223158E-04                                 112
 2.871500E+02  5.489297E-02  5.294872E-02  4.290588E-04                                 112
 2.881500E+02  5.491671E-02  5.294872E-02  4.358375E-04                                 112
 2.891500E+02  5.494084E-02  5.294872E-02  4.426471E-04                                 112
 2.901500E+02  5.496535E-02  5.294872E-02  4.494829E-04                                 112
 2.911500E+02  5.499025E-02  5.294872E-02  4.563396E-04                                 112
 2.921500E+02  5.501554E-02  5.294872E-02  4.632119E-04                                 112
 2.931500E+02  5.504122E-02  5.294872E-02  4.700944E-04                                 112
 2.941500E+02  5.506729E-02  5.294872E-02  4.769812E-04                                 112
 2.951500E+02  5.509375E-02  5.294872E-02  4.838666E-04                                 112
 2.961500E+02  5.512061E-02  5.294872E-02  4.907445E-04                                 112
 2.971500E+02  5.514785E-02  5.294872E-02  4.976087E-04                                 112
 2.981500E+02  5.517549E-02  5.294872E-02  5.044529E-04                                 112
 2.991500E+02  5.520352E-02  5.294872E-02  5.112707E-04                                 112
 3.001500E+02  5.523194E-02  5.294872E-02  5.180557E-04                                 112
 3.011500E+02  5.526075E-02  5.294872E-02  5.248012E-04                                 112
 3.021500E+02  5.528994E-02  5.294872E-02  5.315008E-04                                 112
 3.031500E+02  5.531952E-02  5.294872E-02  5.381478E-04                                 112
 3.041500E+02  5.534948E-02  5.294872E-02  5.447356E-04                                 112
 3.051500E+02  5.537982E-02  5.294872E-02  5.512579E-04                                 112
 3.061500E+02  5.541054E-02  5.294872E-02  5.577081E-04                                 112
 3.071500E+02  5.544163E-02  5.294872E-02  5.640799E-04                                 112
 3.081500E+02  5.547308E-02  5.294872E-02  5.703672E-04                                 112
 3.091500E+02  5.550491E-02  5.294872E-02  5.765640E-04                                 112
 3.101500E+02  5.553709E-02  5.294872E-02  5.826644E-04                                 112
 3.111500E+02  5.556963E-02  5.294872E-02  5.886630E-04                                 112
 3.121500E+02  5.560251E-02  5.294872E-02  5.945545E-04                                 112
 3.131500E+02  5.563574E-02  5.294872E-02  6.003339E-04                                 112
 3.141500E+02  5.566931E-02  5.294872E-02  6.059965E-04                                 112
 3.151500E+02  5.570321E-02  5.294872E-02  6.115381E-04                                 112
 3.161500E+02  5.573744E-02  5.294872E-02  6.169549E-04                                 112
 3.171500E+02  5.577199E-02  5.294872E-02  6.222432E-04                                 112
 3.181500E+02  5.580685E-02  5.294872E-02  6.274863E-04                                 112
 3.191500E+02  5.584202E-02  5.294872E-02  6.325105E-04                                 112
 3.201500E+02  5.587749E-02  5.294872E-02  6.373126E-04                                 112
 3.211500E+02  5.591325E-02  5.294872E-02  6.420617E-04                                 112
 3.221500E+02  5.594929E-02  5.294872E-02  6.466720E-04                                 112
 3.231500E+02  5.598561E-02  5.294872E-02  6.511430E-04                                 112
 3.241500E+02  5.602220E-02  5.294872E-02  6.554746E-04                                 112
 3.251500E+02  5.605905E-02  5.294872E-02  6.596674E-04                                 112
 3.261500E+02  5.609616E-02  5.294872E-02  6.637222E-04                                 112
 3.271500E+02  5.613352E-02  5.294872E-02  6.676407E-04                                 112
 3.281500E+02  5.617111E-02  5.294872E-02  6.714249E-04                                 112
 3.291500E+02  5.620895E-02  5.294872E-02  6.750773E-04                                 112
 3.301500E+02  5.624700E-02  5.294872E-02  6.786009E-04                                 112
 3.311500E+02  5.628528E-02  5.294872E-02  6.819993E-04                                 112
 3.321500E+02  5.632378E-02  5.294872E-02  6.852765E-04                                 112
 3.331500E+02  5.636248E-02  5.294872E-02  6.884368E-04                                 112
 3.341500E+02  5.640138E-02  5.294872E-02  6.914851E-04                                 112
 3.351500E+02  5.644048E-02  5.294872E-02  6.944266E-04                                 112
 3.361500E+02  5.647977E-02  5.294872E-02  6.972668E-04                                 112
 3.371500E+02  5.651924E-02  5.294872E-02  7.000116E-04                                 112
 3.381500E+02  5.655890E-02  5.294872E-02  7.026672E-04                                 112
 3.391500E+02  5.659873E-02  5.294872E-02  7.052400E-04                                 112
 3.401500E+02  5.663873E-02  5.294872E-02  7.077368E-04                                 112
 3.411500E+02  5.667890E-02  5.294872E-02  7.101643E-04                                 112
 3.421500E+02  5.671923E-02  5.294872E-02  2.473538E+02                                 112
 3.431500E+02  2.811612E+01  5.294872E-02  5.004704E-01                                 111
 3.441500E+02  2.819929E+01  5.294872E-02  2.949098E-03                                 111
 3.451500E+02  2.828244E+01  5.294872E-02  2.939671E-03                                 111
 3.461500E+02  2.836557E+01  5.294872E-02  2.930320E-03                                 111
 3.471500E+02  2.844868E+01  5.294872E-02  2.921044E-03                                 111
 3.481500E+02  2.853177E+01  5.294872E-02  2.911841E-03                                 111
 3.491500E+02  2.861484E+01  5.294872E-02  2.902710E-03                                 111
 3.501500E+02  2.869789E+01  5.294872E-02  2.893650E-03                                 111
 3.511500E+02  2.878092E+01  5.294872E-02  2.884660E-03                                 111
 3.521500E+02  2.886394E+01  5.294872E-02  2.875738E-03                                 111
 3.531500E+02  2.894693E+01  5.294872E-02  2.866885E-03                                 111
 3.541500E+02  2.902991E+01  5.294872E-02  2.858098E-03                                 111
 3.551500E+02  2.911287E+01  5.294872E-02  2.849376E-03                                 111
 3.561500E+02  2.919582E+01  5.294872E-02  2.840719E-03                                 111
 3.571500E+02  2.927875E+01  5.294872E-02  2.832126E-03                                 111
 3.581500E+02  2.936166E+01  5.294872E-02  2.823595E-03                                 111
 3.591500E+02  2.944456E+01  5.294872E-02  2.815126E-03                                 111
 3.601500E+02  2.952744E+01  5.294872E-02  2.806718E-03                                 111
 3.611500E+02  2.961031E+01  5.294872E-02  2.798369E-03                                 111
 3.621500E+02  2.969316E+01  5.294872E-02  2.790080E-03                                 111
 3.631500E+02  2.977600E+01  5.294872E-02  2.781849E-03                                 111
 3.641500E+02  2.985883E+01  5.294872E-02  2.773676E-03                                 111
 3.651500E+02  2.994164E+01  5.294872E-02  2.765559E-03                                 111
 3.661500E+02  3.002444E+01  5.294872E-02  2.757498E-03                                 111
 3.671500E+02  3.010722E+01  5.294872E-02  2.749492E-03                                 111
 3.681500E+02  3.019000E+01  5.294872E-02  2.741540E-03                                 111
 3.691500E+02  3.027276E+01  5.294872E-02  2.733642E-03                                 111
 3.701500E+02  3.035551E+01  5.294872E-02  2.725797E-03                                 111
 3.711500E+02  3.043824E+01  5.294872E-02  2.718004E-03                                 111
 3.721500E+02  3.052097E+01  5.294872E-02  2.710263E-03                                 111
 3.731500E+02  3.060368E+01  5.294872E-02  2.702573E-03                                 111
 3.741500E+02  3.068639E+01  5.294872E-02  2.694932E-03                                 111
 3.751500E+02  3.076908E+01  5.294872E-02  2.687342E-03                                 111
 3.761500E+02  3.085176E+01  5.294872E-02  2.679800E-03                                 111
 3.771500E+02  3.093443E+01  5.294872E-02  2.672307E-03                                 111
 3.781500E+02  3.101709E+01  5.294872E-02  2.664861E-03                                 111
 3.791500E+02  3.109975E+01  5.294872E-02  2.657463E-03                                 111
 3.801500E+02  3.118239E+01  5.294872E-02  2.650111E-03                                 111
 3.811500E+02  3.126502E+01  5.294872E-02  2.642806E-03                                 111
 3.821500E+02  3.134764E+01  5.294872E-02  2.635546E-03                                 111
 3.831500E+02  3.143026E+01  5.294872E-02  2.628331E-03                                 111
 3.841500E+02  3.151286E+01  5.294872E-02  2.621160E-03                                 111
