#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        c1w1-2        c1w2-1        c1w3-1        c1w4-1        c1w4-3        c1w5-7        c2w1-1        c2w1-9        c2w2-1        c2w3-1        c2w3-6        c2w4-6        c2w4-8        c3w1-5        c3w2-2        c3w2-8        c3w3-2        c3w3-5        c3w3-9        c4w1-2        c4w1-5        c4w1-6        c4w1-9        c4w2-6        c4w2-7        c5w1-5
 2.731500E+02  5.273943E-02  6.065098E-02  1.846704E-02  2.423844E-02  2.696719E-02  3.215502E-02  3.573920E-02  1.494482E-02  1.995876E-04  1.401478E-02  2.983572E-02  3.120677E-02  4.366845E-02  7.010507E-03  5.691897E-02  4.376610E-02  3.127906E-02  6.804117E-02  4.120821E-03  4.200063E-04  3.988774E-05  3.852899E-05  5.406029E-07  4.052460E-04  4.723837E-04  1.179299E-04  4.440957E-07  7.527192E-07  4.573973E-04  6.224204E-04  4.585848E-04  1.214606E-06  1.841246E-05  1.847486E-05  4.342308E-04  3.520243E-01  1.837464E-03  1.098099E-04  3.029403E-03  1.030496E-03  7.135161E-04  6.212344E-03  5.455095E-03  3.504984E-03  4.146915E-04  4.347338E-04  9.673179E-04  1.870772E-03  4.387787E-03  6.970947E-03  1.595803E-03  4.833910E-05  1.937025E-04  2.706380E-04  5.687234E-04  5.679268E-04  2.211020E-03  1.511053E-04  1.838318E-03  3.053773E-03  1.066466E-03
 2.741500E+02  5.421509E-02  6.238164E-02  1.878079E-02  2.465859E-02  2.743669E-02  3.272516E-02  3.571081E-02  1.498377E-02  2.008947E-04  1.404947E-02  2.994030E-02  3.129544E-02  4.376134E-02  6.806647E-03  5.580929E-02  4.289476E-02  3.070569E-02  6.499386E-02  3.943790E-03  4.261308E-04  3.974127E-05  3.655086E-05  5.327775E-07  3.602599E-04  4.230385E-04  1.008130E-04  3.933297E-07  6.657050E-07  3.692126E-04  5.020255E-04  3.735958E-04  1.003425E-06  1.513593E-05  1.518672E-05  3.578031E-04  3.556203E-01  1.789204E-03  1.023910E-04  2.650739E-03  9.060081E-04  6.017004E-04  6.225321E-03  5.461775E-03  3.336487E-03  3.799272E-04  3.977899E-04  8.277257E-04  1.615787E-03  4.325211E-03  6.565553E-03  1.503962E-03  4.364936E-05  1.751841E-04  2.442380E-04  5.548142E-04  5.491882E-04  2.136513E-03  1.467688E-04  1.700243E-03  2.818196E-03  1.005219E-03
 2.751500E+02  5.570685E-02  6.413072E-02  1.909171E-02  2.507524E-02  2.790235E-02  3.329099E-02  3.567078E-02  1.501754E-02  2.021337E-04  1.407931E-02  3.003448E-02  3.137327E-02  4.383918E-02  6.607747E-03  5.470935E-02  4.203174E-02  3.013602E-02  6.207959E-02  3.774105E-03  4.318611E-04  3.952456E-05  3.459647E-05  5.237496E-07  3.194371E-04  3.778471E-04  8.591213E-05  3.471968E-07  5.867833E-07  2.969833E-04  4.035008E-04  3.032697E-04  8.259172E-07  1.239733E-05  1.243851E-05  2.937512E-04  3.588522E-01  1.739330E-03  9.526816E-05  2.313588E-03  7.945357E-04  5.058629E-04  6.231545E-03  5.462554E-03  3.171255E-03  3.473645E-04  3.632435E-04  7.065939E-04  1.392158E-03  4.259280E-03  6.174637E-03  1.415308E-03  3.933681E-05  1.581213E-04  2.199794E-04  5.407295E-04  5.305977E-04  2.062701E-03  1.424253E-04  1.570383E-03  2.597270E-03  9.467976E-04
 2.761500E+02  5.721062E-02  6.589448E-02  1.939903E-02  2.548738E-02  2.836304E-02  3.385117E-02  3.561892E-02  1.504599E-02  2.033021E-04  1.410417E-02  3.011798E-02  3.143996E-02  4.390159E-02  6.413773E-03  5.361990E-02  4.117761E-02  2.957050E-02  5.929413E-02  3.611561E-03  4.372180E-04  3.924858E-05  3.268647E-05  5.137962E-07  2.826659E-04  3.367828E-04  7.303883E-05  3.056681E-07  5.158666E-07  2.382565E-04  3.234626E-04  2.455191E-04  6.779157E-07  1.012637E-05  1.015967E-05  2.404986E-04  3.617479E-01  1.688498E-03  8.848792E-05  2.015429E-03  6.954143E-04  4.243107E-04  6.231758E-03  5.458096E-03  3.010460E-03  3.170818E-04  3.311668E-04  6.021148E-04  1.197275E-03  4.190754E-03  5.800175E-03  1.330304E-03  3.539652E-05  1.425018E-04  1.978306E-04  5.265814E-04  5.122612E-04  1.989992E-03  1.381041E-04  1.448906E-03  2.391168E-03  8.912707E-04
 2.771500E+02  5.872667E-02  6.767239E-02  1.970245E-02  2.589460E-02  2.881830E-02  3.440514E-02  3.555481E-02  1.506891E-02  2.043960E-04  1.412385E-02  3.019032E-02  3.149505E-02  4.394795E-02  6.224463E-03  5.253979E-02  4.033148E-02  2.900852E-02  5.662958E-02  3.455723E-03  4.422417E-04  3.892296E-05  3.083452E-05  5.031292E-07  2.497170E-04  2.996745E-04  6.197555E-05  2.685265E-07  4.525514E-07  1.907470E-04  2.587665E-04  1.983419E-04  5.551960E-07  8.253335E-06  8.280212E-06  1.964656E-04  3.643402E-01  1.637205E-03  8.207212E-05  1.752966E-03  6.076944E-04  3.552500E-04  6.226590E-03  5.448966E-03  2.854803E-03  2.890531E-04  3.015226E-04  5.123552E-04  1.028151E-03  4.120154E-03  5.442974E-03  1.249144E-03  3.181088E-05  1.282621E-04  1.776893E-04  5.124324E-04  4.942332E-04  1.918595E-03  1.338210E-04  1.335625E-03  2.199482E-03  8.385798E-04
 2.781500E+02  6.025531E-02  6.946388E-02  2.000162E-02  2.629644E-02  2.926763E-02  3.495229E-02  3.547809E-02  1.508608E-02  2.054117E-04  1.413815E-02  3.025107E-02  3.153811E-02  4.397769E-02  6.039585E-03  5.146804E-02  3.949255E-02  2.844958E-02  5.407877E-02  3.306201E-03  4.469715E-04  3.855662E-05  2.905092E-05  4.919388E-07  2.203249E-04  2.662993E-04  5.251011E-05  2.354921E-07  3.963317E-07  1.524733E-04  2.066897E-04  1.599703E-04  4.539122E-07  6.715508E-06  6.737160E-06  1.602230E-04  3.666608E-01  1.585878E-03  7.603219E-05  1.522836E-03  5.303798E-04  2.970067E-04  6.216633E-03  5.435693E-03  2.704803E-03  2.632167E-04  2.742372E-04  4.355001E-04  8.819024E-04  4.047949E-03  5.103476E-03  1.171939E-03  2.855936E-05  1.153263E-04  1.594370E-04  4.983368E-04  4.765583E-04  1.848677E-03  1.295897E-04  1.230277E-03  2.021676E-03  7.886511E-04
 2.791500E+02  6.179681E-02  7.126834E-02  2.029623E-02  2.669247E-02  2.971054E-02  3.549202E-02  3.538843E-02  1.509733E-02  2.063458E-04  1.414690E-02  3.029981E-02  3.156872E-02  4.399026E-02  5.858936E-03  5.040385E-02  3.866022E-02  2.789327E-02  5.163530E-02  3.162646E-03  4.514446E-04  3.815758E-05  2.734289E-05  4.803915E-07  1.942044E-04  2.364013E-04  4.444179E-05  2.062479E-07  3.466421E-07  1.217458E-04  1.649140E-04  1.288728E-04  3.706413E-07  5.457618E-06  5.475039E-06  1.305055E-04  3.687395E-01  1.534876E-03  7.037090E-05  1.321722E-03  4.624695E-04  2.480538E-04  6.202432E-03  5.418763E-03  2.560819E-03  2.394844E-04  2.492096E-04  3.698789E-04  7.558126E-04  3.974552E-03  4.781819E-03  1.098730E-03  2.561960E-05  1.036106E-04  1.429455E-04  4.843411E-04  4.592722E-04  1.780375E-03  1.254213E-04  1.132537E-03  1.857124E-03  7.413996E-04
 2.801500E+02  6.335141E-02  7.308514E-02  2.058595E-02  2.708227E-02  3.014656E-02  3.602377E-02  3.528559E-02  1.510248E-02  2.071951E-04  1.414995E-02  3.033620E-02  3.158655E-02  4.398524E-02  5.682345E-03  4.934666E-02  3.783403E-02  2.733930E-02  4.929346E-02  3.024747E-03  4.556954E-04  3.773297E-05  2.571509E-05  4.686304E-07  1.710639E-04  2.097073E-04  3.758530E-05  1.804591E-07  3.028922E-07  9.714412E-05  1.314930E-04  1.037431E-04  3.023931E-07  4.431815E-06  4.445821E-06  1.062132E-04  3.706036E-01  1.484493E-03  6.508411E-05  1.146446E-03  4.029890E-04  2.070237E-04  6.184483E-03  5.398617E-03  2.423068E-03  2.177494E-04  2.263199E-04  3.139784E-04  6.473700E-04  3.900330E-03  4.477886E-03  1.029500E-03  2.296839E-05  9.302691E-05  1.280822E-04  4.704847E-04  4.424027E-04  1.713790E-03  1.213251E-04  1.042040E-03  1.705137E-03  6.967311E-04
 2.811500E+02  6.491932E-02  7.491361E-02  2.087048E-02  2.746541E-02  3.057522E-02  3.654696E-02  3.516938E-02  1.510141E-02  2.079570E-04  1.414719E-02  3.035994E-02  3.159132E-02  4.396227E-02  5.509669E-03  4.829609E-02  3.701367E-02  2.678748E-02  4.704812E-02  2.892228E-03  4.597555E-04  3.728904E-05  2.416997E-05  4.567759E-07  1.506159E-04  1.859390E-04  3.177284E-05  1.577900E-07  2.644927E-07  7.748891E-05  1.048122E-04  8.348167E-05  2.465950E-07  3.597264E-06  3.608520E-06  8.640347E-05  3.722778E-01  1.434968E-03  6.016232E-05  9.940303E-04  3.510125E-04  1.727105E-04  6.163230E-03  5.375651E-03  2.291655E-03  1.978928E-04  2.054366E-04  2.664465E-04  5.542900E-04  3.825599E-03  4.191360E-03  9.641850E-04  2.058244E-05  8.348639E-05  1.147143E-04  4.568007E-04  4.259708E-04  1.648999E-03  1.173084E-04  9.583925E-04  1.564991E-03  6.545460E-04
 2.821500E+02  6.650067E-02  7.675305E-02  2.114952E-02  2.784151E-02  3.099607E-02  3.706105E-02  3.503971E-02  1.509403E-02  2.086291E-04  1.413852E-02  3.037082E-02  3.158282E-02  4.392109E-02  5.340792E-03  4.725195E-02  3.619898E-02  2.623775E-02  4.489473E-02  2.764845E-03  4.636535E-04  3.683115E-05  2.270827E-05  4.449279E-07  1.325843E-04  1.648225E-04  2.685482E-05  1.379142E-07  2.308745E-07  6.181025E-05  8.354536E-05  6.717303E-05  2.010616E-07  2.919533E-06  2.928577E-06  7.027902E-05  3.737843E-01  1.386485E-03  5.559214E-05  8.617271E-04  3.056775E-04  1.440639E-04  6.139072E-03  5.350218E-03  2.166586E-03  1.797894E-04  1.864222E-04  2.260885E-04  4.745219E-04  3.750632E-03  3.921771E-03  9.026844E-04  1.843891E-05  7.490137E-05  1.027119E-04  4.433164E-04  4.099914E-04  1.586056E-03  1.133772E-04  8.811897E-04  1.435945E-03  6.147406E-04
