#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8          c1m1        c1m2-1        c1m2-7        c1m3-6        c1m4-1        c1m5-1        c1m5-6        c2m1-1        c2m2-1        c2m2-5        c2m3-1        c2m4-1        c2m4-3        c2m4-8        c3m1-1        c3m2-3        c3m3-8        c4m1-6        c4m2-4        c4m2-5        c5m1-9
 2.731500E+02  6.353491E-01  3.909440E-01  8.492048E-02  1.114602E-01  1.240083E-01  1.478645E-01  1.319019E-01  5.515652E-02  7.366134E-04  5.172402E-02  1.101140E-01  1.151741E-01  1.611662E-01  2.215008E-02  1.798385E-01  1.382814E-01  9.882789E-02  1.917105E-01  1.161069E-02  1.780818E-02  7.805815E-04  4.923968E-04  1.000804E-02  3.377334E-03  1.059989E-02  1.212417E-03  5.661308E-04  3.480519E-04  4.639649E-04  1.659315E-04  6.826002E-04  3.464512E-01  3.848796E-03  1.262912E-02  2.075149E-03  1.091462E-01  9.341084E-03  2.380410E-02  4.583800E-02  4.007696E-02  1.033660E-02  1.590574E-02  1.153583E-01  4.150658E-02  5.453871E-02  1.453135E-01  3.543468E-02  3.136888E-02  1.059139E-02  1.279264E-01  2.155644E-02  2.437094E-02
 2.741500E+02  6.542259E-01  4.028445E-01  8.653789E-02  1.136215E-01  1.264224E-01  1.507905E-01  1.320858E-01  5.542144E-02  7.430620E-04  5.196568E-02  1.107421E-01  1.157544E-01  1.618629E-01  2.155673E-02  1.767486E-01  1.358482E-01  9.724528E-02  1.835877E-01  1.114000E-02  1.870966E-02  8.322928E-04  5.162592E-04  1.019733E-02  3.409453E-03  1.071637E-02  1.212305E-03  5.695075E-04  3.482715E-04  4.643384E-04  1.666734E-04  6.866511E-04  3.613907E-01  3.994783E-03  1.315061E-02  2.137174E-03  1.091179E-01  9.245810E-03  2.357142E-02  4.726611E-02  4.084872E-02  1.053730E-02  1.599930E-02  1.128364E-01  4.074216E-02  5.334855E-02  1.473828E-01  3.557776E-02  3.101514E-02  1.057014E-02  1.255862E-01  2.121657E-02  2.385213E-02
 2.751500E+02  6.734874E-01  4.149255E-01  8.813953E-02  1.157633E-01  1.288151E-01  1.536925E-01  1.321944E-01  5.565437E-02  7.490990E-04  5.217732E-02  1.113065E-01  1.162680E-01  1.624661E-01  2.096800E-02  1.736062E-01  1.333770E-01  9.562897E-02  1.757051E-01  1.068193E-02  1.965026E-02  8.869507E-04  5.409936E-04  1.038575E-02  3.440276E-03  1.082896E-02  1.211586E-03  5.725931E-04  3.483149E-04  4.644763E-04  1.673293E-04  6.903511E-04  3.768043E-01  4.144156E-03  1.368621E-02  2.199805E-03  1.090392E-01  9.147003E-03  2.332943E-02  4.871242E-02  4.161206E-02  1.073587E-02  1.608427E-02  1.103172E-01  3.997186E-02  5.215956E-02  1.493934E-01  3.569932E-02  3.064662E-02  1.054212E-02  1.232113E-01  2.086852E-02  2.332857E-02
 2.761500E+02  6.931305E-01  4.271806E-01  8.972334E-02  1.178828E-01  1.311832E-01  1.565666E-01  1.322274E-01  5.585494E-02  7.547144E-04  5.235862E-02  1.118064E-01  1.167139E-01  1.629750E-01  2.038442E-02  1.704162E-01  1.308718E-01  9.398172E-02  1.680619E-01  1.023653E-02  2.063113E-02  9.446790E-04  5.666082E-04  1.057294E-02  3.469699E-03  1.093733E-02  1.210236E-03  5.753713E-04  3.481750E-04  4.643690E-04  1.678950E-04  6.936803E-04  3.926953E-01  4.296849E-03  1.423580E-02  2.262962E-03  1.089085E-01  9.044645E-03  2.307807E-02  5.017567E-02  4.236566E-02  1.093197E-02  1.616035E-02  1.078016E-01  3.919602E-02  5.097217E-02  1.513415E-01  3.579895E-02  3.026368E-02  1.050736E-02  1.208049E-01  2.051279E-02  2.280108E-02
 2.771500E+02  7.131552E-01  4.396041E-01  9.128739E-02  1.199775E-01  1.335239E-01  1.594094E-01  1.321849E-01  5.602287E-02  7.598990E-04  5.250932E-02  1.122409E-01  1.170916E-01  1.633887E-01  1.980646E-02  1.671835E-01  1.283362E-01  9.230614E-02  1.606567E-01  9.803798E-03  2.165352E-02  1.005607E-03  5.931112E-04  1.075858E-02  3.497620E-03  1.104114E-02  1.208233E-03  5.778254E-04  3.478445E-04  4.640069E-04  1.683659E-04  6.966188E-04  4.090680E-01  4.452792E-03  1.479925E-02  2.326565E-03  1.087244E-01  8.938719E-03  2.281729E-02  5.165464E-02  4.310822E-02  1.112526E-02  1.622725E-02  1.052904E-01  3.841499E-02  4.978675E-02  1.532236E-01  3.587626E-02  2.986669E-02  1.046591E-02  1.183697E-01  2.014984E-02  2.227038E-02
 2.781500E+02  7.335611E-01  4.521902E-01  9.282977E-02  1.220447E-01  1.358344E-01  1.622175E-01  1.320671E-01  5.615792E-02  7.646447E-04  5.262922E-02  1.126095E-01  1.174005E-01  1.637068E-01  1.923458E-02  1.639129E-01  1.257740E-01  9.060485E-02  1.534873E-01  9.383715E-03  2.271868E-02  1.069865E-03  6.205085E-04  1.094230E-02  3.523934E-03  1.114003E-02  1.205553E-03  5.799386E-04  3.473164E-04  4.633804E-04  1.687376E-04  6.991463E-04  4.259259E-01  4.611907E-03  1.537636E-02  2.390528E-03  1.084858E-01  8.829214E-03  2.254707E-02  5.314801E-02  4.383843E-02  1.131540E-02  1.628469E-02  1.027845E-01  3.762912E-02  4.860368E-02  1.550364E-01  3.593086E-02  2.945601E-02  1.041783E-02  1.159087E-01  1.978015E-02  2.173722E-02
 2.791500E+02  7.543475E-01  4.649325E-01  9.434858E-02  1.240820E-01  1.381117E-01  1.649874E-01  1.318744E-01  5.625993E-02  7.689441E-04  5.271816E-02  1.129117E-01  1.176403E-01  1.639290E-01  1.866920E-02  1.606093E-01  1.231888E-01  8.888048E-02  1.465515E-01  8.976236E-03  2.382787E-02  1.137586E-03  6.488038E-04  1.112372E-02  3.548535E-03  1.123364E-02  1.202173E-03  5.816944E-04  3.465839E-04  4.624802E-04  1.690057E-04  7.012429E-04  4.432717E-01  4.774101E-03  1.596691E-02  2.454758E-03  1.081911E-01  8.716128E-03  2.226739E-02  5.465441E-02  4.455492E-02  1.150203E-02  1.633240E-02  1.002847E-01  3.683880E-02  4.742340E-02  1.567763E-01  3.596244E-02  2.903207E-02  1.036318E-02  1.134249E-01  1.940420E-02  2.120230E-02
 2.801500E+02  7.755131E-01  4.778245E-01  9.584192E-02  1.260868E-01  1.403532E-01  1.677157E-01  1.316072E-01  5.632880E-02  7.727906E-04  5.277608E-02  1.131471E-01  1.178106E-01  1.640549E-01  1.811074E-02  1.572775E-01  1.205844E-01  8.713569E-02  1.398470E-01  8.581298E-03  2.498235E-02  1.208903E-03  6.779982E-04  1.130246E-02  3.571315E-03  1.132161E-02  1.198072E-03  5.830761E-04  3.456402E-04  4.612972E-04  1.691658E-04  7.028887E-04  4.611073E-01  4.939270E-03  1.657064E-02  2.519158E-03  1.078394E-01  8.599467E-03  2.197825E-02  5.617237E-02  4.525634E-02  1.168480E-02  1.637011E-02  9.779193E-02  3.604442E-02  4.624636E-02  1.584402E-01  3.597071E-02  2.859529E-02  1.030205E-02  1.109211E-01  1.902250E-02  2.066637E-02
 2.811500E+02  7.970562E-01  4.908591E-01  9.730795E-02  1.280566E-01  1.425560E-01  1.703990E-01  1.312662E-01  5.636451E-02  7.761787E-04  5.280296E-02  1.133154E-01  1.179114E-01  1.640848E-01  1.755960E-02  1.539222E-01  1.179645E-01  8.537311E-02  1.333710E-01  8.198823E-03  2.618337E-02  1.283948E-03  7.080902E-04  1.147810E-02  3.592167E-03  1.140357E-02  1.193229E-03  5.840677E-04  3.444790E-04  4.598229E-04  1.692136E-04  7.040640E-04  4.794338E-01  5.107298E-03  1.718721E-02  2.583625E-03  1.074293E-01  8.479245E-03  2.167968E-02  5.770037E-02  4.594131E-02  1.186335E-02  1.639758E-02  9.530728E-02  3.524643E-02  4.507302E-02  1.600248E-01  3.595541E-02  2.814614E-02  1.023454E-02  1.084004E-01  1.863555E-02  2.013011E-02
 2.821500E+02  8.189749E-01  5.040289E-01  9.874483E-02  1.299890E-01  1.447173E-01  1.730340E-01  1.308522E-01  5.636710E-02  7.791039E-04  5.279884E-02  1.134167E-01  1.179428E-01  1.640188E-01  1.701616E-02  1.505482E-01  1.153326E-01  8.359539E-02  1.271204E-01  7.828717E-03  2.743215E-02  1.362856E-03  7.390753E-04  1.165023E-02  3.610982E-03  1.147915E-02  1.187624E-03  5.846529E-04  3.430942E-04  4.580488E-04  1.691451E-04  7.047498E-04  4.982513E-01  5.278052E-03  1.781627E-02  2.648048E-03  1.069599E-01  8.355487E-03  2.137175E-02  5.923679E-02  4.660843E-02  1.203732E-02  1.641458E-02  9.283175E-02  3.444527E-02  4.390389E-02  1.615270E-01  3.591635E-02  2.768511E-02  1.016075E-02  1.058658E-01  1.824386E-02  1.959424E-02
