#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8
 2.731500E+02  7.083565E-01  4.738701E-01  1.119084E-01  1.468824E-01  1.634184E-01  1.948561E-01  1.889758E-01  7.902276E-02  1.055346E-03  7.410502E-02  1.577604E-01  1.650100E-01  2.309028E-01  3.450133E-02  2.801195E-01  2.153894E-01  1.539360E-01  3.246473E-01  1.966183E-02
 2.741500E+02  7.295580E-01  4.888646E-01  1.142817E-01  1.500482E-01  1.669531E-01  1.991335E-01  1.898216E-01  7.964659E-02  1.067860E-03  7.468028E-02  1.591483E-01  1.663516E-01  2.326144E-01  3.371252E-02  2.764169E-01  2.124527E-01  1.520817E-01  3.124433E-01  1.895888E-02
 2.751500E+02  7.512071E-01  5.041260E-01  1.166483E-01  1.532070E-01  1.704804E-01  2.034044E-01  1.905721E-01  8.023163E-02  1.079905E-03  7.521910E-02  1.604600E-01  1.676125E-01  2.342120E-01  3.292624E-02  2.726153E-01  2.094431E-01  1.501670E-01  3.005441E-01  1.827147E-02
 2.761500E+02  7.732625E-01  5.196310E-01  1.190037E-01  1.563528E-01  1.739936E-01  2.076606E-01  1.912265E-01  8.077709E-02  1.091464E-03  7.572073E-02  1.616937E-01  1.687910E-01  2.356935E-01  3.214375E-02  2.687256E-01  2.063689E-01  1.481977E-01  2.889609E-01  1.760039E-02
 2.771500E+02  7.957335E-01  5.353789E-01  1.213462E-01  1.594832E-01  1.774902E-01  2.118991E-01  1.917843E-01  8.128239E-02  1.102521E-03  7.618466E-02  1.628480E-01  1.698858E-01  2.370573E-01  3.136562E-02  2.647527E-01  2.032339E-01  1.461765E-01  2.776908E-01  1.694561E-02
 2.781500E+02  8.186192E-01  5.513641E-01  1.236734E-01  1.625953E-01  1.809667E-01  2.161159E-01  1.922452E-01  8.174701E-02  1.113065E-03  7.661041E-02  1.639216E-01  1.708956E-01  2.383020E-01  3.059252E-02  2.607029E-01  2.000430E-01  1.441067E-01  2.667330E-01  1.630719E-02
 2.791500E+02  8.419182E-01  5.675810E-01  1.259832E-01  1.656861E-01  1.844199E-01  2.203068E-01  1.926093E-01  8.217050E-02  1.123082E-03  7.699756E-02  1.649133E-01  1.718196E-01  2.394266E-01  2.982510E-02  2.565824E-01  1.968011E-01  1.419916E-01  2.560861E-01  1.568519E-02
 2.801500E+02  8.656291E-01  5.840232E-01  1.282733E-01  1.687525E-01  1.878464E-01  2.244679E-01  1.928765E-01  8.255248E-02  1.132561E-03  7.734580E-02  1.658223E-01  1.726570E-01  2.404301E-01  2.906397E-02  2.523975E-01  1.935129E-01  1.398346E-01  2.457485E-01  1.507962E-02
 2.811500E+02  8.897499E-01  6.006843E-01  1.305414E-01  1.717916E-01  1.912429E-01  2.285952E-01  1.930471E-01  8.289269E-02  1.141490E-03  7.765487E-02  1.666478E-01  1.734069E-01  2.413119E-01  2.830973E-02  2.481545E-01  1.901833E-01  1.376392E-01  2.357180E-01  1.449049E-02
 2.821500E+02  9.142782E-01  6.175575E-01  1.327854E-01  1.748005E-01  1.946061E-01  2.326846E-01  1.931217E-01  8.319089E-02  1.149861E-03  7.792459E-02  1.673890E-01  1.740690E-01  2.420715E-01  2.756295E-02  2.438595E-01  1.868170E-01  1.354087E-01  2.259922E-01  1.391775E-02
