#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8
 2.731500E+02  5.630722E-02  7.533582E-02  2.668677E-02  3.502703E-02  3.897035E-02  4.646730E-02  6.008671E-02  2.512606E-02  3.355577E-04  2.356242E-02  5.016146E-02  5.246654E-02  7.341780E-02  1.371254E-02  1.113334E-01  8.560645E-02  6.118182E-02  1.548372E-01  9.377506E-03
 2.741500E+02  5.802304E-02  7.776053E-02  2.726707E-02  3.580081E-02  3.983422E-02  4.751232E-02  6.038739E-02  2.533774E-02  3.397153E-04  2.375782E-02  5.062939E-02  5.292096E-02  7.400094E-02  1.340608E-02  1.099196E-01  8.448370E-02  6.047664E-02  1.490950E-01  9.047000E-03
 2.751500E+02  5.977674E-02  8.023089E-02  2.784660E-02  3.657400E-02  4.069754E-02  4.855725E-02  6.065853E-02  2.553749E-02  3.437305E-04  2.394201E-02  5.107394E-02  5.335057E-02  7.454898E-02  1.310040E-02  1.084658E-01  8.333138E-02  5.974714E-02  1.434934E-01  8.723628E-03
 2.761500E+02  6.156510E-02  8.274326E-02  2.842427E-02  3.734518E-02  4.155871E-02  4.960015E-02  6.089977E-02  2.572502E-02  3.475976E-04  2.411473E-02  5.149449E-02  5.375476E-02  7.506114E-02  1.279600E-02  1.069761E-01  8.215269E-02  5.899554E-02  1.380378E-01  8.407778E-03
 2.771500E+02  6.338895E-02  8.529766E-02  2.899969E-02  3.811380E-02  4.241715E-02  5.064031E-02  6.111093E-02  2.590016E-02  3.513120E-04  2.427580E-02  5.189055E-02  5.413310E-02  7.553690E-02  1.249309E-02  1.054524E-01  8.094911E-02  5.822286E-02  1.327268E-01  8.099429E-03
 2.781500E+02  6.524834E-02  8.789335E-02  2.957231E-02  3.887916E-02  4.327205E-02  5.167679E-02  6.129190E-02  2.606270E-02  3.548690E-04  2.442504E-02  5.226170E-02  5.448519E-02  7.597579E-02  1.219194E-02  1.038971E-01  7.972251E-02  5.743037E-02  1.275603E-01  7.798624E-03
 2.791500E+02  6.714324E-02  9.052951E-02  3.014160E-02  3.964055E-02  4.412264E-02  5.270862E-02  6.144259E-02  2.621249E-02  3.582645E-04  2.456232E-02  5.260755E-02  5.481068E-02  7.637738E-02  1.189280E-02  1.023126E-01  7.847473E-02  5.661935E-02  1.225377E-01  7.505393E-03
 2.801500E+02  6.907363E-02  9.320528E-02  3.070703E-02  4.039726E-02  4.496811E-02  5.373484E-02  6.156299E-02  2.634939E-02  3.614946E-04  2.468750E-02  5.292775E-02  5.510925E-02  7.674133E-02  1.159592E-02  1.007014E-01  7.720765E-02  5.579112E-02  1.176583E-01  7.219751E-03
 2.811500E+02  7.103946E-02  9.591974E-02  3.126808E-02  4.114859E-02  4.580768E-02  5.475452E-02  6.165313E-02  2.647329E-02  3.645557E-04  2.480050E-02  5.322201E-02  5.538066E-02  7.706736E-02  1.130153E-02  9.906582E-02  7.592311E-02  5.494698E-02  1.129213E-01  6.941702E-03
 2.821500E+02  7.304065E-02  9.867192E-02  3.182423E-02  4.189384E-02  4.664058E-02  5.576671E-02  6.171309E-02  2.658410E-02  3.674445E-04  2.490123E-02  5.349008E-02  5.562470E-02  7.735527E-02  1.100986E-02  9.740828E-02  7.462298E-02  5.408823E-02  1.083256E-01  6.671237E-03
