#         T/K            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10
 2.731500E+02  1.219898E-02  2.262826E-03  5.692228E-03  7.986803E-05  1.754077E-01  2.044678E-01  1.595211E-01  6.007180E-04  1.018186E-03  2.014098E+00  2.740759E+00  2.019327E+00  5.348383E-03  8.107720E-02  8.135198E-02  1.912087E+00
 2.741500E+02  1.271675E-02  2.401072E-03  5.961147E-03  8.689166E-05  1.784306E-01  2.095239E-01  1.617409E-01  6.310450E-04  1.068035E-03  1.998752E+00  2.717742E+00  2.022481E+00  5.432094E-03  8.193916E-02  8.221410E-02  1.936986E+00
 2.751500E+02  1.325237E-02  2.546623E-03  6.240453E-03  9.447308E-05  1.814717E-01  2.146544E-01  1.639631E-01  6.626243E-04  1.119875E-03  1.983447E+00  2.694840E+00  2.025431E+00  5.516010E-03  8.279737E-02  8.307245E-02  1.961861E+00
 2.761500E+02  1.380628E-02  2.699799E-03  6.530447E-03  1.026516E-04  1.845306E-01  2.198593E-01  1.661872E-01  6.954946E-04  1.173765E-03  1.968185E+00  2.672054E+00  2.028180E+00  5.600114E-03  8.365169E-02  8.392685E-02  1.986707E+00
 2.771500E+02  1.437896E-02  2.860934E-03  6.831436E-03  1.114690E-04  1.876067E-01  2.251386E-01  1.684127E-01  7.296952E-04  1.229766E-03  1.952968E+00  2.649387E+00  2.030728E+00  5.684388E-03  8.450197E-02  8.477716E-02  2.011518E+00
 2.781500E+02  1.497086E-02  3.030370E-03  7.143732E-03  1.209696E-04  1.906997E-01  2.304923E-01  1.706393E-01  7.652663E-04  1.287938E-03  1.937798E+00  2.626840E+00  2.033078E+00  5.768815E-03  8.534804E-02  8.562323E-02  2.036289E+00
 2.791500E+02  1.558248E-02  3.208465E-03  7.467650E-03  1.312003E-04  1.938092E-01  2.359201E-01  1.728666E-01  8.022486E-04  1.348344E-03  1.922678E+00  2.604414E+00  2.035232E+00  5.853377E-03  8.618978E-02  8.646491E-02  2.061017E+00
 2.801500E+02  1.621429E-02  3.395584E-03  7.803514E-03  1.422108E-04  1.969346E-01  2.414221E-01  1.750942E-01  8.406836E-04  1.411048E-03  1.907608E+00  2.582112E+00  2.037191E+00  5.938057E-03  8.702702E-02  8.730206E-02  2.085695E+00
 2.811500E+02  1.686680E-02  3.592108E-03  8.151652E-03  1.540539E-04  2.000756E-01  2.469981E-01  1.773216E-01  8.806133E-04  1.476112E-03  1.892590E+00  2.559934E+00  2.038958E+00  6.022839E-03  8.785964E-02  8.813454E-02  2.110320E+00
 2.821500E+02  1.754049E-02  3.798427E-03  8.512394E-03  1.667851E-04  2.032317E-01  2.526480E-01  1.795486E-01  9.220806E-04  1.543604E-03  1.877627E+00  2.537881E+00  2.040534E+00  6.107705E-03  8.868749E-02  8.896221E-02  2.134886E+00
 2.831500E+02  1.823588E-02  4.014947E-03  8.886080E-03  1.804636E-04  2.064026E-01  2.583716E-01  1.817748E-01  9.651289E-04  1.613587E-03  1.862721E+00  2.515956E+00  2.041922E+00  6.192637E-03  8.951045E-02  8.978494E-02  2.159388E+00
 2.841500E+02  1.895347E-02  4.242084E-03  9.273052E-03  1.951515E-04  2.095876E-01  2.641687E-01  1.839996E-01  1.009802E-03  1.686131E-03  1.847872E+00  2.494159E+00  2.043124E+00  6.277620E-03  9.032838E-02  9.060261E-02  2.183823E+00
