#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        m1w1-1        m1w1-4        m1w2-1        m1w3-1        m1w4-1        m1w4-7        m1w4-9        m1w5-2        m1w5-3        m1w5-4        m1w5-5        m1w5-6        m1w5-9        m2w1-1        m2w1-3        m2w2-1        m2w3-1        m2w3-6        m2w3-7        m2w4-1        m2w4-4        m2w4-5        m2w4-6        m2w4-9        m3w1-1        m3w1-2        m3w2-1        m3w3-1        m3w3-3        m3w3-5        m3w3-7        m3w3-9        m4w1-2        m4w1-5        m4w2-1        m4w2-7        m4w2-8        m5w1-1        m5w1-6        m5w1-8        m5w1-9
 2.731500E+02  5.420650E-04  8.678559E-05  1.499696E-04  7.422385E-03  5.718022E-03  1.794623E-02  4.498551E-03  2.100571E-03  1.291411E-03  1.721494E-03  6.156718E-04  2.532718E-03  2.474397E-04  7.378273E-05  2.237715E-04  3.139753E-06  7.389882E-03  8.614176E-03  6.752188E-03  2.542712E-05  4.309765E-05  8.222728E-02  1.118938E-01  8.244077E-02  2.183524E-04  3.310047E-03  3.321265E-03  7.806259E-02  6.363571E-05  8.662536E-05  1.615787E-04  1.089208E-02  3.174337E-03  7.960139E-03  4.913665E-02  1.121880E-02  4.783743E-02  6.506877E-03  6.326312E-02  5.612894E-02  2.427550E-02  1.281649E-04  1.623226E-04  1.013391E-02  3.543470E-03  5.703887E-04  1.731424E-03  3.652166E-02  3.200926E-02  1.963466E-02  7.555089E-03  2.217554E-02  1.564781E-02  1.063509E-02  1.140828E-02  1.968718E-02  4.759973E-03  3.657766E-04  5.823013E-03  8.455908E-03  8.659988E-03  1.190927E-02  4.665285E-03  7.294882E-03  2.714716E-03  7.531714E-03  1.173700E-02  1.229095E-02  1.206865E-02
 2.741500E+02  5.645624E-04  9.180082E-05  1.561075E-04  7.514078E-03  5.739556E-03  1.804019E-02  4.475907E-03  2.102658E-03  1.285841E-03  1.714367E-03  6.153687E-04  2.535160E-03  2.582037E-04  7.838347E-05  2.346624E-04  3.420517E-06  7.528787E-03  8.840749E-03  6.857861E-03  2.675649E-05  4.528497E-05  8.175457E-02  1.111633E-01  8.272515E-02  2.221879E-04  3.351542E-03  3.362788E-03  7.922817E-02  6.749172E-05  9.186859E-05  1.691134E-04  1.109023E-02  3.214716E-03  8.060434E-03  4.992548E-02  1.116971E-02  4.747477E-02  6.465843E-03  6.276577E-02  5.572917E-02  2.412235E-02  1.338015E-04  1.695289E-04  1.030308E-02  3.575496E-03  5.754256E-04  1.749781E-03  3.616307E-02  3.172799E-02  1.957451E-02  7.538989E-03  2.198690E-02  1.588695E-02  1.079480E-02  1.152986E-02  1.962696E-02  4.728358E-03  3.659216E-04  5.803202E-03  8.422452E-03  8.735500E-03  1.200929E-02  4.629080E-03  7.237060E-03  2.694691E-03  7.442624E-03  1.165909E-02  1.212631E-02  1.194495E-02
 2.751500E+02  5.878127E-04  9.706344E-05  1.624408E-04  7.605628E-03  5.760447E-03  1.813217E-02  4.453012E-03  2.104485E-03  1.280182E-03  1.707117E-03  6.149953E-04  2.537288E-03  2.693528E-04  8.323370E-05  2.459907E-04  3.724008E-06  7.668791E-03  9.071052E-03  6.963871E-03  2.814310E-05  4.756352E-05  8.127988E-02  1.104321E-01  8.300036E-02  2.260411E-04  3.392962E-03  3.404234E-03  8.039530E-02  7.154937E-05  9.738582E-05  1.769339E-04  1.128977E-02  3.255042E-03  8.160577E-03  5.071707E-02  1.112002E-02  4.711256E-02  6.424657E-03  6.226932E-02  5.532937E-02  2.396880E-02  1.396360E-04  1.769914E-04  1.047308E-02  3.607255E-03  5.804166E-04  1.768044E-03  3.580662E-02  3.144777E-02  1.951286E-02  7.522229E-03  2.179886E-02  1.612679E-02  1.095491E-02  1.165079E-02  1.956518E-02  4.696647E-03  3.660224E-04  5.782947E-03  8.388424E-03  8.810285E-03  1.210827E-02  4.592890E-03  7.179265E-03  2.674640E-03  7.354347E-03  1.158090E-02  1.196362E-02  1.182200E-02
 2.761500E+02  6.118331E-04  1.025832E-04  1.689733E-04  7.697009E-03  5.780694E-03  1.822215E-02  4.429876E-03  2.106055E-03  1.274439E-03  1.699749E-03  6.145529E-04  2.539106E-03  2.808971E-04  8.834463E-05  2.577693E-04  4.051857E-06  7.809868E-03  9.305083E-03  7.070192E-03  2.958881E-05  4.993612E-05  8.080332E-02  1.097005E-01  8.326639E-02  2.299112E-04  3.434299E-03  3.445595E-03  8.156372E-02  7.581727E-05  1.031887E-04  1.850481E-04  1.149066E-02  3.295303E-03  8.260543E-03  5.151123E-02  1.106973E-02  4.675085E-02  6.383332E-03  6.177385E-02  5.492961E-02  2.381487E-02  1.456730E-04  1.847161E-04  1.064388E-02  3.638740E-03  5.853606E-04  1.786210E-03  3.545234E-02  3.116864E-02  1.944974E-02  7.504820E-03  2.161145E-02  1.636725E-02  1.111538E-02  1.177105E-02  1.950188E-02  4.664848E-03  3.660795E-04  5.762259E-03  8.353841E-03  8.884326E-03  1.220620E-02  4.556721E-03  7.121508E-03  2.654568E-03  7.266882E-03  1.150246E-02  1.180286E-02  1.169980E-02
 2.771500E+02  6.366420E-04  1.083703E-04  1.757092E-04  7.788205E-03  5.800296E-03  1.831014E-02  4.406509E-03  2.107369E-03  1.268613E-03  1.692265E-03  6.140421E-04  2.540617E-03  2.928470E-04  9.372800E-05  2.700120E-04  4.405806E-06  7.951999E-03  9.542848E-03  7.176802E-03  3.109551E-05  5.240569E-05  8.032500E-02  1.089685E-01  8.352324E-02  2.337972E-04  3.475541E-03  3.486859E-03  8.273312E-02  8.030445E-05  1.092896E-04  1.934642E-04  1.169286E-02  3.335491E-03  8.360309E-03  5.230779E-02  1.101887E-02  4.638968E-02  6.341876E-03  6.127942E-02  5.452994E-02  2.366060E-02  1.519176E-04  1.927098E-04  1.081545E-02  3.669946E-03  5.902566E-04  1.804274E-03  3.510024E-02  3.089063E-02  1.938519E-02  7.486775E-03  2.142470E-02  1.660830E-02  1.127619E-02  1.189060E-02  1.943708E-02  4.632969E-03  3.660933E-04  5.741149E-03  8.318717E-03  8.957608E-03  1.230306E-02  4.520580E-03  7.063801E-03  2.634480E-03  7.180227E-03  1.142379E-02  1.164401E-02  1.157837E-02
 2.781500E+02  6.622586E-04  1.144353E-04  1.826527E-04  7.879195E-03  5.819253E-03  1.839611E-02  4.382918E-03  2.108429E-03  1.262706E-03  1.684669E-03  6.134638E-04  2.541822E-03  3.052136E-04  9.939600E-05  2.827326E-04  4.787701E-06  8.095164E-03  9.784350E-03  7.283680E-03  3.266513E-05  5.497519E-05  7.984502E-02  1.082363E-01  8.377092E-02  2.376982E-04  3.516680E-03  3.528018E-03  8.390324E-02  8.502022E-05  1.157010E-04  2.021903E-04  1.189634E-02  3.375596E-03  8.459855E-03  5.310659E-02  1.096746E-02  4.602912E-02  6.300300E-03  6.078609E-02  5.413044E-02  2.350602E-02  1.583746E-04  2.009790E-04  1.098775E-02  3.700864E-03  5.951037E-04  1.822232E-03  3.475034E-02  3.061375E-02  1.931924E-02  7.468103E-03  2.123862E-02  1.684988E-02  1.143729E-02  1.200942E-02  1.937082E-02  4.601018E-03  3.660642E-04  5.719626E-03  8.283067E-03  9.030117E-03  1.239882E-02  4.484473E-03  7.006154E-03  2.614380E-03  7.094380E-03  1.134490E-02  1.148706E-02  1.145771E-02
 2.791500E+02  6.887018E-04  1.207889E-04  1.898078E-04  7.969962E-03  5.837567E-03  1.848007E-02  4.359110E-03  2.109239E-03  1.256722E-03  1.676965E-03  6.128189E-04  2.542724E-03  3.180078E-04  1.053612E-04  2.959451E-04  5.199506E-06  8.239343E-03  1.002959E-02  7.390804E-03  3.429964E-05  5.764763E-05  7.936347E-02  1.075039E-01  8.400944E-02  2.416132E-04  3.557705E-03  3.569062E-03  8.507379E-02  8.997422E-05  1.224362E-04  2.112348E-04  1.210108E-02  3.415611E-03  8.559159E-03  5.390746E-02  1.091550E-02  4.566920E-02  6.258612E-03  6.029392E-02  5.373117E-02  2.335117E-02  1.650493E-04  2.095304E-04  1.116076E-02  3.731491E-03  5.999010E-04  1.840081E-03  3.440265E-02  3.033803E-02  1.925191E-02  7.448817E-03  2.105322E-02  1.709195E-02  1.159866E-02  1.212749E-02  1.930313E-02  4.569001E-03  3.659927E-04  5.697699E-03  8.246904E-03  9.101837E-03  1.249346E-02  4.448406E-03  6.948575E-03  2.594272E-03  7.009338E-03  1.126582E-02  1.133198E-02  1.133783E-02
 2.801500E+02  7.159913E-04  1.274424E-04  1.971788E-04  8.060487E-03  5.855238E-03  1.856200E-02  4.335094E-03  2.109798E-03  1.250662E-03  1.669154E-03  6.121080E-04  2.543327E-03  3.312410E-04  1.116367E-04  3.096641E-04  5.643302E-06  8.384516E-03  1.027858E-02  7.498152E-03  3.600105E-05  6.042606E-05  7.888047E-02  1.067715E-01  8.423880E-02  2.455415E-04  3.598608E-03  3.609981E-03  8.624448E-02  9.517639E-05  1.295085E-04  2.206064E-04  1.230704E-02  3.455526E-03  8.658198E-03  5.471024E-02  1.086303E-02  4.530998E-02  6.216823E-03  5.980298E-02  5.333217E-02  2.319606E-02  1.719466E-04  2.183707E-04  1.133444E-02  3.761820E-03  6.046475E-04  1.857817E-03  3.405719E-02  3.006351E-02  1.918324E-02  7.428927E-03  2.086852E-02  1.733447E-02  1.176027E-02  1.224477E-02  1.923404E-02  4.536925E-03  3.658793E-04  5.675380E-03  8.210243E-03  9.172755E-03  1.258698E-02  4.412384E-03  6.891075E-03  2.574159E-03  6.925098E-03  1.118655E-02  1.117877E-02  1.121873E-02
 2.811500E+02  7.441468E-04  1.344071E-04  2.047698E-04  8.150752E-03  5.872266E-03  1.864190E-02  4.310878E-03  2.110110E-03  1.244528E-03  1.661240E-03  6.113322E-04  2.543631E-03  3.449245E-04  1.182360E-04  3.239041E-04  6.121297E-06  8.530662E-03  1.053131E-02  7.605703E-03  3.777138E-05  6.331361E-05  7.839611E-02  1.060392E-01  8.445903E-02  2.494820E-04  3.639379E-03  3.650766E-03  8.741504E-02  1.006370E-04  1.369320E-04  2.303135E-04  1.251418E-02  3.495333E-03  8.756953E-03  5.551474E-02  1.081004E-02  4.495149E-02  6.174942E-03  5.931332E-02  5.293353E-02  2.304074E-02  1.790718E-04  2.275069E-04  1.150876E-02  3.791845E-03  6.093424E-04  1.875437E-03  3.371396E-02  2.979019E-02  1.911326E-02  7.408445E-03  2.068455E-02  1.757738E-02  1.192209E-02  1.236125E-02  1.916359E-02  4.504797E-03  3.657244E-04  5.652677E-03  8.173099E-03  9.242856E-03  1.267935E-02  4.376414E-03  6.833662E-03  2.554046E-03  6.841657E-03  1.110713E-02  1.102739E-02  1.110041E-02
 2.821500E+02  7.731880E-04  1.416948E-04  2.125851E-04  8.240739E-03  5.888652E-03  1.871976E-02  4.286467E-03  2.110177E-03  1.238323E-03  1.653227E-03  6.104921E-04  2.543640E-03  3.590701E-04  1.251731E-04  3.386800E-04  6.635829E-06  8.677761E-03  1.078778E-02  7.713435E-03  3.961271E-05  6.631343E-05  7.791049E-02  1.053071E-01  8.467015E-02  2.534338E-04  3.680009E-03  3.691408E-03  8.858518E-02  1.063666E-04  1.447210E-04  2.403650E-04  1.272249E-02  3.535024E-03  8.855402E-03  5.632082E-02  1.075657E-02  4.459378E-02  6.132978E-03  5.882499E-02  5.253529E-02  2.288522E-02  1.864301E-04  2.369458E-04  1.168370E-02  3.821560E-03  6.139849E-04  1.892936E-03  3.337299E-02  2.951811E-02  1.904200E-02  7.387382E-03  2.050132E-02  1.782064E-02  1.208408E-02  1.247689E-02  1.909180E-02  4.472624E-03  3.655284E-04  5.629600E-03  8.135484E-03  9.312129E-03  1.277055E-02  4.340500E-03  6.776346E-03  2.533937E-03  6.759012E-03  1.102757E-02  1.087784E-02  1.098289E-02
