#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        m1w1-1        m1w1-4        m1w2-1        m1w3-1        m1w4-1        m1w4-7        m1w4-9        m1w5-2        m1w5-3        m1w5-4        m1w5-5        m1w5-6        m1w5-9        m2w1-1        m2w1-3        m2w2-1        m2w3-1        m2w3-6        m2w3-7        m2w4-1        m2w4-4        m2w4-5        m2w4-6        m2w4-9        m3w1-1        m3w1-2        m3w2-1        m3w3-1        m3w3-3        m3w3-5        m3w3-7        m3w3-9        m4w1-2        m4w1-5        m4w2-1        m4w2-7        m4w2-8        m5w1-1        m5w1-6        m5w1-8        m5w1-9
 2.731500E+02  3.576060E-02  4.015554E-03  6.489098E-03  3.378782E-01  2.920969E-01  9.167573E-01  2.686253E-01  1.254329E-01  7.711499E-02  1.027969E-01  3.676407E-02  1.512381E-01  6.600559E-03  5.581726E-04  6.401175E-04  8.981531E-06  8.992618E-03  1.048244E-02  3.728340E-03  1.404003E-05  2.379713E-05  2.146041E-02  2.920306E-02  2.151613E-02  5.698756E-05  8.638858E-04  8.668135E-04  2.037348E-02  1.190575E-03  1.620693E-03  1.143092E-03  3.277944E-02  4.334769E-03  1.087010E-02  6.709940E-02  7.241200E-03  3.087678E-02  4.199879E-03  4.083333E-02  3.622856E-02  1.566868E-02  2.242374E-03  2.839997E-03  7.542403E-02  1.196696E-02  1.926309E-03  5.847344E-03  5.829841E-02  5.109541E-02  3.134221E-02  1.205996E-02  3.539814E-02  2.880237E-01  1.957563E-01  9.528339E-02  7.771982E-02  1.879112E-02  1.443990E-03  2.298773E-02  3.338170E-02  1.788778E-01  2.459938E-01  4.554791E-02  7.122107E-02  2.650419E-02  1.818554E-01  2.833932E-01  2.967684E-01  2.914009E-01
 2.741500E+02  3.724762E-02  4.246758E-03  6.751463E-03  3.417947E-01  2.928953E-01  9.206087E-01  2.669243E-01  1.253937E-01  7.668214E-02  1.022377E-01  3.669801E-02  1.511863E-01  6.890214E-03  5.932023E-04  6.715350E-04  9.788518E-06  9.165359E-03  1.076251E-02  3.788273E-03  1.478024E-05  2.501535E-05  2.134624E-02  2.902489E-02  2.159966E-02  5.801359E-05  8.750925E-04  8.780289E-04  2.068659E-02  1.262831E-03  1.718944E-03  1.196518E-03  3.337963E-02  4.390475E-03  1.100848E-02  6.818535E-02  7.210538E-03  3.064704E-02  4.173984E-03  4.051804E-02  3.597562E-02  1.557203E-02  2.340555E-03  2.965525E-03  7.666977E-02  1.207317E-02  1.943007E-03  5.908386E-03  5.771746E-02  5.063893E-02  3.124157E-02  1.203248E-02  3.509182E-02  2.922900E-01  1.986040E-01  9.625546E-02  7.744820E-02  1.865815E-02  1.443930E-03  2.289950E-02  3.323508E-02  1.803040E-01  2.478762E-01  4.516159E-02  7.060520E-02  2.628957E-02  1.795217E-01  2.812260E-01  2.924958E-01  2.881211E-01
 2.751500E+02  3.878517E-02  4.489410E-03  7.022219E-03  3.457105E-01  2.936707E-01  9.243876E-01  2.652247E-01  1.253447E-01  7.624861E-02  1.016772E-01  3.662958E-02  1.511228E-01  7.190311E-03  6.301323E-04  7.042005E-04  1.066076E-05  9.339041E-03  1.104671E-02  3.848155E-03  1.555155E-05  2.628305E-05  2.122951E-02  2.884379E-02  2.167888E-02  5.903974E-05  8.862086E-04  8.891528E-04  2.099847E-02  1.338871E-03  1.822337E-03  1.251957E-03  3.398295E-02  4.445892E-03  1.114611E-02  6.927180E-02  7.178985E-03  3.041544E-02  4.147701E-03  4.020051E-02  3.572015E-02  1.547404E-02  2.442171E-03  3.095500E-03  7.792037E-02  1.217810E-02  1.959488E-03  5.968924E-03  5.713751E-02  5.018199E-02  3.113715E-02  1.200341E-02  3.478498E-02  2.965684E-01  2.014586E-01  9.722071E-02  7.716893E-02  1.852450E-02  1.443664E-03  2.280908E-02  3.308559E-02  1.817163E-01  2.497388E-01  4.477598E-02  6.999049E-02  2.607500E-02  1.772163E-01  2.790628E-01  2.882852E-01  2.848724E-01
 2.761500E+02  4.037408E-02  4.743938E-03  7.301511E-03  3.496238E-01  2.944232E-01  9.280935E-01  2.635273E-01  1.252863E-01  7.581462E-02  1.011157E-01  3.655891E-02  1.510479E-01  7.501051E-03  6.690421E-04  7.381450E-04  1.160285E-05  9.513575E-03  1.133497E-02  3.907956E-03  1.635482E-05  2.760154E-05  2.111032E-02  2.865986E-02  2.175381E-02  6.006558E-05  8.972296E-04  9.001808E-04  2.130898E-02  1.418849E-03  1.931080E-03  1.309453E-03  3.458913E-02  4.500994E-03  1.128293E-02  7.035825E-02  7.146567E-03  3.018212E-02  4.121048E-03  3.988090E-02  3.546229E-02  1.537476E-02  2.547294E-03  3.230016E-03  7.917529E-02  1.228171E-02  1.975747E-03  6.028932E-03  5.655877E-02  4.972478E-02  3.102908E-02  1.197279E-02  3.447776E-02  3.008569E-01  2.043190E-01  9.817881E-02  7.688226E-02  1.839023E-02  1.443195E-03  2.271656E-02  3.293335E-02  1.831141E-01  2.515810E-01  4.439120E-02  6.937715E-02  2.586059E-02  1.749393E-01  2.769045E-01  2.841362E-01  2.816551E-01
 2.771500E+02  4.201564E-02  5.010819E-03  7.589526E-03  3.535343E-01  2.951529E-01  9.317267E-01  2.618323E-01  1.252187E-01  7.538026E-02  1.005534E-01  3.648604E-02  1.509620E-01  7.822717E-03  7.100193E-04  7.734042E-04  1.261969E-05  9.688912E-03  1.162724E-02  3.967653E-03  1.719097E-05  2.897218E-05  2.098873E-02  2.847321E-02  2.182442E-02  6.109063E-05  9.081504E-04  9.111079E-04  2.161796E-02  1.502932E-03  2.045400E-03  1.369061E-03  3.519802E-02  4.555764E-03  1.141889E-02  7.144435E-02  7.113305E-03  2.994716E-02  4.094039E-03  3.955932E-02  3.520216E-02  1.527425E-02  2.656007E-03  3.369186E-03  8.043426E-02  1.238397E-02  1.991779E-03  6.088396E-03  5.598133E-02  4.926742E-02  3.091742E-02  1.194065E-02  3.417023E-02  3.051549E-01  2.071846E-01  9.912953E-02  7.658839E-02  1.825540E-02  1.442526E-03  2.262199E-02  3.277844E-02  1.844974E-01  2.534026E-01  4.400732E-02  6.876529E-02  2.564636E-02  1.726903E-01  2.747513E-01  2.800480E-01  2.784692E-01
 2.781500E+02  4.371115E-02  5.290548E-03  7.886452E-03  3.574414E-01  2.958600E-01  9.352873E-01  2.601400E-01  1.251420E-01  7.494562E-02  9.999047E-02  3.641102E-02  1.508652E-01  8.155596E-03  7.531543E-04  8.100145E-04  1.371652E-05  9.865000E-03  1.192349E-02  4.027222E-03  1.806089E-05  3.039635E-05  2.086481E-02  2.828391E-02  2.189071E-02  6.211442E-05  9.189660E-04  9.219289E-04  2.192529E-02  1.591293E-03  2.165535E-03  1.430837E-03  3.580946E-02  4.610181E-03  1.155395E-02  7.252971E-02  7.079221E-03  2.971065E-02  4.066687E-03  3.923591E-02  3.493985E-02  1.517255E-02  2.768397E-03  3.513123E-03  8.169699E-02  1.248486E-02  2.007581E-03  6.147296E-03  5.540532E-02  4.881001E-02  3.080224E-02  1.190701E-02  3.386247E-02  3.094617E-01  2.100551E-01  1.000727E-01  7.628747E-02  1.812004E-02  1.441659E-03  2.252542E-02  3.262094E-02  1.858658E-01  2.552034E-01  4.362441E-02  6.815501E-02  2.543237E-02  1.704690E-01  2.726037E-01  2.760196E-01  2.753144E-01
 2.791500E+02  4.546195E-02  5.583632E-03  8.192480E-03  3.613447E-01  2.965447E-01  9.387756E-01  2.584507E-01  1.250563E-01  7.451078E-02  9.942689E-02  3.633390E-02  1.507576E-01  8.499981E-03  7.985408E-04  8.480126E-04  1.489887E-05  1.004179E-02  1.222368E-02  4.086640E-03  1.896550E-05  3.187543E-05  2.073864E-02  2.809208E-02  2.195268E-02  6.313646E-05  9.296715E-04  9.326391E-04  2.223081E-02  1.684112E-03  2.291726E-03  1.494835E-03  3.642330E-02  4.664228E-03  1.168806E-02  7.361397E-02  7.044335E-03  2.947268E-02  4.039004E-03  3.891077E-02  3.467548E-02  1.506971E-02  2.884551E-03  3.661943E-03  8.296324E-02  1.258434E-02  2.023148E-03  6.205619E-03  5.483085E-02  4.835266E-02  3.068364E-02  1.187190E-02  3.355455E-02  3.137765E-01  2.129299E-01  1.010080E-01  7.597967E-02  1.798419E-02  1.440596E-03  2.242690E-02  3.246091E-02  1.872193E-01  2.569830E-01  4.324250E-02  6.754639E-02  2.521865E-02  1.682752E-01  2.704617E-01  2.720503E-01  2.721905E-01
 2.801500E+02  4.726938E-02  5.890595E-03  8.507801E-03  3.652438E-01  2.972071E-01  9.421920E-01  2.567646E-01  1.249618E-01  7.407582E-02  9.886282E-02  3.625473E-02  1.506394E-01  8.856168E-03  8.462753E-04  8.874356E-04  1.617258E-05  1.021923E-02  1.252775E-02  4.145883E-03  1.990572E-05  3.341082E-05  2.061028E-02  2.789779E-02  2.201033E-02  6.415628E-05  9.402620E-04  9.432335E-04  2.253438E-02  1.781575E-03  2.424227E-03  1.561113E-03  3.703939E-02  4.717885E-03  1.182118E-02  7.469676E-02  7.008668E-03  2.923334E-02  4.011005E-03  3.858402E-02  3.440915E-02  1.496577E-02  3.004557E-03  3.815761E-03  8.423272E-02  1.268240E-02  2.038477E-03  6.263348E-03  5.425801E-02  4.789550E-02  3.056167E-02  1.183535E-02  3.324656E-02  3.180986E-01  2.158085E-01  1.019353E-01  7.566516E-02  1.784790E-02  1.439340E-03  2.232649E-02  3.229843E-02  1.885576E-01  2.587413E-01  4.286168E-02  6.693954E-02  2.500525E-02  1.661086E-01  2.683259E-01  2.681391E-01  2.690975E-01
 2.811500E+02  4.913479E-02  6.211975E-03  8.832611E-03  3.691382E-01  2.978474E-01  9.455366E-01  2.550818E-01  1.248587E-01  7.364081E-02  9.829837E-02  3.617355E-02  1.505109E-01  9.224458E-03  8.964576E-04  9.283211E-04  1.754386E-05  1.039726E-02  1.283567E-02  4.204929E-03  2.088248E-05  3.500389E-05  2.047980E-02  2.770115E-02  2.206365E-02  6.517339E-05  9.507328E-04  9.537074E-04  2.283586E-02  1.883872E-03  2.563295E-03  1.629727E-03  3.765758E-02  4.771135E-03  1.195325E-02  7.577770E-02  6.972240E-03  2.899272E-02  3.982702E-03  3.825579E-02  3.414096E-02  1.486077E-02  3.128503E-03  3.974696E-03  8.550518E-02  1.277901E-02  2.053564E-03  6.320468E-03  5.368693E-02  4.743861E-02  3.043642E-02  1.179739E-02  3.293858E-02  3.224272E-01  2.186905E-01  1.028544E-01  7.534411E-02  1.771119E-02  1.437892E-03  2.222423E-02  3.213359E-02  1.898806E-01  2.604782E-01  4.248197E-02  6.633455E-02  2.479220E-02  1.639688E-01  2.661963E-01  2.642852E-01  2.660352E-01
 2.821500E+02  5.105959E-02  6.548327E-03  9.167104E-03  3.730274E-01  2.984658E-01  9.488097E-01  2.534027E-01  1.247471E-01  7.320583E-02  9.773364E-02  3.609040E-02  1.503721E-01  9.605159E-03  9.491906E-04  9.707070E-04  1.901927E-05  1.057584E-02  1.314738E-02  4.263754E-03  2.189671E-05  3.665606E-05  2.034727E-02  2.750224E-02  2.211264E-02  6.618732E-05  9.610792E-04  9.640562E-04  2.313510E-02  1.991199E-03  2.709200E-03  1.700735E-03  3.827771E-02  4.823959E-03  1.208424E-02  7.685643E-02  6.935074E-03  2.875090E-02  3.954109E-03  3.792618E-02  3.387102E-02  1.475476E-02  3.256479E-03  4.138866E-03  8.678033E-02  1.287416E-02  2.068406E-03  6.376964E-03  5.311769E-02  4.698212E-02  3.030796E-02  1.175803E-02  3.263066E-02  3.267617E-01  2.215753E-01  1.037651E-01  7.501668E-02  1.757411E-02  1.436257E-03  2.212017E-02  3.196645E-02  1.911881E-01  2.621932E-01  4.210345E-02  6.573149E-02  2.457954E-02  1.618557E-01  2.640733E-01  2.604878E-01  2.630034E-01
