#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.731500E+02  4.108984E-02  3.945046E-02  4.290095E-04                                 112
 2.741500E+02  4.110747E-02  3.945046E-02  4.319196E-04                                 112
 2.751500E+02  4.112535E-02  3.945046E-02  4.376955E-04                                 112
 2.761500E+02  4.114347E-02  3.945046E-02  4.431699E-04                                 112
 2.771500E+02  4.116182E-02  3.945046E-02  4.484878E-04                                 112
 2.781500E+02  4.118039E-02  3.945046E-02  4.536404E-04                                 112
 2.791500E+02  4.119918E-02  3.945046E-02  4.586198E-04                                 112
 2.801500E+02  4.121818E-02  3.945046E-02  4.634190E-04                                 112
 2.811500E+02  4.123738E-02  3.945046E-02  4.680319E-04                                 112
 2.821500E+02  4.125678E-02  3.945046E-02  4.724534E-04                                 112
 2.831500E+02  4.127637E-02  3.945046E-02  4.766797E-04                                 112
 2.841500E+02  4.129613E-02  3.945046E-02  4.807076E-04                                 112
 2.851500E+02  4.131607E-02  3.945046E-02  4.845354E-04                                 112
 2.861500E+02  4.133617E-02  3.945046E-02  4.881621E-04                                 112
 2.871500E+02  4.135643E-02  3.945046E-02  4.915882E-04                                 112
 2.881500E+02  4.137683E-02  3.945046E-02  4.948150E-04                                 112
 2.891500E+02  4.139737E-02  3.945046E-02  4.978447E-04                                 112
 2.901500E+02  4.141805E-02  3.945046E-02  5.006809E-04                                 112
 2.911500E+02  4.143885E-02  3.945046E-02  5.033279E-04                                 112
 2.921500E+02  4.145976E-02  3.945046E-02  5.057909E-04                                 112
 2.931500E+02  4.148079E-02  3.945046E-02  5.080761E-04                                 112
 2.941500E+02  4.150192E-02  3.945046E-02  5.101904E-04                                 112
 2.951500E+02  4.152314E-02  3.945046E-02  5.121414E-04                                 112
 2.961500E+02  4.154445E-02  3.945046E-02  5.139375E-04                                 112
 2.971500E+02  4.156584E-02  3.945046E-02  5.155876E-04                                 112
 2.981500E+02  4.158731E-02  3.945046E-02  5.171012E-04                                 112
 2.991500E+02  4.160885E-02  3.945046E-02  5.184881E-04                                 112
 3.001500E+02  4.163046E-02  3.945046E-02  5.197586E-04                                 112
