#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        c1w1-2        c1w2-1        c1w3-1        c1w4-1        c1w4-3        c1w5-7        c2w1-1        c2w1-9        c2w2-1        c2w3-1        c2w3-6        c2w4-6        c2w4-8        c3w1-5        c3w2-2        c3w2-8        c3w3-2        c3w3-5        c3w3-9        c4w1-2        c4w1-5        c4w1-6        c4w1-9        c4w2-6        c4w2-7        c5w1-5
 2.731500E+02  1.305958E-02  7.736602E-03  1.213468E-03  1.592706E-03  1.772012E-03  2.112904E-03  1.209747E-03  5.058717E-04  6.755899E-06  4.743903E-04  1.009918E-03  1.056327E-03  1.478146E-03  1.222412E-04  9.924877E-04  7.631432E-04  5.454085E-04  6.111650E-04  3.701438E-05  5.770126E-04  1.566113E-04  4.323401E-04  6.066194E-06  1.299603E-02  1.514911E-02  1.080862E-02  4.070267E-05  6.898891E-05  1.198103E-01  1.630363E-01  1.201213E-01  3.181530E-04  4.822945E-03  4.839290E-03  1.137421E-01  2.491270E-01  3.716389E-03  6.347429E-04  5.004580E-02  1.702382E-02  3.368749E-02  2.264760E-03  1.988699E-03  3.651799E-03  1.234810E-03  1.294489E-03  8.231869E-03  1.592025E-02  8.240066E-04  3.741374E-03  8.564828E-04  7.414675E-05  2.971180E-04  4.151283E-04  5.501800E-05  5.494095E-05  2.138930E-04  1.461785E-05  5.082513E-04  8.442960E-04  5.314586E-05
 2.741500E+02  1.309954E-02  7.593680E-03  1.151778E-03  1.512249E-03  1.682622E-03  2.006951E-03  1.103352E-03  4.629516E-04  6.207015E-06  4.340846E-04  9.250611E-04  9.669309E-04  1.352088E-03  1.059515E-04  8.687210E-04  6.676949E-04  4.779613E-04  5.096893E-04  3.092766E-05  6.047236E-04  1.668758E-04  4.541366E-04  6.619647E-06  1.324470E-02  1.555272E-02  1.096681E-02  4.278786E-05  7.241786E-05  1.188441E-01  1.615947E-01  1.202551E-01  3.229879E-04  4.872035E-03  4.888383E-03  1.151716E-01  2.542494E-01  3.785043E-03  6.409293E-04  4.909675E-02  1.678100E-02  3.297643E-02  2.242305E-03  1.967282E-03  3.555985E-03  1.198142E-03  1.254474E-03  7.723813E-03  1.507750E-02  7.848735E-04  3.525341E-03  8.075447E-04  6.934980E-05  2.783313E-04  3.880435E-04  5.072235E-05  5.020801E-05  1.953248E-04  1.341793E-05  4.599390E-04  7.623606E-04  4.629904E-05
 2.751500E+02  1.312660E-02  7.441947E-03  1.091043E-03  1.432987E-03  1.594549E-03  1.902496E-03  1.003891E-03  4.226421E-04  5.688696E-06  3.962372E-04  8.452672E-04  8.829450E-04  1.233776E-03  9.158072E-05  7.582496E-04  5.825431E-04  4.176731E-04  4.237173E-04  2.575974E-05  6.334223E-04  1.777046E-04  4.768103E-04  7.218343E-06  1.349527E-02  1.596291E-02  1.112584E-02  4.496287E-05  7.598994E-05  1.178943E-01  1.601788E-01  1.203898E-01  3.278666E-04  4.921401E-03  4.937751E-03  1.166112E-01  2.592040E-01  3.851149E-03  6.466039E-04  4.813476E-02  1.653051E-02  3.226175E-02  2.216657E-03  1.943115E-03  3.457929E-03  1.161055E-03  1.214130E-03  7.239681E-03  1.426389E-02  7.461320E-04  3.315684E-03  7.599984E-04  6.475051E-05  2.602761E-04  3.620979E-04  4.664834E-05  4.577428E-05  1.779477E-04  1.228693E-05  4.152829E-04  6.868399E-04  4.022445E-05
 2.761500E+02  1.314122E-02  7.282605E-03  1.031565E-03  1.355319E-03  1.508235E-03  1.800073E-03  9.113299E-04  3.849602E-04  5.201599E-06  3.608631E-04  7.705853E-04  8.044090E-04  1.123247E-03  7.895636E-05  6.600845E-04  5.069145E-04  3.640258E-04  3.512076E-04  2.139179E-05  6.631272E-04  1.891216E-04  5.003841E-04  7.865501E-06  1.374761E-02  1.637962E-02  1.128564E-02  4.723048E-05  7.970943E-05  1.169595E-01  1.587869E-01  1.205247E-01  3.327870E-04  4.971005E-03  4.987356E-03  1.180601E-01  2.639875E-01  3.914681E-03  6.517757E-04  4.716284E-02  1.627332E-02  3.154532E-02  2.188097E-03  1.916449E-03  3.358205E-03  1.123735E-03  1.173652E-03  6.779387E-03  1.348047E-02  7.079896E-04  3.113108E-03  7.140093E-04  6.035759E-05  2.429918E-04  3.373377E-04  4.280345E-05  4.163943E-05  1.617576E-04  1.122586E-05  3.741724E-04  6.175069E-04  3.485793E-05
 2.771500E+02  1.314394E-02  7.116843E-03  9.736028E-04  1.279590E-03  1.424066E-03  1.700141E-03  8.255544E-04  3.498881E-04  4.745913E-06  3.279444E-04  7.009953E-04  7.312901E-04  1.020436E-03  6.791019E-05  5.732200E-04  4.400248E-04  3.164890E-04  2.903100E-04  1.771567E-05  6.938584E-04  2.011517E-04  5.248819E-04  8.564537E-06  1.400165E-02  1.680277E-02  1.144611E-02  4.959350E-05  8.358062E-05  1.160385E-01  1.574173E-01  1.206587E-01  3.377463E-04  5.020810E-03  5.037161E-03  1.195173E-01  2.685987E-01  3.975635E-03  6.564562E-04  4.618387E-02  1.601039E-02  3.082886E-02  2.156914E-03  1.887542E-03  3.257357E-03  1.086359E-03  1.133224E-03  6.342691E-03  1.272797E-02  6.706281E-04  2.918174E-03  6.697108E-04  5.617683E-05  2.265061E-04  3.137927E-04  3.919138E-05  3.779949E-05  1.467362E-04  1.023478E-05  3.364692E-04  5.540909E-04  3.013589E-05
 2.781500E+02  1.313535E-02  6.945822E-03  9.173778E-04  1.206091E-03  1.342365E-03  1.603092E-03  7.463826E-04  3.173787E-04  4.321421E-06  2.974361E-04  6.364174E-04  6.634939E-04  9.251958E-04  5.828096E-05  4.966578E-04  3.810964E-04  2.745336E-04  2.393673E-04  1.463414E-05  7.256364E-04  2.138205E-04  5.503279E-04  9.319074E-06  1.425728E-02  1.723229E-02  1.160719E-02  5.205478E-05  8.760784E-05  1.151302E-01  1.560682E-01  1.207911E-01  3.427420E-04  5.070774E-03  5.087124E-03  1.209818E-01  2.730374E-01  4.034024E-03  6.606593E-04  4.520062E-02  1.574267E-02  3.011402E-02  2.123396E-03  1.856653E-03  3.155897E-03  1.049088E-03  1.093012E-03  5.929224E-03  1.200688E-02  6.342043E-04  2.731313E-03  6.272064E-04  5.221138E-05  2.108362E-04  2.914781E-04  3.581257E-05  3.424748E-05  1.328537E-04  9.312860E-06  3.020138E-04  4.962898E-04  2.599655E-05
 2.791500E+02  1.311608E-02  6.770656E-03  8.630693E-04  1.135061E-03  1.263400E-03  1.509249E-03  6.735778E-04  2.873601E-04  3.927553E-06  2.692698E-04  5.767218E-04  6.008740E-04  8.373037E-04  4.991618E-05  4.294241E-04  3.293722E-04  2.376414E-04  1.969090E-04  1.206061E-05  7.584829E-04  2.271547E-04  5.767465E-04  1.013295E-05  1.451441E-02  1.766811E-02  1.176878E-02  5.461717E-05  9.179542E-05  1.142334E-01  1.547379E-01  1.209207E-01  3.477709E-04  5.120855E-03  5.137201E-03  1.224527E-01  2.773047E-01  4.089877E-03  6.644003E-04  4.421568E-02  1.547104E-02  2.940233E-02  2.087833E-03  1.824038E-03  3.054303E-03  1.012069E-03  1.053168E-03  5.538499E-03  1.131740E-02  5.988500E-04  2.552834E-03  5.865710E-04  4.846200E-05  1.959896E-04  2.703956E-04  3.266460E-05  3.097392E-05  1.200708E-04  8.458578E-06  2.706314E-04  4.437787E-04  2.238075E-05
 2.801500E+02  1.308678E-02  6.592402E-03  8.108188E-04  1.066689E-03  1.187382E-03  1.418868E-03  6.068598E-04  2.597402E-04  3.563449E-06  2.433581E-04  5.217376E-04  5.432418E-04  7.564809E-04  4.267335E-05  3.705842E-04  2.841265E-04  2.053130E-04  1.616429E-04  9.918737E-06  7.924200E-04  2.411817E-04  6.041626E-04  1.101023E-05  1.477294E-02  1.811014E-02  1.193078E-02  5.728354E-05  9.614772E-05  1.133470E-01  1.534250E-01  1.210466E-01  3.528299E-04  5.171007E-03  5.187349E-03  1.239287E-01  2.814029E-01  4.143236E-03  6.676964E-04  4.323150E-02  1.519637E-02  2.869520E-02  2.050504E-03  1.789945E-03  2.953013E-03  9.754370E-04  1.013830E-03  5.169929E-03  1.065951E-02  5.646726E-04  2.382928E-03  5.478534E-04  4.492737E-05  1.819655E-04  2.505355E-04  2.974261E-05  2.796735E-05  1.083406E-04  7.669800E-06  2.421366E-04  3.962189E-04  1.923255E-05
 2.811500E+02  1.304812E-02  6.412051E-03  7.607310E-04  1.001117E-03  1.114469E-03  1.332140E-03  5.459159E-04  2.344113E-04  3.228008E-06  2.195994E-04  4.712615E-04  4.903755E-04  6.824034E-04  3.642075E-05  3.192533E-04  2.446727E-04  1.770742E-04  1.324427E-04  8.141760E-06  8.274708E-04  2.559299E-04  6.326016E-04  1.195521E-05  1.503278E-02  1.855833E-02  1.209312E-02  6.005678E-05  1.006691E-04  1.124699E-01  1.521277E-01  1.211680E-01  3.579159E-04  5.221186E-03  5.237522E-03  1.254088E-01  2.853351E-01  4.194154E-03  6.705653E-04  4.225035E-02  1.491947E-02  2.799392E-02  2.011680E-03  1.754614E-03  2.852422E-03  9.393099E-04  9.751170E-04  4.822842E-03  1.003299E-02  5.317558E-04  2.221683E-03  5.110783E-04  4.160428E-05  1.687551E-04  2.318775E-04  2.703971E-05  2.521477E-05  9.761030E-05  6.943915E-06  2.163380E-04  3.532654E-04  1.649977E-05
 2.821500E+02  1.300076E-02  6.230519E-03  7.128774E-04  9.384413E-04  1.044771E-03  1.249200E-03  4.904115E-04  2.112542E-04  2.919948E-06  1.978810E-04  4.250663E-04  4.420293E-04  6.147143E-04  3.103785E-05  2.746032E-04  2.103693E-04  1.524799E-04  1.083346E-04  6.671792E-06  8.636592E-04  2.714288E-04  6.620893E-04  1.297245E-05  1.529384E-02  1.901257E-02  1.225571E-02  6.293980E-05  1.053640E-04  1.116011E-01  1.508448E-01  1.212839E-01  3.630255E-04  5.271346E-03  5.287675E-03  1.268919E-01  2.891051E-01  4.242693E-03  6.730259E-04  4.127432E-02  1.464110E-02  2.729966E-02  1.971620E-03  1.718272E-03  2.752886E-03  9.037916E-04  9.371344E-04  4.496498E-03  9.437398E-03  5.001620E-04  2.069094E-03  4.762490E-04  3.848799E-05  1.563435E-04  2.143930E-04  2.454742E-05  2.270214E-05  8.782345E-05  6.277950E-06  1.930426E-04  3.145733E-04  1.413415E-05
 2.831500E+02  1.294539E-02  6.048643E-03  6.672994E-04  8.787202E-04  9.783510E-04  1.170130E-03  4.399989E-04  1.901421E-04  2.637855E-06  1.780834E-04  3.829084E-04  3.979410E-04  5.530356E-04  2.641533E-05  2.358681E-04  1.806232E-04  1.311172E-04  8.848257E-05  5.458999E-06  9.010097E-04  2.877087E-04  6.926519E-04  1.406677E-05  1.555604E-02  1.947281E-02  1.241846E-02  6.593553E-05  1.102368E-04  1.107397E-01  1.495749E-01  1.213934E-01  3.681556E-04  5.321444E-03  5.337763E-03  1.283768E-01  2.927174E-01  4.288923E-03  6.750972E-04  4.030530E-02  1.436198E-02  2.661347E-02  1.930567E-03  1.681133E-03  2.654717E-03  8.689716E-04  8.999710E-04  4.190101E-03  8.872167E-03  4.699335E-04  1.925077E-03  4.433502E-04  3.557243E-05  1.447100E-04  1.980459E-04  2.225605E-05  2.041473E-05  7.892103E-05  5.668680E-06  1.720589E-04  2.798032E-04  1.209156E-05
