#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8          c1m1        c1m2-1        c1m2-7        c1m3-6        c1m4-1        c1m5-1        c1m5-6        c2m1-1        c2m2-1        c2m2-5        c2m3-1        c2m4-1        c2m4-3        c2m4-8        c3m1-1        c3m2-3        c3m3-8        c4m1-6        c4m2-4        c4m2-5        c5m1-9
 2.731500E+02  2.217701E-01  5.507686E-02  4.828711E-03  6.337800E-03  7.051306E-03  8.407805E-03  3.027149E-03  1.265843E-03  1.690528E-05  1.187067E-03  2.527117E-03  2.643247E-03  3.698764E-03  2.051739E-04  1.665826E-03  1.280886E-03  9.154327E-04  7.167322E-04  4.340792E-05  3.417277E-02  3.323634E-03  4.652050E-03  2.098034E-01  1.570984E-01  4.930593E-01  1.251365E-01  5.843172E-02  3.592327E-02  4.788693E-02  1.712619E-02  7.045281E-02  2.683285E-01  6.614301E-03  2.170362E-02  7.913024E-03  9.234982E-01  1.753715E-01  4.469033E-01  1.432896E-02  2.779828E-02  7.169697E-03  2.448000E-02  3.939495E-01  1.417453E-01  1.862501E-01  1.833407E-02  9.920092E-03  1.948590E-02  5.393494E-04  1.445478E-02  2.435726E-03  5.009028E-04
 2.741500E+02  2.277424E-01  5.679421E-02  4.941097E-03  6.487505E-03  7.218404E-03  8.609763E-03  3.054385E-03  1.281579E-03  1.718275E-05  1.201667E-03  2.560827E-03  2.676734E-03  3.742957E-03  2.018835E-04  1.655290E-03  1.272248E-03  9.107235E-04  6.963252E-04  4.225262E-05  3.571614E-02  3.528642E-03  4.861072E-03  2.132474E-01  1.583488E-01  4.977114E-01  1.250474E-01  5.874384E-02  3.592368E-02  4.789581E-02  1.719211E-02  7.082703E-02  2.793997E-01  6.859226E-03  2.258019E-02  8.149946E-03  9.241527E-01  1.739104E-01  4.433700E-01  1.479958E-02  2.840605E-02  7.327602E-03  2.470963E-02  3.870323E-01  1.397469E-01  1.829872E-01  1.868947E-02  1.001985E-02  1.939945E-02  5.428518E-04  1.432436E-02  2.419962E-03  4.961101E-04
 2.751500E+02  2.337989E-01  5.852912E-02  5.051977E-03  6.635317E-03  7.383415E-03  8.809337E-03  3.078878E-03  1.296220E-03  1.744691E-05  1.215238E-03  2.592388E-03  2.707943E-03  3.783922E-03  1.984382E-04  1.642984E-03  1.262261E-03  9.050190E-04  6.756805E-04  4.107774E-05  3.732165E-02  3.745071E-03  5.078330E-03  2.167378E-01  1.596094E-01  5.024027E-01  1.249647E-01  5.905811E-02  3.592572E-02  4.790678E-02  1.725860E-02  7.120384E-02  2.908018E-01  7.110261E-03  2.348187E-02  8.390770E-03  9.246308E-01  1.724379E-01  4.398029E-01  1.527600E-02  2.901065E-02  7.484722E-03  2.492917E-02  3.801173E-01  1.377301E-01  1.797250E-01  1.903663E-02  1.011316E-02  1.930091E-02  5.458528E-04  1.418295E-02  2.402191E-03  4.908227E-04
 2.761500E+02  2.399302E-01  6.027886E-02  5.161105E-03  6.780908E-03  7.545975E-03  9.006090E-03  3.100575E-03  1.309732E-03  1.769716E-05  1.227748E-03  2.621727E-03  2.736803E-03  3.821570E-03  1.948511E-04  1.628979E-03  1.250981E-03  8.983550E-04  6.548738E-04  3.988787E-05  3.899001E-02  3.973368E-03  5.303976E-03  2.202717E-01  1.608788E-01  5.071290E-01  1.248882E-01  5.937440E-02  3.592929E-02  4.791973E-02  1.732562E-02  7.158309E-02  3.025309E-01  7.367298E-03  2.440845E-02  8.635343E-03  9.249284E-01  1.709551E-01  4.362044E-01  1.575763E-02  2.961119E-02  7.640828E-03  2.513835E-02  3.732117E-01  1.356976E-01  1.764669E-01  1.937489E-02  1.019990E-02  1.919073E-02  5.483511E-04  1.403116E-02  2.382505E-03  4.850696E-04
 2.771500E+02  2.461342E-01  6.204185E-02  5.268280E-03  6.924012E-03  7.705787E-03  9.199664E-03  3.119428E-03  1.322082E-03  1.793284E-05  1.239166E-03  2.648770E-03  2.763242E-03  3.855806E-03  1.911328E-04  1.613324E-03  1.238447E-03  8.907560E-04  6.339601E-04  3.868634E-05  4.072331E-02  4.214098E-03  5.538272E-03  2.238488E-01  1.621564E-01  5.118888E-01  1.248171E-01  5.969252E-02  3.593424E-02  4.793445E-02  1.739312E-02  7.196453E-02  3.145902E-01  7.630339E-03  2.536010E-02  8.883588E-03  9.250434E-01  1.694619E-01  4.325744E-01  1.624404E-02  3.020693E-02  7.795728E-03  2.533688E-02  3.663184E-01  1.336505E-01  1.732143E-01  1.970360E-02  1.027989E-02  1.906911E-02  5.503412E-04  1.386938E-02  2.360958E-03  4.788699E-04
 2.781500E+02  2.524089E-01  6.381642E-02  5.373305E-03  7.064366E-03  7.862557E-03  9.389702E-03  3.135392E-03  1.333239E-03  1.815335E-05  1.249465E-03  2.673451E-03  2.787194E-03  3.886547E-03  1.872935E-04  1.596075E-03  1.224703E-03  8.822496E-04  6.129926E-04  3.747639E-05  4.252365E-02  4.467851E-03  5.781485E-03  2.274690E-01  1.634419E-01  5.166807E-01  1.247510E-01  6.001225E-02  3.594042E-02  4.795076E-02  1.746103E-02  7.234790E-02  3.269825E-01  7.899380E-03  2.633698E-02  9.135417E-03  9.249736E-01  1.679580E-01  4.289127E-01  1.673479E-02  3.079714E-02  7.949231E-03  2.552449E-02  3.594405E-01  1.315902E-01  1.699686E-01  2.002211E-02  1.035299E-02  1.893627E-02  5.518188E-04  1.369801E-02  2.337603E-03  4.722435E-04
 2.791500E+02  2.587520E-01  6.560084E-02  5.475982E-03  7.201706E-03  8.015990E-03  9.575850E-03  3.148432E-03  1.343176E-03  1.835814E-05  1.258618E-03  2.695708E-03  2.808600E-03  3.913718E-03  1.833440E-04  1.577291E-03  1.209797E-03  8.728657E-04  5.920230E-04  3.626122E-05  4.439322E-02  4.735240E-03  6.033888E-03  2.311321E-01  1.647348E-01  5.215032E-01  1.246894E-01  6.033335E-02  3.594769E-02  4.796845E-02  1.752927E-02  7.273293E-02  3.397101E-01  8.174409E-03  2.733919E-02  9.390738E-03  9.247172E-01  1.664436E-01  4.252191E-01  1.722943E-02  3.138106E-02  8.101142E-03  2.570089E-02  3.525811E-01  1.295179E-01  1.667313E-01  2.032982E-02  1.041906E-02  1.879245E-02  5.527812E-04  1.351744E-02  2.312502E-03  4.652114E-04
 2.801500E+02  2.651612E-01  6.739334E-02  5.576117E-03  7.335774E-03  8.165798E-03  9.757757E-03  3.158521E-03  1.351869E-03  1.854667E-05  1.266605E-03  2.715486E-03  2.827409E-03  3.937254E-03  1.792950E-04  1.557035E-03  1.193777E-03  8.626368E-04  5.711010E-04  3.504392E-05  4.633422E-02  5.016900E-03  6.295757E-03  2.348377E-01  1.660346E-01  5.263549E-01  1.246318E-01  6.065562E-02  3.595589E-02  4.798733E-02  1.759780E-02  7.311935E-02  3.527753E-01  8.455407E-03  2.836684E-02  9.649451E-03  9.242723E-01  1.649186E-01  4.214937E-01  1.772747E-02  3.195795E-02  8.251267E-03  2.586584E-02  3.457430E-01  1.274349E-01  1.635038E-01  2.062611E-02  1.047795E-02  1.863791E-02  5.532271E-04  1.332813E-02  2.285718E-03  4.577955E-04
 2.811500E+02  2.716339E-01  6.919209E-02  5.673519E-03  7.466313E-03  8.311695E-03  9.935078E-03  3.165641E-03  1.359297E-03  1.871847E-05  1.273406E-03  2.732737E-03  2.843575E-03  3.957100E-03  1.751572E-04  1.535375E-03  1.176697E-03  8.515976E-04  5.502742E-04  3.382746E-05  4.834894E-02  5.313491E-03  6.567375E-03  2.385855E-01  1.673407E-01  5.312342E-01  1.245775E-01  6.097883E-02  3.596489E-02  4.800721E-02  1.766653E-02  7.350689E-02  3.661800E-01  8.742348E-03  2.941998E-02  9.911450E-03  9.236372E-01  1.633830E-01  4.177365E-01  1.822842E-02  3.252706E-02  8.399409E-03  2.601909E-02  3.389294E-01  1.253425E-01  1.602876E-01  2.091041E-02  1.052956E-02  1.847293E-02  5.531564E-04  1.313050E-02  2.257318E-03  4.500185E-04
 2.821500E+02  2.781677E-01  7.099521E-02  5.768001E-03  7.593073E-03  8.453400E-03  1.010747E-02  3.169781E-03  1.365444E-03  1.887312E-05  1.279006E-03  2.747421E-03  2.857062E-03  3.973214E-03  1.709414E-04  1.512381E-03  1.158611E-03  8.397849E-04  5.295882E-04  3.261472E-05  5.043969E-02  5.625696E-03  6.849028E-03  2.423753E-01  1.686527E-01  5.361393E-01  1.245262E-01  6.130273E-02  3.597453E-02  4.802789E-02  1.773540E-02  7.389528E-02  3.799255E-01  9.035194E-03  3.049864E-02  1.017662E-02  9.228103E-01  1.618367E-01  4.139475E-01  1.873177E-02  3.308763E-02  8.545374E-03  2.616042E-02  3.321432E-01  1.232419E-01  1.570839E-01  2.118215E-02  1.057379E-02  1.829779E-02  5.525706E-04  1.292503E-02  2.227372E-03  4.419041E-04
