#         T/K          A/kJ          G/kJ
  2.731500000000E+02   4.247418708467E+01   4.247912505701E+01
  2.741500000000E+02   4.233521127832E+01   4.234015120928E+01
  2.751500000000E+02   4.219582277475E+01   4.220076469203E+01
  2.761500000000E+02   4.205602077098E+01   4.206096470141E+01
  2.771500000000E+02   4.191580454566E+01   4.192075051585E+01
  2.781500000000E+02   4.177517346465E+01   4.178012150097E+01
  2.791500000000E+02   4.163412697881E+01   4.163907710739E+01
  2.801500000000E+02   4.149266462468E+01   4.149761687140E+01
  2.811500000000E+02   4.135078601750E+01   4.135574040798E+01
  2.821500000000E+02   4.120849085963E+01   4.121344741923E+01
  2.831500000000E+02   4.106577892764E+01   4.107073768147E+01
  2.841500000000E+02   4.092265007640E+01   4.092761104927E+01
  2.851500000000E+02   4.077910423450E+01   4.078406745097E+01
  2.861500000000E+02   4.063514140490E+01   4.064010688925E+01
  2.871500000000E+02   4.049076165676E+01   4.049572943302E+01
  2.881500000000E+02   4.034596512868E+01   4.035093522057E+01
  2.891500000000E+02   4.020075201823E+01   4.020572444988E+01
  2.901500000000E+02   4.005512260059E+01   4.006009739456E+01
  2.911500000000E+02   3.990907719409E+01   3.991405437331E+01
  2.921500000000E+02   3.976261618141E+01   3.976759576854E+01
  2.931500000000E+02   3.961573999851E+01   3.962072201594E+01
  2.941500000000E+02   3.946844913404E+01   3.947343360392E+01
  2.951500000000E+02   3.932074412686E+01   3.932573107106E+01
  2.961500000000E+02   3.917262556324E+01   3.917761500336E+01
  2.971500000000E+02   3.902409407574E+01   3.902908603316E+01
  2.981500000000E+02   3.887515034007E+01   3.888014483589E+01
  2.991500000000E+02   3.872579507361E+01   3.873079212869E+01
  3.001500000000E+02   3.857602903329E+01   3.858102866823E+01
  3.011500000000E+02   3.842585301345E+01   3.843085524862E+01
  3.021500000000E+02   3.827526784544E+01   3.828027270097E+01
  3.031500000000E+02   3.812427439378E+01   3.812928188955E+01
  3.041500000000E+02   3.797287355259E+01   3.797788370826E+01
  3.051500000000E+02   3.782106625225E+01   3.782607908723E+01
  3.061500000000E+02   3.766885344816E+01   3.767386898166E+01
  3.071500000000E+02   3.751623612303E+01   3.752125437403E+01
  3.081500000000E+02   3.736321528650E+01   3.736823627378E+01
  3.091500000000E+02   3.720979197126E+01   3.721481571336E+01
  3.101500000000E+02   3.705596723214E+01   3.706099374744E+01
  3.111500000000E+02   3.690174214498E+01   3.690677145165E+01
  3.121500000000E+02   3.674711780425E+01   3.675214992028E+01
  3.131500000000E+02   3.659209532155E+01   3.659713026476E+01
  3.141500000000E+02   3.643667582414E+01   3.644171361219E+01
  3.151500000000E+02   3.628086045337E+01   3.628590110378E+01
  3.161500000000E+02   3.612465036070E+01   3.612969389085E+01
  3.171500000000E+02   3.596804671057E+01   3.597309313772E+01
  3.181500000000E+02   3.581105067387E+01   3.581610001518E+01
  3.191500000000E+02   3.565366342848E+01   3.565871570101E+01
  3.201500000000E+02   3.285364211814E+01   3.549615419269E+01
  3.211500000000E+02   3.258525031194E+01   3.523636619128E+01
  3.221500000000E+02   3.231669481210E+01   3.497640892336E+01
  3.231500000000E+02   3.204797589799E+01   3.471628280233E+01
  3.241500000000E+02   3.177909384639E+01   3.445598823495E+01
  3.251500000000E+02   3.151004893154E+01   3.419552562162E+01
  3.261500000000E+02   3.124084142517E+01   3.393489535654E+01
  3.271500000000E+02   3.097147159657E+01   3.367409782789E+01
  3.281500000000E+02   3.070193971258E+01   3.341313341801E+01
  3.291500000000E+02   3.043224603765E+01   3.315200250356E+01
  3.301500000000E+02   3.016239083389E+01   3.289070545571E+01
  3.311500000000E+02   2.989237436111E+01   3.262924264025E+01
  3.321500000000E+02   2.962219687686E+01   3.236761441777E+01
  3.331500000000E+02   2.935185863643E+01   3.210582114379E+01
  3.341500000000E+02   2.908135989297E+01   3.184386316892E+01
  3.351500000000E+02   2.881070089747E+01   3.158174083895E+01
  3.361500000000E+02   2.853988189879E+01   3.131945449504E+01
  3.371500000000E+02   2.826890314377E+01   3.105700447377E+01
  3.381500000000E+02   2.799776487560E+01   3.079439110588E+01
  3.391500000000E+02   2.772646734038E+01   3.053161472223E+01
  3.401500000000E+02   2.745501077726E+01   3.026867564493E+01
  3.411500000000E+02   2.718339542516E+01   3.000557419356E+01
  3.421500000000E+02   2.691162152115E+01   2.974231068373E+01
  3.431500000000E+02   2.663968930044E+01   2.947888542715E+01
  3.441500000000E+02   2.636759899645E+01   2.921529873174E+01
  3.451500000000E+02   2.609535084081E+01   2.895155090175E+01
  3.461500000000E+02   2.582294506342E+01   2.868764223779E+01
  3.471500000000E+02   2.555038189245E+01   2.842357303700E+01
  3.481500000000E+02   2.527766155442E+01   2.815934359305E+01
  3.491500000000E+02   2.500478427418E+01   2.789495419630E+01
  3.501500000000E+02   2.473175027498E+01   2.763040513381E+01
  3.511500000000E+02   2.445855977848E+01   2.736569668947E+01
  3.521500000000E+02   2.418521300476E+01   2.710082914406E+01
  3.531500000000E+02   2.391171017240E+01   2.683580277531E+01
  3.541500000000E+02   2.363805149846E+01   2.657061785797E+01
  3.551500000000E+02   2.336423719852E+01   2.630527466391E+01
  3.561500000000E+02   2.309026748671E+01   2.603977346214E+01
  3.571500000000E+02   2.281614257575E+01   2.577411451893E+01
  3.581500000000E+02   2.254186267694E+01   2.550829809782E+01
  3.591500000000E+02   2.226742800021E+01   2.524232445969E+01
  3.601500000000E+02   2.199283875415E+01   2.497619386286E+01
  3.611500000000E+02   2.171809514599E+01   2.470990656311E+01
  3.621500000000E+02   2.144319738168E+01   2.444346281373E+01
  3.631500000000E+02   2.116814566588E+01   2.417686286560E+01
  3.641500000000E+02   2.089294020197E+01   2.391010696723E+01
  3.651500000000E+02   2.061758119209E+01   2.364319536481E+01
  3.661500000000E+02   2.034206883718E+01   2.337612830226E+01
  3.671500000000E+02   2.006640333695E+01   2.310890602129E+01
  3.681500000000E+02   1.979058488993E+01   2.284152876142E+01
  3.691500000000E+02   1.951461369351E+01   2.257399676005E+01
  3.701500000000E+02   1.923848994389E+01   2.230631025249E+01
  3.711500000000E+02   1.896221383618E+01   2.203846947203E+01
  3.721500000000E+02   1.868578556436E+01   2.177047464994E+01
  3.731500000000E+02   1.840920532132E+01   2.150232601554E+01
  3.741500000000E+02   1.813247329888E+01   2.123402379623E+01
  3.751500000000E+02   1.785558968780E+01   2.096556821754E+01
  3.761500000000E+02   1.757855467778E+01   2.069695950313E+01
  3.771500000000E+02   1.730136845750E+01   2.042819787490E+01
  3.781500000000E+02   1.702403121465E+01   2.015928355293E+01
  3.791500000000E+02   1.674654313588E+01   1.989021675562E+01
  3.801500000000E+02   1.646890440689E+01   1.962099769962E+01
  3.811500000000E+02   1.619111521241E+01   1.935162659994E+01
  3.821500000000E+02   1.591317573618E+01   1.908210366995E+01
  3.831500000000E+02   1.563508616106E+01   1.881242912140E+01
  3.841500000000E+02   1.535684666892E+01   1.854260316450E+01
  3.851500000000E+02   1.507845744076E+01   1.827262600789E+01
  3.861500000000E+02   1.479991865667E+01   1.800249785869E+01
  3.871500000000E+02   1.452123049583E+01   1.773221892255E+01
  3.881500000000E+02   1.424239313657E+01   1.746178940366E+01
  3.891500000000E+02   1.396340675635E+01   1.719120950476E+01
  3.901500000000E+02   1.368427153177E+01   1.692047942721E+01
  3.911500000000E+02   1.340498763859E+01   1.664959937097E+01
  3.921500000000E+02   1.312555525176E+01   1.637856953465E+01
  3.931500000000E+02   1.284597454539E+01   1.610739011553E+01
  3.941500000000E+02   1.256624569279E+01   1.583606130958E+01
  3.951500000000E+02   1.228636886648E+01   1.556458331149E+01
  3.961500000000E+02   1.200634423819E+01   1.529295631469E+01
  3.971500000000E+02   1.172617197889E+01   1.502118051136E+01
  3.981500000000E+02   1.144585225876E+01   1.474925609247E+01
  3.991500000000E+02   1.116538524723E+01   1.447718324779E+01
