#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8          c1m1        c1m2-1        c1m2-7        c1m3-6        c1m4-1        c1m5-1        c1m5-6        c2m1-1        c2m2-1        c2m2-5        c2m3-1        c2m4-1        c2m4-3        c2m4-8        c3m1-1        c3m2-3        c3m3-8        c4m1-6        c4m2-4        c4m2-5        c5m1-9
 2.731500E+02  1.424990E-02  8.897320E-03  1.470834E-03  1.930505E-03  2.147840E-03  2.561032E-03  1.545453E-03  6.462520E-04  8.630673E-06  6.060344E-04  1.290172E-03  1.349460E-03  1.888334E-03  1.645907E-04  1.336328E-03  1.027528E-03  7.343611E-04  8.673064E-04  5.252723E-05  1.622048E-03  2.929898E-04  5.712164E-04  3.189579E-02  2.772223E-02  8.700728E-02  2.460636E-02  1.148979E-02  7.063815E-03  9.416303E-03  3.367628E-03  1.385357E-02  3.202075E-02  1.099425E-03  3.607562E-03  1.628503E-03  2.206063E-01  4.668182E-02  1.189604E-01  3.224197E-03  7.744429E-03  1.997433E-03  7.916232E-03  1.419563E-01  5.107668E-02  6.711361E-02  6.914420E-03  4.342584E-03  9.505170E-03  3.196157E-04  9.545011E-03  1.608397E-03  4.477584E-04
 2.741500E+02  1.462333E-02  9.150800E-03  1.498278E-03  1.967191E-03  2.188820E-03  2.610719E-03  1.549366E-03  6.500931E-04  8.716112E-06  6.095570E-04  1.299004E-03  1.357799E-03  1.898650E-03  1.606067E-04  1.316852E-03  1.012126E-03  7.245182E-04  8.340242E-04  5.060811E-05  1.698169E-03  3.117384E-04  5.984702E-04  3.252140E-02  2.804444E-02  8.814741E-02  2.469019E-02  1.159877E-02  7.093009E-03  9.456864E-03  3.394523E-03  1.398456E-02  3.333457E-02  1.140438E-03  3.754259E-03  1.678520E-03  2.210354E-01  4.637258E-02  1.182230E-01  3.323014E-03  7.900758E-03  2.038073E-03  7.981244E-03  1.393700E-01  5.032273E-02  6.589351E-02  7.020061E-03  4.370708E-03  9.434038E-03  3.197849E-04  9.407399E-03  1.589289E-03  4.400059E-04
 2.751500E+02  1.500206E-02  9.406446E-03  1.525181E-03  2.003187E-03  2.229036E-03  2.659519E-03  1.552051E-03  6.534199E-04  8.794928E-06  6.125969E-04  1.306813E-03  1.365065E-03  1.907462E-03  1.565900E-04  1.296499E-03  9.960655E-04  7.141615E-04  8.012654E-04  4.871263E-05  1.777452E-03  3.315665E-04  6.268537E-04  3.315601E-02  2.836871E-02  8.929621E-02  2.477384E-02  1.170807E-02  7.122152E-03  9.497357E-03  3.421459E-03  1.411592E-02  3.468798E-02  1.182503E-03  3.905256E-03  1.729421E-03  2.214221E-01  4.605854E-02  1.174723E-01  3.422931E-03  8.056159E-03  2.078482E-03  8.043256E-03  1.367938E-01  4.956530E-02  6.467812E-02  7.122497E-03  4.396252E-03  9.358326E-03  3.197001E-04  9.265278E-03  1.569276E-03  4.320043E-04
 2.761500E+02  1.538582E-02  9.663978E-03  1.551493E-03  2.038426E-03  2.268415E-03  2.707344E-03  1.553508E-03  6.562262E-04  8.866956E-06  6.151488E-04  1.313586E-03  1.371244E-03  1.914754E-03  1.525489E-04  1.275327E-03  9.793924E-04  7.033219E-04  7.690776E-04  4.684394E-05  1.859983E-03  3.525244E-04  6.563994E-04  3.379940E-02  2.869485E-02  9.045314E-02  2.485722E-02  1.181764E-02  7.151218E-03  9.537745E-03  3.448421E-03  1.424760E-02  3.608115E-02  1.225618E-03  4.060570E-03  1.781189E-03  2.217653E-01  4.573974E-02  1.167083E-01  3.523854E-03  8.210442E-03  2.118610E-03  8.102189E-03  1.342292E-01  4.880495E-02  6.346803E-02  7.221546E-03  4.419179E-03  9.278193E-03  3.193631E-04  9.118971E-03  1.548410E-03  4.237761E-04
 2.771500E+02  1.577451E-02  9.923183E-03  1.577171E-03  2.072850E-03  2.306891E-03  2.754114E-03  1.553732E-03  6.585058E-04  8.932030E-06  6.172068E-04  1.319306E-03  1.376322E-03  1.920509E-03  1.484905E-04  1.253387E-03  9.621460E-04  6.920260E-04  7.374954E-04  4.500440E-05  1.945876E-03  3.746687E-04  6.871460E-04  3.445157E-02  2.902279E-02  9.161793E-02  2.494026E-02  1.192743E-02  7.180179E-03  9.577995E-03  3.475397E-03  1.437955E-02  3.751455E-02  1.269785E-03  4.220243E-03  1.833810E-03  2.220643E-01  4.541617E-02  1.159310E-01  3.625703E-03  8.363427E-03  2.158412E-03  8.157960E-03  1.316767E-01  4.804199E-02  6.226358E-02  7.317032E-03  4.439446E-03  9.193745E-03  3.187747E-04  8.968732E-03  1.526729E-03  4.153394E-04
 2.781500E+02  1.616802E-02  1.018384E-02  1.602170E-03  2.106398E-03  2.344396E-03  2.799749E-03  1.552725E-03  6.602538E-04  8.989999E-06  6.187666E-04  1.323961E-03  1.380289E-03  1.924717E-03  1.444217E-04  1.230730E-03  9.443664E-04  6.803011E-04  7.065502E-04  4.319620E-05  2.035246E-03  3.980578E-04  7.191327E-04  3.511249E-02  2.935241E-02  9.279029E-02  2.502284E-02  1.203739E-02  7.209011E-03  9.618072E-03  3.502372E-03  1.451171E-02  3.898861E-02  1.315008E-03  4.384312E-03  1.887268E-03  2.223185E-01  4.508782E-02  1.151403E-01  3.728393E-03  8.514937E-03  2.197841E-03  8.210491E-03  1.291372E-01  4.727678E-02  6.106509E-02  7.408782E-03  4.457013E-03  9.105096E-03  3.179365E-04  8.814819E-03  1.504274E-03  4.067129E-04
 2.791500E+02  1.656626E-02  1.044572E-02  1.626448E-03  2.139013E-03  2.380868E-03  2.844169E-03  1.550490E-03  6.614664E-04  9.040727E-06  6.198247E-04  1.327540E-03  1.383135E-03  1.927366E-03  1.403491E-04  1.207409E-03  9.260941E-04  6.681750E-04  6.762708E-04  4.142137E-05  2.128214E-03  4.227528E-04  7.523999E-04  3.578213E-02  2.968364E-02  9.396991E-02  2.510490E-02  1.214748E-02  7.237687E-03  9.657941E-03  3.529334E-03  1.464401E-02  4.050374E-02  1.361288E-03  4.552808E-03  1.941547E-03  2.225271E-01  4.475465E-02  1.143362E-01  3.831835E-03  8.664790E-03  2.236849E-03  8.259702E-03  1.266112E-01  4.650966E-02  5.987292E-02  7.496629E-03  4.471845E-03  9.012366E-03  3.168501E-04  8.657494E-03  1.481084E-03  3.979148E-04
 2.801500E+02  1.696911E-02  1.070857E-02  1.649960E-03  2.170638E-03  2.416240E-03  2.887297E-03  1.547033E-03  6.621410E-04  9.084097E-06  6.203790E-04  1.330036E-03  1.384855E-03  1.928454E-03  1.362792E-04  1.183477E-03  9.073704E-04  6.556761E-04  6.466825E-04  3.968175E-05  2.224901E-03  4.488171E-04  7.869886E-04  3.646046E-02  3.001637E-02  9.515648E-02  2.518633E-02  1.225765E-02  7.266181E-03  9.697566E-03  3.556267E-03  1.477639E-02  4.206032E-02  1.408625E-03  4.725761E-03  1.996629E-03  2.226896E-01  4.441668E-02  1.135187E-01  3.935935E-03  8.812803E-03  2.275390E-03  8.305522E-03  1.240996E-01  4.574096E-02  5.868738E-02  7.580411E-03  4.483911E-03  8.915678E-03  3.155182E-04  8.497020E-03  1.457203E-03  3.889639E-04
 2.811500E+02  1.737644E-02  1.097217E-02  1.672666E-03  2.201217E-03  2.450452E-03  2.929057E-03  1.542362E-03  6.622762E-04  9.120006E-06  6.204284E-04  1.331443E-03  1.385445E-03  1.927976E-03  1.322184E-04  1.158987E-03  8.882365E-04  6.428333E-04  6.178083E-04  3.797904E-05  2.325432E-03  4.763169E-04  8.229406E-04  3.714744E-02  3.035049E-02  9.634965E-02  2.526704E-02  1.236784E-02  7.294465E-03  9.736911E-03  3.583158E-03  1.490880E-02  4.365868E-02  1.457017E-03  4.903193E-03  2.052494E-03  2.228053E-01  4.407390E-02  1.126879E-01  4.040599E-03  8.958793E-03  2.313415E-03  8.347880E-03  1.216029E-01  4.497105E-02  5.750883E-02  7.659972E-03  4.493185E-03  8.815163E-03  3.139438E-04  8.333663E-03  1.432674E-03  3.798787E-04
 2.821500E+02  1.778812E-02  1.123624E-02  1.694524E-03  2.230694E-03  2.483441E-03  2.969374E-03  1.536488E-03  6.618720E-04  9.148370E-06  6.199729E-04  1.331758E-03  1.384904E-03  1.925936E-03  1.281729E-04  1.133992E-03  8.687340E-04  6.296759E-04  5.896679E-04  3.631473E-05  2.429936E-03  5.053207E-04  8.602986E-04  3.784301E-02  3.068589E-02  9.754909E-02  2.534695E-02  1.247800E-02  7.322513E-03  9.775940E-03  3.609991E-03  1.504117E-02  4.529913E-02  1.506463E-03  5.085123E-03  2.109121E-03  2.228736E-01  4.372631E-02  1.118436E-01  4.145725E-03  9.102576E-03  2.350876E-03  8.386710E-03  1.191220E-01  4.420027E-02  5.633759E-02  7.735161E-03  4.499647E-03  8.710957E-03  3.121304E-04  8.167690E-03  1.407539E-03  3.706777E-04
