#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  5.095130E+01  5.095640E+01  1.604805E+02
 2.741500E+02  5.116919E+01  5.117430E+01  1.612768E+02
 2.751500E+02  5.138625E+01  5.139136E+01  1.620671E+02
 2.761500E+02  5.160219E+01  5.160730E+01  1.628505E+02
 2.771500E+02  5.181677E+01  5.182189E+01  1.636262E+02
 2.781500E+02  5.202976E+01  5.203488E+01  1.643933E+02
 2.791500E+02  5.224095E+01  5.224608E+01  1.651513E+02
 2.801500E+02  5.245016E+01  5.245529E+01  1.658994E+02
 2.811500E+02  5.265720E+01  5.266234E+01  1.666371E+02
 2.821500E+02  5.286191E+01  5.286706E+01  1.673640E+02
 2.831500E+02  5.306417E+01  5.306932E+01  1.680796E+02
 2.841500E+02  5.326385E+01  5.326900E+01  1.687835E+02
 2.851500E+02  5.346085E+01  5.346601E+01  1.694756E+02
 2.861500E+02  5.365509E+01  5.366025E+01  1.701557E+02
 2.871500E+02  5.384650E+01  5.385167E+01  1.708234E+02
 2.881500E+02  5.403505E+01  5.404023E+01  1.714789E+02
 2.891500E+02  5.422070E+01  5.422588E+01  1.721221E+02
 2.901500E+02  5.440343E+01  5.440861E+01  1.727530E+02
 2.911500E+02  5.458324E+01  5.458843E+01  1.733717E+02
 2.921500E+02  5.476015E+01  5.476535E+01  1.739783E+02
 2.931500E+02  5.493417E+01  5.493937E+01  1.745729E+02
 2.941500E+02  5.510534E+01  5.511055E+01  1.751559E+02
 2.951500E+02  5.527370E+01  5.527891E+01  1.757273E+02
 2.961500E+02  5.543929E+01  5.544450E+01  1.762874E+02
 2.971500E+02  5.560218E+01  5.560739E+01  1.768365E+02
 2.981500E+02  5.576242E+01  5.576764E+01  1.773749E+02
 2.991500E+02  5.592007E+01  5.592530E+01  1.779028E+02
 3.001500E+02  5.607522E+01  5.608045E+01  1.784206E+02
 3.011500E+02  5.622793E+01  5.623317E+01  1.789285E+02
 3.021500E+02  5.637828E+01  5.638352E+01  1.794269E+02
 3.031500E+02  5.652634E+01  5.653159E+01  1.799162E+02
 3.041500E+02  5.667220E+01  5.667745E+01  1.803965E+02
 3.051500E+02  5.681593E+01  5.682118E+01  1.808683E+02
 3.061500E+02  5.695761E+01  5.696286E+01  1.813319E+02
 3.071500E+02  5.709732E+01  5.710258E+01  1.817875E+02
 3.081500E+02  5.723513E+01  5.724040E+01  1.822355E+02
 3.091500E+02  5.737113E+01  5.737640E+01  1.826761E+02
 3.101500E+02  5.750540E+01  5.751067E+01  1.831097E+02
 3.111500E+02  5.763799E+01  5.764327E+01  1.835366E+02
 3.121500E+02  5.776900E+01  5.777428E+01  1.839570E+02
 3.131500E+02  5.789848E+01  5.790377E+01  1.843711E+02
 3.141500E+02  5.802652E+01  5.803181E+01  1.847794E+02
 3.151500E+02  5.815317E+01  5.815846E+01  1.851819E+02
 3.161500E+02  5.827850E+01  5.828380E+01  1.855790E+02
 3.171500E+02  5.840258E+01  5.840788E+01  1.859708E+02
 3.181500E+02  5.852546E+01  5.853077E+01  1.863577E+02
 3.191500E+02  5.864722E+01  5.865253E+01  1.867398E+02
 3.201500E+02  8.001302E+01  8.254252E+01  2.615589E+02
 3.211500E+02  8.006680E+01  8.260590E+01  2.617568E+02
 3.221500E+02  8.012051E+01  8.266917E+01  2.619538E+02
 3.231500E+02  8.017413E+01  8.273235E+01  2.621499E+02
 3.241500E+02  8.022767E+01  8.279544E+01  2.623451E+02
 3.251500E+02  8.028114E+01  8.285843E+01  2.625394E+02
 3.261500E+02  8.033454E+01  8.292133E+01  2.627328E+02
 3.271500E+02  8.038787E+01  8.298414E+01  2.629253E+02
 3.281500E+02  8.044113E+01  8.304688E+01  2.631170E+02
 3.291500E+02  8.049433E+01  8.310953E+01  2.633079E+02
 3.301500E+02  8.054746E+01  8.317210E+01  2.634980E+02
 3.311500E+02  8.060054E+01  8.323460E+01  2.636872E+02
 3.321500E+02  8.065356E+01  8.329702E+01  2.638757E+02
 3.331500E+02  8.070652E+01  8.335938E+01  2.640634E+02
 3.341500E+02  8.075943E+01  8.342166E+01  2.642503E+02
 3.351500E+02  8.081229E+01  8.348388E+01  2.644365E+02
 3.361500E+02  8.086510E+01  8.354604E+01  2.646219E+02
 3.371500E+02  8.091787E+01  8.360814E+01  2.648066E+02
 3.381500E+02  8.097059E+01  8.367018E+01  2.649905E+02
 3.391500E+02  8.102327E+01  8.373216E+01  2.651738E+02
 3.401500E+02  8.107590E+01  8.379409E+01  2.653563E+02
 3.411500E+02  8.112850E+01  8.385596E+01  2.655382E+02
 3.421500E+02  8.118107E+01  8.391779E+01  2.657194E+02
 3.431500E+02  8.123360E+01  8.397957E+01  2.658999E+02
 3.441500E+02  8.128609E+01  8.404130E+01  2.660797E+02
 3.451500E+02  8.133856E+01  8.410299E+01  2.662589E+02
 3.461500E+02  8.139100E+01  8.416463E+01  2.664375E+02
 3.471500E+02  8.144341E+01  8.422624E+01  2.666154E+02
 3.481500E+02  8.149579E+01  8.428781E+01  2.667927E+02
 3.491500E+02  8.154815E+01  8.434934E+01  2.669694E+02
 3.501500E+02  8.160048E+01  8.441084E+01  2.671455E+02
 3.511500E+02  8.165280E+01  8.447231E+01  2.673210E+02
 3.521500E+02  8.170510E+01  8.453374E+01  2.674959E+02
 3.531500E+02  8.175737E+01  8.459515E+01  2.676702E+02
 3.541500E+02  8.180964E+01  8.465652E+01  2.678440E+02
 3.551500E+02  8.186188E+01  8.471787E+01  2.680172E+02
 3.561500E+02  8.191411E+01  8.477920E+01  2.681898E+02
 3.571500E+02  8.196633E+01  8.484050E+01  2.683619E+02
 3.581500E+02  8.201854E+01  8.490179E+01  2.685334E+02
 3.591500E+02  8.207074E+01  8.496305E+01  2.687044E+02
 3.601500E+02  8.212293E+01  8.502429E+01  2.688749E+02
 3.611500E+02  8.217512E+01  8.508552E+01  2.690448E+02
 3.621500E+02  8.222729E+01  8.514673E+01  2.692143E+02
 3.631500E+02  8.227947E+01  8.520792E+01  2.693832E+02
 3.641500E+02  8.233164E+01  8.526910E+01  2.695516E+02
 3.651500E+02  8.238380E+01  8.533027E+01  2.697196E+02
 3.661500E+02  8.243597E+01  8.539143E+01  2.698870E+02
 3.671500E+02  8.248813E+01  8.545258E+01  2.700540E+02
 3.681500E+02  8.254030E+01  8.551372E+01  2.702204E+02
 3.691500E+02  8.259246E+01  8.557486E+01  2.703864E+02
 3.701500E+02  8.264463E+01  8.563599E+01  2.705520E+02
 3.711500E+02  8.269681E+01  8.569711E+01  2.707171E+02
 3.721500E+02  8.274898E+01  8.575823E+01  2.708817E+02
 3.731500E+02  8.280117E+01  8.581934E+01  2.710458E+02
 3.741500E+02  8.285336E+01  8.588046E+01  2.712096E+02
 3.751500E+02  8.290555E+01  8.594157E+01  2.713729E+02
 3.761500E+02  8.295776E+01  8.600269E+01  2.715357E+02
 3.771500E+02  8.300997E+01  8.606380E+01  2.716981E+02
 3.781500E+02  8.306220E+01  8.612492E+01  2.718601E+02
 3.791500E+02  8.311443E+01  8.618604E+01  2.720217E+02
 3.801500E+02  8.316668E+01  8.624717E+01  2.721829E+02
 3.811500E+02  8.321894E+01  8.630830E+01  2.723436E+02
 3.821500E+02  8.327121E+01  8.636943E+01  2.725040E+02
 3.831500E+02  8.332349E+01  8.643057E+01  2.726639E+02
 3.841500E+02  8.337579E+01  8.649172E+01  2.728235E+02
 3.851500E+02  8.342811E+01  8.655288E+01  2.729826E+02
 3.861500E+02  8.348044E+01  8.661405E+01  2.731414E+02
 3.871500E+02  8.353279E+01  8.667523E+01  2.732997E+02
 3.881500E+02  8.358515E+01  8.673641E+01  2.734577E+02
 3.891500E+02  8.363754E+01  8.679761E+01  2.736153E+02
 3.901500E+02  8.368994E+01  8.685882E+01  2.737726E+02
 3.911500E+02  8.374236E+01  8.692005E+01  2.739294E+02
 3.921500E+02  8.379480E+01  8.698128E+01  2.740859E+02
 3.931500E+02  8.384726E+01  8.704254E+01  2.742421E+02
 3.941500E+02  8.389974E+01  8.710380E+01  2.743979E+02
 3.951500E+02  8.395224E+01  8.716508E+01  2.745533E+02
 3.961500E+02  8.400477E+01  8.722638E+01  2.747083E+02
 3.971500E+02  8.405731E+01  8.728770E+01  2.748631E+02
 3.981500E+02  8.410988E+01  8.734903E+01  2.750174E+02
 3.991500E+02  8.416248E+01  8.741038E+01  2.751715E+02
