#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  6.045598E+01  6.046323E+01
 2.741500E+02  6.046667E+01  6.047389E+01
 2.751500E+02  6.047778E+01  6.048492E+01
 2.761500E+02  6.048942E+01  6.049648E+01
 2.771500E+02  6.050170E+01  6.050866E+01
 2.781500E+02  6.051467E+01  6.052153E+01
 2.791500E+02  6.052841E+01  6.053516E+01
 2.801500E+02  6.054295E+01  6.054960E+01
 2.811500E+02  6.055834E+01  6.056488E+01
 2.821500E+02  6.057459E+01  6.058102E+01
 2.831500E+02  6.059173E+01  6.059804E+01
 2.841500E+02  6.060975E+01  6.061595E+01
 2.851500E+02  6.062864E+01  6.063474E+01
 2.861500E+02  6.064841E+01  6.065441E+01
 2.871500E+02  6.066904E+01  6.067493E+01
 2.881500E+02  6.069050E+01  6.069629E+01
 2.891500E+02  6.071277E+01  6.071848E+01
 2.901500E+02  6.073583E+01  6.074145E+01
 2.911500E+02  6.075967E+01  6.076520E+01
 2.921500E+02  6.078424E+01  6.078970E+01
 2.931500E+02  6.080953E+01  6.081492E+01
 2.941500E+02  6.083551E+01  6.084083E+01
 2.951500E+02  6.086215E+01  6.086741E+01
 2.961500E+02  6.088944E+01  6.089463E+01
 2.971500E+02  6.091734E+01  6.092248E+01
 2.981500E+02  6.094584E+01  6.095093E+01
 2.991500E+02  6.097492E+01  6.097996E+01
 3.001500E+02  6.100456E+01  6.100955E+01
 3.011500E+02  6.103473E+01  6.103968E+01
 3.021500E+02  6.106542E+01  6.107034E+01
 3.031500E+02  6.109662E+01  6.110149E+01
 3.041500E+02  6.112829E+01  6.113313E+01
 3.051500E+02  6.116044E+01  6.116524E+01
 3.061500E+02  6.119303E+01  6.119781E+01
 3.071500E+02  6.122606E+01  6.123081E+01
 3.081500E+02  6.125950E+01  6.126423E+01
 3.091500E+02  6.129335E+01  6.129805E+01
 3.101500E+02  6.132759E+01  6.133227E+01
 3.111500E+02  6.136220E+01  6.136686E+01
 3.121500E+02  6.139718E+01  6.140181E+01
 3.131500E+02  6.143250E+01  6.143711E+01
 3.141500E+02  6.146815E+01  6.147275E+01
 3.151500E+02  6.150412E+01  6.150870E+01
 3.161500E+02  6.154040E+01  6.154496E+01
 3.171500E+02  6.157697E+01  6.158152E+01
 3.181500E+02  6.161382E+01  6.161836E+01
 3.191500E+02  6.165095E+01  6.165548E+01
 3.201500E+02  6.168833E+01  6.169285E+01
 3.211500E+02  6.172596E+01  6.173047E+01
 3.221500E+02  6.176383E+01  6.176834E+01
