#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        c1w1-2        c1w2-1        c1w3-1        c1w4-1        c1w4-3        c1w5-7        c2w1-1        c2w1-9        c2w2-1        c2w3-1        c2w3-6        c2w4-6        c2w4-8        c3w1-5        c3w2-2        c3w2-8        c3w3-2        c3w3-5        c3w3-9        c4w1-2        c4w1-5        c4w1-6        c4w1-9        c4w2-6        c4w2-7        c5w1-5
 2.731500E+02  9.428840E-01  4.598694E-01  7.917838E-02  1.039235E-01  1.156232E-01  1.378663E-01  9.748082E-02  4.076291E-02  5.443872E-04  3.822615E-02  8.137872E-02  8.511835E-02  1.191083E-01  1.297531E-02  1.053477E-01  8.100392E-02  5.789245E-02  8.901486E-02  5.391064E-03  1.145889E-02  7.043095E-04  5.870676E-04  8.237184E-06  5.994430E-03  6.987537E-03  1.806386E-03  6.802418E-06  1.152975E-05  7.557298E-03  1.028388E-02  7.576919E-03  2.006821E-05  3.042179E-04  3.052490E-04  7.174533E-03  4.073175E+00  1.834660E-02  1.064405E-03  3.040745E-02  1.034354E-02  7.725260E-03  4.064700E-02  3.569236E-02  2.226321E-02  2.727623E-03  2.859451E-03  6.863013E-03  1.327292E-02  1.826348E-02  3.004605E-02  6.878200E-03  2.247400E-04  9.005694E-04  1.258261E-03  1.606323E-03  1.604074E-03  6.244887E-03  4.267873E-04  5.600654E-03  9.303684E-03  2.129127E-03
 2.741500E+02  9.672480E-01  4.700712E-01  7.969823E-02  1.046413E-01  1.164304E-01  1.388726E-01  9.600963E-02  4.028435E-02  5.401117E-04  3.777245E-02  8.049543E-02  8.413878E-02  1.176537E-01  1.236680E-02  1.013983E-01  7.793427E-02  5.578831E-02  8.312554E-02  5.044010E-03  1.174838E-02  7.151275E-04  5.723802E-04  8.343205E-06  5.523327E-03  6.485819E-03  1.614090E-03  6.297500E-06  1.065843E-05  6.430478E-03  8.743646E-03  6.506820E-03  1.747639E-05  2.636185E-04  2.645031E-04  6.231762E-03  4.141053E+00  1.813132E-02  1.015849E-03  2.746382E-02  9.386984E-03  6.781560E-03  4.082384E-02  3.581673E-02  2.142099E-02  2.547282E-03  2.667045E-03  6.036961E-03  1.178463E-02  1.796966E-02  2.848593E-02  6.525231E-03  2.060119E-04  8.268167E-04  1.152730E-03  1.557719E-03  1.541924E-03  5.998564E-03  4.120742E-04  5.192876E-03  8.607325E-03  1.986737E-03
 2.751500E+02  9.917003E-01  4.802886E-01  8.020177E-02  1.053378E-01  1.172141E-01  1.398511E-01  9.455998E-02  3.981013E-02  5.358381E-04  3.732296E-02  7.961866E-02  8.316766E-02  1.162137E-01  1.179051E-02  9.762041E-02  7.499917E-02  5.377309E-02  7.766779E-02  4.721785E-03  1.202461E-02  7.241253E-04  5.560794E-04  8.418384E-06  5.067586E-03  5.994209E-03  1.434861E-03  5.798705E-06  9.800159E-06  5.439460E-03  7.390403E-03  5.554599E-03  1.512726E-05  2.270658E-04  2.278202E-04  5.380262E-03  4.203461E+00  1.787441E-02  9.662919E-04  2.470507E-02  8.484251E-03  5.923812E-03  4.094399E-02  3.589138E-02  2.056536E-02  2.371539E-03  2.479949E-03  5.290334E-03  1.042321E-02  1.765982E-02  2.695262E-02  6.177895E-03  1.883029E-04  7.569170E-04  1.053028E-03  1.509087E-03  1.480811E-03  5.756660E-03  3.974856E-04  4.806270E-03  7.949132E-03  1.852698E-03
 2.761500E+02  1.016137E+00  4.905009E-01  8.069091E-02  1.060156E-01  1.179770E-01  1.408051E-01  9.313898E-02  3.934338E-02  5.316094E-04  3.688062E-02  7.875472E-02  8.221153E-02  1.147971E-01  1.124603E-02  9.401816E-02  7.220162E-02  5.184947E-02  7.262083E-02  4.423280E-03  1.228632E-02  7.313258E-04  5.384641E-04  8.464078E-06  4.631445E-03  5.518145E-03  1.269638E-03  5.313447E-06  8.967341E-06  4.577020E-03  6.213871E-03  4.716538E-03  1.302308E-05  1.945323E-04  1.951722E-04  4.620092E-03  4.260346E+00  1.758091E-02  9.163873E-04  2.214347E-02  7.640500E-03  5.151978E-03  4.101127E-02  3.591979E-02  1.970515E-02  2.201919E-03  2.299730E-03  4.620843E-03  9.188312E-03  1.733768E-02  2.545793E-02  5.838923E-03  1.716937E-04  6.912164E-04  9.595935E-04  1.460829E-03  1.421102E-03  5.520587E-03  3.831248E-04  4.442074E-03  7.330876E-03  1.727059E-03
 2.771500E+02  1.040561E+00  5.007134E-01  8.116748E-02  1.066771E-01  1.187217E-01  1.417376E-01  9.174806E-02  3.888485E-02  5.274375E-04  3.644613E-02  7.790517E-02  8.127199E-02  1.134063E-01  1.073163E-02  9.058416E-02  6.953573E-02  5.001376E-02  6.795187E-02  4.146647E-03  1.253353E-02  7.367944E-04  5.198083E-04  8.481749E-06  4.217665E-03  5.061436E-03  1.118642E-03  4.846830E-06  8.168431E-06  3.832693E-03  5.199413E-03  3.985297E-03  1.115559E-05  1.658348E-04  1.663749E-04  3.947596E-03  4.311875E+00  1.725550E-02  8.666391E-04  1.978167E-02  6.857639E-03  4.462713E-03  4.102924E-02  3.590519E-02  1.884679E-02  2.039321E-03  2.127296E-03  4.023969E-03  8.074959E-03  1.700566E-02  2.400838E-02  5.509841E-03  1.561989E-04  6.297969E-04  8.724961E-04  1.413129E-03  1.362942E-03  5.290887E-03  3.690368E-04  4.100204E-03  6.752137E-03  1.609474E-03
 2.781500E+02  1.064976E+00  5.109295E-01  8.163253E-02  1.073235E-01  1.194498E-01  1.426506E-01  9.038716E-02  3.843466E-02  5.233254E-04  3.601961E-02  7.707034E-02  8.034931E-02  1.120415E-01  1.024545E-02  8.730948E-02  6.699448E-02  4.826137E-02  6.362922E-02  3.890085E-03  1.276655E-02  7.406261E-04  5.003859E-04  8.473372E-06  3.828305E-03  4.627142E-03  9.817753E-04  4.402969E-06  7.410166E-06  3.195348E-03  4.331549E-03  3.352460E-03  9.512532E-06  1.407353E-04  1.411891E-04  3.357756E-03  4.358284E+00  1.690308E-02  8.175066E-04  1.761867E-02  6.136307E-03  3.851603E-03  4.100174E-02  3.585105E-02  1.799618E-02  1.884449E-03  1.963349E-03  3.494736E-03  7.076958E-03  1.666597E-02  2.260935E-02  5.191908E-03  1.418161E-04  5.726713E-04  7.917102E-04  1.366142E-03  1.306438E-03  5.067970E-03  3.552576E-04  3.780342E-03  6.212116E-03  1.499560E-03
 2.791500E+02  1.089388E+00  5.211507E-01  8.208635E-02  1.079554E-01  1.201617E-01  1.435444E-01  8.905499E-02  3.799242E-02  5.192692E-04  3.560066E-02  7.624947E-02  7.944268E-02  1.107015E-01  9.785562E-03  8.418424E-02  6.457009E-02  4.658718E-02  5.962284E-02  3.651880E-03  1.298595E-02  7.429390E-04  4.804614E-04  8.441302E-06  3.464715E-03  4.217531E-03  8.586633E-04  3.984931E-06  6.697499E-06  2.653609E-03  3.594517E-03  2.808952E-03  8.078616E-06  1.189560E-04  1.193357E-04  2.844540E-03  4.399864E+00  1.652854E-02  7.693937E-04  1.565015E-02  5.475977E-03  3.313417E-03  4.093270E-02  3.576091E-02  1.715859E-02  1.737812E-03  1.808383E-03  3.027868E-03  6.187162E-03  1.632067E-02  2.126503E-02  4.886118E-03  1.285277E-04  5.197907E-04  7.171255E-04  1.319992E-03  1.251671E-03  4.852117E-03  3.418151E-04  3.481964E-03  5.709689E-03  1.396919E-03
 2.801500E+02  1.113802E+00  5.313765E-01  8.252861E-02  1.085722E-01  1.208569E-01  1.444184E-01  8.774933E-02  3.755733E-02  5.152594E-04  3.518854E-02  7.544102E-02  7.855043E-02  1.093839E-01  9.350085E-03  8.119808E-02  6.225447E-02  4.498579E-02  5.590461E-02  3.430420E-03  1.319250E-02  7.438675E-04  4.602816E-04  8.388148E-06  3.127574E-03  3.834093E-03  7.487028E-04  3.594763E-06  6.033641E-06  2.196236E-03  2.972795E-03  2.345426E-03  6.836509E-06  1.001945E-04  1.005112E-04  2.401269E-03  4.436940E+00  1.613664E-02  7.226424E-04  1.386898E-02  4.875104E-03  2.842379E-03  4.082607E-02  3.563828E-02  1.633855E-02  1.599731E-03  1.662696E-03  2.617947E-03  5.397761E-03  1.597160E-02  1.997848E-02  4.593205E-03  1.163030E-04  4.710522E-04  6.485587E-04  1.274777E-03  1.198689E-03  4.643508E-03  3.287299E-04  3.204380E-03  5.243471E-03  1.301141E-03
 2.811500E+02  1.138219E+00  5.416033E-01  8.295845E-02  1.091728E-01  1.215340E-01  1.452711E-01  8.646751E-02  3.712836E-02  5.112835E-04  3.478230E-02  7.464301E-02  7.767048E-02  1.080857E-01  8.937222E-03  7.834098E-02  6.003978E-02  4.345191E-02  5.244896E-02  3.224238E-03  1.338705E-02  7.435563E-04  4.400707E-04  8.316671E-06  2.816978E-03  3.477626E-03  6.511234E-04  3.233604E-06  5.420271E-06  1.812469E-03  2.451560E-03  1.952640E-03  5.767866E-06  8.414016E-05  8.440342E-05  2.020981E-03  4.469858E+00  1.573194E-02  6.775338E-04  1.226594E-02  4.331355E-03  2.432449E-03  4.068578E-02  3.548667E-02  1.553995E-02  1.470365E-03  1.526416E-03  2.259586E-03  4.700628E-03  1.562045E-02  1.875185E-02  4.313696E-03  1.051016E-04  4.263129E-04  5.857741E-04  1.230580E-03  1.147527E-03  4.442255E-03  3.160183E-04  2.946796E-03  4.811920E-03  1.211828E-03
 2.821500E+02  1.162655E+00  5.518300E-01  8.337461E-02  1.097555E-01  1.221912E-01  1.461003E-01  8.520598E-02  3.670412E-02  5.073229E-04  3.438060E-02  7.385264E-02  7.679987E-02  1.068028E-01  8.545160E-03  7.560216E-02  5.791764E-02  4.197987E-02  4.923156E-02  3.031929E-03  1.357069E-02  7.421513E-04  4.200188E-04  8.229515E-06  2.532426E-03  3.148191E-03  5.650094E-04  2.901633E-06  4.857461E-06  1.492146E-03  2.016848E-03  1.621607E-03  4.853778E-06  7.047973E-05  7.069805E-05  1.696588E-03  4.498985E+00  1.531849E-02  6.342702E-04  1.082977E-02  3.841608E-03  2.077410E-03  4.051537E-02  3.530926E-02  1.476567E-02  1.349677E-03  1.399470E-03  1.947429E-03  4.087329E-03  1.526855E-02  1.758589E-02  4.047790E-03  9.487128E-05  3.853801E-04  5.284698E-04  1.187441E-03  1.098179E-03  4.248315E-03  3.036856E-04  2.708227E-03  4.413201E-03  1.128558E-03
