#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8
 2.731500E+02  5.628983E-02  7.531997E-02  2.668379E-02  3.502311E-02  3.896600E-02  4.646210E-02  6.008592E-02  2.512573E-02  3.355533E-04  2.356211E-02  5.016080E-02  5.246585E-02  7.341684E-02  1.371372E-02  1.113430E-01  8.561376E-02  6.118704E-02  1.548657E-01  9.379232E-03
 2.741500E+02  5.800510E-02  7.774423E-02  2.726407E-02  3.579687E-02  3.982983E-02  4.750710E-02  6.038676E-02  2.533747E-02  3.397117E-04  2.375757E-02  5.062886E-02  5.292041E-02  7.400017E-02  1.340728E-02  1.099294E-01  8.449124E-02  6.048203E-02  1.491232E-01  9.048708E-03
 2.751500E+02  5.975824E-02  8.021413E-02  2.784359E-02  3.657004E-02  4.069313E-02  4.855199E-02  6.065807E-02  2.553729E-02  3.437279E-04  2.394183E-02  5.107356E-02  5.335016E-02  7.454841E-02  1.310162E-02  1.084759E-01  8.333913E-02  5.975270E-02  1.435212E-01  8.725318E-03
 2.761500E+02  6.154603E-02  8.272604E-02  2.842125E-02  3.734120E-02  4.155429E-02  4.959487E-02  6.089948E-02  2.572490E-02  3.475960E-04  2.411462E-02  5.149424E-02  5.375450E-02  7.506078E-02  1.279724E-02  1.069864E-01  8.216065E-02  5.900126E-02  1.380652E-01  8.409447E-03
 2.771500E+02  6.336931E-02  8.527999E-02  2.899665E-02  3.810982E-02  4.241271E-02  5.063502E-02  6.111082E-02  2.590011E-02  3.513113E-04  2.427575E-02  5.189046E-02  5.413300E-02  7.553676E-02  1.249435E-02  1.054630E-01  8.095728E-02  5.822873E-02  1.327539E-01  8.101078E-03
 2.781500E+02  6.522810E-02  8.787521E-02  2.956927E-02  3.887517E-02  4.326761E-02  5.167148E-02  6.129197E-02  2.606273E-02  3.548694E-04  2.442507E-02  5.226176E-02  5.448525E-02  7.597588E-02  1.219322E-02  1.039080E-01  7.973087E-02  5.743639E-02  1.275869E-01  7.800251E-03
 2.791500E+02  6.712240E-02  9.051091E-02  3.013856E-02  3.963656E-02  4.411820E-02  5.270331E-02  6.144285E-02  2.621260E-02  3.582660E-04  2.456242E-02  5.260777E-02  5.481090E-02  7.637770E-02  1.189410E-02  1.023238E-01  7.848329E-02  5.662553E-02  1.225639E-01  7.506998E-03
 2.801500E+02  6.905219E-02  9.318621E-02  3.070400E-02  4.039327E-02  4.496367E-02  5.372954E-02  6.156343E-02  2.634958E-02  3.614972E-04  2.468768E-02  5.292814E-02  5.510965E-02  7.674188E-02  1.159724E-02  1.007128E-01  7.721639E-02  5.579743E-02  1.176841E-01  7.221333E-03
 2.811500E+02  7.101739E-02  9.590021E-02  3.126506E-02  4.114461E-02  4.580326E-02  5.474923E-02  6.165377E-02  2.647357E-02  3.645595E-04  2.480076E-02  5.322256E-02  5.538123E-02  7.706816E-02  1.130286E-02  9.907745E-02  7.593202E-02  5.495343E-02  1.129466E-01  6.943260E-03
 2.821500E+02  7.301795E-02  9.865193E-02  3.182122E-02  4.188987E-02  4.663617E-02  5.576144E-02  6.171393E-02  2.658446E-02  3.674494E-04  2.490156E-02  5.349080E-02  5.562545E-02  7.735632E-02  1.101120E-02  9.742014E-02  7.463206E-02  5.409481E-02  1.083505E-01  6.672770E-03
 2.831500E+02  7.505375E-02  1.014404E-01  3.237195E-02  4.262837E-02  4.746165E-02  5.676523E-02  6.174405E-02  2.668221E-02  3.701642E-04  2.499005E-02  5.373267E-02  5.584216E-02  7.760624E-02  1.072247E-02  9.574325E-02  7.331832E-02  5.322291E-02  1.038944E-01  6.409842E-03
 2.841500E+02  7.712466E-02  1.042644E-01  3.291675E-02  4.335942E-02  4.827892E-02  5.775968E-02  6.174434E-02  2.676676E-02  3.727012E-04  2.506617E-02  5.394800E-02  5.603125E-02  7.781783E-02  1.043688E-02  9.404917E-02  7.199264E-02  5.233901E-02  9.957696E-02  6.154443E-03
 2.851500E+02  7.923052E-02  1.071230E-01  3.345512E-02  4.408235E-02  4.908724E-02  5.874387E-02  6.171503E-02  2.683811E-02  3.750581E-04  2.512994E-02  5.413671E-02  5.619267E-02  7.799112E-02  1.015461E-02  9.234024E-02  7.065682E-02  5.144443E-02  9.539663E-02  5.906530E-03
 2.861500E+02  8.137116E-02  1.100149E-01  3.398657E-02  4.479650E-02  4.988586E-02  5.971691E-02  6.165642E-02  2.689626E-02  3.772330E-04  2.518135E-02  5.429874E-02  5.632642E-02  7.812618E-02  9.875854E-03  9.061879E-02  6.931264E-02  5.054045E-02  9.135168E-02  5.666049E-03
 2.871500E+02  8.354637E-02  1.129390E-01  3.451061E-02  4.550123E-02  5.067407E-02  6.067791E-02  6.156883E-02  2.694125E-02  3.792245E-04  2.522044E-02  5.443410E-02  5.643256E-02  7.822314E-02  9.600780E-03  8.888711E-02  6.796184E-02  4.962835E-02  8.744025E-02  5.432935E-03
