#         T/K          A/kJ          G/kJ
  2.731500000000E+02   1.586602805529E+01   1.587054892804E+01
  2.741500000000E+02   1.572199254587E+01   1.572651699282E+01
  2.751500000000E+02   1.557731692155E+01   1.558184496841E+01
  2.761500000000E+02   1.543200423568E+01   1.543653590353E+01
  2.771500000000E+02   1.528605807427E+01   1.529059338066E+01
  2.781500000000E+02   1.513948253502E+01   1.514402149404E+01
  2.791500000000E+02   1.499228219721E+01   1.499682481958E+01
  2.801500000000E+02   1.484446208915E+01   1.484900838234E+01
  2.811500000000E+02   1.469602765046E+01   1.470057761884E+01
  2.821500000000E+02   1.454698470098E+01   1.455153834598E+01
  2.831500000000E+02   1.439733939774E+01   1.440189671802E+01
  2.841500000000E+02   1.424709820017E+01   1.425165919180E+01
  2.851500000000E+02   1.409626782908E+01   1.410083248576E+01
  2.861500000000E+02   1.394485523440E+01   1.394942354762E+01
  2.871500000000E+02   1.379286755354E+01   1.379743951282E+01
  2.881500000000E+02   1.364031207875E+01   1.364488767184E+01
  2.891500000000E+02   1.348719622293E+01   1.349177543597E+01
  2.901500000000E+02   1.333352748756E+01   1.333811030534E+01
  2.911500000000E+02   1.317931343295E+01   1.318389983904E+01
  2.921500000000E+02   1.302456165004E+01   1.302915162700E+01
  2.931500000000E+02   1.286927973470E+01   1.287387326426E+01
  2.941500000000E+02   1.271347526341E+01   1.271807232663E+01
  2.951500000000E+02   1.255715577274E+01   1.256175635014E+01
  2.961500000000E+02   1.240032873855E+01   1.240493281031E+01
  2.971500000000E+02   1.224300156043E+01   1.224760910647E+01
  2.981500000000E+02   1.208518153878E+01   1.208979253893E+01
  2.991500000000E+02   1.192687587491E+01   1.193149030900E+01
  3.001500000000E+02   1.176809164505E+01   1.177270949303E+01
  3.011500000000E+02   1.160883579645E+01   1.161345703850E+01
  3.021500000000E+02   1.144911513976E+01   1.145373975637E+01
  3.031500000000E+02   1.128893632776E+01   1.129356429980E+01
  3.041500000000E+02   1.112830587512E+01   1.113293718393E+01
  3.051500000000E+02   1.096723012850E+01   1.097186475596E+01
  3.061500000000E+02   1.080571527007E+01   1.081035319867E+01
  3.071500000000E+02   1.064376732013E+01   1.064840853301E+01
  3.081500000000E+02   1.048139212630E+01   1.048603660730E+01
  3.091500000000E+02   1.031859536621E+01   1.032324309993E+01
