#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  4.917075E+01  4.917744E+01  1.834080E+02
 2.741500E+02  4.934804E+01  4.935473E+01  1.840559E+02
 2.751500E+02  4.952548E+01  4.953217E+01  1.847019E+02
 2.761500E+02  4.970305E+01  4.970975E+01  1.853461E+02
 2.771500E+02  4.988078E+01  4.988748E+01  1.859886E+02
 2.781500E+02  5.005865E+01  5.006536E+01  1.866292E+02
 2.791500E+02  5.023668E+01  5.024339E+01  1.872681E+02
 2.801500E+02  5.041487E+01  5.042159E+01  1.879053E+02
 2.811500E+02  5.059323E+01  5.059995E+01  1.885409E+02
 2.821500E+02  5.077176E+01  5.077849E+01  1.891748E+02
 2.831500E+02  5.095046E+01  5.095719E+01  1.898070E+02
 2.841500E+02  5.112934E+01  5.113608E+01  1.904377E+02
 2.851500E+02  5.130839E+01  5.131514E+01  1.910667E+02
 2.861500E+02  5.148762E+01  5.149437E+01  1.916942E+02
 2.871500E+02  5.166701E+01  5.167376E+01  1.923200E+02
 2.881500E+02  5.184656E+01  5.185332E+01  1.929442E+02
 2.891500E+02  5.202626E+01  5.203303E+01  1.935668E+02
 2.901500E+02  5.220610E+01  5.221287E+01  1.941877E+02
 2.911500E+02  5.238606E+01  5.239284E+01  1.948069E+02
 2.921500E+02  5.256613E+01  5.257292E+01  1.954244E+02
 2.931500E+02  5.274629E+01  5.275308E+01  1.960400E+02
 2.941500E+02  5.292650E+01  5.293330E+01  1.966537E+02
 2.951500E+02  5.310676E+01  5.311356E+01  1.972655E+02
 2.961500E+02  5.328703E+01  5.329383E+01  1.978752E+02
 2.971500E+02  5.346727E+01  5.347408E+01  1.984829E+02
 2.981500E+02  5.364746E+01  5.365428E+01  1.990883E+02
 2.991500E+02  5.382757E+01  5.383439E+01  1.996914E+02
 3.001500E+02  5.400755E+01  5.401438E+01  2.002920E+02
 3.011500E+02  5.418736E+01  5.419420E+01  2.008901E+02
 3.021500E+02  5.436697E+01  5.437382E+01  2.014856E+02
 3.031500E+02  5.454633E+01  5.455318E+01  2.020782E+02
 3.041500E+02  5.472539E+01  5.473225E+01  2.026679E+02
 3.051500E+02  5.490412E+01  5.491098E+01  2.032546E+02
 3.061500E+02  5.508245E+01  5.508932E+01  2.038381E+02
