#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  6.664835E+01  6.665296E+01
 2.741500E+02  6.668166E+01  6.668629E+01
 2.751500E+02  6.671404E+01  6.671874E+01
 2.761500E+02  6.674552E+01  6.675028E+01
 2.771500E+02  6.677611E+01  6.678092E+01
 2.781500E+02  6.680583E+01  6.681070E+01
 2.791500E+02  6.683468E+01  6.683961E+01
 2.801500E+02  6.686268E+01  6.686767E+01
 2.811500E+02  6.688986E+01  6.689491E+01
 2.821500E+02  6.691622E+01  6.692133E+01
 2.831500E+02  6.694178E+01  6.694695E+01
 2.841500E+02  6.696656E+01  6.697180E+01
 2.851500E+02  6.699058E+01  6.699588E+01
 2.861500E+02  6.701385E+01  6.701921E+01
 2.871500E+02  6.703640E+01  6.704183E+01
 2.881500E+02  6.705825E+01  6.706374E+01
 2.891500E+02  6.707941E+01  6.708497E+01
 2.901500E+02  6.709992E+01  6.710554E+01
 2.911500E+02  6.711980E+01  6.712548E+01
 2.921500E+02  6.713907E+01  6.714482E+01
 2.931500E+02  6.715776E+01  6.716357E+01
 2.941500E+02  6.717589E+01  6.718177E+01
 2.951500E+02  6.719351E+01  6.719944E+01
 2.961500E+02  6.721063E+01  6.721663E+01
 2.971500E+02  6.722729E+01  6.723335E+01
 2.981500E+02  6.724352E+01  6.724964E+01
 2.991500E+02  6.725936E+01  6.726553E+01
 3.001500E+02  6.727483E+01  6.728106E+01
 3.011500E+02  6.728998E+01  6.729627E+01
 3.021500E+02  6.730484E+01  6.731119E+01
 3.031500E+02  6.731945E+01  6.732585E+01
 3.041500E+02  6.733385E+01  6.734029E+01
 3.051500E+02  6.734807E+01  6.735456E+01
 3.061500E+02  6.736215E+01  6.736869E+01
 3.071500E+02  6.737613E+01  6.738272E+01
 3.081500E+02  6.739005E+01  6.739668E+01
 3.091500E+02  6.740395E+01  6.741062E+01
 3.101500E+02  6.741787E+01  6.742458E+01
 3.111500E+02  6.743185E+01  6.743860E+01
 3.121500E+02  6.744593E+01  6.745271E+01
 3.131500E+02  6.746014E+01  6.746695E+01
 3.141500E+02  6.747452E+01  6.748137E+01
 3.151500E+02  6.748912E+01  6.749599E+01
 3.161500E+02  6.750396E+01  6.751085E+01
 3.171500E+02  6.751908E+01  6.752600E+01
 3.181500E+02  6.753452E+01  6.754146E+01
 3.191500E+02  6.755032E+01  6.755727E+01
 3.201500E+02  6.756649E+01  6.757346E+01
 3.211500E+02  6.758308E+01  1.393478E+03
 3.221500E+02  5.569118E+01  1.386029E+03
 3.231500E+02  5.577029E+01  6.465857E+01
 3.241500E+02  5.584932E+01  6.473047E+01
 3.251500E+02  5.592826E+01  6.480239E+01
 3.261500E+02  5.600711E+01  6.487433E+01
 3.271500E+02  5.608587E+01  6.494629E+01
 3.281500E+02  5.616454E+01  6.501826E+01
 3.291500E+02  5.624311E+01  6.509024E+01
 3.301500E+02  5.632159E+01  6.516223E+01
 3.311500E+02  5.639997E+01  6.523422E+01
 3.321500E+02  5.647826E+01  6.530622E+01
 3.331500E+02  5.655644E+01  6.537821E+01
 3.341500E+02  5.663452E+01  6.545019E+01
 3.351500E+02  5.671250E+01  6.552217E+01
 3.361500E+02  5.679037E+01  6.559414E+01
 3.371500E+02  5.686813E+01  6.566609E+01
 3.381500E+02  5.694579E+01  6.573802E+01
 3.391500E+02  5.702333E+01  6.580994E+01
 3.401500E+02  5.710076E+01  6.588183E+01
 3.411500E+02  5.717809E+01  6.595370E+01
 3.421500E+02  5.725529E+01  6.602554E+01
 3.431500E+02  5.733238E+01  6.609734E+01
