#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.731500E+02  6.599009E-02  6.304921E-02  6.890795E-04                                 112
 2.741500E+02  6.603557E-02  6.304921E-02  6.928968E-04                                 112
 2.751500E+02  6.608161E-02  6.304921E-02  7.010287E-04                                 112
 2.761500E+02  6.612822E-02  6.304921E-02  7.092256E-04                                 112
 2.771500E+02  6.617541E-02  6.304921E-02  7.174964E-04                                 112
 2.781500E+02  6.622318E-02  6.304921E-02  7.258425E-04                                 112
 2.791500E+02  6.627154E-02  6.304921E-02  7.342631E-04                                 112
 2.801500E+02  6.632050E-02  6.304921E-02  7.427557E-04                                 112
 2.811500E+02  6.637006E-02  6.304921E-02  7.513159E-04                                 112
 2.821500E+02  6.642023E-02  6.304921E-02  7.599378E-04                                 112
 2.831500E+02  6.647101E-02  6.304921E-02  7.686138E-04                                 112
 2.841500E+02  6.652241E-02  6.304921E-02  7.773352E-04                                 112
 2.851500E+02  6.657443E-02  6.304921E-02  7.860917E-04                                 112
 2.861500E+02  6.662708E-02  6.304921E-02  7.948721E-04                                 112
 2.871500E+02  6.668035E-02  6.304921E-02  8.036642E-04                                 112
 2.881500E+02  6.673425E-02  6.304921E-02  8.124546E-04                                 112
 2.891500E+02  6.678879E-02  6.304921E-02  8.212292E-04                                 112
 2.901500E+02  6.684395E-02  6.304921E-02  8.299733E-04                                 112
 2.911500E+02  6.689975E-02  6.304921E-02  8.386715E-04                                 112
 2.921500E+02  6.695617E-02  6.304921E-02  8.473079E-04                                 112
 2.931500E+02  6.701321E-02  6.304921E-02  8.558659E-04                                 112
 2.941500E+02  6.707088E-02  6.304921E-02  8.643289E-04                                 112
 2.951500E+02  6.712915E-02  6.304921E-02  8.726798E-04                                 112
 2.961500E+02  6.718804E-02  6.304921E-02  8.809015E-04                                 112
 2.971500E+02  6.724753E-02  6.304921E-02  8.889766E-04                                 112
 2.981500E+02  6.730760E-02  6.304921E-02  8.968879E-04                                 112
 2.991500E+02  6.736826E-02  6.304921E-02  9.046182E-04                                 112
 3.001500E+02  6.742949E-02  6.304921E-02  9.121505E-04                                 112
 3.011500E+02  6.749127E-02  6.304921E-02  9.194680E-04                                 112
 3.021500E+02  6.755360E-02  6.304921E-02  9.265542E-04                                 112
 3.031500E+02  6.761646E-02  6.304921E-02  9.333933E-04                                 112
 3.041500E+02  6.767983E-02  6.304921E-02  9.399698E-04                                 112
 3.051500E+02  6.774369E-02  6.304921E-02  9.462689E-04                                 112
 3.061500E+02  6.780803E-02  6.304921E-02  9.522764E-04                                 112
 3.071500E+02  6.787283E-02  6.304921E-02  9.579790E-04                                 112
