#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  3.335568E+01  3.336351E+01  1.969608E+02
 2.741500E+02  3.352819E+01  3.353603E+01  1.975912E+02
 2.751500E+02  3.370111E+01  3.370896E+01  1.982209E+02
 2.761500E+02  3.387434E+01  3.388220E+01  1.988493E+02
 2.771500E+02  3.404783E+01  3.405569E+01  1.994764E+02
 2.781500E+02  3.422152E+01  3.422938E+01  2.001020E+02
 2.791500E+02  3.439535E+01  3.440322E+01  2.007259E+02
 2.801500E+02  3.456928E+01  3.457715E+01  2.013478E+02
 2.811500E+02  3.474324E+01  3.475112E+01  2.019677E+02
 2.821500E+02  3.491718E+01  3.492506E+01  2.025853E+02
 2.831500E+02  3.509105E+01  3.509894E+01  2.032005E+02
 2.841500E+02  3.526479E+01  3.527268E+01  2.038130E+02
 2.851500E+02  3.543835E+01  3.544624E+01  2.044227E+02
 2.861500E+02  3.561167E+01  3.561957E+01  2.050295E+02
 2.871500E+02  3.578471E+01  3.579262E+01  2.056332E+02
 2.881500E+02  3.595742E+01  3.596533E+01  2.062336E+02
 2.891500E+02  3.612975E+01  3.613767E+01  2.068307E+02
 2.901500E+02  3.630165E+01  3.630958E+01  2.074242E+02
 2.911500E+02  3.647309E+01  3.648102E+01  2.080141E+02
 2.921500E+02  3.664403E+01  3.665197E+01  2.086002E+02
 2.931500E+02  3.681443E+01  3.682237E+01  2.091825E+02
 2.941500E+02  3.698425E+01  3.699220E+01  2.097608E+02
 2.951500E+02  3.715347E+01  3.716143E+01  2.103352E+02
 2.961500E+02  3.732207E+01  3.733003E+01  2.109054E+02
 2.971500E+02  3.749000E+01  3.749797E+01  2.114716E+02
 2.981500E+02  3.765727E+01  3.766524E+01  2.120335E+02
 2.991500E+02  3.782384E+01  3.783181E+01  2.125913E+02
 3.001500E+02  3.798969E+01  3.799768E+01  2.131448E+02
 3.011500E+02  3.815483E+01  3.816282E+01  2.136941E+02
 3.021500E+02  3.831923E+01  3.832723E+01  2.142391E+02
 3.031500E+02  3.848289E+01  3.849089E+01  2.147799E+02
 3.041500E+02  3.864580E+01  3.865381E+01  2.153164E+02
 3.051500E+02  3.880795E+01  3.881597E+01  2.158487E+02
 3.061500E+02  3.896935E+01  3.897737E+01  2.163768E+02
 3.071500E+02  3.912999E+01  3.913802E+01  2.169007E+02
 3.081500E+02  3.928987E+01  3.929790E+01  2.174203E+02
 3.091500E+02  3.944899E+01  3.945703E+01  2.179359E+02
 3.101500E+02  3.960735E+01  3.961539E+01  2.184473E+02
 3.111500E+02  3.976495E+01  3.977300E+01  2.189547E+02
 3.121500E+02  3.992180E+01  3.992986E+01  2.194580E+02
 3.131500E+02  4.007790E+01  4.008597E+01  2.199573E+02
 3.141500E+02  4.023326E+01  4.024133E+01  2.204527E+02
 3.151500E+02  4.038787E+01  4.039596E+01  2.209441E+02
 3.161500E+02  4.054175E+01  4.054984E+01  2.214316E+02
 3.171500E+02  4.069490E+01  4.070299E+01  2.219153E+02
 3.181500E+02  4.084732E+01  4.085542E+01  2.223951E+02
 3.191500E+02  4.099901E+01  4.100712E+01  2.228712E+02
 3.201500E+02  4.114999E+01  4.115811E+01  2.233435E+02
 3.211500E+02  4.130026E+01  4.130838E+01  2.238122E+02
 3.221500E+02  4.144982E+01  4.145795E+01  2.242772E+02
 3.231500E+02  4.159868E+01  4.160681E+01  2.247386E+02
 3.241500E+02  4.174684E+01  4.175498E+01  2.251964E+02
 3.251500E+02  4.189431E+01  4.190246E+01  2.256506E+02
 3.261500E+02  4.204109E+01  4.204925E+01  2.261014E+02
 3.271500E+02  4.218719E+01  4.219535E+01  2.265487E+02
 3.281500E+02  4.233261E+01  4.234078E+01  2.269926E+02
 3.291500E+02  4.247736E+01  4.248554E+01  2.274330E+02
 3.301500E+02  6.539371E+01  6.814264E+01  3.051846E+02
 3.311500E+02  6.545674E+01  6.821402E+01  3.054010E+02
 3.321500E+02  6.551985E+01  6.828549E+01  3.056169E+02
 3.331500E+02  6.558305E+01  6.835704E+01  3.058325E+02
 3.341500E+02  6.564633E+01  6.842867E+01  3.060476E+02
 3.351500E+02  6.570969E+01  6.850038E+01  3.062624E+02
 3.361500E+02  6.577314E+01  6.857217E+01  3.064767E+02
 3.371500E+02  6.583666E+01  6.864405E+01  3.066907E+02
 3.381500E+02  6.590027E+01  6.871601E+01  3.069042E+02
 3.391500E+02  6.596396E+01  6.878805E+01  3.071174E+02
 3.401500E+02  6.602774E+01  6.886017E+01  3.073301E+02
 3.411500E+02  6.609159E+01  6.893237E+01  3.075425E+02
 3.421500E+02  6.615553E+01  6.900465E+01  3.077545E+02
 3.431500E+02  6.621954E+01  6.907701E+01  3.079661E+02
 3.441500E+02  6.628364E+01  6.914946E+01  3.081773E+02
 3.451500E+02  6.634782E+01  6.922198E+01  3.083882E+02
 3.461500E+02  6.641208E+01  6.929458E+01  3.085986E+02
 3.471500E+02  6.647642E+01  6.936727E+01  3.088087E+02
 3.481500E+02  6.654084E+01  6.944003E+01  3.090184E+02
 3.491500E+02  6.660534E+01  6.951287E+01  3.092277E+02
 3.501500E+02  6.666992E+01  6.958580E+01  3.094367E+02
 3.511500E+02  6.673459E+01  6.965880E+01  3.096453E+02
 3.521500E+02  6.679933E+01  6.973188E+01  3.098535E+02
 3.531500E+02  6.686415E+01  6.980504E+01  3.100613E+02
 3.541500E+02  6.692905E+01  6.987828E+01  3.102688E+02
 3.551500E+02  6.699402E+01  6.995160E+01  3.104759E+02
 3.561500E+02  6.705908E+01  7.002499E+01  3.106826E+02
 3.571500E+02  6.712422E+01  7.009847E+01  3.108890E+02
 3.581500E+02  6.718943E+01  7.017202E+01  3.110950E+02
 3.591500E+02  6.725472E+01  7.024565E+01  3.113007E+02
 3.601500E+02  6.732009E+01  7.031936E+01  3.115060E+02
 3.611500E+02  6.738554E+01  7.039314E+01  3.117110E+02
 3.621500E+02  6.745107E+01  7.046701E+01  3.119155E+02
 3.631500E+02  6.751667E+01  7.054094E+01  3.121198E+02
 3.641500E+02  6.758235E+01  7.061496E+01  3.123237E+02
 3.651500E+02  6.764811E+01  7.068905E+01  3.125272E+02
 3.661500E+02  6.771394E+01  7.076322E+01  3.127304E+02
 3.671500E+02  6.777985E+01  7.083747E+01  3.129332E+02
 3.681500E+02  6.784584E+01  7.091179E+01  3.131357E+02
 3.691500E+02  6.791190E+01  7.098618E+01  3.133379E+02
 3.701500E+02  6.797804E+01  7.106066E+01  3.135397E+02
 3.711500E+02  6.804425E+01  7.113520E+01  3.137411E+02
 3.721500E+02  6.811054E+01  7.120983E+01  3.139422E+02
 3.731500E+02  6.817690E+01  7.128452E+01  3.141430E+02
 3.741500E+02  6.824334E+01  7.135930E+01  3.143434E+02
 3.751500E+02  6.830986E+01  7.143414E+01  3.145435E+02
 3.761500E+02  6.837645E+01  7.150906E+01  3.147433E+02
 3.771500E+02  6.844311E+01  7.158406E+01  3.149427E+02
 3.781500E+02  6.850985E+01  7.165913E+01  3.151418E+02
 3.791500E+02  6.857666E+01  7.173427E+01  3.153406E+02
 3.801500E+02  6.864354E+01  7.180948E+01  3.155390E+02
 3.811500E+02  6.871050E+01  7.188477E+01  3.157371E+02
 3.821500E+02  6.877753E+01  7.196014E+01  3.159348E+02
 3.831500E+02  6.884464E+01  7.203557E+01  3.161323E+02
 3.841500E+02  6.891181E+01  7.211108E+01  3.163294E+02
 3.851500E+02  6.897906E+01  7.218666E+01  3.165262E+02
 3.861500E+02  6.904638E+01  7.226231E+01  3.167226E+02
 3.871500E+02  6.911378E+01  7.233803E+01  3.169188E+02
 3.881500E+02  6.918125E+01  7.241383E+01  3.171146E+02
 3.891500E+02  6.924878E+01  7.248969E+01  3.173101E+02
 3.901500E+02  6.931639E+01  7.256563E+01  3.175053E+02
