#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.731500E+02  7.735103E-02  7.437103E-02  5.883824E-04                                 112
 2.741500E+02  7.739655E-02  7.437103E-02  5.926654E-04                                 112
 2.751500E+02  7.744277E-02  7.437103E-02  6.014192E-04                                 112
 2.761500E+02  7.748970E-02  7.437103E-02  6.099699E-04                                 112
 2.771500E+02  7.753731E-02  7.437103E-02  6.184145E-04                                 112
 2.781500E+02  7.758560E-02  7.437103E-02  6.267426E-04                                 112
 2.791500E+02  7.763456E-02  7.437103E-02  6.349442E-04                                 112
 2.801500E+02  7.768418E-02  7.437103E-02  6.430097E-04                                 112
 2.811500E+02  7.773446E-02  7.437103E-02  6.509305E-04                                 112
 2.821500E+02  7.778538E-02  7.437103E-02  6.586987E-04                                 112
 2.831500E+02  7.783694E-02  7.437103E-02  6.663073E-04                                 112
 2.841500E+02  7.788911E-02  7.437103E-02  6.737505E-04                                 112
 2.851500E+02  7.794189E-02  7.437103E-02  6.810235E-04                                 112
 2.861500E+02  7.799527E-02  7.437103E-02  6.881226E-04                                 112
 2.871500E+02  7.804923E-02  7.437103E-02  6.950455E-04                                 112
 2.881500E+02  7.810377E-02  7.437103E-02  7.017910E-04                                 112
 2.891500E+02  7.815886E-02  7.437103E-02  7.083593E-04                                 112
 2.901500E+02  7.821450E-02  7.437103E-02  7.147515E-04                                 112
 2.911500E+02  7.827067E-02  7.437103E-02  7.209702E-04                                 112
 2.921500E+02  7.832736E-02  7.437103E-02  7.270187E-04                                 112
 2.931500E+02  7.838456E-02  7.437103E-02  7.329016E-04                                 112
 2.941500E+02  7.844225E-02  7.437103E-02  7.386240E-04                                 112
 2.951500E+02  7.850044E-02  7.437103E-02  7.441919E-04                                 112
 2.961500E+02  7.855909E-02  7.437103E-02  7.496117E-04                                 112
 2.971500E+02  7.861821E-02  7.437103E-02  7.548903E-04                                 112
 2.981500E+02  7.867779E-02  7.437103E-02  7.600348E-04                                 112
 2.991500E+02  7.873781E-02  7.437103E-02  7.650522E-04                                 112
 3.001500E+02  7.879827E-02  7.437103E-02  7.699498E-04                                 112
 3.011500E+02  7.885915E-02  7.437103E-02  7.747344E-04                                 112
 3.021500E+02  7.892046E-02  7.437103E-02  7.794128E-04                                 112
 3.031500E+02  7.898217E-02  7.437103E-02  7.839912E-04                                 112
 3.041500E+02  7.904430E-02  7.437103E-02  7.884756E-04                                 112
 3.051500E+02  7.910682E-02  7.437103E-02  7.928714E-04                                 112
 3.061500E+02  7.916974E-02  7.437103E-02  7.971834E-04                                 112
 3.071500E+02  7.923305E-02  7.437103E-02  8.014161E-04                                 112
 3.081500E+02  7.929674E-02  7.437103E-02  8.055734E-04                                 112
 3.091500E+02  7.936081E-02  7.437103E-02  8.096585E-04                                 112
 3.101500E+02  7.942525E-02  7.437103E-02  8.136743E-04                                 112
 3.111500E+02  7.949006E-02  7.437103E-02  8.176233E-04                                 112
 3.121500E+02  7.955523E-02  7.437103E-02  8.215073E-04                                 112
 3.131500E+02  7.962077E-02  7.437103E-02  8.253279E-04                                 112
 3.141500E+02  7.968666E-02  7.437103E-02  8.290864E-04                                 112
 3.151500E+02  7.975290E-02  7.437103E-02  8.327836E-04                                 112
 3.161500E+02  7.981949E-02  7.437103E-02  8.364202E-04                                 112
 3.171500E+02  7.988643E-02  7.437103E-02  8.399965E-04                                 112
 3.181500E+02  7.995370E-02  7.437103E-02  8.435130E-04                                 112
 3.191500E+02  8.002131E-02  7.437103E-02  8.469695E-04                                 112
 3.201500E+02  8.008925E-02  7.437103E-02  8.503662E-04                                 112
 3.211500E+02  8.015752E-02  7.437103E-02  8.537027E-04                                 112
 3.221500E+02  8.022612E-02  7.437103E-02  8.569791E-04                                 112
 3.231500E+02  8.029503E-02  7.437103E-02  8.601951E-04                                 112
 3.241500E+02  8.036425E-02  7.437103E-02  8.633504E-04                                 112
 3.251500E+02  8.043379E-02  7.437103E-02  8.664449E-04                                 112
 3.261500E+02  8.050364E-02  7.437103E-02  8.694783E-04                                 112
 3.271500E+02  8.057379E-02  7.437103E-02  8.724505E-04                                 112
 3.281500E+02  8.064423E-02  7.437103E-02  8.753614E-04                                 112
 3.291500E+02  8.071497E-02  7.437103E-02  1.675597E+02                                 112
 3.301500E+02  2.712980E+01  7.437103E-02  5.000319E-01                                 111
 3.311500E+02  2.721224E+01  7.437103E-02  3.029534E-03                                 111
 3.321500E+02  2.729468E+01  7.437103E-02  3.020110E-03                                 111
 3.331500E+02  2.737711E+01  7.437103E-02  3.010751E-03                                 111
 3.341500E+02  2.745953E+01  7.437103E-02  3.001454E-03                                 111
 3.351500E+02  2.754194E+01  7.437103E-02  2.992221E-03                                 111
 3.361500E+02  2.762435E+01  7.437103E-02  2.983049E-03                                 111
 3.371500E+02  2.770675E+01  7.437103E-02  2.973939E-03                                 111
 3.381500E+02  2.778915E+01  7.437103E-02  2.964889E-03                                 111
 3.391500E+02  2.787154E+01  7.437103E-02  2.955899E-03                                 111
 3.401500E+02  2.795392E+01  7.437103E-02  2.946968E-03                                 111
 3.411500E+02  2.803629E+01  7.437103E-02  2.938095E-03                                 111
 3.421500E+02  2.811866E+01  7.437103E-02  2.929280E-03                                 111
 3.431500E+02  2.820103E+01  7.437103E-02  2.920521E-03                                 111
 3.441500E+02  2.828339E+01  7.437103E-02  2.911819E-03                                 111
 3.451500E+02  2.836574E+01  7.437103E-02  2.903173E-03                                 111
 3.461500E+02  2.844809E+01  7.437103E-02  2.894582E-03                                 111
 3.471500E+02  2.853043E+01  7.437103E-02  2.886045E-03                                 111
 3.481500E+02  2.861277E+01  7.437103E-02  2.877562E-03                                 111
 3.491500E+02  2.869510E+01  7.437103E-02  2.869132E-03                                 111
 3.501500E+02  2.877743E+01  7.437103E-02  2.860755E-03                                 111
 3.511500E+02  2.885975E+01  7.437103E-02  2.852430E-03                                 111
 3.521500E+02  2.894207E+01  7.437103E-02  2.844156E-03                                 111
 3.531500E+02  2.902438E+01  7.437103E-02  2.835933E-03                                 111
 3.541500E+02  2.910669E+01  7.437103E-02  2.827761E-03                                 111
 3.551500E+02  2.918900E+01  7.437103E-02  2.819639E-03                                 111
 3.561500E+02  2.927130E+01  7.437103E-02  2.811566E-03                                 111
 3.571500E+02  2.935359E+01  7.437103E-02  2.803542E-03                                 111
 3.581500E+02  2.943589E+01  7.437103E-02  2.795566E-03                                 111
 3.591500E+02  2.951817E+01  7.437103E-02  2.787638E-03                                 111
 3.601500E+02  2.960046E+01  7.437103E-02  2.779757E-03                                 111
 3.611500E+02  2.968274E+01  7.437103E-02  2.771923E-03                                 111
 3.621500E+02  2.976501E+01  7.437103E-02  2.764136E-03                                 111
 3.631500E+02  2.984729E+01  7.437103E-02  2.756394E-03                                 111
 3.641500E+02  2.992956E+01  7.437103E-02  2.748698E-03                                 111
 3.651500E+02  3.001182E+01  7.437103E-02  2.741048E-03                                 111
 3.661500E+02  3.009408E+01  7.437103E-02  2.733441E-03                                 111
 3.671500E+02  3.017634E+01  7.437103E-02  2.725879E-03                                 111
 3.681500E+02  3.025860E+01  7.437103E-02  2.718360E-03                                 111
 3.691500E+02  3.034085E+01  7.437103E-02  2.710885E-03                                 111
 3.701500E+02  3.042310E+01  7.437103E-02  2.703453E-03                                 111
 3.711500E+02  3.050534E+01  7.437103E-02  2.696063E-03                                 111
 3.721500E+02  3.058759E+01  7.437103E-02  2.688715E-03                                 111
 3.731500E+02  3.066983E+01  7.437103E-02  2.681409E-03                                 111
 3.741500E+02  3.075206E+01  7.437103E-02  2.674144E-03                                 111
 3.751500E+02  3.083430E+01  7.437103E-02  2.666920E-03                                 111
 3.761500E+02  3.091653E+01  7.437103E-02  2.659737E-03                                 111
 3.771500E+02  3.099876E+01  7.437103E-02  2.652594E-03                                 111
 3.781500E+02  3.108098E+01  7.437103E-02  2.645490E-03                                 111
 3.791500E+02  3.116321E+01  7.437103E-02  2.638426E-03                                 111
 3.801500E+02  3.124543E+01  7.437103E-02  2.631401E-03                                 111
 3.811500E+02  3.132764E+01  7.437103E-02  2.624414E-03                                 111
 3.821500E+02  3.140986E+01  7.437103E-02  2.617466E-03                                 111
 3.831500E+02  3.149207E+01  7.437103E-02  2.610556E-03                                 111
 3.841500E+02  3.157428E+01  7.437103E-02  2.603684E-03                                 111
 3.851500E+02  3.165649E+01  7.437103E-02  2.596849E-03                                 111
 3.861500E+02  3.173870E+01  7.437103E-02  2.590051E-03                                 111
 3.871500E+02  3.182090E+01  7.437103E-02  2.583290E-03                                 111
 3.881500E+02  3.190310E+01  7.437103E-02  2.576565E-03                                 111
 3.891500E+02  3.198530E+01  7.437103E-02  2.569876E-03                                 111
 3.901500E+02  3.206750E+01  7.437103E-02  2.563222E-03                                 111
 3.911500E+02  3.214970E+01  7.437103E-02  2.556605E-03                                 111
 3.921500E+02  3.223189E+01  7.437103E-02  2.550022E-03                                 111
 3.931500E+02  3.231408E+01  7.437103E-02  2.543474E-03                                 111
 3.941500E+02  3.239627E+01  7.437103E-02  2.536961E-03                                 111
 3.951500E+02  3.247846E+01  7.437103E-02  2.530482E-03                                 111
 3.961500E+02  3.256064E+01  7.437103E-02  2.524036E-03                                 111
 3.971500E+02  3.264282E+01  7.437103E-02  2.517625E-03                                 111
 3.981500E+02  3.272501E+01  7.437103E-02  2.511247E-03                                 111
 3.991500E+02  3.280718E+01  7.437103E-02  2.504929E-03                                 111
