#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        m1w1-1        m1w1-4        m1w2-1        m1w3-1        m1w4-1        m1w4-7        m1w4-9        m1w5-2        m1w5-3        m1w5-4        m1w5-5        m1w5-6        m1w5-9        m2w1-1        m2w1-3        m2w2-1        m2w3-1        m2w3-6        m2w3-7        m2w4-1        m2w4-4        m2w4-5        m2w4-6        m2w4-9        m3w1-1        m3w1-2        m3w2-1        m3w3-1        m3w3-3        m3w3-5        m3w3-7        m3w3-9        m4w1-2        m4w1-5        m4w2-1        m4w2-7        m4w2-8        m5w1-1        m5w1-6        m5w1-8        m5w1-9
 2.731500E+02  1.890330E-02  1.228921E-03  1.149764E-03  3.466012E-02  1.734773E-02  5.444650E-02  9.236517E-03  4.312935E-03  2.651551E-03  3.534607E-03  1.264110E-03  5.200229E-03  1.139791E-02  1.822933E-03  3.953842E-03  5.547662E-05  1.050517E-01  1.224558E-01  8.237399E-02  3.102007E-04  5.257741E-04  8.967474E-01  1.220282E+00  8.990756E-01  2.381289E-03  3.609843E-02  3.622077E-02  8.513285E-01  1.190274E-03  1.620284E-03  2.161369E-03  1.172214E-01  2.931762E-02  7.351847E-02  4.538176E-01  9.262555E-02  3.949592E-01  5.372260E-02  5.223180E-01  4.634162E-01  2.004254E-01  1.297909E-03  1.643819E-03  8.256638E-02  2.477621E-02  3.988200E-03  1.210625E-02  2.282786E-01  2.000738E-01  1.227264E-01  4.722307E-02  1.386082E-01  9.651837E-02  6.559905E-02  6.038879E-02  9.315978E-02  2.252420E-02  1.730855E-03  2.755451E-02  4.001337E-02  3.470434E-02  4.772561E-02  1.671296E-02  2.613325E-02  9.725221E-03  2.042674E-02  3.183190E-02  3.333425E-02  3.273135E-02
 2.741500E+02  1.968676E-02  1.300221E-03  1.197406E-03  3.511502E-02  1.743106E-02  5.478814E-02  9.202029E-03  4.322861E-03  2.643563E-03  3.524572E-03  1.265138E-03  5.212042E-03  1.188935E-02  1.935807E-03  4.144401E-03  6.041017E-05  1.069736E-01  1.256147E-01  8.361844E-02  3.262439E-04  5.521632E-04  8.910787E-01  1.211617E+00  9.016575E-01  2.421723E-03  3.652992E-02  3.665249E-02  8.635424E-01  1.262277E-03  1.718190E-03  2.261844E-03  1.193325E-01  2.968400E-02  7.442832E-02  4.610012E-01  9.219609E-02  3.918621E-01  5.336980E-02  5.180758E-01  4.599949E-01  1.991086E-01  1.355228E-03  1.717097E-03  8.395594E-02  2.500245E-02  4.023791E-03  1.223573E-02  2.260488E-01  1.983259E-01  1.223567E-01  4.712485E-02  1.374361E-01  9.803732E-02  6.661397E-02  6.105716E-02  9.290871E-02  2.238276E-02  1.732173E-03  2.747078E-02  3.986960E-02  3.503215E-02  4.816109E-02  1.659451E-02  2.594370E-02  9.660034E-03  2.020516E-02  3.165197E-02  3.292039E-02  3.242802E-02
 2.751500E+02  2.049622E-02  1.375039E-03  1.246573E-03  3.556915E-02  1.751214E-02  5.512298E-02  9.166638E-03  4.332136E-03  2.635288E-03  3.514144E-03  1.265984E-03  5.223072E-03  1.239814E-02  2.054749E-03  4.342519E-03  6.574060E-05  1.089095E-01  1.288240E-01  8.486613E-02  3.429695E-04  5.796390E-04  8.854012E-01  1.202963E+00  9.041428E-01  2.462320E-03  3.696035E-02  3.708314E-02  8.757653E-01  1.338028E-03  1.821190E-03  2.366105E-03  1.214574E-01  3.004970E-02  7.533631E-02  4.682067E-01  9.176192E-02  3.887708E-01  5.301599E-02  5.138437E-01  4.565756E-01  1.977895E-01  1.414556E-03  1.792978E-03  8.535192E-02  2.522669E-02  4.059039E-03  1.236450E-02  2.238309E-01  1.965833E-01  1.219769E-01  4.702224E-02  1.362670E-01  9.956036E-02  6.763124E-02  6.172181E-02  9.264897E-02  2.224050E-02  1.733262E-03  2.738457E-02  3.972254E-02  3.535681E-02  4.859206E-02  1.647565E-02  2.575351E-02  9.594488E-03  1.998483E-02  3.147015E-02  3.251016E-02  3.212530E-02
 2.761500E+02  2.133230E-02  1.453515E-03  1.297295E-03  3.602239E-02  1.759094E-02  5.545092E-02  9.130362E-03  4.340763E-03  2.626730E-03  3.503331E-03  1.266647E-03  5.233319E-03  1.292473E-02  2.180030E-03  4.548418E-03  7.149625E-05  1.108593E-01  1.320835E-01  8.611676E-02  3.603993E-04  6.082349E-04  8.797160E-01  1.194323E+00  9.065318E-01  2.503073E-03  3.738964E-02  3.751263E-02  8.879946E-01  1.417689E-03  1.929501E-03  2.474254E-03  1.235958E-01  3.041462E-02  7.624223E-02  4.754325E-01  9.132317E-02  3.856855E-01  5.266126E-02  5.096224E-01  4.531587E-01  1.964681E-01  1.475942E-03  1.871522E-03  8.675403E-02  2.544888E-02  4.093936E-03  1.249252E-02  2.216253E-01  1.948463E-01  1.215873E-01  4.691531E-02  1.351009E-01  1.010871E-01  6.865061E-02  6.238256E-02  9.238070E-02  2.209746E-02  1.734124E-03  2.729591E-02  3.957228E-02  3.567821E-02  4.901840E-02  1.635640E-02  2.556274E-02  9.528604E-03  1.976578E-02  3.128648E-02  3.210356E-02  3.182324E-02
 2.771500E+02  2.219562E-02  1.535793E-03  1.349604E-03  3.647461E-02  1.766745E-02  5.577189E-02  9.093219E-03  4.348741E-03  2.617894E-03  3.492138E-03  1.267130E-03  5.242786E-03  1.346959E-02  2.311932E-03  4.762331E-03  7.770730E-05  1.128226E-01  1.353935E-01  8.737011E-02  3.785555E-04  6.379849E-04  8.740242E-01  1.185697E+00  9.088246E-01  2.543970E-03  3.781770E-02  3.794086E-02  9.002273E-01  1.501425E-03  2.043350E-03  2.586398E-03  1.257473E-01  3.077868E-02  7.714586E-02  4.826771E-01  9.088000E-02  3.826067E-01  5.230568E-02  5.054122E-01  4.497448E-01  1.951448E-01  1.539435E-03  1.952797E-03  8.816195E-02  2.566896E-02  4.128474E-03  1.261976E-02  2.194318E-01  1.931151E-01  1.211880E-01  4.680414E-02  1.339381E-01  1.026172E-01  6.967183E-02  6.303922E-02  9.210407E-02  2.195368E-02  1.734761E-03  2.720487E-02  3.941887E-02  3.599627E-02  4.943999E-02  1.623680E-02  2.537142E-02  9.462397E-03  1.954802E-02  3.110103E-02  3.170059E-02  3.152187E-02
 2.781500E+02  2.308681E-02  1.622021E-03  1.403529E-03  3.692570E-02  1.774166E-02  5.608581E-02  9.055225E-03  4.356071E-03  2.608785E-03  3.480572E-03  1.267433E-03  5.251472E-03  1.403320E-02  2.450748E-03  4.984493E-03  8.440579E-05  1.147992E-01  1.387539E-01  8.862593E-02  3.974608E-04  6.689238E-04  8.683268E-01  1.177086E+00  9.110216E-01  2.585004E-03  3.824443E-02  3.836774E-02  9.124606E-01  1.589408E-03  2.162969E-03  2.702644E-03  1.279116E-01  3.114181E-02  7.804701E-02  4.899387E-01  9.043255E-02  3.795347E-01  5.194934E-02  5.012138E-01  4.463344E-01  1.938197E-01  1.605084E-03  2.036867E-03  8.957543E-02  2.588689E-02  4.162645E-03  1.274619E-02  2.172508E-01  1.913898E-01  1.207792E-01  4.668878E-02  1.327787E-01  1.041502E-01  7.069467E-02  6.369162E-02  9.181922E-02  2.180919E-02  1.735173E-03  2.711148E-02  3.926240E-02  3.631090E-02  4.985673E-02  1.611686E-02  2.517959E-02  9.395887E-03  1.933156E-02  3.091386E-02  3.130123E-02  3.122125E-02
 2.791500E+02  2.400652E-02  1.712351E-03  1.459104E-03  3.737552E-02  1.781356E-02  5.639262E-02  9.016396E-03  4.362755E-03  2.599407E-03  3.468639E-03  1.267556E-03  5.259379E-03  1.461606E-02  2.596781E-03  5.215145E-03  9.162570E-05  1.167888E-01  1.421647E-01  8.988396E-02  4.171383E-04  7.010870E-04  8.626248E-01  1.168492E+00  9.131232E-01  2.626165E-03  3.866974E-02  3.879318E-02  9.246919E-01  1.681815E-03  2.288599E-03  2.823101E-03  1.300883E-01  3.150392E-02  7.894547E-02  4.972159E-01  8.998097E-02  3.764700E-01  5.159231E-02  4.970276E-01  4.429281E-01  1.924933E-01  1.672939E-03  2.123799E-03  9.099416E-02  2.610263E-02  4.196443E-03  1.287179E-02  2.150822E-01  1.896706E-01  1.203612E-01  4.656932E-02  1.316228E-01  1.056859E-01  7.171886E-02  6.433959E-02  9.152630E-02  2.166404E-02  1.735364E-03  2.701579E-02  3.910292E-02  3.662201E-02  5.026850E-02  1.599662E-02  2.498732E-02  9.329091E-03  1.911642E-02  3.072502E-02  3.090548E-02  3.092141E-02
 2.801500E+02  2.495541E-02  1.806940E-03  1.516358E-03  3.782397E-02  1.788312E-02  5.669224E-02  8.976750E-03  4.368793E-03  2.589766E-03  3.456345E-03  1.267502E-03  5.266508E-03  1.521864E-02  2.750344E-03  5.454530E-03  9.940307E-05  1.187910E-01  1.456259E-01  9.114397E-02  4.376116E-04  7.345105E-04  8.569193E-01  1.159914E+00  9.151296E-01  2.667444E-03  3.909354E-02  3.921709E-02  9.369183E-01  1.778828E-03  2.420489E-03  2.947878E-03  1.322770E-01  3.186493E-02  7.984105E-02  5.045071E-01  8.952539E-02  3.734129E-01  5.123467E-02  4.928540E-01  4.395262E-01  1.911656E-01  1.743051E-03  2.213660E-03  9.241785E-02  2.631611E-02  4.229860E-03  1.299651E-02  2.129263E-01  1.879577E-01  1.199340E-01  4.644581E-02  1.304705E-01  1.072239E-01  7.274418E-02  6.498296E-02  9.122545E-02  2.151826E-02  1.735335E-03  2.691786E-02  3.894050E-02  3.692952E-02  5.067519E-02  1.587610E-02  2.479462E-02  9.262025E-03  1.890260E-02  3.053458E-02  3.051332E-02  3.062239E-02
 2.811500E+02  2.593412E-02  1.905949E-03  1.575324E-03  3.827092E-02  1.795036E-02  5.698460E-02  8.936304E-03  4.374187E-03  2.579865E-03  3.443696E-03  1.267271E-03  5.272861E-03  1.584147E-02  2.911761E-03  5.702897E-03  1.077761E-04  1.208058E-01  1.491376E-01  9.240571E-02  4.589045E-04  7.692306E-04  8.512111E-01  1.151355E+00  9.170413E-01  2.708831E-03  3.951574E-02  3.963937E-02  9.491370E-01  1.880637E-03  2.558894E-03  3.077089E-03  1.344773E-01  3.222476E-02  8.073355E-02  5.118107E-01  8.906596E-02  3.703637E-01  5.087650E-02  4.886935E-01  4.361292E-01  1.898369E-01  1.815472E-03  2.306518E-03  9.384622E-02  2.652731E-02  4.262889E-03  1.312034E-02  2.107831E-01  1.862513E-01  1.194980E-01  4.631834E-02  1.293219E-01  1.087637E-01  7.377039E-02  6.562156E-02  9.091683E-02  2.137188E-02  1.735088E-03  2.681771E-02  3.877522E-02  3.723334E-02  5.107669E-02  1.575533E-02  2.460156E-02  9.194707E-03  1.869011E-02  3.034259E-02  3.012475E-02  3.032423E-02
 2.821500E+02  2.694332E-02  2.009542E-03  1.636032E-03  3.871625E-02  1.801524E-02  5.726966E-02  8.895074E-03  4.378938E-03  2.569710E-03  3.430697E-03  1.266864E-03  5.278441E-03  1.648504E-02  3.081367E-03  5.960500E-03  1.167853E-04  1.228326E-01  1.526997E-01  9.366895E-02  4.810414E-04  8.052845E-04  8.455014E-01  1.142816E+00  9.188587E-01  2.750318E-03  3.993625E-02  4.005995E-02  9.613455E-01  1.987436E-03  2.704079E-03  3.210847E-03  1.366889E-01  3.258334E-02  8.162278E-02  5.191252E-01  8.860282E-02  3.673228E-01  5.051788E-02  4.845466E-01  4.327377E-01  1.885076E-01  1.890252E-03  2.402440E-03  9.527898E-02  2.673617E-02  4.295523E-03  1.324324E-02  2.086527E-01  1.845514E-01  1.190533E-01  4.618697E-02  1.281772E-01  1.103050E-01  7.479722E-02  6.625522E-02  9.060060E-02  2.122495E-02  1.734624E-03  2.671540E-02  3.860714E-02  3.753340E-02  5.147289E-02  1.563433E-02  2.440816E-02  9.127153E-03  1.847898E-02  3.014911E-02  2.973975E-02  3.002696E-02
