#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        m1w1-1        m1w1-4        m1w2-1        m1w3-1        m1w4-1        m1w4-7        m1w4-9        m1w5-2        m1w5-3        m1w5-4        m1w5-5        m1w5-6        m1w5-9        m2w1-1        m2w1-3        m2w2-1        m2w3-1        m2w3-6        m2w3-7        m2w4-1        m2w4-4        m2w4-5        m2w4-6        m2w4-9        m3w1-1        m3w1-2        m3w2-1        m3w3-1        m3w3-3        m3w3-5        m3w3-7        m3w3-9        m4w1-2        m4w1-5        m4w2-1        m4w2-7        m4w2-8        m5w1-1        m5w1-6        m5w1-8        m5w1-9
 2.731500E+02  1.265768E-03  2.842659E-04  6.890566E-04  4.783761E-02  5.169473E-02  1.622459E-01  5.704893E-02  2.663865E-02  1.637719E-02  2.183135E-02  7.807719E-03  3.211898E-02  2.336308E-04  3.951371E-05  6.797203E-05  9.537202E-07  1.273197E-03  1.484129E-03  6.598342E-04  2.484777E-06  4.211569E-06  4.557626E-03  6.201959E-03  4.569459E-03  1.210265E-05  1.834665E-04  1.840883E-04  4.326789E-03  8.428223E-05  1.147308E-04  1.213813E-04  4.640992E-03  7.671589E-04  1.923769E-03  1.187512E-02  1.537840E-03  6.557413E-03  8.919435E-04  8.671922E-03  7.693990E-03  3.327615E-03  2.381106E-04  3.015702E-04  1.067872E-02  2.117889E-03  3.409144E-04  1.034851E-03  1.238104E-02  1.085132E-02  6.656258E-03  2.561217E-03  7.517631E-03  4.077909E-02  2.771565E-02  1.686306E-02  1.650564E-02  3.990739E-03  3.066653E-04  4.881987E-03  7.089393E-03  3.165743E-02  4.353549E-02  9.673174E-03  1.512548E-02  5.628792E-03  3.862128E-02  6.018524E-02  6.302578E-02  6.188585E-02
 2.741500E+02  1.318606E-03  3.006796E-04  7.170272E-04  4.839960E-02  5.184403E-02  1.629527E-01  5.669644E-02  2.663443E-02  1.628778E-02  2.171594E-02  7.794894E-03  3.211295E-02  2.439210E-04  4.200000E-05  7.131919E-05  1.039572E-06  1.297854E-03  1.524018E-03  6.705446E-04  2.616183E-06  4.427852E-06  4.534079E-03  6.165075E-03  4.587907E-03  1.232246E-05  1.858753E-04  1.864990E-04  4.393966E-03  8.941114E-05  1.217049E-04  1.270741E-04  4.726699E-03  7.771376E-04  1.948560E-03  1.206917E-02  1.531565E-03  6.509628E-03  8.865811E-04  8.606294E-03  7.641453E-03  3.307600E-03  2.485745E-04  3.149483E-04  1.085677E-02  2.137016E-03  3.439226E-04  1.045816E-03  1.225956E-02  1.075603E-02  6.635910E-03  2.555776E-03  7.453728E-03  4.138953E-02  2.812317E-02  1.703773E-02  1.645050E-02  3.963111E-03  3.067001E-04  4.864001E-03  7.059346E-03  3.191479E-02  4.387543E-02  9.592613E-03  1.499700E-02  5.584073E-03  3.813156E-02  5.973421E-02  6.212799E-02  6.119878E-02
 2.751500E+02  1.373250E-03  3.179093E-04  7.458982E-04  4.896170E-02  5.198937E-02  1.636470E-01  5.634419E-02  2.662816E-02  1.619821E-02  2.160024E-02  7.781568E-03  3.210444E-02  2.545843E-04  4.462165E-05  7.479999E-05  1.132383E-06  1.322654E-03  1.564505E-03  6.812499E-04  2.753136E-06  4.652964E-06  4.509986E-03  6.127559E-03  4.605450E-03  1.254237E-05  1.882657E-04  1.888911E-04  4.460903E-03  9.480971E-05  1.290455E-04  1.329825E-04  4.812879E-03  7.870690E-04  1.973227E-03  1.226339E-02  1.525100E-03  6.461440E-03  8.811353E-04  8.540175E-03  7.588368E-03  3.287296E-03  2.594068E-04  3.288032E-04  1.103557E-02  2.155925E-03  3.468938E-04  1.056696E-03  1.213826E-02  1.066063E-02  6.614759E-03  2.549997E-03  7.389702E-03  4.200188E-02  2.853183E-02  1.721126E-02  1.639372E-02  3.935334E-03  3.066912E-04  4.845548E-03  7.028685E-03  3.216976E-02  4.421198E-02  9.512184E-03  1.486874E-02  5.539359E-03  3.764774E-02  5.928395E-02  6.124315E-02  6.051814E-02
 2.761500E+02  1.429731E-03  3.359856E-04  7.756857E-04  4.952366E-02  5.213073E-02  1.643287E-01  5.599233E-02  2.661991E-02  1.610853E-02  2.148432E-02  7.767767E-03  3.209355E-02  2.656280E-04  4.738438E-05  7.841780E-05  1.232644E-06  1.347583E-03  1.605580E-03  6.919447E-04  2.895794E-06  4.887142E-06  4.485365E-03  6.089436E-03  4.622089E-03  1.276229E-05  1.906367E-04  1.912638E-04  4.527574E-03  1.004889E-04  1.367672E-04  1.391114E-04  4.899495E-03  7.969484E-04  1.997761E-03  1.245767E-02  1.518450E-03  6.412874E-03  8.756100E-04  8.473599E-03  7.534766E-03  3.266717E-03  2.706151E-04  3.431450E-04  1.121505E-02  2.174607E-03  3.498268E-04  1.067486E-03  1.201719E-02  1.056516E-02  6.592829E-03  2.543890E-03  7.325580E-03  4.261591E-02  2.894146E-02  1.738359E-02  1.633538E-02  3.907421E-03  3.066395E-04  4.826647E-03  6.997436E-03  3.242228E-02  4.454507E-02  9.431915E-03  1.474075E-02  5.494667E-03  3.716981E-02  5.883462E-02  6.037116E-02  5.984401E-02
 2.771500E+02  1.488096E-03  3.549430E-04  8.064098E-04  5.008543E-02  5.226814E-02  1.649979E-01  5.564093E-02  2.660972E-02  1.601875E-02  2.136821E-02  7.753501E-03  3.208033E-02  2.770623E-04  5.029444E-05  8.217651E-05  1.340880E-06  1.372634E-03  1.647239E-03  7.026249E-04  3.044319E-06  5.130634E-06  4.460230E-03  6.050726E-03  4.637820E-03  1.298212E-05  1.929874E-04  1.936159E-04  4.593946E-03  1.064606E-04  1.448866E-04  1.454668E-04  4.986526E-03  8.067726E-04  2.022152E-03  1.265196E-02  1.511620E-03  6.363950E-03  8.700078E-04  8.406593E-03  7.480669E-03  3.245870E-03  2.822087E-04  3.579861E-04  1.139517E-02  2.193057E-03  3.527209E-04  1.078184E-03  1.189637E-02  1.046962E-02  6.570135E-03  2.537459E-03  7.261377E-03  4.323150E-02  2.935198E-02  1.755468E-02  1.627549E-02  3.879382E-03  3.065454E-04  4.807308E-03  6.965615E-03  3.267233E-02  4.487464E-02  9.351819E-03  1.461304E-02  5.450005E-03  3.669771E-02  5.838630E-02  5.951187E-02  5.917636E-02
 2.781500E+02  1.548391E-03  3.748168E-04  8.380913E-04  5.064694E-02  5.240162E-02  1.656546E-01  5.529003E-02  2.659761E-02  1.592890E-02  2.125192E-02  7.738780E-03  3.206481E-02  2.888977E-04  5.335835E-05  8.608004E-05  1.457651E-06  1.397801E-03  1.689475E-03  7.132864E-04  3.198876E-06  5.383687E-06  4.434596E-03  6.011448E-03  4.652641E-03  1.320177E-05  1.953166E-04  1.959463E-04  4.659990E-03  1.127375E-04  1.534205E-04  1.520547E-04  5.073949E-03  8.165380E-04  2.046392E-03  1.284619E-02  1.504614E-03  6.314687E-03  8.643315E-04  8.339180E-03  7.426099E-03  3.224767E-03  2.941968E-04  3.733387E-04  1.157589E-02  2.211271E-03  3.555752E-04  1.088786E-03  1.177582E-02  1.037405E-02  6.546693E-03  2.530710E-03  7.197111E-03  4.384856E-02  2.976334E-02  1.772449E-02  1.621410E-02  3.851224E-03  3.064094E-04  4.787541E-03  6.933237E-03  3.291986E-02  4.520066E-02  9.271909E-03  1.448563E-02  5.405383E-03  3.623140E-02  5.793904E-02  5.866507E-02  5.851517E-02
 2.791500E+02  1.610665E-03  3.956435E-04  8.707508E-04  5.120813E-02  5.253121E-02  1.662988E-01  5.493969E-02  2.658362E-02  1.583899E-02  2.113549E-02  7.723613E-03  3.204702E-02  3.011447E-04  5.658279E-05  9.013237E-05  1.583550E-06  1.423077E-03  1.732284E-03  7.239250E-04  3.359630E-06  5.646552E-06  4.408478E-03  5.971622E-03  4.666552E-03  1.342112E-05  1.976232E-04  1.982541E-04  4.725674E-03  1.193324E-04  1.623865E-04  1.588810E-04  5.161745E-03  8.262415E-04  2.070474E-03  1.304030E-02  1.497437E-03  6.265102E-03  8.585840E-04  8.271386E-03  7.371078E-03  3.203416E-03  3.065891E-04  3.892155E-04  1.175717E-02  2.229245E-03  3.583892E-04  1.099290E-03  1.165557E-02  1.027848E-02  6.522519E-03  2.523648E-03  7.132798E-03  4.446698E-02  3.017546E-02  1.789299E-02  1.615124E-02  3.822957E-03  3.062321E-04  4.767358E-03  6.900319E-03  3.316484E-02  4.552308E-02  9.192197E-03  1.435855E-02  5.360810E-03  3.577080E-02  5.749292E-02  5.783059E-02  5.786041E-02
 2.801500E+02  1.674967E-03  4.174607E-04  9.044094E-04  5.176894E-02  5.265695E-02  1.669306E-01  5.458997E-02  2.656777E-02  1.574904E-02  2.101894E-02  7.708012E-03  3.202701E-02  3.138140E-04  5.997471E-05  9.433754E-05  1.719203E-06  1.448453E-03  1.775659E-03  7.345367E-04  3.526748E-06  5.919480E-06  4.381890E-03  5.931268E-03  4.679551E-03  1.364008E-05  1.999064E-04  2.005381E-04  4.790969E-03  1.262585E-04  1.718026E-04  1.659519E-04  5.249892E-03  8.358798E-04  2.094388E-03  1.323422E-02  1.490092E-03  6.215216E-03  8.527681E-04  8.203236E-03  7.315629E-03  3.181828E-03  3.193950E-04  4.056289E-04  1.193898E-02  2.246974E-03  3.611622E-04  1.109693E-03  1.153564E-02  1.018292E-02  6.497627E-03  2.516279E-03  7.068455E-03  4.508667E-02  3.058828E-02  1.806014E-02  1.608695E-02  3.794589E-03  3.060138E-04  4.746769E-03  6.866876E-03  3.340724E-02  4.584187E-02  9.112696E-03  1.423182E-02  5.316293E-03  3.531586E-02  5.704798E-02  5.700826E-02  5.721204E-02
 2.811500E+02  1.741347E-03  4.403071E-04  9.390882E-04  5.232931E-02  5.277885E-02  1.675500E-01  5.424089E-02  2.655010E-02  1.565907E-02  2.090228E-02  7.691984E-03  3.200481E-02  3.269166E-04  6.354126E-05  9.869963E-05  1.865273E-06  1.473923E-03  1.819594E-03  7.451174E-04  3.700396E-06  6.202723E-06  4.354848E-03  5.890404E-03  4.691639E-03  1.385854E-05  2.021649E-04  2.027974E-04  4.855843E-03  1.335295E-04  1.816873E-04  1.732735E-04  5.338368E-03  8.454496E-04  2.118128E-03  1.342788E-02  1.482585E-03  6.165046E-03  8.468864E-04  8.134755E-03  7.259774E-03  3.160011E-03  3.326242E-04  4.225919E-04  1.212128E-02  2.264454E-03  3.638935E-04  1.119993E-03  1.141605E-02  1.008740E-02  6.472035E-03  2.508610E-03  7.004097E-03  4.570753E-02  3.100173E-02  1.822590E-02  1.602126E-02  3.766128E-03  3.057551E-04  4.725785E-03  6.832923E-03  3.364702E-02  4.615698E-02  9.033415E-03  1.410545E-02  5.271842E-03  3.486652E-02  5.660428E-02  5.619790E-02  5.657004E-02
 2.821500E+02  1.809853E-03  4.642227E-04  9.748087E-04  5.288917E-02  5.289695E-02  1.681571E-01  5.389252E-02  2.653064E-02  1.556908E-02  2.078554E-02  7.675540E-03  3.198045E-02  3.404635E-04  6.728983E-05  1.032228E-04  2.022465E-06  1.499480E-03  1.864082E-03  7.556629E-04  3.880743E-06  6.496535E-06  4.327365E-03  5.849050E-03  4.702815E-03  1.407642E-05  2.043979E-04  2.050310E-04  4.920267E-03  1.411597E-04  1.920600E-04  1.808523E-04  5.427152E-03  8.549478E-04  2.141684E-03  1.362123E-02  1.474920E-03  6.114610E-03  8.409417E-04  8.065965E-03  7.203533E-03  3.137976E-03  3.462865E-04  4.401175E-04  1.230403E-02  2.281681E-03  3.665825E-04  1.130186E-03  1.129683E-02  9.991941E-03  6.445758E-03  2.500644E-03  6.939739E-03  4.632945E-02  3.141574E-02  1.839024E-02  1.595420E-02  3.737581E-03  3.054565E-04  4.704417E-03  6.798477E-03  3.388417E-02  4.646838E-02  8.954368E-03  1.397947E-02  5.227463E-03  3.442272E-02  5.616189E-02  5.539934E-02  5.593436E-02
