#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 2.731500E+02  4.249784E-02  5.421086E-03  9.951853E-03  5.886520E-01  5.781016E-01  1.814394E+00  6.039528E-01  2.820120E-01  1.733783E-01  2.311192E-01  8.265700E-02  3.400300E-01
 2.741500E+02  4.423131E-02  5.727600E-03  1.034182E-02  5.946322E-01  5.787345E-01  1.819039E+00  5.990169E-01  2.814017E-01  1.720859E-01  2.294362E-01  8.235566E-02  3.392840E-01
 2.751500E+02  4.602223E-02  6.049016E-03  1.074393E-02  6.006132E-01  5.793438E-01  1.823601E+00  5.941323E-01  2.807858E-01  1.708052E-01  2.277679E-01  8.205426E-02  3.385315E-01
 2.761500E+02  4.787172E-02  6.385900E-03  1.115842E-02  6.065932E-01  5.799296E-01  1.828079E+00  5.892987E-01  2.801648E-01  1.695364E-01  2.261146E-01  8.175290E-02  3.377728E-01
 2.771500E+02  4.978119E-02  6.738865E-03  1.158554E-02  6.125717E-01  5.804920E-01  1.832473E+00  5.845156E-01  2.795387E-01  1.682792E-01  2.244760E-01  8.145159E-02  3.370083E-01
 2.781500E+02  5.175211E-02  7.108546E-03  1.202558E-02  6.185484E-01  5.810313E-01  1.836785E+00  5.797821E-01  2.789077E-01  1.670336E-01  2.228518E-01  8.115035E-02  3.362378E-01
 2.791500E+02  5.378594E-02  7.495594E-03  1.247881E-02  6.245226E-01  5.815476E-01  1.841013E+00  5.750975E-01  2.782719E-01  1.657993E-01  2.212420E-01  8.084920E-02  3.354617E-01
 2.801500E+02  5.588418E-02  7.900681E-03  1.294551E-02  6.304940E-01  5.820412E-01  1.845159E+00  5.704610E-01  2.776312E-01  1.645763E-01  2.196463E-01  8.054814E-02  3.346799E-01
 2.811500E+02  5.804837E-02  8.324499E-03  1.342595E-02  6.364621E-01  5.825122E-01  1.849224E+00  5.658721E-01  2.769859E-01  1.633644E-01  2.180645E-01  8.024719E-02  3.338925E-01
 2.821500E+02  6.028003E-02  8.767760E-03  1.392043E-02  6.424264E-01  5.829609E-01  1.853207E+00  5.613298E-01  2.763359E-01  1.621633E-01  2.164966E-01  7.994634E-02  3.330997E-01
 2.831500E+02  6.258074E-02  9.231197E-03  1.442922E-02  6.483865E-01  5.833873E-01  1.857109E+00  5.568336E-01  2.756814E-01  1.609730E-01  2.149421E-01  7.964562E-02  3.323015E-01
