#         T/K            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8
 2.731500E+02  1.722012E-03  4.393247E-04  1.209747E-03  9.540868E-02  1.171234E-01  3.675961E-01  1.468330E-01  6.856275E-02  4.215173E-02  5.618968E-02  2.009556E-02  8.266807E-02
 2.741500E+02  1.792513E-03  4.642320E-04  1.257334E-03  9.639197E-02  1.172686E-01  3.685908E-01  1.456541E-01  6.842430E-02  4.184358E-02  5.578861E-02  2.002521E-02  8.249870E-02
 2.751500E+02  1.865364E-03  4.903549E-04  1.306413E-03  9.737571E-02  1.174092E-01  3.695691E-01  1.444875E-01  6.828451E-02  4.153824E-02  5.539105E-02  1.995484E-02  8.232772E-02
 2.761500E+02  1.940611E-03  5.177398E-04  1.357011E-03  9.835965E-02  1.175452E-01  3.705309E-01  1.433330E-01  6.814347E-02  4.123572E-02  5.499704E-02  1.988446E-02  8.215527E-02
 2.771500E+02  2.018314E-03  5.464371E-04  1.409162E-03  9.934370E-02  1.176765E-01  3.714762E-01  1.421905E-01  6.800120E-02  4.093597E-02  5.460651E-02  1.981409E-02  8.198137E-02
 2.781500E+02  2.098532E-03  5.764987E-04  1.462901E-03  1.003278E-01  1.178032E-01  3.724053E-01  1.410599E-01  6.785773E-02  4.063896E-02  5.421943E-02  1.974373E-02  8.180605E-02
 2.791500E+02  2.181327E-03  6.079784E-04  1.518261E-03  1.013118E-01  1.179254E-01  3.733180E-01  1.399409E-01  6.771309E-02  4.034467E-02  5.383576E-02  1.967338E-02  8.162933E-02
 2.801500E+02  2.266761E-03  6.409312E-04  1.575278E-03  1.022958E-01  1.180431E-01  3.742146E-01  1.388334E-01  6.756728E-02  4.005304E-02  5.345545E-02  1.960305E-02  8.145124E-02
 2.811500E+02  2.354897E-03  6.754140E-04  1.633986E-03  1.032796E-01  1.181563E-01  3.750952E-01  1.377373E-01  6.742033E-02  3.976404E-02  5.307845E-02  1.953273E-02  8.127180E-02
 2.821500E+02  2.445799E-03  7.114854E-04  1.694421E-03  1.042631E-01  1.182652E-01  3.759597E-01  1.366522E-01  6.727226E-02  3.947765E-02  5.270473E-02  1.946244E-02  8.109103E-02
 2.831500E+02  2.539533E-03  7.492058E-04  1.756618E-03  1.052464E-01  1.183696E-01  3.768083E-01  1.355782E-01  6.712308E-02  3.919381E-02  5.233424E-02  1.939216E-02  8.090896E-02
 2.841500E+02  2.636164E-03  7.886372E-04  1.820614E-03  1.062292E-01  1.184697E-01  3.776410E-01  1.345149E-01  6.697281E-02  3.891251E-02  5.196694E-02  1.932191E-02  8.072560E-02
 2.851500E+02  2.735759E-03  8.298434E-04  1.886445E-03  1.072116E-01  1.185654E-01  3.784579E-01  1.334624E-01  6.682146E-02  3.863370E-02  5.160278E-02  1.925169E-02  8.054096E-02
 2.861500E+02  2.838387E-03  8.728903E-04  1.954148E-03  1.081935E-01  1.186569E-01  3.792592E-01  1.324203E-01  6.666905E-02  3.835735E-02  5.124172E-02  1.918149E-02  8.035508E-02
 2.871500E+02  2.944117E-03  9.178454E-04  2.023761E-03  1.091748E-01  1.187442E-01  3.800447E-01  1.313885E-01  6.651560E-02  3.808342E-02  5.088372E-02  1.911132E-02  8.016795E-02
