#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  5.759173E+01  5.759511E+01  1.098680E+02
 2.741500E+02  5.767688E+01  5.768027E+01  1.101792E+02
 2.751500E+02  5.776258E+01  5.776596E+01  1.104912E+02
 2.761500E+02  5.784878E+01  5.785216E+01  1.108039E+02
 2.771500E+02  5.793547E+01  5.793885E+01  1.111173E+02
 2.781500E+02  5.802262E+01  5.802601E+01  1.114312E+02
 2.791500E+02  5.811021E+01  5.811360E+01  1.117455E+02
 2.801500E+02  5.819823E+01  5.820162E+01  1.120603E+02
 2.811500E+02  5.828664E+01  5.829003E+01  1.123753E+02
 2.821500E+02  5.837543E+01  5.837882E+01  1.126905E+02
 2.831500E+02  5.846456E+01  5.846795E+01  1.130059E+02
 2.841500E+02  5.855402E+01  5.855741E+01  1.133213E+02
 2.851500E+02  5.864378E+01  5.864717E+01  1.136366E+02
 2.861500E+02  5.873381E+01  5.873721E+01  1.139518E+02
 2.871500E+02  5.882410E+01  5.882750E+01  1.142668E+02
 2.881500E+02  5.891462E+01  5.891802E+01  1.145815E+02
 2.891500E+02  5.900534E+01  5.900874E+01  1.148958E+02
 2.901500E+02  5.909625E+01  5.909965E+01  1.152096E+02
 2.911500E+02  5.918732E+01  5.919072E+01  1.155230E+02
 2.921500E+02  5.927853E+01  5.928193E+01  1.158357E+02
 2.931500E+02  5.936985E+01  5.937326E+01  1.161478E+02
 2.941500E+02  5.946128E+01  5.946468E+01  1.164591E+02
 2.951500E+02  5.955278E+01  5.955618E+01  1.167696E+02
 2.961500E+02  5.964434E+01  5.964775E+01  1.170793E+02
 2.971500E+02  5.973594E+01  5.973935E+01  1.173881E+02
 2.981500E+02  5.982757E+01  5.983098E+01  1.176960E+02
 2.991500E+02  5.991921E+01  5.992262E+01  1.180028E+02
 3.001500E+02  6.001084E+01  6.001426E+01  1.183086E+02
 3.011500E+02  6.010246E+01  6.010587E+01  1.186134E+02
 3.021500E+02  6.019404E+01  6.019746E+01  1.189170E+02
 3.031500E+02  6.028559E+01  6.028900E+01  1.192195E+02
 3.041500E+02  6.037708E+01  6.038049E+01  1.195208E+02
 3.051500E+02  6.046851E+01  6.047192E+01  1.198209E+02
 3.061500E+02  6.055986E+01  6.056328E+01  1.201198E+02
 3.071500E+02  6.065115E+01  6.065457E+01  1.204175E+02
 3.081500E+02  6.074235E+01  6.074577E+01  1.207139E+02
 3.091500E+02  6.083346E+01  6.083688E+01  1.210091E+02
 3.101500E+02  6.092449E+01  6.092791E+01  1.213031E+02
 3.111500E+02  6.101542E+01  6.101884E+01  1.215958E+02
 3.121500E+02  6.110626E+01  6.110968E+01  1.218873E+02
 3.131500E+02  6.119700E+01  6.120043E+01  1.221775E+02
 3.141500E+02  6.128765E+01  6.129108E+01  1.224666E+02
 3.151500E+02  6.137821E+01  6.138164E+01  1.227544E+02
 3.161500E+02  6.146868E+01  6.147211E+01  1.230410E+02
 3.171500E+02  6.155907E+01  6.156249E+01  1.233264E+02
 3.181500E+02  6.164937E+01  6.165280E+01  1.236107E+02
 3.191500E+02  6.173959E+01  6.174302E+01  1.238939E+02
 3.201500E+02  6.182975E+01  6.183318E+01  1.241759E+02
 3.211500E+02  6.191984E+01  6.192327E+01  1.244569E+02
 3.221500E+02  6.200987E+01  6.201331E+01  1.247368E+02
 3.231500E+02  6.209986E+01  6.210329E+01  1.250157E+02
 3.241500E+02  6.218980E+01  6.219324E+01  1.252936E+02
 3.251500E+02  6.227972E+01  6.228316E+01  1.255706E+02
 3.261500E+02  6.236961E+01  6.237305E+01  1.258466E+02
 3.271500E+02  6.245950E+01  6.246294E+01  1.261218E+02
 3.281500E+02  6.254938E+01  6.255282E+01  1.263961E+02
 3.291500E+02  6.263928E+01  6.264272E+01  1.266697E+02
 3.301500E+02  6.272920E+01  6.273264E+01  1.269424E+02
 3.311500E+02  6.281916E+01  6.282260E+01  1.272145E+02
 3.321500E+02  6.290916E+01  6.291261E+01  1.274859E+02
 3.331500E+02  6.299923E+01  6.300268E+01  1.277567E+02
 3.341500E+02  6.308938E+01  6.309282E+01  1.280269E+02
 3.351500E+02  6.317961E+01  6.318306E+01  1.282965E+02
 3.361500E+02  6.326995E+01  6.327340E+01  1.285656E+02
 3.371500E+02  6.336040E+01  6.336385E+01  1.288343E+02
 3.381500E+02  6.345099E+01  6.345444E+01  1.291026E+02
 3.391500E+02  6.354172E+01  6.354518E+01  1.293706E+02
 3.401500E+02  6.363262E+01  6.363608E+01  1.296382E+02
 3.411500E+02  6.372369E+01  6.372715E+01  1.299055E+02
 3.421500E+02  6.381496E+01  6.381842E+01  1.301727E+02
 3.431500E+02  6.390643E+01  6.390989E+01  1.304396E+02
 3.441500E+02  9.704488E+01  9.986686E+01  2.350034E+02
 3.451500E+02  9.708329E+01  9.991396E+01  2.351402E+02
 3.461500E+02  9.712172E+01  9.996107E+01  2.352767E+02
 3.471500E+02  9.716016E+01  1.000082E+02  2.354127E+02
 3.481500E+02  9.719861E+01  1.000553E+02  2.355484E+02
 3.491500E+02  9.723708E+01  1.001024E+02  2.356838E+02
 3.501500E+02  9.727557E+01  1.001496E+02  2.358187E+02
 3.511500E+02  9.731406E+01  1.001967E+02  2.359534E+02
 3.521500E+02  9.735258E+01  1.002439E+02  2.360876E+02
 3.531500E+02  9.739111E+01  1.002911E+02  2.362216E+02
 3.541500E+02  9.742967E+01  1.003383E+02  2.363551E+02
 3.551500E+02  9.746824E+01  1.003855E+02  2.364884E+02
 3.561500E+02  9.750683E+01  1.004327E+02  2.366213E+02
