#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  4.665470E+01  4.665720E+01
 2.741500E+02  4.669565E+01  4.669814E+01
 2.751500E+02  4.673683E+01  4.673930E+01
 2.761500E+02  4.677831E+01  4.678075E+01
 2.771500E+02  4.682013E+01  4.682254E+01
 2.781500E+02  4.686233E+01  4.686471E+01
 2.791500E+02  4.690494E+01  4.690728E+01
 2.801500E+02  4.694797E+01  4.695027E+01
 2.811500E+02  4.699144E+01  4.699371E+01
 2.821500E+02  4.703537E+01  4.703759E+01
 2.831500E+02  4.707974E+01  4.708193E+01
 2.841500E+02  4.712455E+01  4.712670E+01
 2.851500E+02  4.716980E+01  4.717191E+01
 2.861500E+02  4.721546E+01  4.721753E+01
 2.871500E+02  4.726152E+01  4.726355E+01
 2.881500E+02  4.730796E+01  4.730995E+01
 2.891500E+02  4.735475E+01  4.735671E+01
 2.901500E+02  4.740186E+01  4.740379E+01
 2.911500E+02  4.744928E+01  4.745117E+01
 2.921500E+02  4.749697E+01  4.749883E+01
 2.931500E+02  4.754491E+01  4.754674E+01
 2.941500E+02  4.759306E+01  4.759487E+01
 2.951500E+02  4.764141E+01  4.764319E+01
 2.961500E+02  4.768993E+01  4.769168E+01
 2.971500E+02  4.773858E+01  4.774031E+01
 2.981500E+02  4.778736E+01  4.778907E+01
 2.991500E+02  4.783623E+01  4.783792E+01
 3.001500E+02  4.788518E+01  4.788684E+01
 3.011500E+02  4.793418E+01  4.793583E+01
 3.021500E+02  4.798322E+01  4.798484E+01
 3.031500E+02  4.803227E+01  4.803388E+01
 3.041500E+02  4.808132E+01  4.808292E+01
 3.051500E+02  4.813035E+01  4.813194E+01
 3.061500E+02  4.817935E+01  4.818093E+01
 3.071500E+02  4.822831E+01  4.822987E+01
 3.081500E+02  4.827721E+01  4.827876E+01
 3.091500E+02  4.832604E+01  4.832758E+01
 3.101500E+02  4.837479E+01  4.837632E+01
 3.111500E+02  4.842344E+01  4.842497E+01
 3.121500E+02  4.847200E+01  4.847351E+01
 3.131500E+02  4.852044E+01  4.852195E+01
 3.141500E+02  4.856877E+01  4.857027E+01
 3.151500E+02  4.861697E+01  4.861846E+01
 3.161500E+02  4.866503E+01  4.866652E+01
 3.171500E+02  4.871295E+01  4.871444E+01
 3.181500E+02  4.876073E+01  4.876222E+01
 3.191500E+02  4.880835E+01  4.880984E+01
 3.201500E+02  4.885582E+01  4.885730E+01
 3.211500E+02  4.890311E+01  4.890459E+01
 3.221500E+02  4.895024E+01  4.895172E+01
 3.231500E+02  4.899720E+01  4.899868E+01
 3.241500E+02  4.904397E+01  4.904545E+01
 3.251500E+02  4.909057E+01  4.909205E+01
 3.261500E+02  4.913697E+01  4.913845E+01
 3.271500E+02  4.918319E+01  4.918467E+01
 3.281500E+02  4.922921E+01  4.923069E+01
 3.291500E+02  4.927503E+01  4.927652E+01
 3.301500E+02  4.932065E+01  4.932214E+01
 3.311500E+02  4.936607E+01  4.936756E+01
 3.321500E+02  4.941128E+01  4.941277E+01
 3.331500E+02  4.945628E+01  4.945778E+01
 3.341500E+02  4.950107E+01  4.950257E+01
 3.351500E+02  4.954564E+01  4.954714E+01
 3.361500E+02  4.958999E+01  4.959150E+01
 3.371500E+02  4.963412E+01  4.963563E+01
 3.381500E+02  4.967803E+01  4.967955E+01
 3.391500E+02  4.972171E+01  4.972323E+01
 3.401500E+02  4.976517E+01  4.976670E+01
 3.411500E+02  4.980839E+01  4.980993E+01
 3.421500E+02  4.985139E+01  4.985293E+01
 3.431500E+02  4.989415E+01  4.989569E+01
 3.441500E+02  4.993667E+01  4.993822E+01
 3.451500E+02  4.997895E+01  4.998051E+01
 3.461500E+02  5.002100E+01  5.002256E+01
 3.471500E+02  5.006280E+01  5.006437E+01
 3.481500E+02  5.010436E+01  5.010594E+01
 3.491500E+02  5.014567E+01  5.014726E+01
 3.501500E+02  5.018674E+01  5.018834E+01
 3.511500E+02  5.022756E+01  5.022916E+01
 3.521500E+02  5.026813E+01  5.026974E+01
 3.531500E+02  5.030844E+01  5.031007E+01
