#         T/K          A/kJ          G/kJ
  2.731500000000E+02   5.869017207870E+00   5.873105469852E+00
  2.741500000000E+02   5.733884730891E+00   5.737975512776E+00
  2.751500000000E+02   5.598155107501E+00   5.602248416078E+00
  2.761500000000E+02   5.461833015726E+00   5.465928854675E+00
  2.771500000000E+02   5.324923654040E+00   5.329022024270E+00
  2.781500000000E+02   5.187432700268E+00   5.191533600055E+00
  2.791500000000E+02   5.049366265914E+00   5.053469691065E+00
  2.801500000000E+02   4.910730848337E+00   4.914836792372E+00
  2.811500000000E+02   4.771533280520E+00   4.775641734865E+00
  2.821500000000E+02   4.631780683158E+00   4.635891637352E+00
  2.831500000000E+02   4.491480413505E+00   4.495593855408E+00
  2.841500000000E+02   4.350640018383E+00   4.354755934387E+00
  2.851500000000E+02   4.209267186723E+00   4.213385561962E+00
  2.861500000000E+02   4.067369707877E+00   4.071490526429E+00
  2.871500000000E+02   3.924955428647E+00   3.929078673727E+00
  2.881500000000E+02   3.782032216622E+00   3.786157870767E+00
  2.891500000000E+02   3.638607925721E+00   3.642735970965E+00
  2.901500000000E+02   3.494690365395E+00   3.498820783424E+00
  2.911500000000E+02   3.350287273924E+00   3.354420046167E+00
  2.921500000000E+02   3.205406292757E+00   3.209541400683E+00
  2.931500000000E+02   3.060054948892E+00   3.064192373956E+00
  2.941500000000E+02   2.914240635389E+00   2.918380359193E+00
  2.951500000000E+02   2.767970597990E+00   2.772112602373E+00
  2.961500000000E+02   2.621251922812E+00   2.625396189928E+00
  2.971500000000E+02   2.474091527286E+00   2.478238039673E+00
  2.981500000000E+02   2.326496152949E+00   2.330644893582E+00
  2.991500000000E+02   2.178472360096E+00   2.182623312436E+00
  3.001500000000E+02   2.030026524342E+00   2.034179672375E+00
  3.011500000000E+02   1.881164834307E+00   1.885320162576E+00
  3.021500000000E+02   1.731893290937E+00   1.736050784586E+00
  3.031500000000E+02   1.582217706584E+00   1.586377351320E+00
  3.041500000000E+02   1.432143708365E+00   1.436305490535E+00
  3.051500000000E+02   1.281676737166E+00   1.285840643744E+00
  3.061500000000E+02   1.130822051408E+00   1.134988070008E+00
