#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        c1w1-2        c1w2-1        c1w3-1        c1w4-1        c1w4-3        c1w5-7        c2w1-1        c2w1-9        c2w2-1        c2w3-1        c2w3-6        c2w4-6        c2w4-8        c3w1-5        c3w2-2        c3w2-8        c3w3-2        c3w3-5        c3w3-9        c4w1-2        c4w1-5        c4w1-6        c4w1-9        c4w2-6        c4w2-7        c5w1-5
 2.731500E+02  2.260539E-02  1.805859E-02  3.819554E-03  5.013257E-03  5.577647E-03  6.650651E-03  5.134871E-03  2.147215E-03  2.867598E-05  2.013589E-03  4.286681E-03  4.483669E-03  6.274115E-03  6.996865E-04  5.680820E-03  4.368093E-03  3.121819E-03  4.717318E-03  2.856980E-04  6.498155E-04  1.547393E-04  3.747795E-04  5.258556E-06  9.884023E-03  1.152153E-02  7.212169E-03  2.715930E-05  4.603360E-05  7.013946E-02  9.544490E-02  7.032157E-02  1.862535E-04  2.823454E-03  2.833023E-03  6.658701E-02  3.783348E-01  4.951644E-03  7.419914E-04  5.132647E-02  1.745946E-02  3.031203E-02  4.637975E-03  4.072633E-03  6.561240E-03  1.946489E-03  2.040564E-03  1.138474E-02  2.201783E-02  2.275557E-03  9.064857E-03  2.075145E-03  1.576140E-04  6.315845E-04  8.824394E-04  2.048862E-04  2.045992E-04  7.965341E-04  5.443664E-05  1.660577E-03  2.758515E-03  2.668874E-04
 2.741500E+02  2.291845E-02  1.800756E-02  3.702073E-03  4.860706E-03  5.408325E-03  6.450788E-03  4.806885E-03  2.016904E-03  2.704161E-05  1.891141E-03  4.030140E-03  4.212550E-03  5.890534E-03  6.256482E-04  5.129836E-03  3.942768E-03  2.822383E-03  4.079456E-03  2.475391E-04  6.832165E-04  1.650215E-04  3.930789E-04  5.729649E-06  1.003417E-02  1.178272E-02  7.272191E-03  2.837303E-05  4.802095E-05  6.897771E-02  9.379033E-02  6.979661E-02  1.874637E-04  2.827753E-03  2.837241E-03  6.684615E-02  3.893453E-01  5.073313E-03  7.519292E-04  5.041566E-02  1.723180E-02  2.963891E-02  4.654180E-03  4.083337E-03  6.460324E-03  1.905235E-03  1.994812E-03  1.075024E-02  2.098532E-02  2.208115E-03  8.680986E-03  1.988541E-03  1.494717E-04  5.998959E-04  8.363620E-04  1.934171E-04  1.914558E-04  7.448228E-04  5.116596E-05  1.535118E-03  2.544497E-03  2.392991E-04
 2.751500E+02  2.320630E-02  1.792155E-02  3.579041E-03  4.700748E-03  5.230734E-03  6.240919E-03  4.485872E-03  1.888570E-03  2.541985E-05  1.770580E-03  3.777064E-03  3.945427E-03  5.513110E-03  5.574424E-04  4.615388E-03  3.545880E-03  2.542334E-03  3.513240E-03  2.135861E-04  7.178768E-04  1.758708E-04  4.120781E-04  6.238375E-06  1.018484E-02  1.204716E-02  7.332366E-03  2.963230E-05  5.008035E-05  6.784888E-02  9.218389E-02  6.928506E-02  1.886892E-04  2.832296E-03  2.841706E-03  6.711048E-02  4.001601E-01  5.191838E-03  7.612159E-04  4.948426E-02  1.699395E-02  2.896242E-02  4.661506E-03  4.086263E-03  6.350129E-03  1.861906E-03  1.947019E-03  1.013826E-02  1.997478E-02  2.137367E-03  8.294214E-03  1.901143E-03  1.414438E-04  5.685584E-04  7.909823E-04  1.820268E-04  1.786161E-04  6.943709E-04  4.794488E-05  1.415082E-03  2.340417E-03  2.138084E-04
 2.761500E+02  2.346787E-02  1.780149E-02  3.451417E-03  4.534638E-03  5.046267E-03  6.022698E-03  4.173575E-03  1.762984E-03  2.382152E-05  1.652628E-03  3.529014E-03  3.683914E-03  5.144080E-03  4.949385E-04  4.137744E-03  3.177597E-03  2.281898E-03  3.013419E-03  1.835451E-04  7.538048E-04  1.873090E-04  4.317939E-04  6.787337E-06  1.033608E-02  1.231494E-02  7.392818E-03  3.093900E-05  5.221480E-05  6.675362E-02  9.062628E-02  6.878842E-02  1.899353E-04  2.837159E-03  2.846491E-03  6.738180E-02  4.107494E-01  5.306954E-03  7.698439E-04  4.853555E-02  1.674697E-02  2.828462E-02  4.660062E-03  4.081523E-03  6.231430E-03  1.816771E-03  1.897473E-03  9.549529E-03  1.898875E-02  2.063875E-03  7.906899E-03  1.813493E-03  1.335671E-04  5.377237E-04  7.465045E-04  1.707917E-04  1.661471E-04  6.454353E-04  4.479276E-05  1.300814E-03  2.146769E-03  1.903799E-04
 2.771500E+02  2.370251E-02  1.764864E-02  3.320172E-03  4.363646E-03  4.856336E-03  5.797806E-03  3.871501E-03  1.640827E-03  2.225632E-05  1.537921E-03  3.287371E-03  3.429441E-03  4.785416E-03  4.379490E-04  3.696664E-03  2.837695E-03  2.041020E-03  2.574576E-03  1.571091E-04  7.910144E-04  1.993595E-04  4.522458E-04  7.379327E-06  1.048798E-02  1.258616E-02  7.453673E-03  3.229513E-05  5.442743E-05  6.569223E-02  8.911776E-02  6.830785E-02  1.912064E-04  2.842403E-03  2.851660E-03  6.766167E-02  4.210875E-01  5.418445E-03  7.778101E-04  4.757271E-02  1.649185E-02  2.760734E-02  4.650035E-03  4.069303E-03  6.105039E-03  1.770093E-03  1.846454E-03  8.984544E-03  1.802942E-02  1.988200E-03  7.521235E-03  1.726098E-03  1.258737E-04  5.075252E-04  7.031057E-04  1.597805E-04  1.541059E-04  5.982333E-04  4.172648E-05  1.192555E-03  1.963876E-03  1.689555E-04
 2.781500E+02  2.390973E-02  1.746461E-02  3.186293E-03  4.189068E-03  4.662383E-03  5.567959E-03  3.580974E-03  1.522711E-03  2.073319E-05  1.427031E-03  3.053386E-03  3.183293E-03  4.438879E-03  3.862501E-04  3.291540E-03  2.525670E-03  1.819438E-03  2.191335E-03  1.339712E-04  8.295155E-04  2.120457E-04  4.734523E-04  8.017287E-06  1.064059E-02  1.286093E-02  7.515035E-03  3.370269E-05  5.672139E-05  6.466478E-02  8.765827E-02  6.784429E-02  1.925067E-04  2.848084E-03  2.857267E-03  6.795145E-02  4.311513E-01  5.526126E-03  7.851171E-04  4.659892E-02  1.622967E-02  2.693239E-02  4.631705E-03  4.049866E-03  5.971828E-03  1.722150E-03  1.794254E-03  8.443676E-03  1.709873E-02  1.910915E-03  7.139343E-03  1.639446E-03  1.183931E-04  4.780864E-04  6.609479E-04  1.490561E-04  1.425420E-04  5.529526E-04  3.876121E-05  1.090475E-03  1.791943E-03  1.494625E-04
 2.791500E+02  2.408953E-02  1.725128E-02  3.050720E-03  4.012137E-03  4.465783E-03  5.334795E-03  3.303016E-03  1.409125E-03  1.925950E-05  1.320415E-03  2.828064E-03  2.946499E-03  4.105877E-03  3.395709E-04  2.921295E-03  2.240660E-03  1.616632E-03  1.858321E-03  1.138216E-04  8.693320E-04  2.253945E-04  4.954368E-04  8.704406E-06  1.079405E-02  1.313938E-02  7.577012E-03  3.516381E-05  5.910003E-05  6.367098E-02  8.624724E-02  6.739830E-02  1.938392E-04  2.854242E-03  2.863354E-03  6.825220E-02  4.409235E-01  5.629866E-03  7.917705E-04  4.561708E-02  1.596139E-02  2.626121E-02  4.605406E-03  4.023519E-03  5.832652E-03  1.673192E-03  1.741139E-03  7.927010E-03  1.619810E-02  1.832553E-03  6.763052E-03  1.553963E-03  1.111484E-04  4.495054E-04  6.201568E-04  1.386698E-04  1.314924E-04  5.097321E-04  3.590889E-05  9.946368E-04  1.630995E-03  1.318091E-04
 2.801500E+02  2.424193E-02  1.701076E-02  2.914402E-03  3.834101E-03  4.267920E-03  5.099970E-03  3.038503E-03  1.300500E-03  1.784193E-05  1.218476E-03  2.612302E-03  2.719972E-03  3.787645E-03  2.976279E-04  2.584662E-03  1.981658E-03  1.431968E-03  1.570432E-03  9.636489E-05  9.104744E-04  2.394309E-04  5.182187E-04  9.443991E-06  1.094837E-02  1.342161E-02  7.639679E-03  3.668056E-05  6.156660E-05  6.271041E-02  8.488396E-02  6.697031E-02  1.952068E-04  2.860913E-03  2.869955E-03  6.856484E-02  4.503877E-01  5.729557E-03  7.977813E-04  4.463018E-02  1.568802E-02  2.559535E-02  4.571556E-03  3.990646E-03  5.688429E-03  1.623490E-03  1.687390E-03  7.434615E-03  1.532891E-02  1.753662E-03  6.394160E-03  1.470066E-03  1.041615E-04  4.218762E-04  5.808518E-04  1.286690E-04  1.209890E-04  4.686901E-04  3.318018E-05  9.050625E-04  1.480994E-03  1.158984E-04
 2.811500E+02  2.436727E-02  1.674537E-02  2.778226E-03  3.656127E-03  4.070096E-03  4.865039E-03  2.788052E-03  1.197164E-03  1.648579E-05  1.121518E-03  2.406784E-03  2.504401E-03  3.485108E-03  2.601134E-04  2.280075E-03  1.747428E-03  1.264646E-03  1.322759E-03  8.131503E-05  9.529595E-04  2.541816E-04  5.418196E-04  1.023957E-05  1.110363E-02  1.370770E-02  7.703100E-03  3.825507E-05  6.412439E-05  6.178238E-02  8.356737E-02  6.656045E-02  1.966117E-04  2.868121E-03  2.877095E-03  6.889002E-02  4.595319E-01  5.825137E-03  8.031638E-04  4.364100E-02  1.541053E-02  2.493615E-02  4.530623E-03  3.951670E-03  5.540057E-03  1.573297E-03  1.633272E-03  6.966363E-03  1.449216E-02  1.674750E-03  6.034220E-03  1.388118E-03  9.744924E-05  3.952732E-04  5.431241E-04  1.190909E-04  1.110533E-04  4.299046E-04  3.058305E-05  8.216949E-04  1.341773E-03  1.016232E-04
 2.821500E+02  2.446611E-02  1.645754E-02  2.643019E-03  3.479306E-03  3.873526E-03  4.631456E-03  2.552060E-03  1.099349E-03  1.519516E-05  1.029756E-03  2.212008E-03  2.300283E-03  3.198920E-03  2.267078E-04  2.005767E-03  1.536587E-03  1.113749E-03  1.110674E-03  6.840092E-05  9.968048E-04  2.696745E-04  5.662612E-04  1.109487E-05  1.125986E-02  1.399772E-02  7.767323E-03  3.988946E-05  6.677671E-05  6.088603E-02  8.229614E-02  6.616862E-02  1.980552E-04  2.875879E-03  2.884787E-03  6.922816E-02  4.683474E-01  5.916574E-03  8.079355E-04  4.265217E-02  1.512986E-02  2.428481E-02  4.483118E-03  3.907050E-03  5.388422E-03  1.522853E-03  1.579034E-03  6.521992E-03  1.368857E-02  1.596292E-03  5.684578E-03  1.308435E-03  9.102474E-05  3.697549E-04  5.070430E-04  1.099644E-04  1.016982E-04  3.934204E-04  2.812317E-05  7.444164E-04  1.213066E-03  8.887114E-05
