#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.731500E+02  4.775256E-02  4.581106E-02  6.403441E-04                                 112
 2.741500E+02  4.778314E-02  4.581106E-02  6.436811E-04                                 112
 2.751500E+02  4.781408E-02  4.581106E-02  6.501155E-04                                 112
 2.761500E+02  4.784531E-02  4.581106E-02  6.556177E-04                                 112
 2.771500E+02  4.787681E-02  4.581106E-02  6.605411E-04                                 112
 2.781500E+02  4.790856E-02  4.581106E-02  6.648822E-04                                 112
 2.791500E+02  4.794052E-02  4.581106E-02  6.686416E-04                                 112
 2.801500E+02  4.797267E-02  4.581106E-02  6.718243E-04                                 112
 2.811500E+02  4.800498E-02  4.581106E-02  6.744391E-04                                 112
 2.821500E+02  4.803742E-02  4.581106E-02  6.764988E-04                                 112
 2.831500E+02  4.806997E-02  4.581106E-02  6.780194E-04                                 112
 2.841500E+02  4.810261E-02  4.581106E-02  6.790204E-04                                 112
 2.851500E+02  4.813530E-02  4.581106E-02  6.795236E-04                                 112
 2.861500E+02  4.816803E-02  4.581106E-02  6.795535E-04                                 112
 2.871500E+02  4.820076E-02  4.581106E-02  6.791364E-04                                 112
 2.881500E+02  4.823350E-02  4.581106E-02  6.783004E-04                                 112
 2.891500E+02  4.826620E-02  4.581106E-02  6.770744E-04                                 112
 2.901500E+02  4.829886E-02  4.581106E-02  6.754884E-04                                 112
 2.911500E+02  4.833145E-02  4.581106E-02  6.735728E-04                                 112
 2.921500E+02  4.836396E-02  4.581106E-02  6.713580E-04                                 112
 2.931500E+02  4.839639E-02  4.581106E-02  6.688746E-04                                 112
 2.941500E+02  4.842871E-02  4.581106E-02  6.661524E-04                                 112
 2.951500E+02  4.846091E-02  4.581106E-02  6.632207E-04                                 112
 2.961500E+02  4.849299E-02  4.581106E-02  6.601082E-04                                 112
 2.971500E+02  4.852493E-02  4.581106E-02  6.568422E-04                                 112
 2.981500E+02  4.855673E-02  4.581106E-02  6.534493E-04                                 112
 2.991500E+02  4.858839E-02  4.581106E-02  6.499546E-04                                 112
 3.001500E+02  4.861989E-02  4.581106E-02  6.463823E-04                                 112
 3.011500E+02  4.865124E-02  4.581106E-02  6.427548E-04                                 112
 3.021500E+02  4.868244E-02  4.581106E-02  6.390935E-04                                 112
 3.031500E+02  4.871347E-02  4.581106E-02  6.354185E-04                                 112
 3.041500E+02  4.874434E-02  4.581106E-02  6.317482E-04                                 112
 3.051500E+02  4.877506E-02  4.581106E-02  6.281000E-04                                 112
 3.061500E+02  4.880561E-02  4.581106E-02  6.244899E-04                                 112
 3.071500E+02  4.883601E-02  4.581106E-02  6.209327E-04                                 112
 3.081500E+02  4.886626E-02  4.581106E-02  6.174419E-04                                 112
 3.091500E+02  4.889636E-02  4.581106E-02  6.140298E-04                                 112
 3.101500E+02  4.892631E-02  4.581106E-02  6.107078E-04                                 112
 3.111500E+02  4.895612E-02  4.581106E-02  6.074862E-04                                 112
 3.121500E+02  4.898579E-02  4.581106E-02  6.043740E-04                                 112
 3.131500E+02  4.901533E-02  4.581106E-02  6.013798E-04                                 112
 3.141500E+02  4.904474E-02  4.581106E-02  5.985110E-04                                 112
 3.151500E+02  4.907404E-02  4.581106E-02  5.957742E-04                                 112
 3.161500E+02  4.910322E-02  4.581106E-02  5.931754E-04                                 112
 3.171500E+02  4.913229E-02  4.581106E-02  5.907198E-04                                 112
 3.181500E+02  4.916126E-02  4.581106E-02  5.884119E-04                                 112
 3.191500E+02  4.919015E-02  4.581106E-02  5.862559E-04                                 112
