#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8          c1m1        c1m2-1        c1m2-7        c1m3-6        c1m4-1        c1m5-1        c1m5-6        c2m1-1        c2m2-1        c2m2-5        c2m3-1        c2m4-1        c2m4-3        c2m4-8        c3m1-1        c3m2-3        c3m3-8        c4m1-6        c4m2-4        c4m2-5        c5m1-9
 2.731500E+02  2.752980E-02  2.644406E-02  6.725278E-03  8.827090E-03  9.820839E-03  1.171013E-02  1.087127E-02  4.545968E-03  6.071124E-05  4.263063E-03  9.075532E-03  9.492582E-03  1.328322E-02  1.781179E-03  1.446156E-02  1.111978E-02  7.947160E-03  1.443951E-02  8.745096E-04  1.583393E-03  2.223254E-04  3.369371E-04  1.462491E-02  9.880971E-03  3.101181E-02  6.817585E-03  3.183429E-03  1.957142E-03  2.608937E-03  9.330549E-04  3.838352E-03  4.808773E-02  1.283453E-03  4.211416E-03  1.477796E-03  1.556164E-01  2.559747E-02  6.523064E-02  7.449070E-03  1.390854E-02  3.587273E-03  1.105153E-02  1.540530E-01  5.542913E-02  7.283263E-02  2.457616E-02  1.199826E-02  2.041463E-02  1.747689E-03  4.057179E-02  6.836612E-03  3.766670E-03
 2.741500E+02  2.826786E-02  2.715669E-02  6.826234E-03  8.962631E-03  9.972383E-03  1.189458E-02  1.083713E-02  4.547112E-03  6.096532E-05  4.263580E-03  9.085953E-03  9.497198E-03  1.328021E-02  1.724626E-03  1.414061E-02  1.086841E-02  7.780017E-03  1.374932E-02  8.343008E-04  1.663178E-03  2.374821E-04  3.546219E-04  1.498908E-02  1.005391E-02  3.160078E-02  6.884862E-03  3.234319E-03  1.977886E-03  2.637048E-03  9.465632E-04  3.899595E-03  5.012149E-02  1.333777E-03  4.390722E-03  1.526936E-03  1.564007E-01  2.552235E-02  6.506711E-02  7.670654E-03  1.418573E-02  3.659339E-03  1.114644E-02  1.513970E-01  5.466536E-02  7.157984E-02  2.487782E-02  1.204775E-02  2.022713E-02  1.739805E-03  3.981025E-02  6.725554E-03  3.675127E-03
 2.751500E+02  2.902022E-02  2.787726E-02  6.925016E-03  9.095385E-03  1.012084E-02  1.207543E-02  1.079644E-02  4.545345E-03  6.117962E-05  4.261371E-03  9.090507E-03  9.495716E-03  1.326876E-02  1.668835E-03  1.381725E-02  1.061542E-02  7.611073E-03  1.308280E-02  7.953642E-04  1.746666E-03  2.535830E-04  3.731240E-04  1.535984E-02  1.022825E-02  3.219549E-02  6.951727E-03  3.285373E-03  1.998530E-03  2.665030E-03  9.600873E-04  3.961035E-03  5.222352E-02  1.385565E-03  4.575873E-03  1.577113E-03  1.571522E-01  2.544176E-02  6.488918E-02  7.895145E-03  1.446197E-02  3.731176E-03  1.123748E-02  1.487445E-01  5.389546E-02  7.032858E-02  2.516919E-02  1.209086E-02  2.003134E-02  1.730831E-03  3.903983E-02  6.612244E-03  3.583233E-03
 2.761500E+02  2.978498E-02  2.860421E-02  7.021359E-03  9.225000E-03  1.026583E-02  1.225222E-02  1.074934E-02  4.540693E-03  6.135404E-05  4.256462E-03  9.089230E-03  9.488188E-03  1.324895E-02  1.613894E-03  1.349235E-02  1.036150E-02  7.440808E-03  1.244037E-02  7.577338E-04  1.833874E-03  2.706644E-04  3.924562E-04  1.573669E-02  1.040374E-02  3.279511E-02  7.018096E-03  3.336548E-03  2.019048E-03  2.692852E-03  9.736143E-04  4.022616E-03  5.439241E-02  1.438779E-03  4.766792E-03  1.628285E-03  1.578684E-01  2.535575E-02  6.469704E-02  8.122190E-03  1.473679E-02  3.802660E-03  1.132453E-02  1.460985E-01  5.312057E-02  6.908025E-02  2.544970E-02  1.212761E-02  1.982797E-02  1.720816E-03  3.826281E-02  6.497063E-03  3.491271E-03
 2.771500E+02  3.056209E-02  2.933704E-02  7.115117E-03  9.351279E-03  1.040711E-02  1.242468E-02  1.069590E-02  4.533158E-03  6.148815E-05  4.248855E-03  9.082109E-03  9.474610E-03  1.322080E-02  1.559833E-03  1.316632E-02  1.010695E-02  7.269451E-03  1.182161E-02  7.213934E-04  1.924945E-03  2.887781E-04  4.126481E-04  1.611958E-02  1.058029E-02  3.339943E-02  7.083914E-03  3.387811E-03  2.039425E-03  2.720489E-03  9.871355E-04  4.084301E-03  5.662925E-02  1.493431E-03  4.963550E-03  1.680440E-03  1.585482E-01  2.526429E-02  6.449053E-02  8.351632E-03  1.500988E-02  3.873712E-03  1.140745E-02  1.434596E-01  5.234096E-02  6.783514E-02  2.571888E-02  1.215793E-02  1.961721E-02  1.709775E-03  3.748003E-02  6.380151E-03  3.399353E-03
 2.781500E+02  3.135144E-02  3.007523E-02  7.206144E-03  9.474027E-03  1.054448E-02  1.259254E-02  1.063618E-02  4.522743E-03  6.158156E-05  4.238555E-03  9.069141E-03  9.454989E-03  1.318432E-02  1.506677E-03  1.283958E-02  9.852089E-03  7.097232E-03  1.122607E-02  6.863256E-04  2.020022E-03  3.079787E-04  4.337296E-04  1.650848E-02  1.075783E-02  3.400818E-02  7.149125E-03  3.439131E-03  2.059643E-03  2.747921E-03  1.000642E-03  4.146052E-03  5.893506E-02  1.549530E-03  5.166220E-03  1.733566E-03  1.591907E-01  2.516731E-02  6.426950E-02  8.583304E-03  1.528093E-02  3.944250E-03  1.148610E-02  1.408284E-01  5.155692E-02  6.659354E-02  2.597625E-02  1.218173E-02  1.939925E-02  1.697723E-03  3.669233E-02  6.261648E-03  3.307586E-03
 2.791500E+02  3.215295E-02  3.081825E-02  7.294296E-03  9.593052E-03  1.067772E-02  1.275554E-02  1.057027E-02  4.509461E-03  6.163398E-05  4.225574E-03  9.050331E-03  9.429345E-03  1.313957E-02  1.454454E-03  1.251252E-02  9.597221E-03  6.924375E-03  1.065331E-02  6.525118E-04  2.119258E-03  3.283227E-04  4.557315E-04  1.690334E-02  1.093627E-02  3.462111E-02  7.213673E-03  3.490473E-03  2.079686E-03  2.775125E-03  1.014123E-03  4.207827E-03  6.131084E-02  1.607082E-03  5.374863E-03  1.787647E-03  1.597948E-01  2.506478E-02  6.403383E-02  8.817032E-03  1.554961E-02  4.014193E-03  1.156037E-02  1.382056E-01  5.076874E-02  6.535574E-02  2.622136E-02  1.219893E-02  1.917431E-02  1.684677E-03  3.590052E-02  6.141696E-03  3.216077E-03
 2.801500E+02  3.296649E-02  3.156554E-02  7.379432E-03  9.708161E-03  1.080662E-02  1.291341E-02  1.049825E-02  4.493326E-03  6.164520E-05  4.209927E-03  9.025699E-03  9.397707E-03  1.308660E-02  1.403185E-03  1.218555E-02  9.342649E-03  6.751104E-03  1.010286E-02  6.199323E-04  2.222806E-03  3.498691E-04  4.786851E-04  1.730410E-02  1.111553E-02  3.523793E-02  7.277498E-03  3.541803E-03  2.099537E-03  2.802077E-03  1.027571E-03  4.269586E-03  6.375753E-02  1.666094E-03  5.589538E-03  1.842667E-03  1.603595E-01  2.495664E-02  6.378338E-02  9.052631E-03  1.581562E-02  4.083456E-03  1.163012E-02  1.355916E-01  4.997674E-02  6.412205E-02  2.645377E-02  1.220948E-02  1.894261E-02  1.670657E-03  3.510546E-02  6.020439E-03  3.124928E-03
 2.811500E+02  3.379192E-02  3.231651E-02  7.461412E-03  9.819168E-03  1.093096E-02  1.306591E-02  1.042025E-02  4.474360E-03  6.161506E-05  4.191635E-03  8.995272E-03  9.360114E-03  1.302547E-02  1.352894E-03  1.185906E-02  9.088669E-03  6.577640E-03  9.574262E-03  5.885665E-04  2.330824E-03  3.726794E-04  5.026220E-04  1.771069E-02  1.129551E-02  3.585835E-02  7.340542E-03  3.593086E-03  2.119177E-03  2.828753E-03  1.040974E-03  4.331283E-03  6.627601E-02  1.726569E-03  5.810297E-03  1.898606E-03  1.608837E-01  2.484286E-02  6.351806E-02  9.289907E-03  1.607862E-02  4.151955E-03  1.169524E-02  1.329873E-01  4.918123E-02  6.289280E-02  2.667305E-02  1.221331E-02  1.870437E-02  1.655684E-03  3.430796E-02  5.898020E-03  3.034242E-03
 2.821500E+02  3.462910E-02  3.307056E-02  7.540101E-03  9.925889E-03  1.105053E-02  1.321278E-02  1.033637E-02  4.452589E-03  6.154352E-05  4.170723E-03  8.959090E-03  9.316619E-03  1.295629E-02  1.303599E-03  1.153341E-02  8.835570E-03  6.404199E-03  9.067016E-03  5.583927E-04  2.443475E-03  3.968175E-04  5.275746E-04  1.812305E-02  1.147612E-02  3.648207E-02  7.402745E-03  3.644282E-03  2.138589E-03  2.855128E-03  1.054322E-03  4.392875E-03  6.886713E-02  1.788510E-03  6.037184E-03  1.955443E-03  1.613665E-01  2.472340E-02  6.323776E-02  9.528658E-03  1.633828E-02  4.219605E-03  1.175559E-02  1.303934E-01  4.838253E-02  6.166830E-02  2.687879E-02  1.221039E-02  1.845984E-02  1.639780E-03  3.350885E-02  5.774585E-03  2.944117E-03
