#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            m1          m2-1          m3-1          m4-1          m5-1          m5-2          m6-2          m6-3          m6-4          m6-5          m6-7          m6-8          c1m1        c1m2-1        c1m2-7        c1m3-6        c1m4-1        c1m5-1        c1m5-6        c2m1-1        c2m2-1        c2m2-5        c2m3-1        c2m4-1        c2m4-3        c2m4-8        c3m1-1        c3m2-3        c3m3-8        c4m1-6        c4m2-4        c4m2-5        c5m1-9
 2.731500E+02  6.227731E-01  3.597496E-01  7.336122E-02  9.628838E-02  1.071285E-01  1.277374E-01  1.069728E-01  4.473210E-02  5.973957E-04  4.194833E-02  8.930279E-02  9.340655E-02  1.307062E-01  1.686421E-02  1.369221E-01  1.052821E-01  7.524372E-02  1.370267E-01  8.298834E-03  2.188718E-02  1.129301E-03  8.385480E-04  2.006241E-02  7.969465E-03  2.501247E-02  3.367662E-03  1.572509E-03  9.667636E-04  1.288729E-03  4.608983E-04  1.896019E-03  3.997428E-01  5.227388E-03  1.715272E-02  3.317648E-03  2.054049E-01  2.069287E-02  5.273213E-02  4.965153E-02  5.110024E-02  1.317971E-02  2.387280E-02  2.038072E-01  7.333098E-02  9.635527E-02  1.477683E-01  4.241554E-02  4.419943E-02  1.011106E-02  1.437557E-01  2.422378E-02  2.184159E-02
 2.741500E+02  6.408258E-01  3.702841E-01  7.464306E-02  9.800399E-02  1.090454E-01  1.300640E-01  1.069116E-01  4.485867E-02  6.014418E-04  4.206154E-02  8.963575E-02  9.369281E-02  1.310134E-01  1.637332E-02  1.342487E-01  1.031829E-01  7.386225E-02  1.308528E-01  7.940075E-03  2.301087E-02  1.206101E-03  8.814863E-04  2.051515E-02  8.081897E-03  2.540248E-02  3.385951E-03  1.590627E-03  9.727177E-04  1.296891E-03  4.655165E-04  1.917808E-03  4.170898E-01  5.432329E-03  1.788293E-02  3.424311E-03  2.060012E-01  2.056643E-02  5.243240E-02  5.119033E-02  5.212630E-02  1.344646E-02  2.405580E-02  1.998979E-01  7.217772E-02  9.451086E-02  1.497857E-01  4.260322E-02  4.376007E-02  1.008068E-02  1.411209E-01  2.384100E-02  2.134625E-02
 2.751500E+02  6.592280E-01  3.809557E-01  7.590550E-02  9.969504E-02  1.109352E-01  1.323595E-01  1.067858E-01  4.495727E-02  6.051177E-04  4.214853E-02  8.991273E-02  9.392059E-02  1.312392E-01  1.588751E-02  1.315419E-01  1.010601E-01  7.245833E-02  1.248767E-01  7.591832E-03  2.418512E-02  1.287512E-03  9.262236E-04  2.097169E-02  8.193338E-03  2.579018E-02  3.403248E-03  1.608369E-03  9.783889E-04  1.304677E-03  4.700148E-04  1.939141E-03  4.350046E-01  5.642689E-03  1.863516E-02  3.532695E-03  2.065268E-01  2.043358E-02  5.211584E-02  5.274921E-02  5.314561E-02  1.371152E-02  2.422822E-02  1.959905E-01  7.101438E-02  9.266717E-02  1.517420E-01  4.276675E-02  4.330129E-02  1.004386E-02  1.384507E-01  2.344964E-02  2.084774E-02
 2.761500E+02  6.779782E-01  3.917582E-01  7.714678E-02  1.013592E-01  1.127952E-01  1.346206E-01  1.065957E-01  4.502770E-02  6.084162E-04  4.220913E-02  9.013318E-02  9.408944E-02  1.313830E-01  1.540715E-02  1.288056E-01  9.891679E-02  7.103419E-02  1.190966E-01  7.254082E-03  2.541172E-02  1.373761E-03  9.728056E-04  2.143163E-02  8.303614E-03  2.617501E-02  3.419492E-03  1.625697E-03  9.837595E-04  1.312063E-03  4.743831E-04  1.959976E-03  4.534950E-01  5.858453E-03  1.940953E-02  3.642724E-03  2.069792E-01  2.029424E-02  5.178221E-02  5.432701E-02  5.415677E-02  1.397453E-02  2.438965E-02  1.920861E-01  6.984139E-02  9.082471E-02  1.536337E-01  4.290569E-02  4.282353E-02  1.000064E-02  1.357484E-01  2.305022E-02  2.034677E-02
 2.771500E+02  6.970757E-01  4.026854E-01  7.836517E-02  1.029940E-01  1.146229E-01  1.368441E-01  1.063414E-01  4.506982E-02  6.113309E-04  4.224321E-02  9.029666E-02  9.419900E-02  1.314446E-01  1.493261E-02  1.260440E-01  9.675599E-02  6.959199E-02  1.135104E-01  6.926778E-03  2.669252E-02  1.465085E-03  1.021279E-03  2.189458E-02  8.412550E-03  2.655639E-02  3.434625E-03  1.642575E-03  9.888118E-04  1.319025E-03  4.786111E-04  1.980267E-03  4.725686E-01  6.079603E-03  2.020610E-02  3.754322E-03  2.073562E-01  2.014831E-02  5.143129E-02  5.592254E-02  5.515834E-02  1.423512E-02  2.453971E-02  1.881858E-01  6.865920E-02  8.898396E-02  1.554574E-01  4.301960E-02  4.232723E-02  9.951101E-03  1.330173E-01  2.264326E-02  1.984403E-02
 2.781500E+02  7.165193E-01  4.137308E-01  7.955896E-02  1.045974E-01  1.164157E-01  1.390271E-01  1.060234E-01  4.508353E-02  6.138561E-04  4.225069E-02  9.040284E-02  9.424905E-02  1.314237E-01  1.446421E-02  1.232609E-01  9.458076E-02  6.813393E-02  1.081159E-01  6.609855E-03  2.802943E-02  1.561727E-03  1.071688E-03  2.236011E-02  8.519963E-03  2.693372E-02  3.448585E-03  1.658963E-03  9.935277E-04  1.325538E-03  4.826881E-04  1.999967E-03  4.922326E-01  6.306109E-03  2.102492E-02  3.867404E-03  2.076553E-01  1.999572E-02  5.106287E-02  5.753451E-02  5.614887E-02  1.449292E-02  2.467802E-02  1.842905E-01  6.746827E-02  8.714544E-02  1.572100E-01  4.310810E-02  4.181286E-02  9.895299E-03  1.302604E-01  2.222930E-02  1.934018E-02
 2.791500E+02  7.363077E-01  4.248877E-01  8.072645E-02  1.061669E-01  1.181710E-01  1.411663E-01  1.056421E-01  4.506879E-02  6.159869E-04  4.223155E-02  9.045150E-02  9.423947E-02  1.313205E-01  1.400228E-02  1.204603E-01  9.239413E-02  6.666217E-02  1.029105E-01  6.303236E-03  2.942438E-02  1.663936E-03  1.124077E-03  2.282775E-02  8.625662E-03  2.730638E-02  3.461312E-03  1.674822E-03  9.978887E-04  1.331579E-03  4.866033E-04  2.019027E-03  5.124933E-01  6.537929E-03  2.186601E-02  3.981875E-03  2.078744E-01  1.983642E-02  5.067677E-02  5.916157E-02  5.712689E-02  1.474753E-02  2.480420E-02  1.804015E-01  6.626909E-02  8.530968E-02  1.588881E-01  4.317083E-02  4.128093E-02  9.833323E-03  1.274811E-01  2.180887E-02  1.883590E-02
 2.801500E+02  7.564390E-01  4.361488E-01  8.186595E-02  1.077004E-01  1.198864E-01  1.432588E-01  1.051984E-01  4.502564E-02  6.177192E-04  4.218582E-02  9.044254E-02  9.417026E-02  1.311350E-01  1.354713E-02  1.176461E-01  9.019909E-02  6.517888E-02  9.789164E-02  6.006830E-03  3.087932E-02  1.771972E-03  1.178488E-03  2.329703E-02  8.729452E-03  2.767370E-02  3.472744E-03  1.690111E-03  1.001876E-03  1.337121E-03  4.903457E-04  2.037401E-03  5.333568E-01  6.775008E-03  2.272931E-02  4.097637E-03  2.080111E-01  1.967034E-02  5.027283E-02  6.080232E-02  5.809088E-02  1.499856E-02  2.491789E-02  1.765199E-01  6.506221E-02  8.347727E-02  1.604887E-01  4.320749E-02  4.073199E-02  9.765270E-03  1.246825E-01  2.138253E-02  1.833184E-02
 2.811500E+02  7.769107E-01  4.475067E-01  8.297583E-02  1.091956E-01  1.215594E-01  1.453016E-01  1.046928E-01  4.495413E-02  6.190497E-04  4.211357E-02  9.037596E-02  9.404155E-02  1.308676E-01  1.309903E-02  1.148221E-01  8.799860E-02  6.368623E-02  9.305642E-02  5.720534E-03  3.239624E-02  1.886099E-03  1.234960E-03  2.376742E-02  8.831130E-03  2.803501E-02  3.482821E-03  1.704789E-03  1.005472E-03  1.342140E-03  4.939041E-04  2.055036E-03  5.548280E-01  7.017276E-03  2.361472E-02  4.214581E-03  2.080633E-01  1.949743E-02  4.985092E-02  6.245524E-02  5.903932E-02  1.524563E-02  2.501874E-02  1.726471E-01  6.384816E-02  8.164881E-02  1.620087E-01  4.321782E-02  4.016659E-02  9.691249E-03  1.218681E-01  2.095083E-02  1.782864E-02
 2.821500E+02  7.977207E-01  4.589536E-01  8.405446E-02  1.106504E-01  1.231876E-01  1.472916E-01  1.041263E-01  4.485441E-02  6.199759E-04  4.201495E-02  9.025191E-02  9.385357E-02  1.305188E-01  1.265826E-02  1.119923E-01  8.579553E-02  6.218632E-02  8.840174E-02  5.444226E-03  3.397720E-02  2.006588E-03  1.293533E-03  2.423839E-02  8.930489E-03  2.838963E-02  3.491479E-03  1.718813E-03  1.008658E-03  1.346611E-03  4.972673E-04  2.071884E-03  5.769116E-01  7.264656E-03  2.452212E-02  4.332593E-03  2.080288E-01  1.931767E-02  4.941093E-02  6.411880E-02  5.997067E-02  1.548832E-02  2.510641E-02  1.687843E-01  6.262751E-02  7.982493E-02  1.634452E-01  4.320159E-02  3.958534E-02  9.611379E-03  1.190409E-01  2.051433E-02  1.732693E-02
