#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8            w1            w2          w3-1          w3-2          w4-1          w4-2          w5-2          w5-6          w5-7          w6-1          w6-2          w6-4          w6-5          w6-7          w6-8         w6-10        c1w1-2        c1w2-1        c1w3-1        c1w4-1        c1w4-3        c1w5-7        c2w1-1        c2w1-9        c2w2-1        c2w3-1        c2w3-6        c2w4-6        c2w4-8        c3w1-5        c3w2-2        c3w2-8        c3w3-2        c3w3-5        c3w3-9        c4w1-2        c4w1-5        c4w1-6        c4w1-9        c4w2-6        c4w2-7        c5w1-5
 2.731500E+02  8.713618E-01  4.828320E-01  9.444728E-02  1.239643E-01  1.379202E-01  1.644527E-01  1.321063E-01  5.524199E-02  7.377549E-04  5.180417E-02  1.102847E-01  1.153526E-01  1.614159E-01  1.997759E-02  1.621999E-01  1.247187E-01  8.913483E-02  1.557074E-01  9.430210E-03  6.625202E-03  2.894397E-04  1.714828E-04  2.406087E-06  1.244567E-03  1.450756E-03  2.665746E-04  1.003856E-06  1.701484E-06  7.927069E-04  1.078705E-03  7.947650E-04  2.105012E-06  3.191030E-05  3.201844E-05  7.525575E-04  2.675538E+00  8.565871E-03  3.532325E-04  7.172518E-03  2.439838E-03  1.295217E-03  3.033387E-02  2.663635E-02  1.180933E-02  1.028394E-03  1.078097E-03  1.839195E-03  3.556963E-03  1.548475E-02  1.810698E-02  4.145085E-03  9.626687E-05  3.857568E-04  5.389731E-04  1.547302E-03  1.545135E-03  6.015430E-03  4.111058E-04  3.834587E-03  6.369933E-03  2.330048E-03
 2.741500E+02  8.948386E-01  4.960104E-01  9.591711E-02  1.259362E-01  1.401244E-01  1.671337E-01  1.317900E-01  5.529731E-02  7.413978E-04  5.184929E-02  1.104941E-01  1.154952E-01  1.615003E-01  1.936179E-02  1.587518E-01  1.220159E-01  8.734361E-02  1.484372E-01  9.007084E-03  6.706131E-03  2.872665E-04  1.618056E-04  2.358533E-06  1.098796E-03  1.290272E-03  2.259705E-04  8.816417E-07  1.492166E-06  6.335409E-04  8.614378E-04  6.410623E-04  1.721801E-06  2.597211E-05  2.605926E-05  6.139631E-04  2.696032E+00  8.307135E-03  3.275356E-04  6.231572E-03  2.129918E-03  1.082864E-03  3.031437E-02  2.659626E-02  1.119390E-02  9.367561E-04  9.807988E-04  1.562339E-03  3.049812E-03  1.521930E-02  1.697824E-02  3.889181E-03  8.640964E-05  3.468000E-04  4.835011E-04  1.504750E-03  1.489492E-03  5.794587E-03  3.980619E-04  3.530129E-03  5.851279E-03  2.188949E-03
 2.751500E+02  9.185035E-01  5.092870E-01  9.736532E-02  1.278806E-01  1.422985E-01  1.697798E-01  1.314279E-01  5.533168E-02  7.447557E-04  5.187479E-02  1.106611E-01  1.155939E-01  1.615241E-01  1.876172E-02  1.553391E-01  1.193429E-01  8.556678E-02  1.414950E-01  8.602137E-03  6.781652E-03  2.847095E-04  1.524224E-04  2.307496E-06  9.683608E-04  1.145428E-03  1.911480E-04  7.724867E-07  1.305549E-06  5.051725E-04  6.863601E-04  5.158657E-04  1.404896E-06  2.108801E-05  2.115807E-05  4.996747E-04  2.714134E+00  8.045998E-03  3.032358E-04  5.404831E-03  1.856135E-03  9.034856E-04  3.026735E-02  2.653227E-02  1.059850E-02  8.520446E-04  8.909939E-04  1.325071E-03  2.610704E-03  1.494619E-02  1.590264E-02  3.645093E-03  7.745494E-05  3.113438E-04  4.331436E-04  1.462240E-03  1.434841E-03  5.577952E-03  3.851461E-04  3.246656E-03  5.369673E-03  2.055269E-03
 2.761500E+02  9.423516E-01  5.226536E-01  9.878985E-02  1.297949E-01  1.444392E-01  1.723876E-01  1.310185E-01  5.534430E-02  7.478146E-04  5.187994E-02  1.107842E-01  1.156469E-01  1.614850E-01  1.817666E-02  1.519590E-01  1.166976E-01  8.380292E-02  1.348620E-01  8.214343E-03  6.852375E-03  2.818398E-04  1.433905E-04  2.253945E-06  8.522211E-04  1.015381E-03  1.614314E-04  6.755916E-07  1.140175E-06  4.021268E-04  5.459368E-04  4.143845E-04  1.144179E-06  1.709117E-05  1.714739E-05  4.059110E-04  2.730094E+00  7.784778E-03  2.803859E-04  4.681606E-03  1.615367E-03  7.526543E-04  3.019601E-02  2.644722E-02  1.002532E-02  7.740911E-04  8.084766E-04  1.122494E-03  2.232023E-03  1.466733E-02  1.488179E-02  3.413224E-03  6.935193E-05  2.792019E-04  3.876069E-04  1.419949E-03  1.381334E-03  5.366099E-03  3.724035E-04  2.983537E-03  4.923812E-03  1.928831E-03
 2.771500E+02  9.663866E-01  5.361047E-01  1.001889E-01  1.316766E-01  1.465439E-01  1.749535E-01  1.305604E-01  5.533439E-02  7.505605E-04  5.186402E-02  1.108616E-01  1.156527E-01  1.613808E-01  1.760588E-02  1.486087E-01  1.140775E-01  8.205053E-02  1.285199E-01  7.842710E-03  6.918912E-03  2.787206E-04  1.347486E-04  2.198703E-06  7.492238E-04  8.991109E-04  1.361724E-04  5.900050E-07  9.943436E-07  3.197130E-04  4.337211E-04  3.324428E-04  9.305695E-07  1.383350E-05  1.387855E-05  3.292979E-04  2.744149E+00  7.525365E-03  2.589981E-04  4.051162E-03  1.404401E-03  6.262879E-04  3.010317E-02  2.634366E-02  9.475770E-03  7.026209E-04  7.329315E-04  9.500544E-04  1.906488E-03  1.438432E-02  1.391609E-02  3.193694E-03  6.204268E-05  2.501573E-04  3.465582E-04  1.378018E-03  1.329078E-03  5.159429E-03  3.598676E-04  2.739914E-03  4.512038E-03  1.809398E-03
 2.781500E+02  9.906115E-01  5.496345E-01  1.015607E-01  1.335234E-01  1.486100E-01  1.774746E-01  1.300526E-01  5.530129E-02  7.529810E-04  5.182642E-02  1.108918E-01  1.156097E-01  1.612097E-01  1.704876E-02  1.452858E-01  1.114810E-01  8.030849E-02  1.224526E-01  7.486358E-03  6.981831E-03  2.754081E-04  1.265216E-04  2.142475E-06  6.581851E-04  7.955260E-04  1.147719E-04  5.147177E-07  8.662663E-07  2.539941E-04  3.443092E-04  2.664827E-04  7.561389E-07  1.118687E-05  1.122294E-05  2.669036E-04  2.756518E+00  7.269308E-03  2.390564E-04  3.503195E-03  1.220108E-03  5.207324E-04  2.999143E-02  2.622387E-02  8.950705E-03  6.372990E-04  6.639819E-04  8.036282E-04  1.627374E-03  1.409857E-02  1.300512E-02  2.986438E-03  5.546691E-05  2.239824E-04  3.096526E-04  1.336565E-03  1.278154E-03  4.958247E-03  3.475662E-04  2.514822E-03  4.132527E-03  1.696710E-03
 2.791500E+02  1.015029E+00  5.632368E-01  1.029036E-01  1.353331E-01  1.506350E-01  1.799476E-01  1.294941E-01  5.524447E-02  7.550651E-04  5.176663E-02  1.108737E-01  1.155169E-01  1.609701E-01  1.650478E-02  1.419890E-01  1.089069E-01  7.857607E-02  1.166456E-01  7.144509E-03  7.041650E-03  2.719510E-04  1.187225E-04  2.085854E-06  5.779347E-04  7.035087E-04  9.668766E-05  4.487133E-07  7.541553E-07  2.017075E-04  2.732283E-04  2.135155E-04  6.140759E-07  9.042142E-06  9.071005E-06  2.162206E-04  2.767399E+00  7.017848E-03  2.205236E-04  3.028041E-03  1.059510E-03  4.327692E-04  2.986311E-02  2.608995E-02  8.450512E-03  5.777519E-04  6.012137E-04  6.795357E-04  1.388567E-03  1.381130E-02  1.214785E-02  2.791242E-03  4.956411E-05  2.004467E-04  2.765449E-04  1.295687E-03  1.228623E-03  4.762774E-03  3.355212E-04  2.307224E-03  3.783363E-03  1.590493E-03
 2.801500E+02  1.039640E+00  5.769055E-01  1.042160E-01  1.371035E-01  1.526164E-01  1.823696E-01  1.288846E-01  5.516352E-02  7.568037E-04  5.168429E-02  1.108064E-01  1.153735E-01  1.606611E-01  1.597351E-02  1.387173E-01  1.063544E-01  7.685287E-02  1.110861E-01  6.816471E-03  7.098836E-03  2.683914E-04  1.113549E-04  2.029326E-06  5.073482E-04  6.219581E-04  8.143680E-05  3.910044E-07  6.562824E-07  1.601781E-04  2.168149E-04  1.710589E-04  4.986071E-07  7.307489E-06  7.330583E-06  1.751317E-04  2.776970E+00  6.771947E-03  2.033465E-04  2.616800E-03  9.198349E-04  3.596008E-04  2.972027E-02  2.594370E-02  7.975195E-03  5.235856E-04  5.441937E-04  5.745321E-04  1.184587E-03  1.352356E-02  1.134273E-02  2.607782E-03  4.427506E-05  1.793235E-04  2.468979E-04  1.255464E-03  1.180529E-03  4.573159E-03  3.237496E-04  2.116055E-03  3.462595E-03  1.490465E-03
 2.811500E+02  1.064445E+00  5.906339E-01  1.054963E-01  1.388324E-01  1.545519E-01  1.847378E-01  1.282239E-01  5.505818E-02  7.581895E-04  5.157917E-02  1.106892E-01  1.151787E-01  1.602819E-01  1.545461E-02  1.354704E-01  1.038233E-01  7.513883E-02  1.057625E-01  6.501628E-03  7.153806E-03  2.647650E-04  1.044151E-04  1.973288E-06  4.453677E-04  5.498170E-04  6.859507E-05  3.406563E-07  5.710191E-07  1.272314E-04  1.720943E-04  1.370711E-04  4.048919E-07  5.906459E-06  5.924940E-06  1.418685E-04  2.785388E+00  6.532336E-03  1.874612E-04  2.261391E-03  7.985435E-04  2.988221E-04  2.956473E-02  2.578675E-02  7.524457E-03  4.744005E-04  4.924850E-04  4.857838E-04  1.010579E-03  1.323624E-02  1.058789E-02  2.435649E-03  3.954294E-05  1.603939E-04  2.203889E-04  1.215962E-03  1.133896E-03  4.389488E-03  3.122645E-04  1.940237E-03  3.168276E-03  1.396338E-03
 2.821500E+02  1.089445E+00  6.044153E-01  1.067430E-01  1.405180E-01  1.564393E-01  1.870496E-01  1.275121E-01  5.492830E-02  7.592169E-04  5.145113E-02  1.105217E-01  1.149322E-01  1.598321E-01  1.494780E-02  1.322486E-01  1.013136E-01  7.343416E-02  1.006645E-01  6.199428E-03  7.206928E-03  2.611018E-04  9.789384E-05  1.918055E-06  3.910144E-04  4.860905E-04  5.779375E-05  2.968026E-07  4.968606E-07  1.011127E-04  1.366683E-04  1.098855E-04  3.289080E-07  4.775939E-06  4.790733E-06  1.149664E-04  2.792790E+00  6.299543E-03  1.727972E-04  1.954569E-03  6.933374E-04  2.483837E-04  2.939810E-02  2.562052E-02  7.097768E-03  4.298015E-04  4.456578E-04  4.108364E-04  8.622770E-04  1.295009E-02  9.881174E-03  2.274376E-03  3.531412E-05  1.434508E-04  1.967133E-04  1.177234E-03  1.088739E-03  4.211797E-03  3.010751E-04  1.778710E-03  2.898502E-03  1.307827E-03
