#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9          c4-1          c4-3          c4-5          c4-6          c4-7          c4-8          c4-9          c5-1          c5-4          c5-6          c5-9          c6-2          c6-8
 2.731500E+02  7.083528E-01  4.739143E-01  1.119298E-01  1.469106E-01  1.634497E-01  1.948935E-01  1.890307E-01  7.904573E-02  1.055653E-03  7.412655E-02  1.578062E-01  1.650579E-01  2.309699E-01  3.451476E-02  2.802286E-01  2.154732E-01  1.539959E-01  3.248057E-01  1.967142E-02
 2.741500E+02  7.295541E-01  4.889106E-01  1.143038E-01  1.500773E-01  1.669854E-01  1.991721E-01  1.898773E-01  7.966996E-02  1.068174E-03  7.470220E-02  1.591950E-01  1.664004E-01  2.326827E-01  3.372578E-02  2.765256E-01  2.125362E-01  1.521415E-01  3.125973E-01  1.896822E-02
 2.751500E+02  7.512029E-01  5.041739E-01  1.166711E-01  1.532370E-01  1.705137E-01  2.034442E-01  1.906286E-01  8.025541E-02  1.080225E-03  7.524139E-02  1.605076E-01  1.676622E-01  2.342814E-01  3.293931E-02  2.727235E-01  2.095263E-01  1.502267E-01  3.006937E-01  1.828056E-02
 2.761500E+02  7.732581E-01  5.196809E-01  1.190272E-01  1.563837E-01  1.740280E-01  2.077017E-01  1.912837E-01  8.080127E-02  1.091790E-03  7.574340E-02  1.617421E-01  1.688415E-01  2.357640E-01  3.215664E-02  2.688333E-01  2.064516E-01  1.482572E-01  2.891062E-01  1.760924E-02
 2.771500E+02  7.957289E-01  5.354307E-01  1.213704E-01  1.595151E-01  1.775256E-01  2.119414E-01  1.918423E-01  8.130697E-02  1.102855E-03  7.620770E-02  1.628972E-01  1.699371E-01  2.371289E-01  3.137833E-02  2.648599E-01  2.033162E-01  1.462357E-01  2.778319E-01  1.695422E-02
 2.781500E+02  8.186144E-01  5.514181E-01  1.236984E-01  1.626281E-01  1.810032E-01  2.161595E-01  1.923039E-01  8.177198E-02  1.113405E-03  7.663381E-02  1.639716E-01  1.709478E-01  2.383748E-01  3.060505E-02  2.608096E-01  2.001249E-01  1.441656E-01  2.668698E-01  1.631556E-02
 2.791500E+02  8.419132E-01  5.676371E-01  1.260089E-01  1.657198E-01  1.844575E-01  2.203517E-01  1.926687E-01  8.219585E-02  1.123429E-03  7.702132E-02  1.649642E-01  1.718727E-01  2.395005E-01  2.983743E-02  2.566885E-01  1.968825E-01  1.420503E-01  2.562188E-01  1.569332E-02
 2.801500E+02  8.656239E-01  5.840815E-01  1.282997E-01  1.687872E-01  1.878851E-01  2.245141E-01  1.929366E-01  8.257822E-02  1.132914E-03  7.736992E-02  1.658740E-01  1.727108E-01  2.405051E-01  2.907611E-02  2.525030E-01  1.935937E-01  1.398930E-01  2.458772E-01  1.508752E-02
 2.811500E+02  8.897445E-01  6.007450E-01  1.305686E-01  1.718273E-01  1.912827E-01  2.286427E-01  1.931080E-01  8.291880E-02  1.141850E-03  7.767934E-02  1.667003E-01  1.734615E-01  2.413879E-01  2.832168E-02  2.482592E-01  1.902635E-01  1.376973E-01  2.358427E-01  1.449815E-02
 2.821500E+02  9.142727E-01  6.176205E-01  1.328133E-01  1.748372E-01  1.946470E-01  2.327335E-01  1.931832E-01  8.321737E-02  1.150227E-03  7.794939E-02  1.674423E-01  1.741244E-01  2.421486E-01  2.757470E-02  2.439635E-01  1.868967E-01  1.354664E-01  2.261131E-01  1.392519E-02
