#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  2.893688E+01  2.894493E+01  1.982235E+02
 2.741500E+02  2.910011E+01  2.910817E+01  1.988200E+02
 2.751500E+02  2.926372E+01  2.927178E+01  1.994158E+02
 2.761500E+02  2.942758E+01  2.943564E+01  2.000102E+02
 2.771500E+02  2.959167E+01  2.959974E+01  2.006034E+02
 2.781500E+02  2.975598E+01  2.976406E+01  2.011952E+02
 2.791500E+02  2.992048E+01  2.992856E+01  2.017855E+02
 2.801500E+02  3.008513E+01  3.009322E+01  2.023743E+02
 2.811500E+02  3.024992E+01  3.025801E+01  2.029615E+02
 2.821500E+02  3.041481E+01  3.042290E+01  2.035470E+02
 2.831500E+02  3.057978E+01  3.058787E+01  2.041306E+02
 2.841500E+02  3.074480E+01  3.075290E+01  2.047124E+02
 2.851500E+02  3.090984E+01  3.091795E+01  2.052923E+02
 2.861500E+02  3.107489E+01  3.108300E+01  2.058701E+02
 2.871500E+02  3.123991E+01  3.124803E+01  2.064458E+02
 2.881500E+02  3.140488E+01  3.141300E+01  2.070193E+02
 2.891500E+02  3.156978E+01  3.157791E+01  2.075906E+02
 2.901500E+02  3.173459E+01  3.174273E+01  2.081596E+02
 2.911500E+02  3.189928E+01  3.190742E+01  2.087263E+02
 2.921500E+02  3.206384E+01  3.207198E+01  2.092905E+02
 2.931500E+02  3.222823E+01  3.223638E+01  2.098523E+02
 2.941500E+02  3.239244E+01  3.240059E+01  2.104115E+02
 2.951500E+02  3.255645E+01  3.256461E+01  2.109682E+02
 2.961500E+02  3.272024E+01  3.272841E+01  2.115222E+02
 2.971500E+02  3.288379E+01  3.289196E+01  2.120735E+02
 2.981500E+02  3.304709E+01  3.305526E+01  2.126222E+02
 2.991500E+02  3.321011E+01  3.321829E+01  2.131680E+02
 3.001500E+02  3.337283E+01  3.338102E+01  2.137111E+02
 3.011500E+02  3.353525E+01  3.354344E+01  2.142513E+02
 3.021500E+02  3.369734E+01  3.370554E+01  2.147887E+02
 3.031500E+02  3.385910E+01  3.386730E+01  2.153232E+02
 3.041500E+02  3.402050E+01  3.402871E+01  2.158547E+02
 3.051500E+02  3.418152E+01  3.418974E+01  2.163833E+02
 3.061500E+02  3.434217E+01  3.435039E+01  2.169089E+02
 3.071500E+02  3.450242E+01  3.451065E+01  2.174316E+02
 3.081500E+02  3.466226E+01  3.467050E+01  2.179511E+02
 3.091500E+02  3.482168E+01  3.482993E+01  2.184677E+02
 3.101500E+02  3.498067E+01  3.498892E+01  2.189811E+02
 3.111500E+02  3.513922E+01  3.514747E+01  2.194915E+02
 3.121500E+02  3.529731E+01  3.530557E+01  2.199988E+02
 3.131500E+02  3.545494E+01  3.546321E+01  2.205030E+02
 3.141500E+02  3.561210E+01  3.562037E+01  2.210041E+02
 3.151500E+02  3.576877E+01  3.577705E+01  2.215020E+02
 3.161500E+02  3.592495E+01  3.593324E+01  2.219969E+02
 3.171500E+02  3.608064E+01  3.608893E+01  2.224886E+02
 3.181500E+02  3.623581E+01  3.624412E+01  2.229771E+02
 3.191500E+02  3.639048E+01  3.639879E+01  2.234625E+02
 3.201500E+02  3.654462E+01  3.655294E+01  2.239447E+02
 3.211500E+02  3.669824E+01  3.670656E+01  2.244238E+02
 3.221500E+02  3.685132E+01  3.685965E+01  2.248998E+02
 3.231500E+02  3.700387E+01  3.701220E+01  2.253726E+02
 3.241500E+02  3.715587E+01  3.716421E+01  2.258423E+02
 3.251500E+02  3.730732E+01  3.731567E+01  2.263088E+02
 3.261500E+02  3.745822E+01  3.746658E+01  2.267722E+02
 3.271500E+02  3.760856E+01  3.761693E+01  2.272325E+02
 3.281500E+02  3.775835E+01  3.776672E+01  2.276897E+02
 3.291500E+02  3.790757E+01  3.791595E+01  2.281437E+02
