#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.731500E+02  7.946581E-02  7.655962E-02  5.259846E-04                                 112
 2.741500E+02  7.950761E-02  7.655962E-02  5.298237E-04                                 112
 2.751500E+02  7.955006E-02  7.655962E-02  5.374909E-04                                 112
 2.761500E+02  7.959312E-02  7.655962E-02  5.449357E-04                                 112
 2.771500E+02  7.963681E-02  7.655962E-02  5.524323E-04                                 112
 2.781500E+02  7.968111E-02  7.655962E-02  5.599104E-04                                 112
 2.791500E+02  7.972603E-02  7.655962E-02  5.673668E-04                                 112
 2.801500E+02  7.977158E-02  7.655962E-02  5.747983E-04                                 112
 2.811500E+02  7.981774E-02  7.655962E-02  5.822020E-04                                 112
 2.821500E+02  7.986452E-02  7.655962E-02  5.895746E-04                                 112
 2.831500E+02  7.991191E-02  7.655962E-02  5.969133E-04                                 112
 2.841500E+02  7.995992E-02  7.655962E-02  6.042153E-04                                 112
 2.851500E+02  8.000854E-02  7.655962E-02  6.114776E-04                                 112
 2.861500E+02  8.005777E-02  7.655962E-02  6.186976E-04                                 112
 2.871500E+02  8.010760E-02  7.655962E-02  6.258725E-04                                 112
 2.881500E+02  8.015804E-02  7.655962E-02  6.329998E-04                                 112
 2.891500E+02  8.020908E-02  7.655962E-02  6.400770E-04                                 112
 2.901500E+02  8.026072E-02  7.655962E-02  6.471016E-04                                 112
 2.911500E+02  8.031296E-02  7.655962E-02  6.540712E-04                                 112
 2.921500E+02  8.036578E-02  7.655962E-02  6.609835E-04                                 112
 2.931500E+02  8.041920E-02  7.655962E-02  6.678364E-04                                 112
 2.941500E+02  8.047320E-02  7.655962E-02  6.746276E-04                                 112
 2.951500E+02  8.052777E-02  7.655962E-02  6.813551E-04                                 112
 2.961500E+02  8.058293E-02  7.655962E-02  6.880169E-04                                 112
 2.971500E+02  8.063866E-02  7.655962E-02  6.946111E-04                                 112
 2.981500E+02  8.069496E-02  7.655962E-02  7.011358E-04                                 112
 2.991500E+02  8.075182E-02  7.655962E-02  7.075892E-04                                 112
 3.001500E+02  8.080923E-02  7.655962E-02  7.139697E-04                                 112
 3.011500E+02  8.086721E-02  7.655962E-02  7.202757E-04                                 112
 3.021500E+02  8.092573E-02  7.655962E-02  7.265054E-04                                 112
 3.031500E+02  8.098479E-02  7.655962E-02  7.326576E-04                                 112
 3.041500E+02  8.104440E-02  7.655962E-02  7.387308E-04                                 112
 3.051500E+02  8.110453E-02  7.655962E-02  7.447236E-04                                 112
 3.061500E+02  8.116520E-02  7.655962E-02  7.506348E-04                                 112
 3.071500E+02  8.122638E-02  7.655962E-02  7.564632E-04                                 112
 3.081500E+02  8.128809E-02  7.655962E-02  7.622077E-04                                 112
 3.091500E+02  8.135030E-02  7.655962E-02  7.678673E-04                                 112
 3.101500E+02  8.141302E-02  7.655962E-02  7.734410E-04                                 112
 3.111500E+02  8.147624E-02  7.655962E-02  7.789278E-04                                 112
 3.121500E+02  8.153995E-02  7.655962E-02  7.843271E-04                                 112
 3.131500E+02  8.160414E-02  7.655962E-02  7.896381E-04                                 112
 3.141500E+02  8.166882E-02  7.655962E-02  7.948601E-04                                 112
 3.151500E+02  8.173398E-02  7.655962E-02  7.999925E-04                                 112
 3.161500E+02  8.179960E-02  7.655962E-02  8.050349E-04                                 112
 3.171500E+02  8.186568E-02  7.655962E-02  8.099868E-04                                 112
 3.181500E+02  8.193222E-02  7.655962E-02  8.148478E-04                                 112
 3.191500E+02  8.199920E-02  7.655962E-02  8.196177E-04                                 112
 3.201500E+02  8.206663E-02  7.655962E-02  8.242963E-04                                 112
 3.211500E+02  8.213450E-02  7.655962E-02  8.288835E-04                                 112
 3.221500E+02  8.220279E-02  7.655962E-02  8.333793E-04                                 112
 3.231500E+02  8.227151E-02  7.655962E-02  8.377836E-04                                 112
