#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  2.893795E+01  2.894600E+01  1.982265E+02
 2.741500E+02  2.910118E+01  2.910924E+01  1.988230E+02
 2.751500E+02  2.926480E+01  2.927287E+01  1.994187E+02
 2.761500E+02  2.942867E+01  2.943674E+01  2.000132E+02
 2.771500E+02  2.959278E+01  2.960085E+01  2.006064E+02
 2.781500E+02  2.975710E+01  2.976517E+01  2.011983E+02
 2.791500E+02  2.992160E+01  2.992968E+01  2.017887E+02
 2.801500E+02  3.008627E+01  3.009435E+01  2.023775E+02
 2.811500E+02  3.025106E+01  3.025915E+01  2.029647E+02
 2.821500E+02  3.041596E+01  3.042406E+01  2.035502E+02
 2.831500E+02  3.058094E+01  3.058904E+01  2.041339E+02
 2.841500E+02  3.074597E+01  3.075407E+01  2.047157E+02
 2.851500E+02  3.091102E+01  3.091913E+01  2.052956E+02
 2.861500E+02  3.107608E+01  3.108419E+01  2.058734E+02
 2.871500E+02  3.124111E+01  3.124923E+01  2.064492E+02
 2.881500E+02  3.140609E+01  3.141422E+01  2.070228E+02
 2.891500E+02  3.157101E+01  3.157913E+01  2.075941E+02
 2.901500E+02  3.173582E+01  3.174396E+01  2.081631E+02
 2.911500E+02  3.190052E+01  3.190866E+01  2.087298E+02
 2.921500E+02  3.206508E+01  3.207323E+01  2.092941E+02
 2.931500E+02  3.222948E+01  3.223764E+01  2.098559E+02
 2.941500E+02  3.239370E+01  3.240186E+01  2.104151E+02
 2.951500E+02  3.255772E+01  3.256589E+01  2.109718E+02
 2.961500E+02  3.272152E+01  3.272969E+01  2.115259E+02
 2.971500E+02  3.288508E+01  3.289326E+01  2.120772E+02
 2.981500E+02  3.304839E+01  3.305656E+01  2.126259E+02
 2.991500E+02  3.321141E+01  3.321960E+01  2.131718E+02
 3.001500E+02  3.337415E+01  3.338234E+01  2.137149E+02
 3.011500E+02  3.353657E+01  3.354477E+01  2.142552E+02
 3.021500E+02  3.369867E+01  3.370688E+01  2.147926E+02
 3.031500E+02  3.386043E+01  3.386864E+01  2.153271E+02
 3.041500E+02  3.402184E+01  3.403005E+01  2.158586E+02
 3.051500E+02  3.418287E+01  3.419109E+01  2.163873E+02
 3.061500E+02  3.434353E+01  3.435175E+01  2.169129E+02
 3.071500E+02  3.450378E+01  3.451202E+01  2.174355E+02
 3.081500E+02  3.466363E+01  3.467187E+01  2.179551E+02
 3.091500E+02  3.482306E+01  3.483131E+01  2.184717E+02
 3.101500E+02  3.498206E+01  3.499031E+01  2.189852E+02
 3.111500E+02  3.514061E+01  3.514887E+01  2.194956E+02
 3.121500E+02  3.529871E+01  3.530697E+01  2.200029E+02
 3.131500E+02  3.545634E+01  3.546461E+01  2.205071E+02
 3.141500E+02  3.561350E+01  3.562178E+01  2.210082E+02
 3.151500E+02  3.577018E+01  3.577847E+01  2.215062E+02
 3.161500E+02  3.592637E+01  3.593466E+01  2.220010E+02
 3.171500E+02  3.608206E+01  3.609036E+01  2.224927E+02
 3.181500E+02  3.623724E+01  3.624555E+01  2.229812E+02
 3.191500E+02  3.639191E+01  3.640022E+01  2.234667E+02
 3.201500E+02  3.654606E+01  3.655437E+01  2.239489E+02
 3.211500E+02  3.669968E+01  3.670800E+01  2.244280E+02
 3.221500E+02  3.685276E+01  3.686110E+01  2.249040E+02
 3.231500E+02  3.700531E+01  3.701365E+01  2.253768E+02
 3.241500E+02  3.715732E+01  3.716566E+01  2.258465E+02
 3.251500E+02  3.730877E+01  3.731713E+01  2.263130E+02
 3.261500E+02  3.745968E+01  3.746804E+01  2.267765E+02
 3.271500E+02  3.761002E+01  3.761839E+01  2.272367E+02
 3.281500E+02  3.775981E+01  3.776818E+01  2.276939E+02
 3.291500E+02  3.790903E+01  3.791741E+01  2.281480E+02
 3.301500E+02  3.805769E+01  3.806608E+01  2.285990E+02
 3.311500E+02  3.820577E+01  3.821417E+01  2.290468E+02
 3.321500E+02  3.835329E+01  3.836169E+01  2.294917E+02
 3.331500E+02  3.850023E+01  3.850864E+01  2.299334E+02
 3.341500E+02  3.864660E+01  3.865501E+01  2.303721E+02
 3.351500E+02  6.178904E+01  6.458158E+01  3.079159E+02
 3.361500E+02  6.185359E+01  6.465446E+01  3.081335E+02
 3.371500E+02  6.191823E+01  6.472742E+01  3.083507E+02
 3.381500E+02  6.198294E+01  6.480047E+01  3.085675E+02
 3.391500E+02  6.204775E+01  6.487360E+01  3.087839E+02
