#         T/K            w1            w2          w3-1          w3-2
 2.731500E+02  4.374937E-02  6.860617E-04  1.459009E-04  2.047146E-06
 2.741500E+02  4.361559E-02  6.685808E-04  1.347602E-04  1.964310E-06
 2.751500E+02  4.348153E-02  6.516349E-04  1.245330E-04  1.885282E-06
 2.761500E+02  4.334729E-02  6.352072E-04  1.151399E-04  1.809875E-06
 2.771500E+02  4.321293E-02  6.192808E-04  1.065088E-04  1.737912E-06
 2.781500E+02  4.307853E-02  6.038397E-04  9.857414E-05  1.669222E-06
 2.791500E+02  4.294415E-02  5.888679E-04  9.127624E-05  1.603647E-06
 2.801500E+02  4.280985E-02  5.743501E-04  8.456078E-05  1.541031E-06
 2.811500E+02  4.267568E-02  5.602712E-04  7.837829E-05  1.481231E-06
 2.821500E+02  4.254168E-02  5.466169E-04  7.268374E-05  1.424108E-06
 2.831500E+02  4.240791E-02  5.333730E-04  6.743609E-05  1.369530E-06
 2.841500E+02  4.227440E-02  5.205258E-04  6.259793E-05  1.317374E-06
 2.851500E+02  4.214119E-02  5.080621E-04  5.813518E-05  1.267521E-06
 2.861500E+02  4.200831E-02  4.959692E-04  5.401671E-05  1.219860E-06
 2.871500E+02  4.187579E-02  4.842347E-04  5.021416E-05  1.174283E-06
 2.881500E+02  4.174365E-02  4.728466E-04  4.670161E-05  1.130689E-06
 2.891500E+02  4.161194E-02  4.617933E-04  4.345540E-05  1.088984E-06
 2.901500E+02  4.148065E-02  4.510637E-04  4.045391E-05  1.049076E-06
 2.911500E+02  4.134982E-02  4.406469E-04  3.767738E-05  1.010878E-06
 2.921500E+02  4.121947E-02  4.305327E-04  3.510774E-05  9.743096E-07
 2.931500E+02  4.108961E-02  4.207108E-04  3.272847E-05  9.392925E-07
 2.941500E+02  4.096025E-02  4.111717E-04  3.052443E-05  9.057533E-07
 2.951500E+02  4.083141E-02  4.019059E-04  2.848178E-05  8.736220E-07
 2.961500E+02  4.070311E-02  3.929044E-04  2.658782E-05  8.428323E-07
 2.971500E+02  4.057534E-02  3.841585E-04  2.483093E-05  8.133214E-07
 2.981500E+02  4.044813E-02  3.756598E-04  2.320044E-05  7.850295E-07
 2.991500E+02  4.032148E-02  3.674001E-04  2.168659E-05  7.578999E-07
 3.001500E+02  4.019539E-02  3.593717E-04  2.028038E-05  7.318788E-07
 3.011500E+02  4.006989E-02  3.515671E-04  1.897360E-05  7.069152E-07
 3.021500E+02  3.994496E-02  3.439789E-04  1.775867E-05  6.829603E-07
 3.031500E+02  3.982062E-02  3.366001E-04  1.662863E-05  6.599683E-07
 3.041500E+02  3.969687E-02  3.294240E-04  1.557710E-05  6.378953E-07
 3.051500E+02  3.957371E-02  3.224440E-04  1.459820E-05  6.166996E-07
 3.061500E+02  3.945116E-02  3.156539E-04  1.368651E-05  5.963418E-07
 3.071500E+02  3.932920E-02  3.090476E-04  1.283707E-05  5.767843E-07
 3.081500E+02  3.920785E-02  3.026192E-04  1.204528E-05  5.579913E-07
 3.091500E+02  3.908710E-02  2.963631E-04  1.130693E-05  5.399289E-07
 3.101500E+02  3.896696E-02  2.902739E-04  1.061811E-05  5.225647E-07
 3.111500E+02  3.884742E-02  2.843462E-04  9.975241E-06  5.058681E-07
 3.121500E+02  3.872849E-02  2.785751E-04  9.375010E-06  4.898098E-07
 3.131500E+02  3.861017E-02  2.729556E-04  8.814359E-06  4.743621E-07
 3.141500E+02  3.849246E-02  2.674831E-04  8.290466E-06  4.594983E-07
 3.151500E+02  3.837536E-02  2.621529E-04  7.800724E-06  4.451933E-07
 3.161500E+02  3.825886E-02  2.569607E-04  7.342725E-06  4.314232E-07
