#         T/K            w1            w2          w3-1          w3-2
 2.731500E+02  9.601459E-01  3.011332E-02  9.606047E-03  1.347831E-04
 2.741500E+02  9.614810E-01  2.947697E-02  8.912139E-03  1.299063E-04
 2.751500E+02  9.627464E-01  2.885635E-02  8.272040E-03  1.252289E-04
 2.761500E+02  9.639467E-01  2.825117E-02  7.681359E-03  1.207427E-04
 2.771500E+02  9.650864E-01  2.766114E-02  7.136070E-03  1.164398E-04
 2.781500E+02  9.661693E-01  2.708594E-02  6.632489E-03  1.123124E-04
 2.791500E+02  9.671991E-01  2.652526E-02  6.167240E-03  1.083532E-04
 2.801500E+02  9.681794E-01  2.597878E-02  5.737231E-03  1.045550E-04
 2.811500E+02  9.691133E-01  2.544617E-02  5.339630E-03  1.009109E-04
 2.821500E+02  9.700036E-01  2.492710E-02  4.971841E-03  9.741432E-05
 2.831500E+02  9.708532E-01  2.442124E-02  4.631485E-03  9.405883E-05
 2.841500E+02  9.716645E-01  2.392826E-02  4.316385E-03  9.083837E-05
 2.851500E+02  9.724399E-01  2.344784E-02  4.024540E-03  8.774706E-05
 2.861500E+02  9.731815E-01  2.297965E-02  3.754119E-03  8.477929E-05
 2.871500E+02  9.738913E-01  2.252337E-02  3.503442E-03  8.192971E-05
 2.881500E+02  9.745711E-01  2.207869E-02  3.270967E-03  7.919315E-05
 2.891500E+02  9.752229E-01  2.164530E-02  3.055280E-03  7.656472E-05
 2.901500E+02  9.758480E-01  2.122289E-02  2.855080E-03  7.403970E-05
 2.911500E+02  9.764481E-01  2.081116E-02  2.669177E-03  7.161360E-05
 2.921500E+02  9.770244E-01  2.040982E-02  2.496475E-03  6.928213E-05
 2.931500E+02  9.775784E-01  2.001858E-02  2.335966E-03  6.704119E-05
 2.941500E+02  9.781112E-01  1.963717E-02  2.186726E-03  6.488687E-05
 2.951500E+02  9.786240E-01  1.926530E-02  2.047905E-03  6.281542E-05
 2.961500E+02  9.791177E-01  1.890272E-02  1.918719E-03  6.082328E-05
 2.971500E+02  9.795935E-01  1.854915E-02  1.798448E-03  5.890704E-05
 2.981500E+02  9.800521E-01  1.820436E-02  1.686430E-03  5.706344E-05
 2.991500E+02  9.804946E-01  1.786809E-02  1.582054E-03  5.528940E-05
 3.001500E+02  9.809216E-01  1.754009E-02  1.484757E-03  5.358194E-05
 3.011500E+02  9.813339E-01  1.722015E-02  1.394022E-03  5.193824E-05
 3.021500E+02  9.817323E-01  1.690802E-02  1.309371E-03  5.035560E-05
 3.031500E+02  9.821173E-01  1.660350E-02  1.230362E-03  4.883146E-05
 3.041500E+02  9.824897E-01  1.630636E-02  1.156590E-03  4.736335E-05
 3.051500E+02  9.828500E-01  1.601639E-02  1.087679E-03  4.594893E-05
 3.061500E+02  9.831987E-01  1.573341E-02  1.023283E-03  4.458596E-05
 3.071500E+02  9.835365E-01  1.545720E-02  9.630802E-04  4.327230E-05
 3.081500E+02  9.838636E-01  1.518757E-02  9.067763E-04  4.200593E-05
 3.091500E+02  9.841808E-01  1.492436E-02  8.540971E-04  4.078488E-05
 3.101500E+02  9.844882E-01  1.466736E-02  8.047899E-04  3.960731E-05
 3.111500E+02  9.847865E-01  1.441642E-02  7.586205E-04  3.847144E-05
 3.121500E+02  9.850759E-01  1.417136E-02  7.153723E-04  3.737557E-05
 3.131500E+02  9.853568E-01  1.393201E-02  6.748446E-04  3.631809E-05
 3.141500E+02  9.856296E-01  1.369823E-02  6.368516E-04  3.529744E-05
 3.151500E+02  9.858946E-01  1.346985E-02  6.012211E-04  3.431215E-05
 3.161500E+02  9.861521E-01  1.324673E-02  5.677935E-04  3.336082E-05
 3.171500E+02  9.864024E-01  1.302871E-02  5.364207E-04  3.244207E-05
 3.181500E+02  9.866458E-01  1.281568E-02  5.069653E-04  3.155464E-05
 3.191500E+02  9.868825E-01  1.260747E-02  4.792997E-04  3.069729E-05
 3.201500E+02  9.871129E-01  1.240397E-02  4.533057E-04  2.986882E-05
 3.211500E+02  9.873370E-01  1.220505E-02  4.288732E-04  2.906813E-05
 3.221500E+02  9.875552E-01  1.201058E-02  4.059001E-04  2.829413E-05
 3.231500E+02  9.877677E-01  1.182044E-02  3.842914E-04  2.754578E-05
 3.241500E+02  9.879747E-01  1.163452E-02  3.639586E-04  2.682211E-05
 3.251500E+02  9.881764E-01  1.145269E-02  3.448198E-04  2.612216E-05
 3.261500E+02  9.883729E-01  1.127487E-02  3.267983E-04  2.544503E-05
 3.271500E+02  9.885645E-01  1.110092E-02  3.098231E-04  2.478986E-05
 3.281500E+02  9.887513E-01  1.093077E-02  2.938277E-04  2.415582E-05
 3.291500E+02  9.889334E-01  1.076429E-02  2.787505E-04  2.354211E-05
 3.301500E+02  9.891111E-01  1.060140E-02  2.645338E-04  2.294797E-05
 3.311500E+02  9.892845E-01  1.044201E-02  2.511240E-04  2.237268E-05
 3.321500E+02  9.894537E-01  1.028601E-02  2.384710E-04  2.181554E-05
 3.331500E+02  9.896189E-01  1.013333E-02  2.265281E-04  2.127587E-05
 3.341500E+02  9.897801E-01  9.983880E-03  2.152517E-04  2.075304E-05
 3.351500E+02  9.899376E-01  9.837571E-03  2.046011E-04  2.024644E-05
 3.361500E+02  9.900914E-01  9.694324E-03  1.945383E-04  1.975546E-05
 3.371500E+02  9.902416E-01  9.554061E-03  1.850277E-04  1.927956E-05
 3.381500E+02  9.903884E-01  9.416708E-03  1.760362E-04  1.881818E-05
 3.391500E+02  9.905319E-01  9.282188E-03  1.675327E-04  1.837081E-05
 3.401500E+02  9.906721E-01  9.150431E-03  1.594882E-04  1.793695E-05
