#         T/K            m1          m2-1          m3-1            w1            w2          w3-1          w3-2        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3
 2.731500E+02  4.444545E-01  1.564018E-03  5.940397E-05  5.351306E-01  9.250766E-03  1.626523E-03  2.282186E-05  3.024889E-03  4.117689E-03  4.452719E-04  1.339047E-04  1.695921E-04
 2.741500E+02  4.446000E-01  1.527728E-03  5.489907E-05  5.355600E-01  9.048993E-03  1.507819E-03  2.197848E-05  2.958272E-03  4.026750E-03  4.125680E-04  1.239340E-04  1.570266E-04
 2.751500E+02  4.447397E-01  1.492550E-03  5.076623E-05  5.359699E-01  8.852715E-03  1.398474E-03  2.117124E-05  2.893551E-03  3.938411E-03  3.824677E-04  1.147702E-04  1.454735E-04
 2.761500E+02  4.448739E-01  1.458446E-03  4.697235E-05  5.363616E-01  8.661781E-03  1.297702E-03  2.039847E-05  2.830666E-03  3.852590E-03  3.547495E-04  1.063432E-04  1.348452E-04
 2.771500E+02  4.450029E-01  1.425374E-03  4.348750E-05  5.367361E-01  8.476039E-03  1.204787E-03  1.965859E-05  2.769560E-03  3.769206E-03  3.292117E-04  9.858941E-05  1.250622E-04
 2.781500E+02  4.451270E-01  1.393299E-03  4.028456E-05  5.370945E-01  8.295342E-03  1.119076E-03  1.895008E-05  2.710174E-03  3.688180E-03  3.056706E-04  9.145105E-05  1.160523E-04
 2.791500E+02  4.452465E-01  1.362184E-03  3.733897E-05  5.374377E-01  8.119547E-03  1.039975E-03  1.827148E-05  2.652454E-03  3.609438E-03  2.839592E-04  8.487562E-05  1.077498E-04
 2.801500E+02  4.453615E-01  1.331995E-03  3.462842E-05  5.377667E-01  7.948509E-03  9.669367E-04  1.762141E-05  2.596348E-03  3.532905E-03  2.639249E-04  7.881539E-05  1.000949E-04
 2.811500E+02  4.454724E-01  1.302699E-03  3.213270E-05  5.380822E-01  7.782092E-03  8.994662E-04  1.699855E-05  2.541802E-03  3.458510E-03  2.454288E-04  7.322694E-05  9.303326E-05
 2.821500E+02  4.455793E-01  1.274263E-03  2.983344E-05  5.383851E-01  7.620158E-03  8.371090E-04  1.640165E-05  2.488768E-03  3.386185E-03  2.283440E-04  6.807074E-05  8.651540E-05
 2.831500E+02  4.456824E-01  1.246659E-03  2.771396E-05  5.386760E-01  7.462575E-03  7.794502E-04  1.582952E-05  2.437197E-03  3.315863E-03  2.125551E-04  6.331078E-05  8.049621E-05
 2.841500E+02  4.457819E-01  1.219856E-03  2.575909E-05  5.389555E-01  7.309215E-03  7.261106E-04  1.528101E-05  2.387042E-03  3.247480E-03  1.979562E-04  5.891428E-05  7.493457E-05
 2.851500E+02  4.458780E-01  1.193827E-03  2.395501E-05  5.392244E-01  7.159951E-03  6.767432E-04  1.475503E-05  2.338258E-03  3.180973E-03  1.844511E-04  5.485131E-05  6.979298E-05
 2.861500E+02  4.459709E-01  1.168545E-03  2.228918E-05  5.394832E-01  7.014661E-03  6.310308E-04  1.425057E-05  2.290801E-03  3.116283E-03  1.719515E-04  5.109460E-05  6.503722E-05
 2.871500E+02  4.460606E-01  1.143984E-03  2.075014E-05  5.397323E-01  6.873225E-03  5.886828E-04  1.376663E-05  2.244630E-03  3.053351E-03  1.603768E-04  4.761925E-05  6.063604E-05
 2.881500E+02  4.461474E-01  1.120119E-03  1.932747E-05  5.399724E-01  6.735529E-03  5.494332E-04  1.330229E-05  2.199703E-03  2.992121E-03  1.496534E-04  4.440252E-05  5.656092E-05
 2.891500E+02  4.462314E-01  1.096926E-03  1.801165E-05  5.402038E-01  6.601459E-03  5.130384E-04  1.285664E-05  2.155981E-03  2.932539E-03  1.397137E-04  4.142364E-05  5.278575E-05
 2.901500E+02  4.463127E-01  1.074383E-03  1.679401E-05  5.404271E-01  6.470907E-03  4.792751E-04  1.242886E-05  2.113426E-03  2.874553E-03  1.304961E-04  3.866361E-05  4.928670E-05
 2.911500E+02  4.463914E-01  1.052468E-03  1.566663E-05  5.406425E-01  6.343767E-03  4.479384E-04  1.201812E-05  2.072002E-03  2.818113E-03  1.219440E-04  3.610506E-05  4.604192E-05
 2.921500E+02  4.464676E-01  1.031159E-03  1.462225E-05  5.408506E-01  6.219936E-03  4.188407E-04  1.162366E-05  2.031672E-03  2.763169E-03  1.140055E-04  3.373210E-05  4.303145E-05
 2.931500E+02  4.465415E-01  1.010437E-03  1.365428E-05  5.410516E-01  6.099315E-03  3.918096E-04  1.124476E-05  1.992402E-03  2.709674E-03  1.066331E-04  3.153018E-05  4.023698E-05
