#         T/K            m1          m2-1          m3-1            w1            w2          w3-1          w3-2        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3
 2.731500E+02  3.108016E-02  8.491240E-05  3.338545E-06  1.317670E-02  6.227147E-05  3.990938E-06  5.599712E-08  5.782689E-05  7.871799E-05  3.102766E-06  2.649894E-06  3.356126E-06
 2.741500E+02  3.096962E-02  8.262675E-05  3.073879E-06  1.313365E-02  6.065920E-05  3.683865E-06  5.369724E-08  5.632791E-05  7.667261E-05  2.863116E-06  2.442998E-06  3.095322E-06
 2.751500E+02  3.085980E-02  8.041869E-05  2.831929E-06  1.309072E-02  5.909845E-05  3.402274E-06  5.150641E-08  5.487758E-05  7.469385E-05  2.643467E-06  2.253578E-06  2.856453E-06
 2.761500E+02  3.075068E-02  7.828514E-05  2.610606E-06  1.304791E-02  5.758737E-05  3.143912E-06  4.941892E-08  5.347407E-05  7.277921E-05  2.442035E-06  2.080053E-06  2.637546E-06
 2.771500E+02  3.064226E-02  7.622313E-05  2.408024E-06  1.300524E-02  5.612415E-05  2.906733E-06  4.742938E-08  5.211564E-05  7.092628E-05  2.257203E-06  1.920995E-06  2.436812E-06
 2.781500E+02  3.053454E-02  7.422984E-05  2.222482E-06  1.296271E-02  5.470709E-05  2.688884E-06  4.553269E-08  5.080061E-05  6.913276E-05  2.087509E-06  1.775112E-06  2.252635E-06
 2.791500E+02  3.042752E-02  7.230257E-05  2.052441E-06  1.292033E-02  5.333453E-05  2.488682E-06  4.372404E-08  4.952736E-05  6.739642E-05  1.931627E-06  1.641235E-06  2.083551E-06
 2.801500E+02  3.032119E-02  7.043874E-05  1.896514E-06  1.287811E-02  5.200487E-05  2.304598E-06  4.199888E-08  4.829437E-05  6.571516E-05  1.788352E-06  1.518305E-06  1.928234E-06
 2.811500E+02  3.021554E-02  6.863589E-05  1.753441E-06  1.283605E-02  5.071657E-05  2.135246E-06  4.035292E-08  4.710014E-05  6.408693E-05  1.656592E-06  1.405361E-06  1.785481E-06
 2.821500E+02  3.011057E-02  6.689167E-05  1.622086E-06  1.279415E-02  4.946816E-05  1.979365E-06  3.878211E-08  4.594325E-05  6.250979E-05  1.535356E-06  1.301534E-06  1.654201E-06
 2.831500E+02  3.000628E-02  6.520382E-05  1.501417E-06  1.275243E-02  4.825823E-05  1.835807E-06  3.728261E-08  4.482234E-05  6.098185E-05  1.423743E-06  1.206033E-06  1.533405E-06
 2.841500E+02  2.990267E-02  6.357018E-05  1.390501E-06  1.271088E-02  4.708540E-05  1.703530E-06  3.585080E-08  4.373611E-05  5.950132E-05  1.320933E-06  1.118142E-06  1.422193E-06
 2.851500E+02  2.979972E-02  6.198870E-05  1.288491E-06  1.266952E-02  4.594836E-05  1.581583E-06  3.448327E-08  4.268329E-05  5.806648E-05  1.226182E-06  1.037209E-06  1.319748E-06
 2.861500E+02  2.969743E-02  6.045741E-05  1.194617E-06  1.262833E-02  4.484585E-05  1.469104E-06  3.317677E-08  4.166269E-05  5.667568E-05  1.138812E-06  9.626432E-07  1.225328E-06
 2.871500E+02  2.959581E-02  5.897442E-05  1.108182E-06  1.258734E-02  4.377666E-05  1.365302E-06  3.192826E-08  4.067314E-05  5.532732E-05  1.058205E-06  8.939059E-07  1.138256E-06
 2.881500E+02  2.949484E-02  5.753792E-05  1.028552E-06  1.254653E-02  4.273961E-05  1.269461E-06  3.073484E-08  3.971354E-05  5.401988E-05  9.837997E-07  8.305072E-07  1.057918E-06
 2.891500E+02  2.939452E-02  5.614619E-05  9.551508E-07  1.250591E-02  4.173359E-05  1.180926E-06  2.959378E-08  3.878282E-05  5.275191E-05  9.150828E-07  7.720013E-07  9.837540E-07
 2.901500E+02  2.929484E-02  5.479757E-05  8.874533E-07  1.246549E-02  4.075751E-05  1.099098E-06  2.850249E-08  3.787995E-05  5.152199E-05  8.515871E-07  7.179821E-07  9.152525E-07
 2.911500E+02  2.919580E-02  5.349048E-05  8.249827E-07  1.242525E-02  3.981033E-05  1.023432E-06  2.745853E-08  3.700396E-05  5.032879E-05  7.928860E-07  6.680792E-07  8.519484E-07
 2.921500E+02  2.909740E-02  5.222339E-05  7.673042E-07  1.238522E-02  3.889106E-05  9.534303E-07  2.645958E-08  3.615390E-05  4.917100E-05  7.385902E-07  6.219550E-07  7.934170E-07
 2.931500E+02  2.899962E-02  5.099486E-05  7.140220E-07  1.234538E-02  3.799874E-05  8.886362E-07  2.550347E-08  3.532886E-05  4.804738E-05  6.883439E-07  5.793014E-07  7.392708E-07
 2.941500E+02  2.890248E-02  4.980348E-05  6.647749E-07  1.230575E-02  3.713243E-05  8.286337E-07  2.458810E-08  3.452798E-05  4.695675E-05  6.418220E-07  5.398372E-07  6.891557E-07
 2.951500E+02  2.880595E-02  4.864792E-05  6.192336E-07  1.226631E-02  3.629126E-05  7.730417E-07  2.371152E-08  3.375042E-05  4.589796E-05  5.987274E-07  5.033053E-07  6.427483E-07
 2.961500E+02  2.871003E-02  4.752691E-05  5.770973E-07  1.222707E-02  3.547436E-05  7.215114E-07  2.287187E-08  3.299537E-05  4.486990E-05  5.587881E-07  4.694710E-07  5.997527E-07
 2.971500E+02  2.861473E-02  4.643920E-05  5.380915E-07  1.218804E-02  3.468092E-05  6.737236E-07  2.206739E-08  3.226207E-05  4.387151E-05  5.217552E-07  4.381195E-07  5.598984E-07
 2.981500E+02  2.852003E-02  4.538362E-05  5.019653E-07  1.214920E-02  3.391014E-05  6.293856E-07  2.129642E-08  3.154976E-05  4.290179E-05  4.874007E-07  4.090543E-07  5.229378E-07
 2.991500E+02  2.842593E-02  4.435903E-05  4.684892E-07  1.211057E-02  3.316126E-05  5.882293E-07  2.055736E-08  3.085775E-05  4.195976E-05  4.555159E-07  3.820955E-07  4.886442E-07
 3.001500E+02  2.833243E-02  4.336436E-05  4.374535E-07  1.207214E-02  3.243355E-05  5.500086E-07  1.984872E-08  3.018533E-05  4.104447E-05  4.259092E-07  3.570785E-07  4.568098E-07
 3.011500E+02  2.823952E-02  4.239857E-05  4.086659E-07  1.203391E-02  3.172631E-05  5.144981E-07  1.916908E-08  2.953186E-05  4.015502E-05  3.984051E-07  3.338521E-07  4.272441E-07
 3.021500E+02  2.814719E-02  4.146064E-05  3.819507E-07  1.199588E-02  3.103884E-05  4.814904E-07  1.851709E-08  2.889669E-05  3.929054E-05  3.728424E-07  3.122781E-07  3.997725E-07
 3.031500E+02  2.805545E-02  4.054962E-05  3.571466E-07  1.195806E-02  3.037051E-05  4.507955E-07  1.789148E-08  2.827923E-05  3.845021E-05  3.490732E-07  2.922295E-07  3.742347E-07
 3.041500E+02  2.796428E-02  3.966458E-05  3.341058E-07  1.192044E-02  2.972068E-05  4.222385E-07  1.729102E-08  2.767887E-05  3.763321E-05  3.269616E-07  2.735897E-07  3.504836E-07
 3.051500E+02  2.787368E-02  3.880465E-05  3.126930E-07  1.188301E-02  2.908875E-05  3.956588E-07  1.671457E-08  2.709506E-05  3.683877E-05  3.063828E-07  2.562518E-07  3.283840E-07
 3.061500E+02  2.778365E-02  3.796897E-05  2.927836E-07  1.184579E-02  2.847413E-05  3.709085E-07  1.616104E-08  2.652725E-05  3.606616E-05  2.872220E-07  2.401174E-07  3.078117E-07
 3.071500E+02  2.769418E-02  3.715671E-05  2.742635E-07  1.180877E-02  2.787626E-05  3.478518E-07  1.562938E-08  2.597491E-05  3.531465E-05  2.693735E-07  2.250962E-07  2.886525E-07
 3.081500E+02  2.760527E-02  3.636710E-05  2.570278E-07  1.177196E-02  2.729459E-05  3.263635E-07  1.511862E-08  2.543756E-05  3.458355E-05  2.527403E-07  2.111051E-07  2.708014E-07
 3.091500E+02  2.751691E-02  3.559938E-05  2.409801E-07  1.173534E-02  2.672862E-05  3.063284E-07  1.462781E-08  2.491469E-05  3.387221E-05  2.372327E-07  1.980677E-07  2.541617E-07
 3.101500E+02  2.742910E-02  3.485281E-05  2.260318E-07  1.169892E-02  2.617783E-05  2.876402E-07  1.415606E-08  2.440585E-05  3.317998E-05  2.227684E-07  1.859136E-07  2.386444E-07
 3.111500E+02  2.734183E-02  3.412671E-05  2.121012E-07  1.166269E-02  2.564175E-05  2.702010E-07  1.370253E-08  2.391059E-05  3.250626E-05  2.092715E-07  1.745780E-07  2.241675E-07
 3.121500E+02  2.725510E-02  3.342040E-05  1.991134E-07  1.162667E-02  2.511989E-05  2.539206E-07  1.326642E-08  2.342846E-05  3.185044E-05  1.966719E-07  1.640013E-07  2.106553E-07
 3.131500E+02  2.716891E-02  3.273322E-05  1.869992E-07  1.159084E-02  2.461183E-05  2.387158E-07  1.284696E-08  2.295906E-05  3.121196E-05  1.849050E-07  1.541283E-07  1.980383E-07
 3.141500E+02  2.708324E-02  3.206457E-05  1.756949E-07  1.155521E-02  2.411711E-05  2.245095E-07  1.244342E-08  2.250198E-05  3.059027E-05  1.739113E-07  1.449084E-07  1.862521E-07
 3.151500E+02  2.699810E-02  3.141383E-05  1.651418E-07  1.151977E-02  2.363533E-05  2.112309E-07  1.205511E-08  2.205683E-05  2.998484E-05  1.636356E-07  1.362948E-07  1.752374E-07
 3.161500E+02  2.691349E-02  3.078043E-05  1.552858E-07  1.148453E-02  2.316608E-05  1.988144E-07  1.168138E-08  2.162324E-05  2.939515E-05  1.540272E-07  1.282441E-07  1.649394E-07
 3.171500E+02  2.682938E-02  3.016382E-05  1.460769E-07  1.144949E-02  2.270897E-05  1.871993E-07  1.132159E-08  2.120086E-05  2.882073E-05  1.450390E-07  1.207165E-07  1.553075E-07
 3.181500E+02  2.674579E-02  2.956346E-05  1.374690E-07  1.141463E-02  2.226363E-05  1.763296E-07  1.097514E-08  2.078932E-05  2.826108E-05  1.366278E-07  1.136751E-07  1.462950E-07
 3.191500E+02  2.666271E-02  2.897884E-05  1.294196E-07  1.137997E-02  2.182969E-05  1.661535E-07  1.064149E-08  2.038831E-05  2.771576E-05  1.287532E-07  1.070859E-07  1.378586E-07
 3.201500E+02  2.658013E-02  2.840945E-05  1.218893E-07  1.134549E-02  2.140681E-05  1.566230E-07  1.032007E-08  1.999749E-05  2.718433E-05  1.213782E-07  1.009173E-07  1.299583E-07
 3.211500E+02  2.649805E-02  2.785482E-05  1.148417E-07  1.131121E-02  2.099465E-05  1.476937E-07  1.001037E-08  1.961655E-05  2.666636E-05  1.144683E-07  9.514021E-08  1.225571E-07
 3.221500E+02  2.641647E-02  2.731449E-05  1.082433E-07  1.127712E-02  2.059288E-05  1.393245E-07  9.711909E-09  1.924520E-05  2.616143E-05  1.079917E-07  8.972757E-08  1.156207E-07
 3.231500E+02  2.633537E-02  2.678802E-05  1.020629E-07  1.124321E-02  2.020119E-05  1.314772E-07  9.424212E-09  1.888313E-05  2.566916E-05  1.019190E-07  8.465443E-08  1.091175E-07
 3.241500E+02  2.625476E-02  2.627497E-05  9.627177E-08  1.120949E-02  1.981928E-05  1.241166E-07  9.146833E-09  1.853009E-05  2.518916E-05  9.622266E-08  7.989765E-08  1.030179E-07
 3.251500E+02  2.617464E-02  2.577494E-05  9.084322E-08  1.117595E-02  1.944685E-05  1.172098E-07  8.879346E-09  1.818578E-05  2.472106E-05  9.087744E-08  7.543578E-08  9.729482E-08
 3.261500E+02  2.609499E-02  2.528752E-05  8.575258E-08  1.114261E-02  1.908363E-05  1.107266E-07  8.621345E-09  1.784996E-05  2.426451E-05  8.585980E-08  7.124895E-08  9.192290E-08
 3.271500E+02  2.601582E-02  2.481233E-05  8.097695E-08  1.110944E-02  1.872933E-05  1.046386E-07  8.372443E-09  1.752236E-05  2.381916E-05  8.114791E-08  6.731871E-08  8.687870E-08
 3.281500E+02  2.593712E-02  2.434900E-05  7.649514E-08  1.107645E-02  1.838371E-05  9.891969E-08  8.132270E-09  1.720275E-05  2.338468E-05  7.672150E-08  6.362795E-08  8.214047E-08
 3.291500E+02  2.585889E-02  2.389717E-05  7.228747E-08  1.104365E-02  1.804649E-05  9.354558E-08  7.900472E-09  1.689090E-05  2.296075E-05  7.256177E-08  6.016080E-08  7.768798E-08
 3.301500E+02  2.578111E-02  2.345650E-05  6.833567E-08  1.101103E-02  1.771744E-05  8.849367E-08  7.676714E-09  1.658657E-05  2.254706E-05  6.865123E-08  5.690250E-08  7.350249E-08
 3.311500E+02  2.570380E-02  2.302665E-05  6.462281E-08  1.097859E-02  1.739632E-05  8.374293E-08  7.460674E-09  1.628954E-05  2.214331E-05  6.497363E-08  5.383935E-08  6.956653E-08
 3.321500E+02  2.562694E-02  2.260730E-05  6.113315E-08  1.094632E-02  1.708289E-05  7.927385E-08  7.252043E-09  1.599961E-05  2.174922E-05  6.151387E-08  5.095863E-08  6.586391E-08
 3.331500E+02  2.555053E-02  2.219814E-05  5.785206E-08  1.091423E-02  1.677694E-05  7.506826E-08  7.050528E-09  1.571656E-05  2.136450E-05  5.825789E-08  4.824850E-08  6.237954E-08
 3.341500E+02  2.547457E-02  2.179888E-05  5.476596E-08  1.088232E-02  1.647825E-05  7.110925E-08  6.855850E-09  1.544021E-05  2.098888E-05  5.519263E-08  4.569794E-08  5.909940E-08
 3.351500E+02  2.539906E-02  2.140921E-05  5.186221E-08  1.085058E-02  1.618662E-05  6.738108E-08  6.667739E-09  1.517036E-05  2.062210E-05  5.230589E-08  4.329672E-08  5.601042E-08
 3.361500E+02  2.532398E-02  2.102886E-05  4.912906E-08  1.081902E-02  1.590184E-05  6.386910E-08  6.485940E-09  1.490682E-05  2.026392E-05  4.958637E-08  4.103530E-08  5.310046E-08
 3.371500E+02  2.524934E-02  2.065757E-05  4.655559E-08  1.078763E-02  1.562371E-05  6.055964E-08  6.310208E-09  1.464941E-05  1.991408E-05  4.702348E-08  3.890480E-08  5.035819E-08
 3.381500E+02  2.517513E-02  2.029506E-05  4.413160E-08  1.075641E-02  1.535206E-05  5.744000E-08  6.140307E-09  1.439797E-05  1.957235E-05  4.460740E-08  3.689695E-08  4.777307E-08
