#         T/K            m1          m2-1          m3-1
 2.731500E+02  4.436305E-02  1.730443E-04  9.713854E-06
 2.741500E+02  4.420625E-02  1.683936E-04  8.944352E-06
 2.751500E+02  4.405039E-02  1.639002E-04  8.240825E-06
 2.761500E+02  4.389549E-02  1.595579E-04  7.597214E-06
 2.771500E+02  4.374154E-02  1.553609E-04  7.008052E-06
 2.781500E+02  4.358854E-02  1.513033E-04  6.468402E-06
 2.791500E+02  4.343649E-02  1.473797E-04  5.973800E-06
 2.801500E+02  4.328539E-02  1.435850E-04  5.520215E-06
 2.811500E+02  4.313523E-02  1.399142E-04  5.103995E-06
 2.821500E+02  4.298600E-02  1.363624E-04  4.721838E-06
 2.831500E+02  4.283771E-02  1.329252E-04  4.370750E-06
 2.841500E+02  4.269035E-02  1.295982E-04  4.048019E-06
 2.851500E+02  4.254392E-02  1.263772E-04  3.751182E-06
 2.861500E+02  4.239840E-02  1.232582E-04  3.478009E-06
 2.871500E+02  4.225380E-02  1.202374E-04  3.226469E-06
 2.881500E+02  4.211012E-02  1.173112E-04  2.994722E-06
 2.891500E+02  4.196733E-02  1.144760E-04  2.781091E-06
 2.901500E+02  4.182545E-02  1.117285E-04  2.584053E-06
 2.911500E+02  4.168446E-02  1.090655E-04  2.402221E-06
 2.921500E+02  4.154435E-02  1.064839E-04  2.234330E-06
 2.931500E+02  4.140513E-02  1.039807E-04  2.079230E-06
 2.941500E+02  4.126679E-02  1.015531E-04  1.935870E-06
 2.951500E+02  4.112931E-02  9.919847E-05  1.803294E-06
 2.961500E+02  4.099270E-02  9.691409E-05  1.680626E-06
 2.971500E+02  4.085695E-02  9.469752E-05  1.567067E-06
 2.981500E+02  4.072204E-02  9.254634E-05  1.461889E-06
 2.991500E+02  4.058798E-02  9.045827E-05  1.364424E-06
 3.001500E+02  4.045476E-02  8.843110E-05  1.274061E-06
 3.011500E+02  4.032238E-02  8.646271E-05  1.190241E-06
 3.021500E+02  4.019081E-02  8.455107E-05  1.112453E-06
 3.031500E+02  4.006007E-02  8.269422E-05  1.040229E-06
 3.041500E+02  3.993014E-02  8.089029E-05  9.731367E-07
 3.051500E+02  3.980102E-02  7.913748E-05  9.107835E-07
 3.061500E+02  3.967269E-02  7.743405E-05  8.528070E-07
 3.071500E+02  3.954516E-02  7.577834E-05  7.988750E-07
 3.081500E+02  3.941842E-02  7.416876E-05  7.486822E-07
 3.091500E+02  3.929246E-02  7.260375E-05  7.019481E-07
 3.101500E+02  3.916728E-02  7.108185E-05  6.584147E-07
 3.111500E+02  3.904286E-02  6.960163E-05  6.178445E-07
 3.121500E+02  3.891921E-02  6.816173E-05  5.800192E-07
 3.131500E+02  3.879631E-02  6.676081E-05  5.447374E-07
 3.141500E+02  3.867417E-02  6.539763E-05  5.118140E-07
 3.151500E+02  3.855277E-02  6.407095E-05  4.810778E-07
 3.161500E+02  3.843210E-02  6.277960E-05  4.523715E-07
 3.171500E+02  3.831217E-02  6.152245E-05  4.255495E-07
 3.181500E+02  3.819296E-02  6.029842E-05  4.004777E-07
 3.191500E+02  3.807448E-02  5.910645E-05  3.770320E-07
 3.201500E+02  3.795671E-02  5.794553E-05  3.550981E-07
 3.211500E+02  3.783964E-02  5.681469E-05  3.345701E-07
 3.221500E+02  3.772328E-02  5.571299E-05  3.153500E-07
 3.231500E+02  3.760762E-02  5.463952E-05  2.973473E-07
 3.241500E+02  3.749265E-02  5.359341E-05  2.804783E-07
 3.251500E+02  3.737836E-02  5.257383E-05  2.646652E-07
 3.261500E+02  3.726475E-02  5.157995E-05  2.498363E-07
 3.271500E+02  3.715182E-02  5.061100E-05  2.359248E-07
 3.281500E+02  3.703955E-02  4.966622E-05  2.228691E-07
 3.291500E+02  3.692795E-02  4.874488E-05  2.106118E-07
 3.301500E+02  3.681700E-02  4.784628E-05  1.990998E-07
 3.311500E+02  3.670671E-02  4.696974E-05  1.882837E-07
 3.321500E+02  3.659706E-02  4.611461E-05  1.781176E-07
 3.331500E+02  3.648805E-02  4.528025E-05  1.685592E-07
 3.341500E+02  3.637968E-02  4.446604E-05  1.595686E-07
