#         T/K            m1          m2-1          m3-1
 2.731500E+02  9.916128E-01  7.735851E-03  6.513786E-04
 2.741500E+02  9.918416E-01  7.556387E-03  6.020448E-04
 2.751500E+02  9.920608E-01  7.382407E-03  5.567759E-04
 2.761500E+02  9.922711E-01  7.213713E-03  5.152121E-04
 2.771500E+02  9.924729E-01  7.050115E-03  4.770272E-04
 2.781500E+02  9.926666E-01  6.891431E-03  4.419257E-04
 2.791500E+02  9.928529E-01  6.737487E-03  4.096397E-04
 2.801500E+02  9.930320E-01  6.588113E-03  3.799261E-04
 2.811500E+02  9.932043E-01  6.443150E-03  3.525641E-04
 2.821500E+02  9.933702E-01  6.302441E-03  3.273531E-04
 2.831500E+02  9.935301E-01  6.165838E-03  3.041109E-04
 2.841500E+02  9.936841E-01  6.033197E-03  2.826717E-04
 2.851500E+02  9.938327E-01  5.904382E-03  2.628847E-04
 2.861500E+02  9.939761E-01  5.779260E-03  2.446123E-04
 2.871500E+02  9.941146E-01  5.657705E-03  2.277296E-04
 2.881500E+02  9.942483E-01  5.539593E-03  2.121222E-04
 2.891500E+02  9.943775E-01  5.424809E-03  1.976862E-04
 2.901500E+02  9.945024E-01  5.313238E-03  1.843266E-04
 2.911500E+02  9.946233E-01  5.204774E-03  1.719565E-04
 2.921500E+02  9.947402E-01  5.099311E-03  1.604967E-04
 2.931500E+02  9.948534E-01  4.996750E-03  1.498748E-04
 2.941500E+02  9.949630E-01  4.896994E-03  1.400244E-04
 2.951500E+02  9.950692E-01  4.799951E-03  1.308849E-04
 2.961500E+02  9.951721E-01  4.705530E-03  1.224007E-04
 2.971500E+02  9.952718E-01  4.613647E-03  1.145209E-04
 2.981500E+02  9.953686E-01  4.524219E-03  1.071988E-04
 2.991500E+02  9.954624E-01  4.437166E-03  1.003917E-04
 3.001500E+02  9.955535E-01  4.352412E-03  9.406029E-05
 3.011500E+02  9.956419E-01  4.269883E-03  8.816847E-05
 3.021500E+02  9.957278E-01  4.189507E-03  8.268314E-05
 3.031500E+02  9.958112E-01  4.111218E-03  7.757385E-05
 3.041500E+02  9.958922E-01  4.034948E-03  7.281262E-05
 3.051500E+02  9.959710E-01  3.960634E-03  6.837368E-05
 3.061500E+02  9.960476E-01  3.888216E-03  6.423333E-05
 3.071500E+02  9.961220E-01  3.817634E-03  6.036973E-05
 3.081500E+02  9.961944E-01  3.748831E-03  5.676278E-05
 3.091500E+02  9.962649E-01  3.681753E-03  5.339392E-05
 3.101500E+02  9.963334E-01  3.616346E-03  5.024606E-05
 3.111500E+02  9.964001E-01  3.552561E-03  4.730342E-05
 3.121500E+02  9.964651E-01  3.490347E-03  4.455143E-05
 3.131500E+02  9.965284E-01  3.429658E-03  4.197664E-05
 3.141500E+02  9.965900E-01  3.370447E-03  3.956662E-05
 3.151500E+02  9.966500E-01  3.312671E-03  3.730987E-05
 3.161500E+02  9.967085E-01  3.256286E-03  3.519577E-05
 3.171500E+02  9.967655E-01  3.201252E-03  3.321449E-05
 3.181500E+02  9.968211E-01  3.147529E-03  3.135692E-05
 3.191500E+02  9.968753E-01  3.095079E-03  2.961463E-05
 3.201500E+02  9.969282E-01  3.043864E-03  2.797982E-05
 3.211500E+02  9.969797E-01  2.993849E-03  2.644525E-05
 3.221500E+02  9.970300E-01  2.944999E-03  2.500419E-05
 3.231500E+02  9.970791E-01  2.897281E-03  2.365043E-05
 3.241500E+02  9.971270E-01  2.850662E-03  2.237818E-05
 3.251500E+02  9.971737E-01  2.805112E-03  2.118208E-05
 3.261500E+02  9.972193E-01  2.760599E-03  2.005715E-05
 3.271500E+02  9.972639E-01  2.717096E-03  1.899874E-05
 3.281500E+02  9.973074E-01  2.674573E-03  1.800257E-05
 3.291500E+02  9.973499E-01  2.633003E-03  1.706461E-05
 3.301500E+02  9.973915E-01  2.592361E-03  1.618114E-05
 3.311500E+02  9.974320E-01  2.552619E-03  1.534871E-05
 3.321500E+02  9.974717E-01  2.513755E-03  1.456406E-05
 3.331500E+02  9.975104E-01  2.475743E-03  1.382421E-05
 3.341500E+02  9.975483E-01  2.438560E-03  1.312634E-05
 3.351500E+02  9.975853E-01  2.402185E-03  1.246785E-05
 3.361500E+02  9.976216E-01  2.366595E-03  1.184629E-05
 3.371500E+02  9.976570E-01  2.331770E-03  1.125939E-05
 3.381500E+02  9.976916E-01  2.297689E-03  1.070503E-05
 3.391500E+02  9.977255E-01  2.264332E-03  1.018123E-05
 3.401500E+02  9.977586E-01  2.231680E-03  9.686133E-06
 3.411500E+02  9.977911E-01  2.199714E-03  9.218018E-06
 3.421500E+02  9.978228E-01  2.168418E-03  8.775266E-06
 3.431500E+02  9.978539E-01  2.137773E-03  8.356366E-06
 3.441500E+02  9.978843E-01  2.107762E-03  7.959903E-06
 3.451500E+02  9.979140E-01  2.078370E-03  7.584557E-06
 3.461500E+02  9.979432E-01  2.049579E-03  7.229090E-06
 3.471500E+02  9.979717E-01  2.021376E-03  6.892341E-06
 3.481500E+02  9.979997E-01  1.993745E-03  6.573226E-06
 3.491500E+02  9.980271E-01  1.966671E-03  6.270728E-06
 3.501500E+02  9.980539E-01  1.940141E-03  5.983892E-06
 3.511500E+02  9.980801E-01  1.914140E-03  5.711826E-06
 3.521500E+02  9.981059E-01  1.888656E-03  5.453690E-06
 3.531500E+02  9.981311E-01  1.863676E-03  5.208697E-06
 3.541500E+02  9.981558E-01  1.839188E-03  4.976110E-06
 3.551500E+02  9.981801E-01  1.815179E-03  4.755235E-06
 3.561500E+02  9.982038E-01  1.791637E-03  4.545421E-06
 3.571500E+02  9.982271E-01  1.768552E-03  4.346056E-06
 3.581500E+02  9.982499E-01  1.745912E-03  4.156565E-06
 3.591500E+02  9.982723E-01  1.723706E-03  3.976408E-06
 3.601500E+02  9.982943E-01  1.701924E-03  3.805077E-06
 3.611500E+02  9.983158E-01  1.680556E-03  3.642094E-06
 3.621500E+02  9.983369E-01  1.659592E-03  3.487008E-06
 3.631500E+02  9.983576E-01  1.639022E-03  3.339396E-06
 3.641500E+02  9.983780E-01  1.618837E-03  3.198860E-06
 3.651500E+02  9.983979E-01  1.599029E-03  3.065024E-06
 3.661500E+02  9.984175E-01  1.579587E-03  2.937535E-06
 3.671500E+02  9.984367E-01  1.560505E-03  2.816058E-06
 3.681500E+02  9.984555E-01  1.541772E-03  2.700280E-06
 3.691500E+02  9.984740E-01  1.523382E-03  2.589905E-06
 3.701500E+02  9.984922E-01  1.505327E-03  2.484652E-06
 3.711500E+02  9.985100E-01  1.487598E-03  2.384259E-06
 3.721500E+02  9.985275E-01  1.470188E-03  2.288476E-06
 3.731500E+02  9.985447E-01  1.453091E-03  2.197068E-06
 3.741500E+02  9.985616E-01  1.436298E-03  2.109813E-06
 3.751500E+02  9.985782E-01  1.419804E-03  2.026502E-06
 3.761500E+02  9.985945E-01  1.403601E-03  1.946937E-06
 3.771500E+02  9.986104E-01  1.387684E-03  1.870931E-06
 3.781500E+02  9.986262E-01  1.372045E-03  1.798306E-06
 3.791500E+02  9.986416E-01  1.356678E-03  1.728896E-06
 3.801500E+02  9.986568E-01  1.341578E-03  1.662542E-06
 3.811500E+02  9.986717E-01  1.326739E-03  1.599094E-06
 3.821500E+02  9.986863E-01  1.312155E-03  1.538411E-06
 3.831500E+02  9.987007E-01  1.297820E-03  1.480359E-06
 3.841500E+02  9.987148E-01  1.283730E-03  1.424811E-06
 3.851500E+02  9.987288E-01  1.269878E-03  1.371646E-06
 3.861500E+02  9.987424E-01  1.256260E-03  1.320750E-06
 3.871500E+02  9.987559E-01  1.242871E-03  1.272016E-06
 3.881500E+02  9.987691E-01  1.229705E-03  1.225340E-06
 3.891500E+02  9.987821E-01  1.216759E-03  1.180627E-06
 3.901500E+02  9.987948E-01  1.204027E-03  1.137784E-06
 3.911500E+02  9.988074E-01  1.191505E-03  1.096724E-06
 3.921500E+02  9.988198E-01  1.179189E-03  1.057364E-06
 3.931500E+02  9.988319E-01  1.167074E-03  1.019625E-06
 3.941500E+02  9.988439E-01  1.155156E-03  9.834324E-07
 3.951500E+02  9.988556E-01  1.143432E-03  9.487161E-07
 3.961500E+02  9.988672E-01  1.131896E-03  9.154084E-07
 3.971500E+02  9.988786E-01  1.120546E-03  8.834455E-07
 3.981500E+02  9.988898E-01  1.109377E-03  8.527666E-07
 3.991500E+02  9.989008E-01  1.098386E-03  8.233140E-07
