#         T/K     Cv/J*K^-1     Cp/J*K^-1
 2.731500E+02  3.410546E+01  4.358132E+01
 2.741500E+02  3.414010E+01  4.360385E+01
 2.751500E+02  3.417516E+01  4.361511E+01
 2.761500E+02  3.421062E+01  4.362760E+01
 2.771500E+02  3.424647E+01  4.364124E+01
 2.781500E+02  3.428272E+01  4.365599E+01
 2.791500E+02  3.431935E+01  4.367179E+01
 2.801500E+02  3.435635E+01  4.368860E+01
 2.811500E+02  3.439372E+01  4.370637E+01
 2.821500E+02  3.443146E+01  4.372506E+01
 2.831500E+02  3.446954E+01  4.374464E+01
 2.841500E+02  3.450798E+01  4.376508E+01
 2.851500E+02  3.454675E+01  4.378633E+01
 2.861500E+02  3.458586E+01  4.380837E+01
 2.871500E+02  3.462530E+01  4.383118E+01
 2.881500E+02  3.466507E+01  4.385473E+01
 2.891500E+02  3.470515E+01  4.387898E+01
 2.901500E+02  3.474555E+01  4.390393E+01
 2.911500E+02  3.478625E+01  4.392955E+01
 2.921500E+02  3.482726E+01  4.395582E+01
 2.931500E+02  3.486856E+01  4.398272E+01
 2.941500E+02  3.491015E+01  4.401024E+01
 2.951500E+02  3.495204E+01  4.403835E+01
 2.961500E+02  3.499420E+01  4.406704E+01
 2.971500E+02  3.503664E+01  4.409630E+01
 2.981500E+02  3.507935E+01  4.412611E+01
 2.991500E+02  3.512233E+01  4.415646E+01
 3.001500E+02  3.516557E+01  4.418734E+01
 3.011500E+02  3.520907E+01  4.421873E+01
 3.021500E+02  3.525282E+01  4.425062E+01
 3.031500E+02  3.529682E+01  4.428300E+01
 3.041500E+02  3.534107E+01  4.431586E+01
 3.051500E+02  3.538555E+01  4.434918E+01
 3.061500E+02  3.543028E+01  4.438297E+01
 3.071500E+02  3.547523E+01  4.441720E+01
 3.081500E+02  3.552041E+01  4.445187E+01
 3.091500E+02  3.556582E+01  4.448697E+01
 3.101500E+02  3.561145E+01  4.452249E+01
 3.111500E+02  3.565729E+01  4.455841E+01
 3.121500E+02  3.570334E+01  4.459475E+01
 3.131500E+02  3.574960E+01  4.463147E+01
 3.141500E+02  3.579607E+01  4.466859E+01
 3.151500E+02  3.584273E+01  4.470608E+01
 3.161500E+02  3.588960E+01  4.474394E+01
 3.171500E+02  3.593665E+01  4.478216E+01
