#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            w1            w2          w3-1          w3-2        c1w1-2        c1w2-1        c2w1-1        c2w1-9
 2.731500E+02  7.789261E-02  2.045229E-05  1.421820E-09  1.866173E-09  2.076266E-09  2.475689E-09  7.526683E-01  1.980238E-02  5.299022E-03  7.435094E-05  1.440336E-01  2.082764E-04  5.803496E-07  5.096084E-07
 2.741500E+02  7.871283E-02  2.048897E-05  1.395454E-09  1.832187E-09  2.038606E-09  2.431550E-09  7.542737E-01  1.940111E-02  4.921314E-03  7.173471E-05  1.424002E-01  1.975981E-04  5.639282E-07  4.947615E-07
 2.751500E+02  7.952613E-02  2.052163E-05  1.369414E-09  1.798603E-09  2.001386E-09  2.387904E-09  7.558330E-01  1.900964E-02  4.572604E-03  6.922381E-05  1.407803E-01  1.875138E-04  5.479822E-07  4.803595E-07
 2.761500E+02  8.033236E-02  2.055028E-05  1.343704E-09  1.765423E-09  1.964610E-09  2.344754E-09  7.573488E-01  1.862776E-02  4.250535E-03  6.681384E-05  1.391742E-01  1.779886E-04  5.324981E-07  4.663894E-07
 2.771500E+02  8.113137E-02  2.057496E-05  1.318323E-09  1.732650E-09  1.928280E-09  2.302104E-09  7.588232E-01  1.825528E-02  3.952951E-03  6.450059E-05  1.375822E-01  1.689895E-04  5.174632E-07  4.528384E-07
 2.781500E+02  8.192303E-02  2.059572E-05  1.293274E-09  1.700288E-09  1.892400E-09  2.259961E-09  7.602583E-01  1.789197E-02  3.677876E-03  6.227996E-05  1.360045E-01  1.604857E-04  5.028648E-07  4.396944E-07
 2.791500E+02  8.270725E-02  2.061261E-05  1.268559E-09  1.668338E-09  1.856974E-09  2.218329E-09  7.616561E-01  1.753764E-02  3.423502E-03  6.014804E-05  1.344414E-01  1.524482E-04  4.886909E-07  4.269454E-07
 2.801500E+02  8.348390E-02  2.062568E-05  1.244180E-09  1.636806E-09  1.822006E-09  2.177214E-09  7.630182E-01  1.719206E-02  3.188170E-03  5.810105E-05  1.328932E-01  1.448498E-04  4.749296E-07  4.145800E-07
 2.811500E+02  8.425290E-02  2.063500E-05  1.220138E-09  1.605693E-09  1.787499E-09  2.136621E-09  7.643464E-01  1.685503E-02  2.970363E-03  5.613537E-05  1.313600E-01  1.376649E-04  4.615695E-07  4.025870E-07
 2.821500E+02  8.501416E-02  2.064062E-05  1.196436E-09  1.575004E-09  1.753458E-09  2.096556E-09  7.656422E-01  1.652633E-02  2.768689E-03  5.424751E-05  1.298420E-01  1.308694E-04  4.485994E-07  3.909556E-07
 2.831500E+02  8.576761E-02  2.064261E-05  1.173075E-09  1.544741E-09  1.719886E-09  2.057024E-09  7.669070E-01  1.620576E-02  2.581873E-03  5.243413E-05  1.283394E-01  1.244409E-04  4.360084E-07  3.796751E-07
 2.841500E+02  8.651319E-02  2.064106E-05  1.150058E-09  1.514908E-09  1.686787E-09  2.018029E-09  7.681421E-01  1.589311E-02  2.408744E-03  5.069205E-05  1.268524E-01  1.183581E-04  4.237859E-07  3.687353E-07
 2.851500E+02  8.725084E-02  2.063603E-05  1.127386E-09  1.485507E-09  1.654164E-09  1.979577E-09  7.693488E-01  1.558818E-02  2.248231E-03  4.901819E-05  1.253809E-01  1.126012E-04  4.119215E-07  3.581263E-07
