#         T/K        V/dm^3  V(excl)/dm^3    alpha/K^-1        status
 2.731500E+02  2.111857E+01  3.231945E-02  4.666465E-03                                 111
 2.741500E+02  2.121712E+01  3.231945E-02  4.638458E-03                                 111
 2.751500E+02  2.131540E+01  3.231945E-02  4.604588E-03                                 111
 2.761500E+02  2.141342E+01  3.231945E-02  4.571327E-03                                 111
 2.771500E+02  2.151118E+01  3.231945E-02  4.538654E-03                                 111
 2.781500E+02  2.160868E+01  3.231945E-02  4.506550E-03                                 111
 2.791500E+02  2.170594E+01  3.231945E-02  4.474997E-03                                 111
 2.801500E+02  2.180295E+01  3.231945E-02  4.443978E-03                                 111
 2.811500E+02  2.189972E+01  3.231945E-02  4.413477E-03                                 111
 2.821500E+02  2.199626E+01  3.231945E-02  4.383481E-03                                 111
 2.831500E+02  2.209256E+01  3.231945E-02  4.353974E-03                                 111
 2.841500E+02  2.218864E+01  3.231945E-02  4.324944E-03                                 111
 2.851500E+02  2.228449E+01  3.231945E-02  4.296379E-03                                 111
 2.861500E+02  2.238013E+01  3.231945E-02  4.268267E-03                                 111
 2.871500E+02  2.247554E+01  3.231945E-02  4.240596E-03                                 111
 2.881500E+02  2.257075E+01  3.231945E-02  4.213356E-03                                 111
 2.891500E+02  2.266574E+01  3.231945E-02  4.186536E-03                                 111
 2.901500E+02  2.276053E+01  3.231945E-02  4.160128E-03                                 111
 2.911500E+02  2.285511E+01  3.231945E-02  4.134122E-03                                 111
 2.921500E+02  2.294950E+01  3.231945E-02  4.108508E-03                                 111
 2.931500E+02  2.304369E+01  3.231945E-02  4.083278E-03                                 111
 2.941500E+02  2.313769E+01  3.231945E-02  4.058425E-03                                 111
 2.951500E+02  2.323149E+01  3.231945E-02  4.033939E-03                                 111
 2.961500E+02  2.332512E+01  3.231945E-02  4.009813E-03                                 111
 2.971500E+02  2.341855E+01  3.231945E-02  3.986040E-03                                 111
 2.981500E+02  2.351181E+01  3.231945E-02  3.962612E-03                                 111
 2.991500E+02  2.360489E+01  3.231945E-02  3.939522E-03                                 111
 3.001500E+02  2.369779E+01  3.231945E-02  3.916764E-03                                 111
 3.011500E+02  2.379053E+01  3.231945E-02  3.894331E-03                                 111
 3.021500E+02  2.388309E+01  3.231945E-02  3.872215E-03                                 111
 3.031500E+02  2.397549E+01  3.231945E-02  3.850412E-03                                 111
 3.041500E+02  2.406772E+01  3.231945E-02  3.828915E-03                                 111
 3.051500E+02  2.415979E+01  3.231945E-02  3.807717E-03                                 111
 3.061500E+02  2.425171E+01  3.231945E-02  3.786814E-03                                 111
 3.071500E+02  2.434347E+01  3.231945E-02  3.766199E-03                                 111
 3.081500E+02  2.443507E+01  3.231945E-02  3.745867E-03                                 111
 3.091500E+02  2.452653E+01  3.231945E-02  3.725811E-03                                 111
 3.101500E+02  2.461784E+01  3.231945E-02  3.706028E-03                                 111
 3.111500E+02  2.470900E+01  3.231945E-02  3.686512E-03                                 111
 3.121500E+02  2.480002E+01  3.231945E-02  3.667258E-03                                 111
 3.131500E+02  2.489089E+01  3.231945E-02  3.648260E-03                                 111
 3.141500E+02  2.498163E+01  3.231945E-02  3.629514E-03                                 111
 3.151500E+02  2.507224E+01  3.231945E-02  3.611015E-03                                 111
 3.161500E+02  2.516271E+01  3.231945E-02  3.592758E-03                                 111
 3.171500E+02  2.525304E+01  3.231945E-02  3.574740E-03                                 111
 3.181500E+02  2.534325E+01  3.231945E-02  3.556954E-03                                 111
 3.191500E+02  2.543333E+01  3.231945E-02  3.539398E-03                                 111
 3.201500E+02  2.552329E+01  3.231945E-02  3.522067E-03                                 111
 3.211500E+02  2.561312E+01  3.231945E-02  3.504956E-03                                 111
 3.221500E+02  2.570283E+01  3.231945E-02  3.488061E-03                                 111
