#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1            w1            w2          w3-1          w3-2          c1m1        c1m2-1        c1m2-7        c2m1-1        c1w1-2        c1w2-1        c2w1-1        c2w1-9        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3      c1m1w1-1
 2.731500E+02  9.408433E-03  3.062238E-06  3.518491E-10  4.618104E-10  5.138007E-10  6.126435E-10  4.965679E-03  2.167960E-06  1.362140E-08  2.411734E-02  2.086526E-04  2.448058E-05  3.434886E-07  5.109998E-05  5.654280E-09  1.855349E-08  3.576217E-09  5.720914E-03  3.627114E-06  3.809835E-08  3.345438E-08  1.691364E-05  2.302403E-05  1.661377E-06  1.238570E-07  1.568665E-07  1.374258E-07
 2.741500E+02  9.431076E-03  3.033867E-06  3.404796E-10  4.470391E-10  4.974036E-10  5.932790E-10  4.940453E-03  2.103149E-06  1.248403E-08  2.407180E-02  2.038124E-04  2.269073E-05  3.307476E-07  4.985440E-05  5.273669E-09  1.736063E-08  3.406451E-09  5.616307E-03  3.420473E-06  3.664911E-08  3.215404E-08  1.647272E-05  2.242239E-05  1.534940E-06  1.139944E-07  1.444329E-07  1.288108E-07
 2.751500E+02  9.452709E-03  3.005510E-06  3.294883E-10  4.327532E-10  4.815440E-10  5.745422E-10  4.915519E-03  2.040779E-06  1.144943E-08  2.402566E-02  1.991070E-04  2.104156E-05  3.185443E-07  4.864498E-05  4.921005E-09  1.625178E-08  3.245512E-09  5.513805E-03  3.226596E-06  3.525938E-08  3.090827E-08  1.604610E-05  2.184034E-05  1.418884E-06  1.049808E-07  1.330652E-07  1.207833E-07
 2.761500E+02  9.473347E-03  2.977180E-06  3.188630E-10  4.189375E-10  4.662049E-10  5.564136E-10  4.890872E-03  1.980740E-06  1.050766E-08  2.397898E-02  1.945323E-04  1.952133E-05  3.068544E-07  4.747053E-05  4.594078E-09  1.522055E-08  3.092906E-09  5.413371E-03  3.044642E-06  3.392660E-08  2.971467E-08  1.563326E-05  2.127716E-05  1.312299E-06  9.673801E-08  1.226656E-07  1.133003E-07
 2.771500E+02  9.493004E-03  2.948889E-06  3.085918E-10  4.055771E-10  4.513699E-10  5.388744E-10  4.866508E-03  1.922931E-06  9.649794E-09  2.393177E-02  1.900844E-04  1.811933E-05  2.956544E-07  4.632992E-05  4.290865E-09  1.426107E-08  2.948169E-09  5.314970E-03  2.873829E-06  3.264836E-08  2.857098E-08  1.523368E-05  2.073213E-05  1.214360E-06  8.919557E-08  1.131460E-07  1.063222E-07
 2.781500E+02  9.511696E-03  2.920649E-06  2.986635E-10  3.926575E-10  4.370232E-10  5.219063E-10  4.842424E-03  1.867255E-06  8.867820E-09  2.388407E-02  1.857596E-04  1.682576E-05  2.849219E-07  4.522206E-05  4.009512E-09  1.336794E-08  2.810865E-09  5.218562E-03  2.713430E-06  3.142231E-08  2.747500E-08  1.484688E-05  2.020460E-05  1.124319E-06  8.228975E-08  1.044265E-07  9.981246E-08
 2.791500E+02  9.529438E-03  2.892474E-06  2.890670E-10  3.801648E-10  4.231494E-10  5.054915E-10  4.818614E-03  1.813618E-06  8.154541E-09  2.383592E-02  1.815541E-04  1.563170E-05  2.746358E-07  4.414591E-05  3.748320E-09  1.253620E-08  2.680583E-09  5.124113E-03  2.562765E-06  3.024624E-08  2.642466E-08  1.447238E-05  1.969390E-05  1.041495E-06  7.596303E-08  9.643521E-08  9.373724E-08
 2.801500E+02  9.546246E-03  2.864374E-06  2.797915E-10  3.680854E-10  4.097333E-10  4.896127E-10  4.795074E-03  1.761934E-06  7.503483E-09  2.378733E-02  1.774643E-04  1.452900E-05  2.647757E-07  4.310044E-05  3.505732E-09  1.176129E-08  2.556938E-09  5.031586E-03  2.421203E-06  2.911801E-08  2.541796E-08  1.410974E-05  1.919942E-05  9.652701E-07  7.016336E-08  8.910687E-08  8.806541E-08
 2.811500E+02  9.562137E-03  2.836360E-06  2.708267E-10  3.564061E-10  3.967606E-10  4.742531E-10  4.771801E-03  1.712118E-06  6.908825E-09  2.373833E-02  1.734867E-04  1.351020E-05  2.553224E-07  4.208468E-05  3.280318E-09  1.103901E-08  2.439566E-09  4.940945E-03  2.288156E-06  2.803559E-08  2.445301E-08  1.375852E-05  1.872057E-05  8.950813E-07  6.484371E-08  8.238255E-08  8.276817E-08
 2.821500E+02  9.577127E-03  2.808445E-06  2.621624E-10  3.451141E-10  3.842170E-10  4.593965E-10  4.748790E-03  1.664092E-06  6.365322E-09  2.368896E-02  1.696180E-04  1.256851E-05  2.462574E-07  4.109769E-05  3.070767E-09  1.036549E-08  2.328124E-09  4.852154E-03  2.163075E-06  2.699703E-08  2.352798E-08  1.341830E-05  1.825676E-05  8.304176E-07  5.996149E-08  7.620884E-08  7.781891E-08
 2.831500E+02  9.591232E-03  2.780637E-06  2.537889E-10  3.341970E-10  3.720888E-10  4.450269E-10  4.726038E-03  1.617779E-06  5.868251E-09  2.363922E-02  1.658548E-04  1.169769E-05  2.375633E-07  4.013855E-05  2.875874E-09  9.737167E-09  2.222290E-09  4.765178E-03  2.045450E-06  2.600047E-08  2.264115E-08  1.308868E-05  1.780746E-05  7.708134E-07  5.547810E-08  7.053739E-08  7.319304E-08
 2.841500E+02  9.604470E-03  2.752948E-06  2.456967E-10  3.236427E-10  3.603627E-10  4.311288E-10  4.703540E-03  1.573107E-06  5.413350E-09  2.358916E-02  1.621939E-04  1.089205E-05  2.292233E-07  3.920640E-05  2.694532E-09  9.150755E-09  2.121761E-09  4.679983E-03  1.934805E-06  2.504412E-08  2.179085E-08  1.276929E-05  1.737213E-05  7.158448E-07  5.135861E-08  6.532432E-08  6.886781E-08
 2.851500E+02  9.616857E-03  2.725386E-06  2.378765E-10  3.134394E-10  3.490257E-10  4.176874E-10  4.681293E-03  1.530008E-06  4.996776E-09  2.353877E-02  1.586322E-04  1.014638E-05  2.212215E-07  3.830039E-05  2.525723E-09  8.603228E-09  2.026250E-09  4.596533E-03  1.830694E-06  2.412629E-08  2.097549E-08  1.245974E-05  1.695028E-05  6.651257E-07  4.757130E-08  6.052987E-08  6.482219E-08
 2.861500E+02  9.628411E-03  2.697962E-06  2.303193E-10  3.035758E-10  3.380652E-10  4.046880E-10  4.659293E-03  1.488416E-06  4.615060E-09  2.348810E-02  1.551667E-04  9.455905E-06  2.135427E-07  3.741969E-05  2.368513E-09  8.091791E-09  1.935487E-09  4.514795E-03  1.732705E-06  2.324533E-08  2.019358E-08  1.215970E-05  1.654140E-05  6.183039E-07  4.408742E-08  5.611793E-08  6.103670E-08
 2.871500E+02  9.639149E-03  2.670683E-06  2.230165E-10  2.940407E-10  3.274690E-10  3.921164E-10  4.637536E-03  1.448270E-06  4.265064E-09  2.343715E-02  1.517945E-04  8.816266E-06  2.061727E-07  3.656351E-05  2.222039E-09  7.613865E-09  1.849218E-09  4.434735E-03  1.640450E-06  2.239969E-08  1.944365E-08  1.186881E-05  1.614504E-05  5.750583E-07  4.088086E-08  5.205570E-08  5.749331E-08
 2.881500E+02  9.649087E-03  2.643558E-06  2.159597E-10  2.848235E-10  3.172252E-10  3.799589E-10  4.616018E-03  1.409509E-06  3.943955E-09  2.338594E-02  1.485127E-04  8.223456E-06  1.990975E-07  3.573109E-05  2.085509E-09  7.167071E-09  1.767204E-09  4.356319E-03  1.553570E-06  2.158787E-08  1.872432E-08  1.158676E-05  1.576075E-05  5.350961E-07  3.792790E-08  4.831339E-08  5.417534E-08
 2.891500E+02  9.658242E-03  2.616596E-06  2.091406E-10  2.759137E-10  3.073222E-10  3.682021E-10  4.594736E-03  1.372077E-06  3.649167E-09  2.333450E-02  1.453187E-04  7.673809E-06  1.923042E-07  3.492170E-05  1.958193E-09  6.749207E-09  1.689216E-09  4.279516E-03  1.471727E-06  2.080845E-08  1.803429E-08  1.131322E-05  1.538810E-05  4.981497E-07  3.520698E-08  4.486392E-08  5.106731E-08
 2.901500E+02  9.666632E-03  2.589802E-06  2.025513E-10  2.673012E-10  2.977489E-10  3.568330E-10  4.573687E-03  1.335920E-06  3.378379E-09  2.328283E-02  1.422097E-04  7.163960E-06  1.857802E-07  3.413461E-05  1.839419E-09  6.358241E-09  1.615043E-09  4.204291E-03  1.394607E-06  2.006006E-08  1.737227E-08  1.104790E-05  1.502668E-05  4.639749E-07  3.269849E-08  4.168262E-08  4.815489E-08
 2.911500E+02  9.674274E-03  2.563185E-06  1.961841E-10  2.589761E-10  2.884945E-10  3.458390E-10  4.552866E-03  1.300987E-06  3.129487E-09  2.323096E-02  1.391832E-04  6.690823E-06  1.795137E-07  3.336915E-05  1.728566E-09  5.992294E-09  1.544483E-09  4.130615E-03  1.321918E-06  1.934139E-08  1.673707E-08  1.079051E-05  1.467608E-05  4.323483E-07  3.038460E-08  3.874708E-08  4.542478E-08
