#         T/K          A/kJ          G/kJ
  2.731500000000E+02   5.521316167516E+00   7.523569261328E+00
  2.741500000000E+02   5.276126385233E+00   7.289490625438E+00
  2.751500000000E+02   5.030704780210E+00   7.055149256799E+00
  2.761500000000E+02   4.785053590310E+00   6.820547512924E+00
  2.771500000000E+02   4.539175007070E+00   6.585687706104E+00
  2.781500000000E+02   4.293071176052E+00   6.350572104759E+00
  2.791500000000E+02   4.046744197244E+00   6.115202934687E+00
  2.801500000000E+02   3.800196125517E+00   5.879582380239E+00
  2.811500000000E+02   3.553428971119E+00   5.643712585413E+00
  2.821500000000E+02   3.306444700220E+00   5.407595654890E+00
  2.831500000000E+02   3.059245235486E+00   5.171233655001E+00
  2.841500000000E+02   2.811832456694E+00   4.934628614647E+00
  2.851500000000E+02   2.564208201369E+00   4.697782526169E+00
  2.861500000000E+02   2.316374265455E+00   4.460697346177E+00
  2.871500000000E+02   2.068332404001E+00   4.223374996332E+00
  2.881500000000E+02   1.820084331878E+00   3.985817364105E+00
  2.891500000000E+02   1.571631724497E+00   3.748026303490E+00
  2.901500000000E+02   1.322976218558E+00   3.510003635707E+00
  2.911500000000E+02   1.074119412797E+00   3.271751149858E+00
  2.921500000000E+02   8.250628687507E-01   3.033270603575E+00
  2.931500000000E+02   5.758081105262E-01   2.794563722822E+00
  2.941500000000E+02   3.263566292969E-01   2.555632205540E+00
  2.951500000000E+02   7.670987935528E-02   2.316477718435E+00
  2.961500000000E+02  -1.731307193609E-01   2.077101898845E+00
  2.971500000000E+02  -4.231637797350E-01   1.837506356015E+00
  2.981500000000E+02  -6.733879472149E-01   1.597692671190E+00
  2.991500000000E+02  -9.238018990440E-01   1.357662398142E+00
  3.001500000000E+02  -1.174404343499E+00   1.117417063686E+00
  3.011500000000E+02  -1.425194019132E+00   8.769581681799E-01
  3.021500000000E+02  -1.676169694020E+00   6.362871860264E-01
  3.031500000000E+02  -1.927330165027E+00   3.954055661519E-01
  3.041500000000E+02  -2.178674257046E+00   1.543147325055E-01
  3.051500000000E+02  -2.430200822370E+00  -8.698391556188E-02
  3.061500000000E+02  -2.681908739859E+00  -3.284890027245E-01
  3.071500000000E+02  -2.933796914255E+00  -5.701991772451E-01
  3.081500000000E+02  -3.185864275591E+00  -8.121131106256E-01
  3.091500000000E+02  -3.438109778432E+00  -1.054229497093E+00
  3.101500000000E+02  -3.690532401231E+00  -1.296547053189E+00
  3.111500000000E+02  -3.943131145678E+00  -1.539064517352E+00
  3.121500000000E+02  -4.195905036059E+00  -1.781780649500E+00
  3.131500000000E+02  -4.448853118634E+00  -2.024694230622E+00
  3.141500000000E+02  -4.701974461023E+00  -2.267804062378E+00
  3.151500000000E+02  -4.955268151607E+00  -2.511108966703E+00
  3.161500000000E+02  -5.208733298946E+00  -2.754607785418E+00
  3.171500000000E+02  -5.462369031203E+00  -2.998299379848E+00
  3.181500000000E+02  -5.716174495765E+00  -3.242182630609E+00
  3.191500000000E+02  -5.970148857985E+00  -3.486256436566E+00
  3.201500000000E+02  -6.224291301734E+00  -3.730519715494E+00
  3.211500000000E+02  -6.478601028154E+00  -3.974971403022E+00
  3.221500000000E+02  -6.733077255335E+00  -4.219610452461E+00
  3.231500000000E+02  -6.987719217827E+00  -4.464435834454E+00
  3.241500000000E+02  -7.242526166160E+00  -4.709446536634E+00
  3.251500000000E+02  -7.497497366380E+00  -4.954641563290E+00
  3.261500000000E+02  -7.752632099597E+00  -5.200019935038E+00
  3.271500000000E+02  -8.007929661542E+00  -5.445580688495E+00
  3.281500000000E+02  -8.263389362142E+00  -5.691322875959E+00
  3.291500000000E+02  -8.519010525102E+00  -5.937245565102E+00
  3.301500000000E+02  -8.774792487502E+00  -6.183347838653E+00
  3.311500000000E+02  -9.030734599405E+00  -6.429628794104E+00
