#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1            w1            w2          w3-1          w3-2          c1m1        c1m2-1        c1m2-7        c2m1-1        c1w1-2        c1w2-1        c2w1-1        c2w1-9        m1w1-1        m1w1-4        m1w2-1        m2w1-1        m2w1-3      c1m1w1-1
 2.731500E+02  3.028965E-01  2.973960E-04  7.730953E-08  1.014706E-07  1.128941E-07  1.346122E-07  4.894071E-01  1.973226E-03  8.587027E-05  1.095066E-01  4.030766E-04  1.509037E-05  2.117340E-07  1.519258E-02  1.164350E-05  3.820601E-05  2.405555E-06  7.836018E-02  1.585278E-05  1.180638E-06  1.036725E-06  7.092216E-04  9.654418E-04  2.222938E-05  3.597166E-05  4.555859E-05  1.303748E-05
 2.741500E+02  3.036725E-01  2.934046E-04  7.417351E-08  9.738749E-08  1.083594E-07  1.292459E-07  4.896573E-01  1.927094E-03  7.931514E-05  1.101255E-01  3.978978E-04  1.417790E-05  2.066619E-07  1.484072E-02  1.088511E-05  3.583319E-05  2.284236E-06  7.717141E-02  1.504231E-05  1.134374E-06  9.952416E-07  6.967102E-04  9.483502E-04  2.077787E-05  3.343018E-05  4.235663E-05  1.227231E-05
 2.751500E+02  3.044332E-01  2.894843E-04  7.118346E-08  9.349307E-08  1.040339E-07  1.241255E-07  4.898994E-01  1.882375E-03  7.330412E-05  1.107339E-01  3.927646E-04  1.332373E-05  2.017055E-07  1.449929E-02  1.018114E-05  3.362355E-05  2.169822E-06  7.600248E-02  1.427653E-05  1.090143E-06  9.556158E-07  6.844594E-04  9.316174E-04  1.942795E-05  3.108293E-05  3.939822E-05  1.155626E-05
 2.761500E+02  3.051789E-01  2.856338E-04  6.833188E-08  8.977771E-08  9.990703E-08  1.192386E-07  4.901339E-01  1.839021E-03  6.778869E-05  1.113319E-01  3.876785E-04  1.252397E-05  1.968634E-07  1.416792E-02  9.527354E-06  3.156489E-05  2.061879E-06  7.485316E-02  1.355286E-05  1.047846E-06  9.177576E-07  6.724642E-04  9.152363E-04  1.817209E-05  2.891404E-05  3.666355E-05  1.088593E-05
 2.771500E+02  3.059099E-01  2.818519E-04  6.561165E-08  8.623229E-08  9.596859E-08  1.145735E-07  4.903611E-01  1.796981E-03  6.272496E-05  1.119195E-01  3.826407E-04  1.177502E-05  1.921339E-07  1.384627E-02  8.919871E-06  2.964598E-05  1.960006E-06  7.372324E-02  1.286884E-05  1.007393E-06  8.815820E-07  6.607194E-04  8.991998E-04  1.700336E-05  2.690903E-05  3.413453E-05  1.025818E-05
 2.781500E+02  3.066264E-01  2.781373E-04  6.301607E-08  8.284819E-08  9.220908E-08  1.101189E-07  4.905812E-01  1.756209E-03  5.807314E-05  1.124969E-01  3.776524E-04  1.107352E-05  1.875154E-07  1.353401E-02  8.355136E-06  2.785650E-05  1.863827E-06  7.261249E-02  1.222219E-05  9.686969E-07  8.470081E-07  6.492202E-04  8.835009E-04  1.591536E-05  2.505465E-05  3.179461E-05  9.670100E-06
 2.791500E+02  3.073288E-01  2.744887E-04  6.053882E-08  7.961729E-08  8.861947E-08  1.058642E-07  4.907945E-01  1.716659E-03  5.379720E-05  1.130643E-01  3.727148E-04  1.041634E-05  1.830062E-07  1.323083E-02  7.829883E-06  2.618693E-05  1.772990E-06  7.152068E-02  1.161074E-05  9.316752E-07  8.139593E-07  6.379615E-04  8.681328E-04  1.490218E-05  2.333880E-05  2.962866E-05  9.118995E-06
 2.801500E+02  3.080173E-01  2.709051E-04  5.817391E-08  7.653187E-08  8.519126E-08  1.017997E-07  4.910013E-01  1.678289E-03  4.986445E-05  1.136218E-01  3.678288E-04  9.800546E-06  1.786046E-07  1.293642E-02  7.341115E-06  2.462853E-05  1.687170E-06  7.044757E-02  1.103245E-05  8.962496E-07  7.823627E-07  6.269385E-04  8.530884E-04  1.395837E-05  2.175041E-05  2.762283E-05  8.602358E-06
 2.811500E+02  3.086922E-01  2.673851E-04  5.591568E-08  7.358466E-08  8.191637E-08  9.791570E-08  4.912019E-01  1.641056E-03  4.624526E-05  1.141696E-01  3.629953E-04  9.223428E-06  1.743088E-07  1.265047E-02  6.886079E-06  2.317322E-05  1.606060E-06  6.939293E-02  1.048544E-05  8.623453E-07  7.521490E-07  6.161463E-04  8.383612E-04  1.307888E-05  2.027932E-05  2.576444E-05  8.117866E-06
 2.821500E+02  3.093538E-01  2.639276E-04  5.375879E-08  7.076879E-08  7.878719E-08  9.420342E-08  4.913964E-01  1.604922E-03  4.291269E-05  1.147077E-01  3.582150E-04  8.682443E-06  1.701169E-07  1.237272E-02  6.462245E-06  2.181356E-05  1.529375E-06  6.835652E-02  9.967894E-06  8.298916E-07  7.232527E-07  6.055801E-04  8.239444E-04  1.225906E-05  1.891626E-05  2.404187E-05  7.663361E-06
 2.831500E+02  3.100023E-01  2.605315E-04  5.169818E-08  6.807774E-08  7.579651E-08  9.065437E-08  4.915851E-01  1.569846E-03  3.984229E-05  1.152363E-01  3.534885E-04  8.175225E-06  1.660271E-07  1.210288E-02  6.067286E-06  2.054269E-05  1.456849E-06  6.733808E-02  9.478135E-06  7.988209E-07  6.956114E-07  5.952352E-04  8.098314E-04  1.149461E-05  1.765273E-05  2.244449E-05  7.236842E-06
 2.841500E+02  3.106380E-01  2.571955E-04  4.972907E-08  6.550535E-08  7.293750E-08  8.726057E-08  4.917683E-01  1.535793E-03  3.701184E-05  1.157556E-01  3.488166E-04  7.699567E-06  1.620375E-07  1.184069E-02  5.699062E-06  1.935428E-05  1.388232E-06  6.633738E-02  9.014576E-06  7.690692E-07  6.691657E-07  5.851069E-04  7.960159E-04  1.078156E-05  1.648094E-05  2.096252E-05  6.836446E-06
 2.851500E+02  3.112611E-01  2.539186E-04  4.784693E-08  6.304581E-08  7.020371E-08  8.401445E-08  4.919461E-01  1.502727E-03  3.440111E-05  1.162657E-01  3.441996E-04  7.253412E-06  1.581462E-07  1.158590E-02  5.355603E-06  1.824249E-05  1.323292E-06  6.535415E-02  8.575727E-06  7.405755E-07  6.438594E-07  5.751908E-04  7.824913E-04  1.011623E-05  1.539373E-05  1.958703E-05  6.460447E-06
 2.861500E+02  3.118719E-01  2.506997E-04  4.604750E-08  6.069359E-08  6.758903E-08  8.090885E-08  4.921187E-01  1.470614E-03  3.199171E-05  1.167668E-01  3.396380E-04  6.834839E-06  1.543512E-07  1.133826E-02  5.035096E-06  1.720191E-05  1.261811E-06  6.438815E-02  8.160185E-06  7.132819E-07  6.196390E-07  5.654821E-04  7.692514E-04  9.495230E-06  1.438456E-05  1.830979E-05  6.107236E-06
 2.871500E+02  3.124707E-01  2.475377E-04  4.432672E-08  5.844348E-08  6.508767E-08  7.793698E-08  4.922863E-01  1.439421E-03  2.976689E-05  1.172589E-01  3.351321E-04  6.442059E-06  1.506507E-07  1.109754E-02  4.735870E-06  1.622756E-05  1.203584E-06  6.343912E-02  7.766630E-06  6.871333E-07  5.964537E-07  5.559766E-04  7.562901E-04  8.915408E-06  1.344741E-05  1.712328E-05  5.775321E-06
 2.881500E+02  3.130577E-01  2.444314E-04  4.268075E-08  5.629052E-08  6.269415E-08  7.509240E-08  4.924490E-01  1.409117E-03  2.771138E-05  1.177423E-01  3.306821E-04  6.073402E-06  1.470427E-07  1.086351E-02  4.456385E-06  1.531483E-05  1.148422E-06  6.250680E-02  7.393821E-06  6.620772E-07  5.742552E-07  5.466698E-04  7.436013E-04  8.373859E-06  1.257676E-05  1.602055E-05  5.463312E-06
 2.891500E+02  3.136331E-01  2.413799E-04  4.110596E-08  5.423003E-08  6.040328E-08  7.236904E-08  4.926072E-01  1.379671E-03  2.581126E-05  1.182170E-01  3.262883E-04  5.727311E-06  1.435253E-07  1.063595E-02  4.195220E-06  1.445945E-05  1.096145E-06  6.159095E-02  7.040592E-06  6.380637E-07  5.529976E-07  5.375574E-04  7.311790E-04  7.867889E-06  1.176754E-05  1.499526E-05  5.169917E-06
 2.901500E+02  3.141972E-01  2.383821E-04  3.959892E-08  5.225757E-08  5.821013E-08  6.976111E-08  4.927609E-01  1.351054E-03  2.405386E-05  1.186833E-01  3.219508E-04  5.402332E-06  1.400966E-07  1.041465E-02  3.951066E-06  1.365748E-05  1.046587E-06  6.069131E-02  6.705843E-06  6.150453E-07  5.326373E-07  5.286352E-04  7.190173E-04  7.395008E-06  1.101509E-05  1.404156E-05  4.893932E-06
