#         T/K          U/kJ          H/kJ      S/J*K^-1
 2.731500E+02  6.122880E+01  6.317787E+01  2.324158E+02
 2.741500E+02  6.129412E+01  6.325467E+01  2.326965E+02
 2.751500E+02  6.135903E+01  6.333104E+01  2.329745E+02
 2.761500E+02  6.142356E+01  6.340699E+01  2.332501E+02
 2.771500E+02  6.148771E+01  6.348254E+01  2.335231E+02
 2.781500E+02  6.155148E+01  6.355767E+01  2.337937E+02
 2.791500E+02  6.161489E+01  6.363241E+01  2.340620E+02
 2.801500E+02  6.167793E+01  6.370676E+01  2.343278E+02
 2.811500E+02  6.174062E+01  6.378072E+01  2.345914E+02
 2.821500E+02  6.180297E+01  6.385430E+01  2.348526E+02
 2.831500E+02  6.186497E+01  6.392752E+01  2.351116E+02
 2.841500E+02  6.192664E+01  6.400036E+01  2.353685E+02
 2.851500E+02  6.198798E+01  6.407285E+01  2.356231E+02
 2.861500E+02  6.204899E+01  6.414498E+01  2.358756E+02
 2.871500E+02  6.210969E+01  6.421676E+01  2.361260E+02
 2.881500E+02  6.217008E+01  6.428820E+01  2.363744E+02
 2.891500E+02  6.223016E+01  6.435931E+01  2.366207E+02
 2.901500E+02  6.228994E+01  6.443008E+01  2.368651E+02
 2.911500E+02  6.234942E+01  6.450053E+01  2.371075E+02
 2.921500E+02  6.240862E+01  6.457066E+01  2.373479E+02
 2.931500E+02  6.246753E+01  6.464047E+01  2.375865E+02
 2.941500E+02  6.252617E+01  6.470998E+01  2.378232E+02
 2.951500E+02  6.258453E+01  6.477918E+01  2.380580E+02
 2.961500E+02  6.264262E+01  6.484809E+01  2.382911E+02
 2.971500E+02  6.270044E+01  6.491670E+01  2.385224E+02
 2.981500E+02  6.275801E+01  6.498502E+01  2.387519E+02
 2.991500E+02  6.281533E+01  6.505306E+01  2.389798E+02
 3.001500E+02  6.287240E+01  6.512082E+01  2.392059E+02
 3.011500E+02  6.292922E+01  6.518832E+01  2.394304E+02
 3.021500E+02  6.298580E+01  6.525554E+01  2.396532E+02
 3.031500E+02  6.304215E+01  6.532250E+01  2.398745E+02
 3.041500E+02  6.309827E+01  6.538920E+01  2.400942E+02
 3.051500E+02  6.315417E+01  6.545565E+01  2.403123E+02
 3.061500E+02  6.320984E+01  6.552185E+01  2.405289E+02
 3.071500E+02  6.326530E+01  6.558781E+01  2.407440E+02
 3.081500E+02  6.332055E+01  6.565353E+01  2.409576E+02
 3.091500E+02  6.337559E+01  6.571901E+01  2.411697E+02
 3.101500E+02  6.343043E+01  6.578426E+01  2.413805E+02
 3.111500E+02  6.348506E+01  6.584929E+01  2.415898E+02
 3.121500E+02  6.353951E+01  6.591410E+01  2.417977E+02
 3.131500E+02  6.359376E+01  6.597869E+01  2.420043E+02
 3.141500E+02  6.364782E+01  6.604307E+01  2.422096E+02
 3.151500E+02  6.370171E+01  6.610724E+01  2.424135E+02
 3.161500E+02  6.375541E+01  6.617121E+01  2.426162E+02
 3.171500E+02  6.380894E+01  6.623497E+01  2.428176E+02
 3.181500E+02  6.386230E+01  6.629854E+01  2.430177E+02
 3.191500E+02  6.391549E+01  6.636192E+01  2.432166E+02
 3.201500E+02  6.396851E+01  6.642511E+01  2.434143E+02
 3.211500E+02  6.402138E+01  6.648812E+01  2.436108E+02
 3.221500E+02  6.407409E+01  6.655095E+01  2.438061E+02
 3.231500E+02  6.412665E+01  6.661360E+01  2.440003E+02
 3.241500E+02  6.417906E+01  6.667607E+01  2.441933E+02
 3.251500E+02  6.423132E+01  6.673838E+01  2.443852E+02
 3.261500E+02  6.428344E+01  6.680053E+01  2.445761E+02
 3.271500E+02  6.433542E+01  6.686251E+01  2.447658E+02
 3.281500E+02  6.438726E+01  6.692433E+01  2.449545E+02
 3.291500E+02  6.443897E+01  6.698600E+01  2.451422E+02
 3.301500E+02  6.449056E+01  6.704752E+01  2.453288E+02
 3.311500E+02  6.454201E+01  6.710889E+01  2.455144E+02
 3.321500E+02  6.459334E+01  6.717012E+01  2.456990E+02
