#         T/K            c1          c2-1          c3-4          c3-5          c3-7          c3-9            m1          m2-1          m3-1          c1m1        c1m2-1        c1m2-7        c2m1-1
 2.731500E+02  5.374813E-01  9.020284E-04  4.008059E-07  5.260674E-07  5.852918E-07  6.978877E-07  4.367952E-01  1.514045E-03  5.664466E-05  2.317689E-02  1.527078E-05  5.010828E-05  6.272702E-06
 2.741500E+02  5.377804E-01  8.868542E-04  3.826661E-07  5.024286E-07  5.590334E-07  6.667880E-07  4.371184E-01  1.480140E-03  5.241425E-05  2.261246E-02  1.426983E-05  4.697550E-05  5.940453E-06
 2.751500E+02  5.380702E-01  8.720489E-04  3.654802E-07  4.800254E-07  5.341458E-07  6.373027E-07  4.374312E-01  1.447218E-03  4.852675E-05  2.206574E-02  1.334115E-05  4.405958E-05  5.628139E-06
 2.761500E+02  5.383509E-01  8.576016E-04  3.491921E-07  4.587854E-07  5.105486E-07  6.093377E-07  4.377341E-01  1.415246E-03  4.495236E-05  2.153608E-02  1.247909E-05  4.134421E-05  5.334442E-06
 2.771500E+02  5.386230E-01  8.435022E-04  3.337491E-07  4.386409E-07  4.881669E-07  5.828049E-07  4.380274E-01  1.384193E-03  4.166403E-05  2.102287E-02  1.167846E-05  3.881439E-05  5.058136E-06
 2.781500E+02  5.388868E-01  8.297405E-04  3.191021E-07  4.195284E-07  4.669302E-07  5.576221E-07  4.383114E-01  1.354027E-03  3.863719E-05  2.052550E-02  1.093452E-05  3.645631E-05  4.798083E-06
 2.791500E+02  5.391424E-01  8.163068E-04  3.052049E-07  4.013885E-07  4.467728E-07  5.337118E-07  4.385865E-01  1.324719E-03  3.584952E-05  2.004340E-02  1.024292E-05  3.425729E-05  4.553227E-06
 2.801500E+02  5.393904E-01  8.031917E-04  2.920145E-07  3.841655E-07  4.276329E-07  5.110019E-07  4.388532E-01  1.296241E-03  3.328073E-05  1.957603E-02  9.599647E-06  3.220562E-05  4.322584E-06
 2.811500E+02  5.396308E-01  7.903861E-04  2.794904E-07  3.678074E-07  4.094529E-07  4.894243E-07  4.391115E-01  1.268567E-03  3.091234E-05  1.912285E-02  9.001043E-06  3.029055E-05  4.105241E-06
 2.821500E+02  5.398640E-01  7.778813E-04  2.675947E-07  3.522652E-07  3.921784E-07  4.689156E-07  4.393620E-01  1.241668E-03  2.872754E-05  1.868337E-02  8.443735E-06  2.850215E-05  3.900349E-06
 2.831500E+02  5.400903E-01  7.656686E-04  2.562920E-07  3.374931E-07  3.757587E-07  4.494161E-07  4.396048E-01  1.215520E-03  2.671104E-05  1.825709E-02  7.924625E-06  2.683129E-05  3.707118E-06
 2.841500E+02  5.403099E-01  7.537398E-04  2.455489E-07  3.234481E-07  3.601460E-07  4.308696E-07  4.398403E-01  1.190099E-03  2.484888E-05  1.784355E-02  7.440865E-06  2.526952E-05  3.524812E-06
 2.851500E+02  5.405230E-01  7.420869E-04  2.353343E-07  3.100897E-07  3.452957E-07  4.132236E-07  4.400687E-01  1.165381E-03  2.312835E-05  1.744229E-02  6.989835E-06  2.380908E-05  3.352745E-06
 2.861500E+02  5.407298E-01  7.307022E-04  2.256188E-07  2.973802E-07  3.311657E-07  3.964288E-07  4.402903E-01  1.141342E-03  2.153785E-05  1.705290E-02  6.569123E-06  2.244276E-05  3.190278E-06
 2.871500E+02  5.409306E-01  7.195781E-04  2.163748E-07  2.852838E-07  3.177165E-07  3.804386E-07  4.405053E-01  1.117962E-03  2.006680E-05  1.667495E-02  6.176511E-06  2.116395E-05  3.036818E-06
 2.881500E+02  5.411256E-01  7.087075E-04  2.075765E-07  2.737672E-07  3.049111E-07  3.652096E-07  4.407139E-01  1.095218E-03  1.870552E-05  1.630804E-02  5.809951E-06  1.996650E-05  2.891808E-06
 2.891500E+02  5.413150E-01  6.980831E-04  1.991997E-07  2.627990E-07  2.927146E-07  3.507007E-07  4.409164E-01  1.073091E-03  1.744518E-05  1.595180E-02  5.467559E-06  1.884476E-05  2.754732E-06
 2.901500E+02  5.414989E-01  6.876984E-04  1.912215E-07  2.523496E-07  2.810942E-07  3.368734E-07  4.411131E-01  1.051560E-03  1.627771E-05  1.560585E-02  5.147597E-06  1.779348E-05  2.625107E-06
 2.911500E+02  5.416776E-01  6.775465E-04  1.836204E-07  2.423911E-07  2.700191E-07  3.236913E-07  4.413040E-01  1.030607E-03  1.519573E-05  1.526985E-02  4.848462E-06  1.680781E-05  2.502481E-06
 2.921500E+02  5.418513E-01  6.676213E-04  1.763763E-07  2.328976E-07  2.594604E-07  3.111203E-07  4.414894E-01  1.010213E-03  1.419249E-05  1.494345E-02  4.568672E-06  1.588327E-05  2.386434E-06
 2.931500E+02  5.420200E-01  6.579163E-04  1.694701E-07  2.238443E-07  2.493906E-07  2.991283E-07  4.416696E-01  9.903608E-04  1.326178E-05  1.462633E-02  4.306862E-06  1.501569E-05  2.276572E-06
 2.941500E+02  5.421840E-01  6.484258E-04  1.628840E-07  2.152081E-07  2.397842E-07  2.876850E-07  4.418446E-01  9.710331E-04  1.239795E-05  1.431817E-02  4.061768E-06  1.420123E-05  2.172527E-06
 2.951500E+02  5.423435E-01  6.391438E-04  1.566012E-07  2.069673E-07  2.306170E-07  2.767619E-07  4.420146E-01  9.522134E-04  1.159581E-05  1.401868E-02  3.832224E-06  1.343632E-05  2.073957E-06
 2.961500E+02  5.424986E-01  6.300647E-04  1.506058E-07  1.991012E-07  2.218660E-07  2.663321E-07  4.421799E-01  9.338858E-04  1.085059E-05  1.372755E-02  3.617151E-06  1.271764E-05  1.980539E-06
 2.971500E+02  5.426493E-01  6.211830E-04  1.448829E-07  1.915904E-07  2.135099E-07  2.563702E-07  4.423406E-01  9.160351E-04  1.015793E-05  1.344452E-02  3.415550E-06  1.204213E-05  1.891972E-06
 2.981500E+02  5.427960E-01  6.124935E-04  1.394184E-07  1.844168E-07  2.055284E-07  2.468525E-07  4.424968E-01  8.986464E-04  9.513805E-06  1.316931E-02  3.226497E-06  1.140693E-05  1.807975E-06
